id,label,type,suit,number,korean_name,upright_meaning,reversed_meaning,element,saju_correlation,astro_correlation,description,jung_archetype,dream_symbol,advice,timing_guidance
TM_swords_ace,소드에이스,tarot_minor,Swords,1,소드의에이스,진실/명확함/돌파구/지적승리,혼란/오해/잘못된정보/막힘,Air,경금신금일간-명석한시작,천칭자리0-10도,소드 에이스는 구름 뚫고 나온 검. 진실을 꿰뚫는 명확한 사고력. 지적 돌파구와 새로운 아이디어.,영웅원형-진실의검,번개/빛나는칼/새벽,진실을 직시하세요. 명확한 사고가 길을 열어줍니다.,수요일/초승달/새학기시작
TM_swords_2,소드2,tarot_minor,Swords,2,소드의2,균형/결정유보/내면갈등/직관,우유부단/정보부족/불균형/거짓,Air,비견겁재-양측면고려,천칭자리10-20도,소드 2는 눈 가리고 검을 든 모습. 결정을 내리기 전 양쪽을 균형있게 저울질. 직관을 신뢰해야 함.,자기원형-내면의균형,눈가림/저울/양갈래길,머리로 판단하기 어려울 때 직관을 믿으세요. 잠시 멈춤이 필요합니다.,상현달/수요일/결정보류기
TM_swords_3,소드3,tarot_minor,Swords,3,소드의3,슬픔/상처/이별/배신,회복/용서/치유/수용,Air,상관견관-마음상처,천칭자리20-30도,소드 3은 심장을 관통한 세 개의 검. 깊은 슬픔과 마음의 상처. 이별이나 배신의 고통.,그림자원형-상처받은마음,심장에박힌칼/비/깨진유리,상처를 피하지 말고 느끼세요. 아픔을 통해 성장합니다.,그믐달/비오는날/애도기간
TM_swords_4,소드4,tarot_minor,Swords,4,소드의4,휴식/회복/명상/재충전,불안/조급함/회피/고립,Air,편인운-정신휴식,천칭자리-물병경계,소드 4는 누워서 쉬는 기사. 정신적 휴식과 회복이 필요한 시기. 명상과 재충전.,은둔자원형-내면휴식,무덤/잠자는사람/고요한방,지친 정신을 쉬게 하세요. 회복 후에 더 명확해집니다.,토요일/하현달/휴가기간
TM_swords_5,소드5,tarot_minor,Swords,5,소드의5,갈등/승리/패배/부정직,화해/타협/후회/반성,Air,칠살운-경쟁승패,물병자리0-10도,소드 5는 검을 줍는 승자와 떠나는 패자. 모든 싸움에 진정한 승자는 없음. 공정하지 않은 승리.,그림자원형-자아의어두운승리,전쟁터/패배한적/빼앗은검,이긴 것 같지만 진정 이긴 건가요? 방법이 목적을 정당화하지 않습니다.,화요일/갈등시기/경쟁결과발표
TM_swords_6,소드6,tarot_minor,Swords,6,소드의6,이동/변화/전환/치유여정,정체/저항/미해결/과거집착,Air,역마운-정신적이동,물병자리10-20도,소드 6은 배를 타고 떠나는 모습. 힘든 상황을 뒤로하고 새로운 곳으로 이동. 치유의 여정.,탐험가원형-전환의여정,배타고떠남/강건넘/이사,힘든 곳을 떠나 새 출발하세요. 이동이 치유를 가져옵니다.,수요일/역마대운/이사적기
TM_swords_7,소드7,tarot_minor,Swords,7,소드의7,전략/속임/기만/몰래,양심/정직/들킴/계획실패,Air,편관운-은밀한행동,물병자리20-30도,소드 7은 검을 몰래 가져가는 모습. 정당하지 않은 방법이나 속임수. 발각될 위험.,트릭스터원형-교활한전략,도둑/몰래빠져나감/뒷문,정직하지 않은 방법은 결국 들통납니다. 양심을 따르세요.,수요일/비밀노출위험기/조심해야할때
TM_swords_8,소드8,tarot_minor,Swords,8,소드의8,갇힘/제한/무력감/자기제한,해방/새관점/탈출/희망,Air,공망운-정신적갇힘,쌍둥이자리0-10도,소드 8은 눈 가리고 검에 둘러싸인 모습. 스스로 만든 감옥. 움직이면 빠져나갈 수 있음을 모름.,희생자원형-자기구속,감옥/묶인몸/눈가림,당신을 가두는 건 당신 자신입니다. 눈가리개를 벗으면 길이 보입니다.,토요일/공망기간/자기제한인식기
TM_swords_9,소드9,tarot_minor,Swords,9,소드의9,불안/악몽/걱정/죄책감,희망/회복/과거극복/빛,Air,인수운-정신적고통,쌍둥이자리10-20도,소드 9는 밤에 깨어 머리를 감싸는 모습. 과도한 걱정과 불안. 밤이 지나면 새벽이 옴.,그림자원형-불안의밤,악몽/불면/어둠속깨어남,걱정의 대부분은 일어나지 않습니다. 밤은 지나고 새벽이 옵니다.,월요일/그믐달/불안한시기
TM_swords_10,소드10,tarot_minor,Swords,10,소드의10,종말/바닥/완전한패배/끝,재생/회복/새시작/부활,Air,관살과다-최악의끝,쌍둥이자리20-30도,소드 10은 열 개의 검에 찔린 모습. 더 나빠질 수 없는 바닥. 하지만 이제 올라갈 일만 남음.,죽음-재생원형-완전한종말,바닥/극심한고통/끝,바닥을 쳤다면 이제 올라갈 일만 남았습니다. 새벽이 옵니다.,그믐달직전/최악의시기/전환직전
