id,source,target,relation,description
GAN_갑기합,ST_갑,ST_기,오합(土),"목생토 — 현실·성장의 결합, 인내와 추진."
GAN_을경합,ST_을,ST_경,오합(金),"감성+이성 결합, 세련됨과 계산력."
GAN_병신합,ST_병,ST_신,오합(水),"창조와 판단의 합, 논리적 추진."
GAN_정임합,ST_정,ST_임,오합(木),"표현과 직관 조화, 이상형 창조."
GAN_무계합,ST_무,ST_계,오합(火),"현실+열정 결합, 의지 강화."
BR_자축합,BR_자,BR_축,육합(土),실질적 협력·공감·돈의 흐름.
BR_인해합,BR_인,BR_해,육합(木),"직관과 개척, 확장력 상승."
BR_묘술합,BR_묘,BR_술,육합(火),"감성+현실력, 계획 실행."
BR_진유합,BR_진,BR_유,육합(金),"통제와 책임 결합, 기술·조정."
BR_사신합,BR_사,BR_신,육합(水),"지혜·창의 결합, 새로운 흐름."
BR_오미합,BR_오,BR_미,육합(火),"열정과 안정, 결과 완성."
BR_인오술삼합,BR_인,BR_오술,삼합(火),목→화방합: 성장과 열정의 완성.
BR_신자진삼합,BR_신,BR_자진,삼합(水),금→수방합: 분석력·감정의 흐름.
BR_해묘미삼합,BR_해,BR_묘미,삼합(木),수→목방합: 직관도전결합.
BR_사유축삼합,BR_사,BR_유축,삼합(金),화→금방합: 세련·판단력 강세.
BR_인오반합,BR_인,BR_오,반합(화),"목생화 부분 결합, 추진력 상승."
BR_신자반합,BR_신,BR_자,반합(수),"금생수 부분 결합, 직관·지혜 상승."
BR_해묘반합,BR_해,BR_묘,반합(목),"수생목 부분 결합, 창의·계획송."
BR_사유반합,BR_사,BR_유,반합(金),"화생금 부분 결합, 판단·단련."
BR_자오충,BR_자,BR_오,충,수화충 — 감정·의지 대립
BR_축미충,BR_축,BR_미,충,토토충 — 고집·완벽주의 경향
BR_인신충,BR_인,BR_신,충,목금충 — 젊음·변화의 진폭
BR_묘유충,BR_묘,BR_유,충,BR_묘유충: Astro interpretation data.
BR_진술충,BR_진,BR_술,충,"현실적 긴장, 터전변화"
BR_사해충,BR_사,BR_해,충,의욕과 직관 대립·진로변화기
BR_인사신형,BR_인,BR_사신,삼형,의지와 통제 균형 긴장
BR_축술미형,BR_축,BR_술미,삼형,완벽주의·책임감 중압감
BR_자묘형,BR_자,BR_묘,자형,감정 이성과의 엇갈림
BR_오유형,BR_오,BR_유,자형,명예·관계 스트레스
BR_진유형,BR_진,BR_유,자형,BR_진유형: Astro interpretation data.
BR_자미해,BR_자,BR_미,해,"감정 피로, 오해, 교류단절"
BR_축오해,BR_축,BR_오,해,BR_축오해: Astro interpretation data.
BR_인유해,BR_인,BR_유,해,표현·규범 불협화음
BR_묘진해,BR_묘,BR_진,해,"목표 흐림, 내면동요"
BR_사술해,BR_사,BR_술,해,"신뢰파손, 약속 어긋남"
BR_신해해,BR_신,BR_해,해,"긴장, 예민, 휴식 필요"
Empty_공망갑기,ST_갑,BR_술해,공망,갑기일주 공망 — 술해가 비어 시간운에 공허 발생.
Empty_공망을경,ST_을,BR_신유,공망,"을경일주 공망 — 신유 비어, 사회적 단절."
Empty_공망병신,ST_병,BR_오미,공망,"병신일주 공망 — 오미 비어, 투표된 열정."
Empty_공망정임,ST_정,BR_진사,공망,"정임일주 공망 — 진사 비어, 물리적 한계."
Empty_공망무계,ST_무,BR_인묘,공망,"무계일주 공망 — 인묘 비어, 정서혼란."
GAN_갑귀인,ST_갑,BR_축해,귀인,갑일생 — 축·해에서 귀인 도움.
GAN_을귀인,ST_을,BR_자술,귀인,을일생 — 자·술귀인.
GAN_병귀인,ST_병,BR_인신,귀인,"병일생 — 인·신귀인, 학문·명예보호."
GAN_정귀인,ST_정,BR_사유,귀인,"정일생 — 사·유귀인, 감성·이성 교감."
GAN_무귀인,ST_무,BR_해유,귀인,"무일생 — 해·유귀인, 행운과 지혜."
GAN_기귀인,ST_기,BR_오자,귀인,"기일생 — 오·자귀인, 열정·감성."
GAN_경귀인,ST_경,BR_묘해,귀인,"경일생 — 묘·해귀인, 예술·지성."
GAN_신귀인,ST_신,BR_오자,귀인,"신일생 — 오·자귀인, 인기·표현."
GAN_임귀인,ST_임,BR_축유,귀인,"임일생 — 축·유귀인, 보호·덕운."
GAN_계귀인,ST_계,BR_인오,귀인,"계일생 — 인·오귀인, 통찰·명예."
BR_인묘진월령,BR_인묘진,월령(봄),목월,생명력·시작·확장.
BR_사오미월령,BR_사오미,월령(여름),화월,BR_사오미월령: Astro interpretation data.
BR_신유술월령,BR_신유술,월령(가을),금월,BR_신유술월령: Astro interpretation data.
BR_해자축월령,BR_해자축,월령(겨울),수월,BR_해자축월령: Astro interpretation data.
