id,ganji,pillar,category,description
년주_갑자,갑자,년주,위치별해석,"사회적 첫인상, 조상·가문·외부 평가를 나타낸다. 이 간지가 년주에 있으면 배경·가문에서 주도적·리더형·성장추진 및 사고·지혜·감정표현 성향의 조합 기운이 드러난다."
월주_갑자,갑자,월주,위치별해석,직업·생활 무대·실무적 추진력에 작용한다. 이 간지가 월주에 있으면 현실 활동 속에서 주도적·리더형·성장추진 및 사고·지혜·감정표현 성향의 조합 에너지가 나타난다.
일주_갑자,갑자,일주,위치별해석,"자아 본체, 의식 중심, 배우자궁의 핵심. 이 간지가 일주에 있으면 본인의 성격과 인간관계에 주도적·리더형·성장추진 및 사고·지혜·감정표현 성향의 조합 성향이 강하다."
시주_갑자,갑자,시주,위치별해석,노년·결과·자녀·미래 표상. 이 간지가 시주에 있으면 인생 후반부에 주도적·리더형·성장추진 및 사고·지혜·감정표현 성향의 조합 에너지가 결실로 나타난다.
년주_을축,을축,년주,위치별해석,"사회적 첫인상, 조상·가문·외부 평가를 나타낸다. 이 간지가 년주에 있으면 배경·가문에서 예술적·협조적·소통형 및 근면·실속·인내 성향의 조합 기운이 드러난다."
월주_을축,을축,월주,위치별해석,직업·생활 무대·실무적 추진력에 작용한다. 이 간지가 월주에 있으면 현실 활동 속에서 예술적·협조적·소통형 및 근면·실속·인내 성향의 조합 에너지가 나타난다.
일주_을축,을축,일주,위치별해석,"자아 본체, 의식 중심, 배우자궁의 핵심. 이 간지가 일주에 있으면 본인의 성격과 인간관계에 예술적·협조적·소통형 및 근면·실속·인내 성향의 조합 성향이 강하다."
시주_을축,을축,시주,위치별해석,노년·결과·자녀·미래 표상. 이 간지가 시주에 있으면 인생 후반부에 예술적·협조적·소통형 및 근면·실속·인내 성향의 조합 에너지가 결실로 나타난다.
년주_병인,병인,년주,위치별해석,"사회적 첫인상, 조상·가문·외부 평가를 나타낸다. 이 간지가 년주에 있으면 배경·가문에서 열정적·표현력·목표지향 및 추진력·개척·시작 성향의 조합 기운이 드러난다."
월주_병인,병인,월주,위치별해석,직업·생활 무대·실무적 추진력에 작용한다. 이 간지가 월주에 있으면 현실 활동 속에서 열정적·표현력·목표지향 및 추진력·개척·시작 성향의 조합 에너지가 나타난다.
일주_병인,병인,일주,위치별해석,"자아 본체, 의식 중심, 배우자궁의 핵심. 이 간지가 일주에 있으면 본인의 성격과 인간관계에 열정적·표현력·목표지향 및 추진력·개척·시작 성향의 조합 성향이 강하다."
시주_병인,병인,시주,위치별해석,노년·결과·자녀·미래 표상. 이 간지가 시주에 있으면 인생 후반부에 열정적·표현력·목표지향 및 추진력·개척·시작 성향의 조합 에너지가 결실로 나타난다.
년주_정묘,정묘,년주,위치별해석,"사회적 첫인상, 조상·가문·외부 평가를 나타낸다. 이 간지가 년주에 있으면 배경·가문에서 감성적·지적·내면표현 및 교류·감성·예술성 성향의 조합 기운이 드러난다."
월주_정묘,정묘,월주,위치별해석,직업·생활 무대·실무적 추진력에 작용한다. 이 간지가 월주에 있으면 현실 활동 속에서 감성적·지적·내면표현 및 교류·감성·예술성 성향의 조합 에너지가 나타난다.
일주_정묘,정묘,일주,위치별해석,"자아 본체, 의식 중심, 배우자궁의 핵심. 이 간지가 일주에 있으면 본인의 성격과 인간관계에 감성적·지적·내면표현 및 교류·감성·예술성 성향의 조합 성향이 강하다."
시주_정묘,정묘,시주,위치별해석,노년·결과·자녀·미래 표상. 이 간지가 시주에 있으면 인생 후반부에 감성적·지적·내면표현 및 교류·감성·예술성 성향의 조합 에너지가 결실로 나타난다.
년주_무진,무진,년주,위치별해석,"사회적 첫인상, 조상·가문·외부 평가를 나타낸다. 이 간지가 년주에 있으면 배경·가문에서 실질·안정·현실형 및 융합·전환·실행력 성향의 조합 기운이 드러난다."
월주_무진,무진,월주,위치별해석,직업·생활 무대·실무적 추진력에 작용한다. 이 간지가 월주에 있으면 현실 활동 속에서 실질·안정·현실형 및 융합·전환·실행력 성향의 조합 에너지가 나타난다.
일주_무진,무진,일주,위치별해석,"자아 본체, 의식 중심, 배우자궁의 핵심. 이 간지가 일주에 있으면 본인의 성격과 인간관계에 실질·안정·현실형 및 융합·전환·실행력 성향의 조합 성향이 강하다."
시주_무진,무진,시주,위치별해석,노년·결과·자녀·미래 표상. 이 간지가 시주에 있으면 인생 후반부에 실질·안정·현실형 및 융합·전환·실행력 성향의 조합 에너지가 결실로 나타난다.
년주_기사,기사,년주,위치별해석,"사회적 첫인상, 조상·가문·외부 평가를 나타낸다. 이 간지가 년주에 있으면 배경·가문에서 세밀·조율·중재형 및 통찰·명예·변화 성향의 조합 기운이 드러난다."
월주_기사,기사,월주,위치별해석,직업·생활 무대·실무적 추진력에 작용한다. 이 간지가 월주에 있으면 현실 활동 속에서 세밀·조율·중재형 및 통찰·명예·변화 성향의 조합 에너지가 나타난다.
일주_기사,기사,일주,위치별해석,"자아 본체, 의식 중심, 배우자궁의 핵심. 이 간지가 일주에 있으면 본인의 성격과 인간관계에 세밀·조율·중재형 및 통찰·명예·변화 성향의 조합 성향이 강하다."
시주_기사,기사,시주,위치별해석,노년·결과·자녀·미래 표상. 이 간지가 시주에 있으면 인생 후반부에 세밀·조율·중재형 및 통찰·명예·변화 성향의 조합 에너지가 결실로 나타난다.
년주_경오,경오,년주,위치별해석,"사회적 첫인상, 조상·가문·외부 평가를 나타낸다. 이 간지가 년주에 있으면 배경·가문에서 결단·분석·지도력 및 열정·표현·리더십 성향의 조합 기운이 드러난다."
