id,label,type,pair,empty_branches,element_lacking,description,career,relationship,health,spiritual,advice,jung_archetype,tarot_parallel,famous_pattern,daeun_tip
GM_갑자순,갑자순공망,gongmang,甲子旬,"戌,亥",토수후반,"갑자순(甲子~癸酉) 공망은 戌亥. 60갑자 첫 순으로 마무리와 새 시작 준비 영역에 허(虛). 시작은 잘하나 끝맺음이 약하나 영적 감수성 극대화.","프로젝트 마무리 보완 필요. 팀워크로 끝맺음 강화. 전략/기획 분야 적합. 결과물보다 과정에 강점.","말년 인연 변화 가능. 노년 관계 허전함 있으나 영적 성장 계기. 파트너가 마무리 도와줄 때 시너지.","하체(다리,발)/신장/방광 계통 주의. 비뇨기계 관리. 겨울철 특별 관리.","술해는 천문지호로 영적 가장 중요. 공(空)이면 역설적으로 영적 감수성 극대화. 명상/수행에 유리.","마무리 습관 의식적으로 기르기. 명상/영적 수련이 빈 에너지 채우는 최고 방법.","Seeker/Sage","은둔자(내면탐구)/바보(새시작)","시작형 창업가에게 많음. 아이디어는 넘치나 팀 필요.","戌亥 대운에서 인생 전환. 영적 각성이나 마무리 역량 급성장."
GM_갑술순,갑술순공망,gongmang,甲戌旬,"申,酉",금,"갑술순(甲戌~癸未) 공망은 申酉. 금(金) 에너지 전체 비어 결단력/판단력/냉정함 영역에 약점. 세속 집착 적고 정신적 풍요에 강점.","결단에 시간 걸림. 금속/기계/법률/금융에서 예상 밖 어려움. 예술/상담/교육 등 감성 분야 강점.","배우자운 공(空) 가능. 인연 늦거나 중간 변동. 대운 충전 시 갑자기 좋은 인연 만남.","폐/대장 계통 주의. 호흡기 질환 약점. 호흡 수련/단전호흡 추천.","금의 공망은 무소유 철학과 통함. 물질보다 정신적 풍요에서 진정한 만족 찾는 유형.","결단력 키우기. 작은 결정부터 빠르게 내리는 습관. 감성적 강점 살리기.","Innocent/Creator","심판(결단)/별(희망)","예술가/상담사에게 많음. 논리보다 감성으로 성공.","申酉 대운에서 결단력 급성장. 미루던 결정 내리고 재물운 변화."
GM_갑신순,갑신순공망,gongmang,甲申旬,"午,未",화토,"갑신순(甲申~癸巳) 공망은 午未. 화(火)토(土) 에너지 비어 열정/활력/안정 허(虛). 초반 강하나 중반 슬럼프 주의.","열정 지속 어려움. 부동산/농업/요식업 변동. 영업/마케팅 번아웃 위험. 시스템적 업무 더 적합.","중년기 관계 변화. 화(火) 공망은 사랑 열정 쉽게 식음. 의식적 노력과 루틴 필요.","심장/소장(화)/비위(토) 주의. 소화기/심혈관 체크. 단 음식 절제.","오미(午未)는 양의 극성. 외부 열정 아닌 내면의 따뜻함 개발이 과제.","꾸준함 유지 루틴 만들기. 화의 에너지를 내면에서 찾기. 번아웃 예방.","Senex/Caregiver","태양(열정)/황제(안정)","안정 추구형에 많음. 열정적 시작 후 유지에 어려움 겪음.","午未 대운에서 열정 폭발 또는 안정 기반 마련. 부동산/결혼 변화."
GM_갑오순,갑오순공망,gongmang,甲午旬,"辰,巳",토화전반,"갑오순(甲午~癸卯) 공망은 辰巳. 기반과 확장 영역에 공(空). 터전 자주 바뀜. 유동성이 넓은 시야와 경험 제공.","유통/무역/운송처럼 이동성 직업 유리. 고정 직업보다 움직이는 일. 프리랜서/컨설팅 적합.","부모/어르신 인연 변동. 고향 떠나 삶. 새 터전에서 새 인연. 물리적 거리가 정서적 거리 아님.","비위(脾胃) 특별 주의. 소화불량/당뇨 전 관리. 이동 중 건강관리.","진사(辰巳)는 변화성장의 터. 물리적 안정보다 정신적 기반 굳건히 하기.","한 곳 머무는 연습하되 변화 두려워 말기. 이동이 성장의 동력.","Explorer/Puer","전차(이동)/힘(변환)","글로벌 비즈니스맨/여행가에 많음. 한 곳에 정착 안 해도 성공.","辰巳 대운에서 기반 마련 또는 큰 이동/이민/전직."
GM_갑진순,갑진순공망,gongmang,甲辰旬,"寅,卯",목,"갑진순(甲辰~癸丑) 공망은 寅卯. 목(木) 에너지 전체 비어 시작/성장/새로움 허(虛). 변화보다 유지/깊이에 강점.","창업보다 기존 조직 성장 유리. 새 분야 개척보다 전문성 심화. 깊이 파는 전문가형.","형제/친구 인연 변동. 초기 인연 유지 어려움. 중년 이후 새 인연. 오래된 친구보다 새 친구.","간/담 계통 주의. 눈 건강 관리. 봄철 건강 체크. 목기운 보강 운동.","인묘(寅卯)는 생명의 시작. 새로움보다 깊이 추구가 천성. 전문가형 영혼.","시작 두려워 말기. 깊이 있는 전문성이 무기. 천천히 시작해도 됨.","Sage/Senex","여사제(깊이)/세계(완성)","학자/연구원/장인에 많음. 한 분야 깊이 파서 대가 됨.","寅卯 대운에서 새 시작 폭발. 오랫동안 준비한 것 꽃피움."
GM_갑인순,갑인순공망,gongmang,甲寅旬,"子,丑",수토초반,"갑인순(甲寅~癸亥) 공망은 子丑. 수(水)토(土) 초반 비어 지혜/재물 축적 허(虛). 독립심 강하고 물질 집착 적음.","지적 직업 예상 밖 어려움. 독립심 강해 자수성가형. 중년 이후 안정. 재물보다 가치 추구.","초년/유년기 인연 변동. 어린 시절 부모 이별이나 고향 떠남. 독립심 강해짐. 자립형 인생.","신장/비뇨기(수)/비위(토) 동시 주의. 겨울철 건강. 수분 섭취와 소화관리.","자축(子丑)은 태극 시작점. 근원적 에너지 공망은 깊은 영적 각성 가능성.","재물 관리 체계적으로. 저축 습관 중요. 평생학습으로 지적 호기심 충족.","Orphan/Seeker","달(직관)/펜타클에이스(재물시작)","자수성가형 사업가에 많음. 물려받은 것 없이 스스로 일어섬.","子丑 대운에서 지적 성취나 재물 급격한 변화. 학위취득/사업성공."
GM_진공,진공,gongmang_type,판단기준,원국내없음,최강효과,"진공(眞空): 공망 지지가 사주 원국 내 어디에도 없으면 진공. 공망 효과 가장 강함. 세속 어렵지만 독특한 재능.","창의적/영적 직업 유리. 일반적 성공보다 독특한 분야에서 빛남. 예술가/종교인/학자 적합.","인연 독특함. 보통 만남보다 특별한 인연. 운명적 만남 강함. 혼자여도 충만.","해당 오행 장기 특별 관리. 완전히 비어 보완 필수. 선천적 약함 관리.","비어있음 자체가 영적 공간. 채우려 않고 비움으로 전환하면 깨달음.","진공 영역 억지로 채우지 말기. 비어있음 자체가 강점. 독특함 인정.","Hermit/Mystic","매달린사람(항복)/은둔자(내면)","천재/예술가/수행자에 많음. 세속 초월한 독특한 삶.","충전 시 극적 변화. 인생 대전환점. 오랫동안 숨었던 것 폭발."
GM_가공,가공,gongmang_type,판단기준,원국내있음,약화효과,"가공(假空): 공망 지지가 원국 내 존재하면 가공. 공망 효과 약화. 반쯤 비어 노력으로 채울 수 있음.","노력하면 성과 가능. 시간 더 걸릴 뿐 불가능 아님. 꾸준함이 핵심.","관계도 노력으로 극복. 초반 어려움 있어도 꾸준히 하면 좋아짐.","관리하면 유지 가능. 완전한 약점 아님. 의식적 관리로 충분히 극복.","노력으로 채울 수 있는 공간. 의지와 수행이 중요. 세속/영성 균형.","가공 영역은 노력으로 채움. 꾸준함이 핵심. 포기하지 않기.","Everyman/Warrior","절제(균형)/펜타클7(인내)","꾸준한 노력파에 많음. 천재는 아니지만 끈기로 성공.","충전 효과 진공보다 약함. 점진적 변화. 꾸준히 좋아짐."
GM_합해소,합해소,gongmang_resolution,해소방법,합,부드러운해소,"공망 합 해소: 공망 지지가 합(合)으로 연결되면 부드럽게 해소. 좋은 인연 통한 자연스러운 보완.","파트너/동업자 통해 약점 보완. 협력적 환경에서 성공. 혼자보다 함께.","좋은 인연이 약점 채워줌. 상호보완적 관계 이상적. 궁합에서 확인.","좋은 환경/사람 통해 건강 개선. 의사/건강법을 인연으로 만남.","인연법(因緣法). 좋은 인연이 비어있는 것 채움. 관계를 통한 성장.","좋은 인연 소중히. 부족함 채워주는 사람이 가까이 있을 수 있음.","Lover/Caregiver","연인(결합)/컵2(파트너십)","좋은 배우자/파트너 만나 인생 바뀐 케이스에 많음.","합이 이루어지는 대운/세운에서 자연스러운 충전. 인연 통한 변화."
GM_충해소,충해소,gongmang_resolution,해소방법,충,격렬한해소,"공망 충 해소: 공망 지지가 충(沖)받으면 비어있던 에너지 격렬히 깨어남. 합보다 극적이고 갑작스러움.","갑작스러운 직업 변동. 위기 상황이 전환점. 급변 환경에서 빛남.","관계도 극적 변화. 위기가 깊은 유대로 또는 이별로. 중간 없음.","건강 문제 갑자기 표면화. 위기이지만 발견 계기. 근본 치료 시작.","충격 통한 각성. 파괴 후 재건 원리. 위기가 성장 촉매.","갑작스러운 변화에 유연하게. 충격적 사건이 터닝포인트.","Destroyer/Hero","탑(파괴)/심판(부활)","위기를 기회로 바꾼 사람들에 많음. 파산 후 재기 등.","충이 일어나는 대운/세운에서 격렬한 충전. 인생 대역전 가능."
