id,label,type,category,description,psychological_meaning,saju_connection,advice
DE_공포,공포의꿈,dream_emotion,부정,"꿈에서 극심한 공포를 느끼는 경험. 악몽의 핵심 감정으로 현실의 억압된 두려움이 표출된다.","그림자(Shadow)와의 대면. 인정하지 않으려는 자신의 어두운 면이 의식으로 침입하려는 시도. 성장을 위한 필수 과정.","편관(칠살)이 강한 사주에서 자주 경험. 관살혼잡 시기에 악몽 빈도 증가. 공망 충전 시기에도 공포꿈 가능.","공포를 피하지 말고 직면하세요. 꿈 속 두려움의 정체를 파악하면 현실의 문제도 풀립니다."
DE_분노,분노의꿈,dream_emotion,부정,"꿈에서 강렬한 분노를 느끼거나 누군가에게 화를 내는 경험. 억압된 공격성의 표출.","그림자의 공격적 측면이 표현을 요구하는 것. 현실에서 표현하지 못한 분노가 꿈에서 방출된다.","양인살이나 편관이 강한 사주에서 빈번. 상관견관 시기에 분노꿈 증가. 화(火) 과다 시기에 빈번.","분노의 근원을 찾으세요. 건전한 방법으로 감정을 표현하는 연습이 필요합니다."
DE_슬픔,슬픔의꿈,dream_emotion,부정,"꿈에서 깊은 슬픔이나 상실감을 느끼는 경험. 울면서 깨는 꿈은 감정 정화의 과정.","상실한 대상(사람/꿈/이상)에 대한 애도 과정. 놓아보내기가 필요한 것에 대한 무의식의 메시지.","인성이 약하거나 상관이 강한 사주에서 경험. 공망 관련 시기에 빈번. 수(水) 기운 과다 시.","울음은 치유입니다. 감정을 충분히 느끼고 나면 새로운 에너지가 들어옵니다."
DE_기쁨,기쁨의꿈,dream_emotion,긍정,"꿈에서 강렬한 기쁨과 행복을 느끼는 경험. 깨어나도 기분이 좋은 길몽.","자기(Self)와의 일치. 현재 삶의 방향이 올바르다는 무의식의 확인. 내면의 조화가 이루어진 상태.","식신격이나 정관격의 좋은 시기에 경험. 용신 대운에서 기쁨의 꿈이 증가. 삼합/육합 시기.","좋은 에너지를 현실에서도 유지하세요. 감사한 마음이 더 많은 기쁨을 불러옵니다."
DE_불안,불안의꿈,dream_emotion,부정,"꿈에서 막연한 불안감을 느끼는 경험. 구체적 대상 없이 초조하고 긴장된 상태.","미래에 대한 불확실성. 통제할 수 없는 상황에 대한 심리적 반응. 현재의 변화 시기를 반영.","편인이 강하거나 공망 시기에 빈번. 역마살 발동 시기에 불안꿈 증가. 대운 교체기에 자주 경험.","불안은 변화의 신호입니다. 무엇이 불안한지 구체화하면 대처할 수 있습니다."
DE_평화,평화의꿈,dream_emotion,긍정,"꿈에서 깊은 평화와 고요함을 느끼는 경험. 명상 중 같은 안정감. 때로 빛을 보기도.","개성화(individuation) 과정의 성취. 자아와 자기(Self)가 조화를 이룬 상태. 영적 성장의 이정표.","정인격의 좋은 시기. 천을귀인 활성화 시기. 공망이 합으로 해소된 시기에 평화로운 꿈 경험.","이 고요함을 기억하세요. 현실이 혼란스러울 때 꿈의 평화를 떠올리면 중심을 찾을 수 있습니다."
DE_향수,향수의꿈,dream_emotion,중립,"꿈에서 과거에 대한 그리움이나 향수를 느끼는 경험. 어린 시절 장소나 사람이 등장.","내면의 아이(Inner Child)와의 재회. 과거에 채워지지 않은 욕구가 치유를 요청하는 것.","정인/편인이 활성화되는 시기. 년주 관련 대운에서 향수꿈 증가. 고향의 지지(地支)가 오는 세운.","과거를 그리워하되 집착하지 마세요. 내면의 아이를 위로하면 현재가 더 풍요로워집니다."
DE_경이,경이의꿈,dream_emotion,긍정,"꿈에서 경이로움과 신비감을 느끼는 경험. 우주/자연/영적 존재를 만나는 장엄한 꿈.","누미노제(Numinose) 경험. 자기(Self) 원형과의 직접적 만남. 종교적 체험에 가까운 초월적 경험.","편인격이나 영적 감수성이 강한 사주에서 경험. 공망의 영적 차원이 활성화될 때. 천을귀인/천덕귀인 시기.","이 경험을 소중히 간직하세요. 삶의 방향을 재정립하는 중요한 전환점이 될 수 있습니다."
DE_수치심,수치심의꿈,dream_emotion,부정,"꿈에서 강렬한 수치심을 느끼는 경험. 벌거벗은 채로 사람들 앞에 서거나 창피를 당하는 꿈.","페르소나(가면)가 벗겨지는 것에 대한 두려움. 진짜 자신이 드러나면 거부당할 것이라는 무의식적 믿음.","정관격이나 체면을 중시하는 사주에서 경험. 망신살이 발동하는 시기에 빈번. 사회적 역할 변화 시기.","진짜 당신을 보여주는 것을 두려워하지 마세요. 완벽하지 않아도 사랑받을 수 있습니다."
DE_죄책감,죄책감의꿈,dream_emotion,부정,"꿈에서 죄책감이나 양심의 가책을 느끼는 경험. 잘못을 저지르거나 숨기고 있는 꿈.","초자아(Super-ego)의 활동. 자신의 행동이나 생각에 대한 내면의 심판. 도덕적 갈등의 표현.","정관이 강한 사주나 양심적 성향에서 경험. 정관 관련 운에서 빈번. 자형(自刑)이 있는 경우.","자신을 용서하세요. 완벽한 사람은 없으며 실수에서 배우면 충분합니다."
DE_외로움,외로움의꿈,dream_emotion,부정,"꿈에서 깊은 외로움을 느끼는 경험. 혼자 남겨지거나 아무도 없는 공간에 있는 꿈.","고신살적 에너지. 근본적인 존재론적 고독. 타인과의 진정한 연결에 대한 갈망.","고신살/과숙살이 있는 사주에서 경험. 공망 시기에 빈번. 대인관계가 막히는 운에서 자주 나타남.","외로움은 자신과 만나는 시간입니다. 진정한 연결은 먼저 자신을 받아들일 때 가능합니다."
DE_질투,질투의꿈,dream_emotion,부정,"꿈에서 질투심을 느끼는 경험. 파트너가 다른 사람과 함께 있거나 무언가를 빼앗기는 꿈.","그림자의 욕망 측면. 자신에게 부족하다고 느끼는 것에 대한 보상 욕구. 불안정한 자존감.","편재/겁재가 있는 사주에서 경험. 도화살/홍염살 관련 운에서 빈번. 재성 충돌 시기.","질투는 자신이 진정 원하는 것을 알려줍니다. 부러운 것을 직접 추구해보세요."
