id,label,type,element,description
STR_극신강,극신강,strength,,"일간의 힘이 매우 강한 상태. 비겁과 인성이 압도적으로 많아 설기가 필요함."
STR_신강,신강,strength,,"일간의 힘이 강한 상태. 월지의 도움이 있고 비겁/인성이 충분함."
STR_중화,중화,strength,,"일간의 힘이 균형 잡힌 상태. 신강도 신약도 아닌 조화로운 상태."
STR_신약,신약,strength,,"일간의 힘이 약한 상태. 관성/재성/식상의 설기가 많아 생조가 필요함."
STR_극신약,극신약,strength,,"일간의 힘이 매우 약한 상태. 인성이나 비겁의 도움이 절실함."
GK_정관격,정관격,geokguk,,"월지 정기가 정관인 격국. 명예와 질서, 안정적인 사회적 역할을 추구함."
GK_편관격,편관격,geokguk,,"월지 정기가 편관인 격국. 도전과 위기 속 리더십, 강한 의지와 사명감."
GK_정재격,정재격,geokguk,,"월지 정기가 정재인 격국. 안정된 재물과 현실성, 책임감 중심의 삶."
GK_편재격,편재격,geokguk,,"월지 정기가 편재인 격국. 도전적 현실 대응, 외부 자원 활용과 성취욕."
GK_정인격,정인격,geokguk,,"월지 정기가 정인인 격국. 지혜와 학문, 보호 본능과 안정의 에너지."
GK_편인격,편인격,geokguk,,"월지 정기가 편인인 격국. 창의적 사고와 직관, 예술성과 풍부한 상상력."
GK_식신격,식신격,geokguk,,"월지 정기가 식신인 격국. 생산과 창조의 에너지, 표현력과 성과 중심."
GK_상관격,상관격,geokguk,,"월지 정기가 상관인 격국. 자기 표현과 주장, 재치와 창의성이 강함."
GK_건록격,건록격,geokguk,,"월지가 일간의 건록지인 격국. 자수성가형으로 독립심과 자존감이 강함."
GK_양인격,양인격,geokguk,,"월지가 일간의 양인지인 격국. 결단력과 추진력이 강하나 극단적 성향 주의."
GK_종왕격,종왕격,geokguk,,"비겁이 태과하여 일간을 따르는 격국. 자기 힘으로 밀고 나가는 성향."
GK_종강격,종강격,geokguk,,"인성이 태과하여 일간을 따르는 격국. 학문과 지식 추구, 내면 탐구형."
GK_종아격,종아격,geokguk,,"식상이 태과하여 일간을 따르는 격국. 창작과 표현, 예술적 재능 발휘."
GK_종재격,종재격,geokguk,,"재성이 태과하여 일간을 따르는 격국. 재물과 현실적 성취 추구형."
GK_종살격,종살격,geokguk,,"관성이 태과하여 일간을 따르는 격국. 권력과 사회적 성취 지향형."
GK_화기격,화기격,geokguk,,"천간합이 화(化)하여 새로운 오행이 되는 격국. 변화와 적응의 운명."
GK_잡격,잡격,geokguk,,"명확한 격국이 성립되지 않는 상태. 복합적인 성향과 다양한 가능성."
YS_용신,용신,yongsin,,"사주에서 가장 필요한 오행. 일간의 균형을 맞추는 핵심 요소."
YS_희신,희신,yongsin,,"용신을 돕는 오행. 용신과 함께 좋은 작용을 함."
YS_기신,기신,yongsin,,"사주에서 해로운 오행. 일간의 균형을 깨뜨리는 요소."
YS_한신,한신,yongsin,,"특별히 좋지도 나쁘지도 않은 오행. 중립적인 영향."
YS_구신,구신,yongsin,,"용신을 극하는 오행. 용신의 작용을 방해하는 요소."
