id,label,type,shinsal_name,category,korean_name,formation,positive_effect,negative_effect,life_area,remedies,description
SS_역마,역마살,saju_shinsal,역마살,mobility,역마살,인신사해에서형성,활동적/이동운/해외인연/변화추구,불안정/정착못함/과도한이동,직업이동거주,한곳에서뿌리내리는연습/안정추구,"역마살은 이동과 변화의 에너지. 여행, 이민, 직업 변동이 잦으나 활동적이고 넓은 세계를 경험."
SS_도화,도화살,saju_shinsal,도화살,relationship,도화살,자오묘유에서형성,매력/예술성/인기/연애운,바람기/유혹/스캔들/감정과다,연애매력예술,진정한관계에집중/예술로승화,도화살은 매력과 끌림의 에너지. 이성에게 인기 있고 예술적 재능이 있으나 유혹에 주의.
SS_화개,화개살,saju_shinsal,화개살,spirituality,화개살,진술축미에서형성,영성/예술/학문/종교적깊이,고독/세속과분리/현실부적응,영성예술학문,현실과영성의균형/예술활동,"화개살은 영적 탐구의 에너지. 종교, 철학, 예술에 재능이 있으나 세속적 성공과 거리가 있을 수 있음."
SS_천을귀인,천을귀인,saju_shinsal,천을귀인,blessing,천을귀인,일간에따라결정,귀인의도움/위기탈출/행운,귀인의존/자립심부족,전체운귀인,귀인에감사하되자립심키우기,천을귀인은 하늘이 내린 귀한 사람의 도움. 위기 때 도움이 오고 행운이 따르는 길한 신살.
SS_천덕귀인,천덕귀인,saju_shinsal,천덕귀인,blessing,천덕귀인,월지에따라결정,덕을베풂/재난회피/인덕,과도한선행/자기희생,인덕재난회피,균형잡힌베풂/자기돌봄병행,천덕귀인은 덕을 베푸는 하늘의 은혜. 재난을 피하고 덕을 쌓으면 복이 돌아옴.
SS_월덕귀인,월덕귀인,saju_shinsal,월덕귀인,blessing,월덕귀인,월지에따라결정,관재회피/질병회복/안전,과신/방심,건강안전,귀인이있어도건강관리/안전주의,월덕귀인은 달의 덕. 관재구설을 피하고 질병에서 빨리 회복하는 보호의 신살.
SS_문창귀인,문창귀인,saju_shinsal,문창귀인,talent,문창귀인,일간에따라결정,학문/시험/문서운/글재주,과도한이론/실천부족,학업시험문서,이론과실천의균형/꾸준한공부,문창귀인은 학문의 별. 공부를 잘하고 시험운이 좋으며 글 쓰는 재주가 있음.
SS_학당귀인,학당귀인,saju_shinsal,학당귀인,talent,학당귀인,일간에따라결정,교육/가르침/학습능력/교직,지식만추구/실천부족,교육학습,배운것을나누기/가르치는역할,학당귀인은 배움의 전당. 교육에 인연이 있고 배우고 가르치는 것에 재능.
SS_양인,양인살,saju_shinsal,양인살,power,양인살,일간의왕지에서형성,결단력/용기/추진력/강한에너지,과격함/사고/수술/폭력성,건강권력,에너지조절/무술운동으로해소,양인살은 칼날의 에너지. 결단력과 추진력이 있으나 날카로움으로 상처를 입거나 입힐 수 있음.
SS_겁살,겁살,saju_shinsal,겁살,danger,겁살,년지삼합의절지,재물손실/도난/사기/강도,과도한경계심/의심,재물안전,재물관리철저/보안주의,겁살은 겁탈의 위험. 재물 손실이나 도난에 주의해야 하며 사기를 조심해야 함.
SS_망신살,망신살,saju_shinsal,망신살,reputation,망신살,년지삼합의묘지,망신/추문/명예실추/창피,과도한체면의식/비밀과다,명예체면,정직하게살기/비밀최소화,망신살은 명예의 손상. 추문이나 망신을 당할 수 있으니 언행을 조심하고 정직하게 살아야 함.
SS_백호살,백호살,saju_shinsal,백호살,danger,백호살,일지에따라결정,용맹함/돌파력/위기대처능력,사고/수술/유혈/폭력,건강안전,안전주의/위험한행동자제,백호살은 흰 호랑이의 에너지. 용맹하나 유혈 사고나 수술을 경험할 수 있으니 안전에 주의.
