id,source,target,relation,category,harmony_score,description_ko,insight_template
NUM_SAJU_001,life_path_1,saju_ilgan_gap,천간매핑,life_path_ilgan,0.94,"생명수 1은 갑목(甲木)의 에너지와 깊이 공명합니다. 1이 상징하는 개척자적 리더십과 독립심은 갑목이 지닌 곧게 뻗어 올라가는 큰 나무의 기상과 정확히 일치합니다. 둘 다 선구자적 에너지를 지니며, 새로운 길을 개척하고 주변을 이끄는 원초적 힘을 공유합니다. 갑목의 인(仁)의 덕성은 1의 창조적 독립성과 결합하여 정의로운 리더십으로 발현됩니다.","{name}님의 생명수 1은 사주 일간 갑목(甲木)의 개척자적 기상과 공명합니다. 곧게 뻗어 올라가는 큰 나무처럼 자신만의 길을 개척하는 리더십이 핵심 자질입니다."
NUM_SAJU_002,life_path_1,saju_ilgan_byeong,천간매핑,life_path_ilgan,0.91,"생명수 1은 병화(丙火)와도 강하게 연결됩니다. 1의 빛나는 존재감과 자기 확신은 병화의 태양과 같은 밝고 뜨거운 에너지와 공명합니다. 세상을 환히 비추며 모든 생명에 활력을 주는 태양처럼, 1과 병화는 중심에서 빛나며 주위를 밝히는 카리스마를 공유합니다. 두 에너지 모두 숨기거나 억누를 수 없는 본능적 광채를 지닙니다.","{name}님의 생명수 1은 사주 일간 병화(丙火)의 태양 에너지와도 연결됩니다. 세상의 중심에서 빛나며 주변에 활력을 전파하는 것이 천부적 사명입니다."
NUM_SAJU_003,life_path_2,saju_ilgan_eul,천간매핑,life_path_ilgan,0.95,"생명수 2는 을목(乙木)의 유연한 에너지와 완벽히 공명합니다. 2가 상징하는 협력과 조화, 섬세한 감수성은 을목의 덩굴이나 꽃처럼 부드럽게 감아 올라가는 적응력과 일치합니다. 관계를 통해 성장하며, 강한 바람에도 부러지지 않는 유연한 강인함을 공유합니다. 을목의 외유내강(外柔內剛)은 2의 중재자적 지혜와 하나로 연결됩니다.","{name}님의 생명수 2는 사주 일간 을목(乙木)의 유연한 조화 에너지와 공명합니다. 관계 속에서 부드러움으로 강함을 이루는 것이 삶의 지혜입니다."
NUM_SAJU_004,life_path_2,saju_ilgan_gye,천간매핑,life_path_ilgan,0.92,"생명수 2는 계수(癸水)와도 깊이 연결됩니다. 2의 직관적 감수성과 정서적 깊이는 계수의 이슬과 안개 같은 미세하고 스며드는 물의 에너지와 공명합니다. 겉으로 드러나지 않지만 만물에 스며들어 생명을 키우는 계수처럼, 2의 사람은 조용한 영향력으로 관계를 풍요롭게 합니다. 달의 지배를 받는 조수와 같은 감정의 리듬을 지닙니다.","{name}님의 생명수 2는 사주 일간 계수(癸水)의 스며드는 지혜와 연결됩니다. 눈에 보이지 않는 곳에서 만물을 키우는 이슬 같은 영향력이 당신의 힘입니다."
NUM_SAJU_005,life_path_3,saju_ilgan_byeong,천간매핑,life_path_ilgan,0.93,"생명수 3은 병화(丙火)의 밝고 확장적인 에너지와 공명합니다. 3이 상징하는 창의적 자기표현과 낙관주의는 병화의 태양처럼 세상을 환히 비추는 에너지와 일치합니다. 예술적 재능과 사교성, 기쁨의 전파력이 병화의 열정적 생명력과 하나가 됩니다. 두 에너지 모두 억압할 수 없는 밝은 표현의 욕구를 지닙니다.","{name}님의 생명수 3은 사주 일간 병화(丙火)의 밝은 창조 에너지와 공명합니다. 예술적 표현과 기쁨의 전파가 당신의 천부적 재능입니다."
NUM_SAJU_006,life_path_3,saju_ilgan_gap,천간매핑,life_path_ilgan,0.88,"생명수 3은 갑목(甲木)과도 연결됩니다. 3의 성장 지향적 에너지와 풍부한 표현력은 갑목의 위를 향해 뻗어가는 대목(大木)의 기상과 공명합니다. 목성의 확장 에너지를 공유하며, 끊임없이 새로운 가지를 뻗어 더 큰 세계로 나아가려는 본능을 지닙니다. 갑목의 인(仁)은 3의 따뜻한 사교성으로 발현됩니다.","{name}님의 생명수 3은 사주 일간 갑목(甲木)의 성장 에너지와도 연결됩니다. 끊임없이 가지를 뻗어 세상과 연결하려는 확장의 본능이 당신 안에 있습니다."
NUM_SAJU_007,life_path_4,saju_ilgan_mu,천간매핑,life_path_ilgan,0.96,"생명수 4는 무토(戊土)의 견고한 에너지와 깊이 공명합니다. 4가 상징하는 안정과 체계, 실용적 기반 구축은 무토의 큰 산과 같은 묵직하고 신뢰할 수 있는 에너지와 정확히 일치합니다. 둘 다 흔들림 없는 토대를 세우는 건축가의 에너지를 지니며, 인내와 꾸준함으로 현실 세계에서 견고한 구조를 만들어냅니다.","{name}님의 생명수 4는 사주 일간 무토(戊土)의 산과 같은 안정감과 공명합니다. 흔들림 없는 기반 위에 견고한 체계를 세우는 것이 당신의 사명입니다."
NUM_SAJU_008,life_path_4,saju_ilgan_gi,천간매핑,life_path_ilgan,0.89,"생명수 4는 기토(己土)와도 연결됩니다. 4의 체계적 구축력과 세밀한 관리 능력은 기토의 비옥한 논밭처럼 만물을 키워내는 생산적 에너지와 공명합니다. 기토가 씨앗을 품고 곡식을 키우듯, 4의 사람은 실질적 결과물을 꾸준히 만들어내는 생산자입니다. 땅의 덕(德)으로 모든 것을 수용하고 변환합니다.","{name}님의 생명수 4는 사주 일간 기토(己土)의 비옥한 생산 에너지와도 연결됩니다. 꾸준한 노력으로 실질적 결실을 맺는 것이 삶의 보람입니다."
NUM_SAJU_009,life_path_5,saju_ilgan_gyeong,천간매핑,life_path_ilgan,0.90,"생명수 5는 경금(庚金)의 날카롭고 결단력 있는 에너지와 공명합니다. 5가 상징하는 변화와 자유, 모험 정신은 경금의 무쇠칼처럼 과감하게 끊어내고 새로운 길을 개척하는 에너지와 일치합니다. 오행의 중심수 5가 변화의 축이듯, 경금의 의(義)의 결단력은 5의 적응력과 결합하여 전환의 힘으로 작용합니다.","{name}님의 생명수 5는 사주 일간 경금(庚金)의 결단력 있는 변혁 에너지와 공명합니다. 과감한 변화와 새로운 경험을 통해 성장하는 것이 당신의 길입니다."
NUM_SAJU_010,life_path_5,saju_ilgan_im,천간매핑,life_path_ilgan,0.91,"생명수 5는 임수(壬水)와도 강하게 연결됩니다. 5의 자유로운 탐험 정신과 다재다능한 적응력은 임수의 큰 강과 바다처럼 어디든 흘러가며 모든 것을 수용하는 에너지와 공명합니다. 고정되지 않고 끊임없이 흐르며 변화하는 물의 본성이 5의 변화 추구 에너지와 완벽히 일치합니다.","{name}님의 생명수 5는 사주 일간 임수(壬水)의 자유로운 흐름과 연결됩니다. 강물이 바다를 향해 거침없이 흐르듯, 끊임없는 변화 속에서 자유를 찾는 것이 본성입니다."
