"id","label","type","element","yin_yang","season","direction","organ","emotion","color","taste","personality","career","relationship","health_advice","description"
"OH_목양","갑목","ohaeng_detail","木","양","봄","동","간","분노","청","신맛","큰 나무처럼 곧고 우뚝함. 정의롭고 진취적. 리더십이 있으나 고집스러울 수 있음. 성장과 발전을 추구.","정치인, CEO, 교육자, 건축가, 변호사. 새로운 것을 개척하고 이끄는 직업.","직선적이고 솔직한 연애. 보호하려는 성향. 파트너를 이끌려 함.","간담 건강 주의. 눈 피로 관리. 봄에 활동량 늘리고 지나친 분노 조절.","갑목 오행 해석: 큰 나무처럼 곧고 우뚝함"
"OH_목음","을목","ohaeng_detail","木","음","봄","동","간담","분노","청","신맛","풀이나 덩굴처럼 유연하고 적응력 있음. 부드럽지만 끈기 있음. 환경에 맞춰 성장하는 지혜.","디자이너, 상담사, 비서, 외교관. 유연하게 적응하며 지원하는 역할.","부드럽고 배려 깊은 연애. 파트너에게 맞추려 하나 자기주장 필요.","간담 건강, 신경계 관리. 스트레스가 몸에 바로 영향. 유연한 운동 추천.","을목 오행 해석: 풀이나 덩굴처럼 유연하고 적응력 있음"
"OH_화양","병화","ohaeng_detail","火","양","여름","남","심장","기쁨","적","쓴맛","태양처럼 밝고 따뜻함. 카리스마 있고 주목받기를 좋아함. 열정적이나 자기중심적일 수 있음.","연예인, 방송인, 정치인, 교육자. 빛나고 주목받는 직업. 무대형 인간.","열정적이고 드라마틱한 연애. 사랑을 표현하는 데 거침없음. 주도권 장악.","심장/혈압 관리. 더위에 약함. 과도한 흥분 주의. 마음의 평화 유지가 건강 핵심.","병화 오행 해석: 태양처럼 밝고 따뜻함"
"OH_화음","정화","ohaeng_detail","火","음","여름","남","소장","기쁨","적","쓴맛","촛불처럼 은은하고 따뜻함. 섬세하고 예술적. 내면의 불꽃이 있으나 겉으로 드러내지 않음.","예술가, 작가, 상담사, 교사. 조용히 빛을 비추는 직업. 세밀한 작업.","깊고 섬세한 연애. 감정 교류를 중시. 겉으로 드러내지 않으나 깊이 사랑함.","심장/소장 건강. 불면증 주의. 마음의 평화가 건강의 핵심. 명상 추천.","정화 오행 해석: 촛불처럼 은은하고 따뜻함"
"OH_토양","무토","ohaeng_detail","土","양","환절기","중앙","비위","걱정","황","단맛","큰 산처럼 듬직하고 안정적. 신뢰감을 주며 변하지 않는 중심. 포용력 있으나 고집스러움.","부동산, 금융, 농업, 관리직. 안정적이고 신뢰가 필요한 직업. 든든한 버팀목.","안정적이고 듬직한 연애. 변하지 않는 사랑. 물질적 안정을 제공하려 노력.","비위/소화기 관리. 습기와 단맛 과다 주의. 걱정이 소화에 영향. 규칙적 식사.","무토 오행 해석: 큰 산처럼 듬직하고 안정적"
"OH_토음","기토","ohaeng_detail","土","음","환절기","중앙","비위","걱정","황","단맛","비옥한 들판처럼 포용력 있음. 부드럽고 겸손하며 만물을 품는 마음. 실용적이고 현실적.","서비스업, 교육, 복지, 요식업. 사람을 돌보고 먹이는 직업. 포근한 역할.","따뜻하고 포용적인 연애. 상대를 편안하게 함. 헌신적이나 의존 주의.","비위/소화기, 피부 관리. 습도 조절 중요. 과식/과당 주의. 땅 밟기 운동.","기토 오행 해석: 비옥한 들판처럼 포용력 있음"
"OH_금양","경금","ohaeng_detail","金","양","가을","서","폐","슬픔","백","매운맛","단단한 철처럼 강하고 날카로움. 결단력 있고 원칙주의. 정의롭지만 냉정해 보일 수 있음.","군인, 경찰, 외과의사, 법조인, CEO. 결단력과 실행력이 필요한 직업.","직선적이고 단호한 연애. 한번 마음 주면 변하지 않음. 표현이 서투름.","폐/대장/피부 관리. 건조함 주의. 슬픔을 억누르면 폐에 영향. 호흡 운동.","경금 오행 해석: 단단한 철처럼 강하고 날카로움"
"OH_금음","신금","ohaeng_detail","金","음","가을","서","폐대장","슬픔","백","매운맛","보석처럼 섬세하고 아름다움. 예민하고 완벽주의. 세련되고 품위 있으나 예민함.","보석/패션, 예술, 금융, 법률. 정밀하고 세련된 것을 다루는 직업.","세련되고 까다로운 연애. 이상이 높음. 감정을 쉽게 드러내지 않음.","폐/피부/점막 관리. 알레르기 주의. 건조한 환경 피함. 보습 관리 철저.","신금 오행 해석: 보석처럼 섬세하고 아름다움"
"OH_수양","임수","ohaeng_detail","水","양","겨울","북","신장","두려움","흑","짠맛","큰 강이나 바다처럼 넓고 깊음. 지혜롭고 포용력 있음. 방향이 정해지면 막힘없이 흐름.","학자, 무역, 해운, 철학. 넓고 깊은 지식이 필요한 직업. 국제적 스케일.","넓고 깊은 연애. 포용력 있으나 방향이 없으면 산만해짐. 깊은 교류 추구.","신장/비뇨기/생식기 관리. 추위와 과로 주의. 소금 과다 섭취 주의. 수분 균형.","임수 오행 해석: 큰 강이나 바다처럼 넓고 깊음"
"OH_수음","계수","ohaeng_detail","水","음","겨울","북","방광","두려움","흑","짠맛","이슬이나 빗물처럼 섬세하고 적응력 있음. 직관적이고 영적 감수성이 높음. 조용한 지혜.","상담, 심리학, 예술, 종교. 섬세한 감수성이 필요한 직업. 영적 분야.","섬세하고 직관적인 연애. 상대의 미묘한 감정을 읽음. 예민하여 상처받기 쉬움.","신장/방광 건강. 냉기 주의. 겨울 보양 중요. 감정 억압이 비뇨기에 영향.","계수 오행 해석: 이슬이나 빗물처럼 섬세하고 적응력 있음"
