id,label,type,category,korean_name,general_meaning,psychological_meaning,saju_correlation,astro_correlation,description
DA_flying,날기,dream_action,movement,하늘을날다,자유/해방/성취/초월,억압에서벗어나려는욕구/자아초월의열망,식신운-자유로운표현기,목성트랜짓-확장기,꿈에서 나는 것은 현실의 제약에서 벗어나고 싶은 욕구. 높이 날수록 큰 성취와 자유를 상징. 추락하면 불안감.
DA_falling,떨어지기,dream_action,movement,추락하다,불안/통제력상실/두려움,자존감하락/상황통제불능감,관살운-통제력약화기,토성스퀘어-시련기,추락하는 꿈은 현실에서 통제력을 잃고 있다는 무의식의 신호. 직장/관계에서의 불안정을 반영.
DA_running,달리기,dream_action,movement,뛰다,도피/추구/긴박함,문제회피욕구/목표를향한열망,역마운-이동변화기,화성트랜짓-행동기,"뛰는 꿈은 무언가에서 도망치거나 무언가를 쫓는 것. 쫓기면 회피, 쫓으면 목표 추구를 의미."
DA_swimming,수영,dream_action,movement,헤엄치다,감정탐색/무의식여행/적응,감정의바다를항해/내면탐구,수기운-감정처리기,해왕성영향-직관기,"물에서 헤엄치는 꿈은 감정의 세계를 탐험하는 것. 물이 맑으면 긍정적, 탁하면 감정 정화 필요."
DA_climbing,오르기,dream_action,movement,올라가다,상승/성취/도전/야망,목표를향한노력/자기계발욕구,정관운-승진상승기,토성트라인-성취기,"산이나 계단을 오르는 꿈은 목표를 향한 노력. 정상에 도달하면 성공, 힘들면 현재 도전 중."
DA_chasing,쫓기기,dream_action,conflict,쫓기다,두려움/회피/압박감,직면하지않은문제/억압된감정,칠살운-압박시련기,명왕성스퀘어-변환압력,무언가에 쫓기는 꿈은 피하고 싶은 문제나 감정이 있다는 신호. 쫓는 존재가 문제의 성격을 암시.
DA_fighting,싸우기,dream_action,conflict,싸우다,갈등/저항/자기방어,내면갈등/억압된분노표출,상관견관-갈등대립기,화성스퀘어-충돌기,"싸우는 꿈은 현실의 갈등이나 내면의 투쟁을 반영. 이기면 문제 해결, 지면 무력감."
DA_hiding,숨기,dream_action,conflict,숨다,회피/두려움/보호본능,직면하기싫은것/자기보호욕구,공망운-숨김은폐기,12하우스트랜짓-은둔기,숨는 꿈은 현실에서 피하고 싶은 것이 있다는 의미. 발견되면 비밀이 드러날 두려움.
DA_searching,찾기,dream_action,quest,찾다,탐구/결핍/욕구,잃어버린자아의일부를찾음,편인운-탐구추구기,수성트랜짓-탐색기,"무언가를 찾는 꿈은 현실에서 부족하다고 느끼는 것을 상징. 찾으면 발견, 못 찾으면 아직 여정 중."
DA_losing,잃어버리기,dream_action,quest,잃다,상실/불안/정체성혼란,중요한것을잃을까봐두려움,재성파-손실우려기,해왕성스퀘어-혼란기,물건을 잃어버리는 꿈은 정체성이나 중요한 것을 잃을까 봐 두려운 마음. 잃은 물건이 상징하는 것에 주목.
DA_eating,먹기,dream_action,nourishment,먹다,충족/욕구/흡수,지식/경험/에너지를흡수,식신운-섭취충족기,달트랜짓-자양기,"먹는 꿈은 무언가를 흡수하고 싶은 욕구. 맛있으면 만족, 역겹거나 못 먹으면 거부감이나 부족."
DA_drinking,마시기,dream_action,nourishment,마시다,감정흡수/갈증해소/지식습득,감정적자양분필요/영적갈증,수기운-흡수보충기,달물고기-감정충족,"물이나 음료를 마시는 꿈은 감정적/영적 갈증. 맑은 물은 정화, 탁한 물은 부정적 감정 흡수 주의."
DA_speaking,말하기,dream_action,communication,말하다,표현/소통/전달욕구,자기표현욕구/말하지못한것,상관운-표현발산기,수성트랜짓-소통기,말하는 꿈에서 목소리가 안 나오면 현실에서 표현하지 못하는 것이 있음. 잘 말하면 소통 욕구 충족.
DA_crying,울기,dream_action,emotion,울다,감정해방/슬픔/정화,억눌린감정의방출/카타르시스,상관운-감정분출기,달트랜짓-감정해방,"우는 꿈은 억눌린 감정의 정화. 깨어나 후련하면 카타르시스, 슬프면 아직 처리 안 된 감정."
DA_laughing,웃기,dream_action,emotion,웃다,기쁨/해방/긍정,긴장해소/내면의기쁨,식신운-표현발산기,목성트랜짓-확장기,웃는 꿈은 내면의 기쁨이나 긴장 해소. 맥락 없이 웃으면 현실 스트레스에서 도피 욕구.
DA_dying,죽기,dream_action,transformation,죽다,변화/끝/새시작/변환,옛자아의죽음/근본적변화,대운교체기-전환점,명왕성트랜짓-변환,죽는 꿈은 끝이 아니라 변화. 옛 자아나 상황이 끝나고 새로운 시작을 암시하는 긍정적 신호.
DA_killing,죽이기,dream_action,transformation,죽이다,변화추구/억압된분노/끝내기,없애고싶은자신의일부,편관운-강제변화기,화성명왕합-격변,누군가를 죽이는 꿈은 그 사람이 상징하는 것을 끝내고 싶은 욕구. 자신의 싫은 면을 없애려는 것일 수도.
DA_birth,출산,dream_action,creation,낳다,새시작/창조/프로젝트탄생,새로운자아/아이디어의탄생,식신운-창조생산기,목성트라인-확장기,"출산 꿈은 새로운 시작. 프로젝트, 아이디어, 관계의 탄생을 상징. 남자가 꾸어도 창조의 의미."
DA_driving,운전,dream_action,control,운전하다,삶의방향/통제력/주도권,인생을스스로운전하는느낌,비겁운-자기주도기,태양트랜짓-자아주도,"운전하는 꿈은 삶의 통제력. 잘 운전하면 순조로움, 브레이크 안 들으면 통제력 상실, 뒷좌석이면 타인 의존."
DA_washing,씻기,dream_action,purification,씻다,정화/죄책감해소/새출발,과거청산/정화욕구,인성운-정화재충전기,해왕성트라인-정화기,씻는 꿈은 정화의 욕구. 더러움을 씻어내면 죄책감이나 과거에서 벗어나고 싶은 마음.
DA_dressing,옷입기,dream_action,identity,옷입다,정체성/사회적역할/페르소나,외부에보이고싶은자아,정관운-사회적역할기,토성트랜짓-구조화,"옷을 입는 꿈은 사회적 정체성. 맞는 옷은 역할 적합, 안 맞거나 벗겨지면 정체성 혼란이나 노출 두려움."
DA_naked,벗은상태,dream_action,identity,알몸이다,취약함/노출/진정한자아,비밀노출두려움/진실된자아드러남,공망운-노출취약기,해왕성스퀘어-경계해체,알몸인 꿈은 취약함이나 비밀 노출의 두려움. 또는 가면을 벗고 진정한 자아를 드러내고 싶은 욕구.
DA_studying,공부,dream_action,learning,공부하다,준비/불안/성장욕구,시험에대한불안/자기계발욕구,인성운-학습기,수성트랜짓-지식기,"시험 공부하는 꿈은 현실의 평가에 대한 불안이나 준비 부족감. 잘하면 자신감, 못하면 불안."
DA_test,시험,dream_action,evaluation,시험보다,평가/증명/불안,자기증명욕구/실패에대한두려움,정관운-평가시험기,토성스퀘어-시험기,시험 보는 꿈은 현실에서 평가받는 상황에 대한 불안. 반복되면 자기 검증에 대한 깊은 불안.
DA_presenting,발표,dream_action,expression,발표하다,자기표현/인정욕구/노출,타인앞에서자신을드러냄,상관운-표현발산기,태양트랜짓-자기표현,"발표하는 꿈은 자기 표현 욕구. 잘하면 자신감, 말이 안 나오면 표현의 두려움이나 준비 부족."
DA_meeting,만남,dream_action,connection,만나다,연결/재회/통합,자아의다른면과만남,비겁운-인연만남기,금성트랜짓-관계기,"누군가를 만나는 꿈. 그 사람이 자신의 투영인지, 실제 그리움인지 구분. 죽은 사람이면 해결 안 된 감정."
DA_parting,이별,dream_action,separation,헤어지다,분리/변화/성장통,관계의변화/독립욕구,충형파-분리변화기,토성스퀘어-분리기,이별 꿈은 관계 변화나 독립의 신호. 실제 이별 예고가 아니라 관계 패턴의 변화를 암시할 수도.
DA_wedding,결혼,dream_action,union,결혼하다,결합/통합/새로운시작,자아의통합/새로운관계시작,정재정관합-결합기,금성목성합-결합기,결혼 꿈은 내면의 남성성/여성성 통합이나 새로운 파트너십의 시작. 실제 결혼 욕구일 수도.
DA_pregnancy,임신,dream_action,creation,임신하다,창조/잠재력/새프로젝트,새로운것이자라고있음,식신운-창조잉태기,목성트랜짓-확장기,임신 꿈은 새로운 아이디어나 프로젝트가 자라고 있음. 남자가 꾸어도 창조적 잠재력의 의미.
DA_lost,길잃기,dream_action,confusion,길을잃다,방향상실/혼란/선택어려움,인생방향에대한불확실성,공망운-방향상실기,해왕성스퀘어-혼란기,길을 잃는 꿈은 인생 방향에 대한 혼란. 현재 결정 사항이나 진로에 대한 불확실성을 반영.
