id,source,target,relation,layer,category,title_ko,description,insight_template,emoji,hook_text
ML_L3_019,SAJU_PATTERN_종격,ASTRO_PATTERN_Stellium,특수패턴,3,pattern,종격↔스텔리움,에너지의집중,"🎯 [3차 심층 해석] 종격(從格)이 스텔리움(Stellium)과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n한 오행으로 치우친 종격과 한 별자리에 3개 이상 행성이 모인 스텔리움은 같은 원리입니다. 에너지가 한 곳에 집중됩니다.\n\n이 집중을 거스르면 실패하고, 따르면 성공합니다. 종격 사주는 거스르지 말라는 교훈이 있듯, 스텔리움도 그 에너지를 최대한 활용해야 합니다.\n\n⚡ 분산하지 말고 집중하세요. 한 우물을 깊이 파세요.",🎯,집중이 힘입니다
ML_L3_020,SAJU_KARMA_도화,ASTRO_NODE_Venus,카르마인연,3,karma,도화↔금성노드,사랑의카르마,"💘 [3차 심층 해석] 도화살(桃花煞)이 금성의 노드 연결과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n도화살은 전생에서 이어진 인연의 끈입니다. 금성이 노드와 연결되면 사랑에 카르마적 패턴이 있습니다.\n\n매번 비슷한 사람에게 끌리고, 비슷한 패턴으로 관계가 진행됩니다. 이것은 '배워야 할 것'이 있기 때문입니다.\n\n💔 패턴을 인식하면 반복에서 벗어날 수 있습니다.",💘,패턴을 깨세요
ML_L3_021,SAJU_SHADOW_편인도식,ASTRO_SHADOW_12thHouse,그림자,3,shadow,편인도식↔12하우스,숨겨진자기파괴,"🌑 [3차 심층 해석] 편인도식(偏印倒食)이 12하우스의 그림자 에너지와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n편인이 식신을 극하면 창조력과 생산성이 막힙니다. 12하우스에 흉성이 있으면 숨겨진 자기 파괴 패턴이 있습니다.\n\n자신도 모르게 성공을 방해하는 무의식적 행동을 합니다. '왜 나는 매번 이럴까?'라는 질문이 자주 떠오르면 이 패턴입니다.\n\n🔦 무의식을 의식화하면 패턴이 멈춥니다.",🌑,자신을 관찰하세요
ML_L3_022,SAJU_GIFT_식신생재,ASTRO_GIFT_JupiterVenus,재능축복,3,gift,식신생재↔목금합,타고난풍요,"🌈 [3차 심층 해석] 식신생재(食神生財)가 목성-금성 합/트라인과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n식신이 재성을 생하면 재능이 돈이 됩니다. 목성-금성 조화 각은 풍요와 행운의 배치입니다.\n\n두 배치가 함께 있으면 타고난 풍요 체질입니다. 좋아하는 것을 하면 돈이 따라옵니다.\n\n🍀 억지로 돈을 쫓지 마세요. 재능을 따라가면 돈이 옵니다.",🌈,재능이곧재물입니다
ML_L3_023,SAJU_CRISIS_관살혼잡,ASTRO_CRISIS_SaturnPluto,위기변환,3,crisis,관살혼잡↔토명합,권력의시련,"⚡ [3차 심층 해석] 관살혼잡(官殺混雜)이 토성-명왕성 합과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n정관과 편관이 섞이면 권위와 통제가 혼란스럽습니다. 토성-명왕성 합은 권력 구조의 붕괴와 재편입니다.\n\n직장, 조직, 사회에서 심한 압박과 변화를 경험합니다. 기존의 권력 구조가 무너지고 새로운 질서가 세워집니다.\n\n🔄 저항하면 부서지고, 변환하면 더 강해집니다.",⚡,변환을선택하세요
ML_L3_024,SAJU_HEALING_인성보호,ASTRO_HEALING_MoonNeptune,치유돌봄,3,healing,인성↔달해왕,어머니의치유,"🌊 [3차 심층 해석] 인성(印星)의 보호가 달-해왕성 연결과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n인성은 어머니의 보호이자 내면의 안전지대입니다. 달-해왕성 연결은 무조건적 사랑과 영적 돌봄입니다.\n\n이 에너지가 강하면 치유 능력이 있습니다. 상담, 심리치료, 영적 돌봄 분야에서 타인을 치유할 수 있습니다.\n\n💙 먼저 자신을 치유하면 타인도 치유할 수 있습니다.",🌊,치유자가되세요
ML_L3_025,SAJU_POWER_양인칠살,ASTRO_POWER_MarsPluto,극강의힘,3,power,양인칠살↔화명합,폭발적추진력,"💪 [3차 심층 해석] 양인칠살(羊刃七殺)이 화성-명왕성 합과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n양인과 칠살이 만나면 극강의 추진력이 생깁니다. 화성-명왕성 합은 핵폭발 같은 에너지입니다.\n\n이 에너지를 제어하면 불가능을 가능으로 만듭니다. 제어하지 못하면 파괴적으로 작용합니다.\n\n🎯 큰 목표에 이 에너지를 쏟으세요. 작은 일에 쓰면 위험합니다.",💪,큰목표를세우세요
ML_L3_026,SAJU_SPIRIT_화개살,ASTRO_SPIRIT_NeptuneNodes,영적사명,3,spirit,화개↔해왕노드,영혼의목적,"🔮 [3차 심층 해석] 화개살(華蓋煞)이 해왕성-노드 연결과 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n화개살은 세속과 분리된 영적 탐구를 나타냅니다. 해왕성-노드 연결은 영혼의 목적이 영적 영역에 있음을 나타냅니다.\n\n종교, 철학, 예술, 명상... 세속적 성공보다 내면의 평화가 중요합니다. 이것을 인정해야 진정한 행복을 찾습니다.\n\n🙏 영적 추구를 부끄러워하지 마세요. 그것이 당신의 길입니다.",🔮,영혼의길을가세요
ML_L3_027,SAJU_DESTINY_천을귀인,ASTRO_DESTINY_Jupiter11th,운명적도움,3,destiny,천을귀인↔목성11하우스,귀인의축복,"👼 [3차 심층 해석] 천을귀인(天乙貴人)이 목성 11하우스와 공명합니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n천을귀인은 위기 때 나타나는 구원자입니다. 목성이 11하우스(친구/희망)에 있으면 사회적 도움이 풍부합니다.\n\n두 배치가 함께 있으면 인복(人福)이 극대화됩니다. 위기 때마다 도와주는 사람이 나타납니다.\n\n🤝 귀인에게 감사하고, 당신도 누군가의 귀인이 되세요.",👼,베풀면돌아옵니다
ML_L3_028,SAJU_BLOCK_공망충,ASTRO_BLOCK_Saturn12th,인생의벽,3,block,공망충↔토성12하우스,넘어야할벽,"🧱 [3차 심층 해석] 공망(空亡)이 충(沖)을 만나고 토성이 12하우스에 있습니다.\n\n━━━━━━━━━━━━━━━━━━━━━━\n\n공망이 충을 받으면 비어있던 것이 흔들립니다. 토성 12하우스는 숨겨진 두려움과 제한입니다.\n\n인생에 보이지 않는 벽이 있습니다. 노력해도 막히는 느낌, 이유 없이 두려운 영역이 있습니다.\n\n🔓 그 벽의 정체를 인식하면 통과할 수 있습니다.",🧱,벽을인식하세요
