id,source,target,relation,description
REL_GAN_갑_기_합,ST_갑,ST_기,합,"갑기합(土) — 인내와 책임감, 현실적 추진력. 목과 토의 조화."
REL_GAN_을_경_합,ST_을,ST_경,합,"을경합(金) — 감성과 논리의 균형, 예술성과 계산력의 만남."
REL_GAN_병_신_합,ST_병,ST_신,합,"병신합(水) — 창조와 계획의 융합, 감성과 분석력의 협업."
REL_GAN_정_임_합,ST_정,ST_임,합,"정임합(木) — 직관과 이상, 표현력과 통찰의 조화."
REL_GAN_무_계_합,ST_무,ST_계,합,"무계합(火) — 현실과 감성의 결합, 열정과 회복을 동반."
REL_JI_자_축_합,BR_자,BR_축,합,"자축합(土) — 실질적 결합, 계획 실현, 묵묵한 협력."
REL_JI_인_해_합,BR_인,BR_해,합,"인해합(木) — 성장과 직관의 조화, 도전·이상 확장."
REL_JI_묘_술_합,BR_묘,BR_술,합,"묘술합(火) — 예술과 책임의 결합, 표현을 통한 실천."
REL_JI_진_유_합,BR_진,BR_유,합,"진유합(金) — 체계성과 실행력, 개발·정비의 기운."
REL_JI_사_신_합,BR_사,BR_신,합,"사신합(水) — 통찰과 혁신, 문무겸비의 변화."
REL_JI_오_미_합,BR_오,BR_미,합,"오미합(火) — 열정과 안정의 균형, 창조적 완성."
REL_JI_자_오_충,BR_자,BR_오,충,"수화충 — 감정과 의욕의 충돌, 방향 전환 필요."
REL_JI_축_미_충,BR_축,BR_미,충,"토토충 — 안정 vs 예술성 간 긴장, 현실과 감성의 대립."
REL_JI_인_신_충,BR_인,BR_신,충,"목금충 — 사고 구조의 변화, 진취와 실리의 대립."
REL_JI_묘_유_충,BR_묘,BR_유,충,"목금충 — 대인관계 긴장, 창의성과 규율의 균형 필요."
REL_JI_진_술_충,BR_진,BR_술,충,"토토충 — 기초·현실 충돌, 내적 갈등 가능성."
REL_JI_사_해_충,BR_사,BR_해,충,"화수충 — 직관 vs 실행력 충돌, 계획 재조정 필요."
REL_JI_인_사_신_삼형,BR_인,BR_사_신,형,"인·사·신 삼형 — 자율과 통제의 내적 긴장, 의지와 표현 간 갈등."
REL_JI_축_술_미_삼형,BR_축,BR_술_미,형,축·술·미 삼형 — 완벽주의·책임압박·감정피로의 패턴.
REL_JI_자_묘형,BR_자,BR_묘,형,"자묘형 — 감정과 이성의 엇갈림, 내면불안."
REL_JI_오_유형,BR_오,BR_유,형,"오유형 — 명예의식·완벽주의, 사회적 스트레스."
REL_JI_진_유형,BR_진,BR_유,형,"진유형 — 현실·감정 불일치, 예민한 관계 긴장."
REL_JI_자_미_해,BR_자,BR_미,해,자미해 — 오해·불신·감정피로. 대인관계 주의.
REL_JI_축_오_해,BR_축,BR_오,해,"축오해 — 보수·열정 간 부조화, 현실충돌."
REL_JI_인_유_해,BR_인,BR_유,해,인유해 — 표현과 규범의 불협화음.
REL_JI_묘_진_해,BR_묘,BR_진,해,묘진해 — 목표 불명확·감정소모.
REL_JI_사_술_해,BR_사,BR_술,해,사술해 — 신뢰파손·약속파기.
REL_JI_신_해_해,BR_신,BR_해,해,신해해 — 긴장·예민·감정기복.
