id,label,type,number,vibration,description,personality,career,relationship,challenge,life_lesson,famous_examples,saju_parallel,tarot_card,color_crystal,best_partner,growth_direction
NUM_1,숫자1,life_path,1,독립/리더십,"생명수 1은 창조와 독립의 에너지. 태양의 진동수로 시작과 개척을 상징한다. 강한 자아와 리더십을 가진 선구자형.","독립적이고 자기 주도적. 강한 의지와 결단력. 창의적이고 독창적인 사고. 자신감이 넘치나 때로 고집스러울 수 있음.","CEO, 창업자, 발명가, 독립 예술가, 프리랜서. 남의 밑에서 일하기 어려우며 자기 사업이 적합.","주도적인 연애. 파트너를 리드하려는 성향. 독립성을 존중하는 상대가 필요.","지나친 독선과 고집. 타인의 의견을 무시하는 경향. 외로움을 느끼기 쉬움.","혼자의 힘으로 세상을 바꿀 수 없음을 배우는 것. 협력과 겸손의 가치.","스티브잡스/래리페이지/톰행크스","건록격-자수성가형/비겁이강한사주","마법사/황제","빨강/루비/석류석","2,5,9와조화/4,8은도전","리더에서서번트리더로-섬기는리더십배우기"
NUM_2,숫자2,life_path,2,조화/협력,"생명수 2는 달의 에너지. 균형과 조화, 파트너십을 상징한다. 섬세한 감수성과 외교적 재능을 가진 중재자형.","민감하고 직관적. 타인의 감정을 잘 읽음. 협력적이고 조화를 중시. 세부사항에 강하나 우유부단할 수 있음.","상담사, 외교관, 중재자, 비서, 팀 코디네이터. 파트너십이 있는 일이 적합.","헌신적이고 로맨틱. 상대의 필요를 먼저 챙김. 갈등을 피하려는 경향으로 감정 억압 가능.","자기 주장이 약함. 지나친 의존성. 감정에 쉽게 상처받음. 결정을 회피.","자신의 목소리를 내는 용기. 타인을 돕되 자기를 잃지 않는 균형.","마더테레사/바락오바마/제니퍼애니스턴","정인격-조화형/수기운이강한사주","여사제/연인","주황/문스톤/진주","1,8,9와조화/5는도전","조화에서주도로-자기목소리를내는용기"
NUM_3,숫자3,life_path,3,표현/창조,"생명수 3은 목성의 에너지. 창조적 표현과 기쁨을 상징한다. 예술적 재능과 낙관적 성격을 가진 엔터테이너형.","밝고 사교적. 언어 능력이 뛰어남. 상상력이 풍부하고 예술적. 다재다능하나 집중력이 분산될 수 있음.","작가, 배우, 가수, 디자이너, MC, 마케터. 창의적 표현이 가능한 직업이 적합.","매력적이고 재미있는 연인. 다양한 경험을 추구하며 지루함을 싫어함. 가벼울 수 있음.","에너지 분산. 시작만 하고 마무리 못함. 감정 기복. 현실 도피 경향.","집중과 깊이의 가치. 재능을 하나로 모아 꽃피우는 인내력 배우기.","짐캐리/존트라볼타/케이티페리","식신격-표현형/화기운이강한사주","여황제/태양","노랑/시트린/토파즈","5,6,9와조화/4,7은도전","표현에서집중으로-깊이있는창조력배우기"
NUM_4,숫자4,life_path,4,안정/구축,"생명수 4는 토성의 에너지. 안정과 구조, 체계를 상징한다. 실용적이고 근면한 건축가형.","성실하고 체계적. 규칙과 질서를 중시. 인내심이 강하고 신뢰할 수 있음. 보수적이고 변화를 꺼림.","건축가, 엔지니어, 회계사, 관리자, 공무원. 안정적이고 체계적인 직업이 적합.","안정적이고 충실한 파트너. 물질적 안정을 제공하려 노력. 감정 표현이 서툴 수 있음.","유연성 부족. 변화에 대한 저항. 일중독 경향. 감정 억압으로 인한 스트레스.","유연함과 변화의 수용. 완벽하지 않아도 괜찮다는 것을 배우기.","빌게이츠/오프라윈프리/아놀드슈워제네거","정재격-안정형/토기운이강한사주","황제/세계","녹색/에메랄드/옥","2,6,8과조화/3,5는도전","구조에서유연으로-변화를수용하는힘배우기"
NUM_5,숫자5,life_path,5,자유/변화,"생명수 5는 수성의 에너지. 자유와 모험, 변화를 상징한다. 호기심 넘치는 탐험가형.","모험적이고 자유분방. 다양한 경험을 추구. 적응력이 뛰어나고 다재다능. 안정을 싫어하고 변화를 갈구.","여행가, 기자, 세일즈, 이벤트기획자, 자유직업. 변화가 있는 직업이 적합.","자유를 중시하는 연애. 속박을 싫어하며 다양한 만남을 즐김. 헌신에 어려움.","방향 없는 자유. 책임 회피. 중독 위험(도박,음주 등). 산만함.","자유 속에서도 책임과 헌신의 가치를 배우는 것. 깊이 있는 관계의 소중함.","안젤리나졸리/스티븐스필버그/마이클잭슨","역마살-변화형/목기운과역마가강한사주","전차/바보","터키석/아쿠아마린/청록","1,3,7과조화/4,6은도전","자유에서헌신으로-뿌리내리는용기배우기"
NUM_6,숫자6,life_path,6,책임/돌봄,"생명수 6은 금성의 에너지. 사랑과 책임, 가정을 상징한다. 따뜻하고 헌신적인 양육자형.","따뜻하고 책임감 강함. 가정적이고 아름다움을 추구. 타인을 돌보는 데 기쁨을 느낌. 완벽주의 경향.","의사, 간호사, 교사, 상담사, 인테리어 디자이너, 요리사. 돌봄과 아름다움 관련 직업 적합.","헌신적이고 로맨틱한 연인. 가정을 중시하며 이상적 관계를 추구. 과잉보호 경향.","간섭과 통제. 자기 희생 과다. 완벽주의로 인한 스트레스. 상대에 대한 기대가 높음.","사랑과 통제의 차이를 배우기. 자기 자신도 돌보는 균형.","존레논/알베르트아인슈타인/브루스윌리스","정인격-돌봄형/금기운이강한사주","연인/별","핑크/로즈쿼츠/진주","3,4,9와조화/1,5는도전","돌봄에서경계로-건강한사랑의균형배우기"
NUM_7,숫자7,life_path,7,탐구/영성,"생명수 7은 해왕성의 에너지. 지혜와 영성, 내면 탐구를 상징한다. 분석적이고 신비로운 현자형.","분석적이고 지적. 직관력이 뛰어남. 내면 세계가 풍부하고 영적 성향. 혼자만의 시간이 필요.","연구원, 학자, 프로그래머, 심리학자, 명상 지도자. 깊이 있는 탐구가 가능한 직업.","내면적이고 선택적인 연애. 깊은 영적 교류를 추구. 감정 표현이 서툴고 벽을 쌓기 쉬움.","지나친 고립. 현실과의 단절. 의심과 냉소. 감정적 친밀감의 어려움.","머리와 가슴의 연결. 지식을 넘어 사랑의 지혜로 나아가기.","레오나르도디카프리오/줄리아로버츠/니콜키드먼","편인격-탐구형/수기운과화개살","은둔자/달","보라/자수정/라피스라줄리","3,5와조화/1,8은도전","탐구에서나눔으로-지혜를세상과나누기"
NUM_8,숫자8,life_path,8,권력/풍요,"생명수 8은 토성의 에너지. 물질적 성공과 권력, 카르마를 상징한다. 야심차고 실현력 있는 경영자형.","야심적이고 실현력 강함. 비즈니스 감각 뛰어남. 조직력과 판단력이 좋음. 물질적 성공을 중시.","기업 경영자, 금융인, 부동산, 법조인, 정치인. 권력과 재물이 있는 직업이 적합.","강하고 보호적인 연인. 물질적으로 풍요로운 관계를 만들려 노력. 일 때문에 관계가 소홀해질 수 있음.","물질만능주의. 권력 남용. 일과 삶의 불균형. 카르마적 시련이 반복.","물질과 영성의 균형. 권력은 봉사하기 위한 것임을 배우기.","넬슨만델라/파블로피카소/샌드라블록","정관격-권력형/금토가강하고재성풍부","힘/정의","검정/흑요석/호안석","2,4,6과조화/1,7은도전","권력에서봉사로-나눔의리더십배우기"
NUM_9,숫자9,life_path,9,봉사/완성,"생명수 9는 화성의 에너지. 보편적 사랑과 봉사, 완성을 상징한다. 이타적이고 자비로운 인도주의자형.","이상주의적이고 자비로움. 넓은 시야와 포용력. 예술적 감성과 인류애. 개인적 관계보다 큰 사랑을 추구.","사회운동가, NGO, 예술가, 치유사, 철학자, 종교인. 인류에 기여하는 직업이 적합.","이상적이고 헌신적. 보편적 사랑을 추구하나 개인적 친밀감이 부족할 수 있음. 이별과 상실 경험이 많음.","순교자 콤플렉스. 현실 도피. 이별의 반복. 이상과 현실의 괴리.","놓아보내는 것의 가치. 소유가 아닌 나눔의 사랑을 실천하기.","마하트마간디/휘트니휴스턴/짐캐리","화개살-봉사형/인성이강하고공망","심판/세계","금색/황수정/가넷","1,2,3과조화/4,8은도전","이상에서현실로-일상에서사랑실천하기"
NUM_11,마스터넘버11,master_number,11,영감/각성,"마스터넘버 11은 직관과 영적 각성의 진동수. 2의 에너지에 영적 차원이 더해진 형태. 메신저형.","극도로 민감하고 직관적. 영적 안테나가 강함. 비전과 영감의 채널. 긴장과 불안 경향.","영적 지도자, 예술가, 치유사, 상담사, 작가. 영감을 전달하는 직업이 적합.","영혼의 동반자를 추구. 깊은 영적 교류가 있는 관계를 원함. 보통의 관계에 만족 못할 수 있음.","극도의 긴장감. 이상과 현실의 괴리. 자기 파괴적 경향. 에너지 소진.","영적 에너지를 현실에 접지(grounding)하는 것. 비전을 실현 가능한 형태로 구체화.","빌클린턴/에드가케이시/마돈나","화개살+공망-영적각성형","별/힘","흰색/투명수정/오팔","22,33,6과조화","비전에서현실로-영감을구체화하는힘"
