id,planet,house,theme,personality,career,relationship,challenge,gift,saju_parallel,description
HP_sun_1,태양,1하우스,자아정체성,강한자아의식/자신감/리더십발휘,CEO/지도자/배우/자영업,카리스마로끌어당김/지배적,자기중심적경향/타인배려필요,강한존재감/리더십/자기표현,일간강/비견왕,"1하우스 태양은 강력한 자아 정체성. 존재감이 크고 리더십이 자연스럽게 발휘됨."
HP_sun_2,태양,2하우스,자원과가치,자기가치에대한강한의식/물질중시,금융/부동산/자원관리/귀금속,재정적안정추구파트너/소유욕,물질에집착/가치관경직,재정능력/자원관리/자기가치확립,정재격/식신생재,"2하우스 태양은 자원과 가치에 대한 강한 의식. 재정적 성공 추구."
HP_sun_3,태양,3하우스,소통과학습,호기심강함/소통능력/학습욕구,작가/기자/교사/영업/마케팅,대화가풍부한관계/형제관계중요,산만함/깊이부족,소통능력/학습력/언어재능,식신격/상관,"3하우스 태양은 소통과 학습에 빛남. 언어적 재능과 지적 호기심."
HP_sun_4,태양,4하우스,가정과뿌리,가정중심적/전통중시/안정추구,부동산/요식업/가업승계/인테리어,가정을이끄는역할/어버이역할,독립어려움/가족의존,가정적안정/뿌리의식/보호본능,정인격/건록격,"4하우스 태양은 가정과 뿌리에 빛남. 가정에서의 리더십."
HP_sun_5,태양,5하우스,창조와즐거움,창의적/낭만적/즐거움추구,예술/연예/스포츠/교육/도박,열정적연애/자녀에게집중,쾌락추구과잉/도박위험,창조력/예술성/낭만/자녀복,식신격/상관생재,"5하우스 태양은 창조와 즐거움에 빛남. 예술적 재능과 낭만."
HP_sun_6,태양,6하우스,일과건강,근면함/완벽주의/건강관리중시,의료/헬스케어/서비스업/사무,헌신적파트너/봉사적관계,과로경향/건강집착,봉사정신/분석력/건강의식,정재격/식신,"6하우스 태양은 일과 건강에 빛남. 봉사와 완벽주의."
HP_sun_7,태양,7하우스,파트너십,관계중심적/타인을통한자아실현,법률/외교/컨설팅/파트너십사업,결혼매우중요/파트너의존,자아를타인에게투사/의존,협력능력/외교력/파트너복,정관격/재관쌍미,"7하우스 태양은 파트너십에 빛남. 결혼과 협력이 인생의 핵심."
HP_sun_8,태양,8하우스,변환과심연,깊은통찰력/변환능력/신비에끌림,금융/보험/심리학/장례/오컬트,강렬한관계/섹슈얼리티중요,집착/통제욕/죽음공포,변환력/깊은통찰/재생능력,편관격/살인상생,"8하우스 태양은 변환과 심연에 빛남. 깊은 변화와 재생의 능력."
HP_sun_9,태양,9하우스,확장과철학,철학적/모험심/넓은세계관,교수/법조인/출판/여행/종교,다문화적관계/먼곳의인연,독선적/과대망상,지혜/철학적깊이/탐험정신,정인격/관인상생,"9하우스 태양은 확장과 철학에 빛남. 지혜와 탐험의 정신."
HP_sun_10,태양,10하우스,성취와명예,야망있음/사회적성공추구/명예중시,CEO/정치인/고위공직/유명인,커리어중심관계/사회적파트너,일중독/명예집착,사회적성취/명예/리더십,정관격/재관쌍미,"10하우스 태양은 성취와 명예에 빛남. 사회적 성공의 정점."
HP_sun_11,태양,11하우스,이상과공동체,이상주의/집단의식/미래지향,NGO/IT/네트워크사업/사회운동,우정중심관계/집단속역할,비현실적이상/개인경시,네트워킹/이상추구/사회의식,비견많음/식신,"11하우스 태양은 이상과 공동체에 빛남. 집단과 미래를 위한 활동."
HP_sun_12,태양,12하우스,무의식과초월,신비로움/영적감수성/은둔경향,예술/영성/병원/감옥/자선,영혼의연결/숨겨진관계,자아상실/현실도피,영적깊이/예술성/치유능력,편인격/종격,"12하우스 태양은 무의식과 초월에 빛남. 숨겨진 영적 힘."
HP_moon_1,달,1하우스,감정의자아,감정적/반응적/모성적,요식업/양육/간호/서비스,감정적관계/보호본능,감정기복/과민반응,감정이입능력/양육력/직관,일지정인/월인격,"1하우스 달은 감정이 자아의 핵심. 감정적이고 모성적인 존재."
HP_moon_4,달,4하우스,가정의안식,가정중심/안전추구/전통중시,부동산/요식업/가정사업,가족이가장중요/어머니역할,변화두려움/과거집착,가정적안정/양육/보호,정인격/월인격,"4하우스 달은 가정에서 가장 편안함. 가족과 뿌리의 중요성."
HP_moon_7,달,7하우스,관계의감정,관계욕구강함/파트너의존,상담/파트너십사업/접객,감정적유대중시/결혼중요,파트너의존/감정적변동,감정적교류능력/파트너직관,정재격(남)/정관격(여),"7하우스 달은 관계에서 감정적 충족. 결혼과 파트너십이 핵심."
