id,label,type,sipsin1,sipsin2,interaction_type,description,career_effect,relationship_effect,psychological_insight,advice,tarot_parallel,dream_symbol,famous_pattern
SI_01_비견_식신,자기표현의 활성화,sipsin_interaction,비견,식신,상생적 조합,"비견(자아의 힘)이 식신(표현과 재능)을 만나면 자기 표현이 극대화되는 조합이다. 자아의 에너지가 창작 활동과 재능 발휘로 자연스럽게 흘러가며 자신감 있는 표현력이 발현된다.","자신의 기술과 재능을 자신감 있게 드러내는 분야에서 성공한다. 유튜버 강사 아티스트 셰프 등에서 두각을 나타낸다.","자기 표현이 풍부하여 대인관계에서 매력적으로 보인다. 다만 자기중심적 표현이 과하면 경청의 노력이 필요하다.","자아 정체성이 강하면서도 이를 건강하게 표현하는 방법을 알고 있는 심리 상태이다.","자기 표현의 재능을 살리되 타인의 피드백에도 귀를 기울이는 균형 감각을 유지하라.",완드에이스/완드3,무대에서공연/자신의작품전시,유재석/이영자-자기표현형연예인
SI_02_비견_상관,경쟁적 혁신,sipsin_interaction,비견,상관,긴장적 조합,"비견(자아)과 상관(파괴적 창의성)이 만나면 기존 질서에 도전하는 혁신적 에너지가 강하게 발현된다. 파격적이고 도발적인 행동으로 이어진다.","전통적인 업계를 혁신하는 스타트업 창업이나 기존 방식에 도전하는 분야에서 큰 성과를 낸다. 조직 내에서는 상사와의 갈등이 잦아 독립적 위치가 유리하다.","강렬한 개성으로 사람들에게 깊은 인상을 남기지만 충돌도 잦다. 자기주장이 매우 강하여 타협이 어렵다.","자아 확장 욕구가 강하면서 기존 체제에 대한 반감이 크다. 건전하게 발산되면 혁신가가 된다.",혁신적 에너지를 건설적인 방향으로 channeling하는 것이 핵심이다. 파괴만 하지 말고 대안을 제시하라.,탑/검기사,기존건물을부수고새로지음/혁명,스티브잡스/일론머스크-파괴적혁신가
SI_03_비견_정재,재물 경쟁,sipsin_interaction,비견,정재,극 관계,"비견(동료이자 경쟁자)이 정재(안정된 재물)를 만나면 재물을 둘러싼 경쟁 구도가 형성된다. 동업이나 공동 투자에서 갈등이 생기기 쉬운 구조이다.","동업보다는 독립 경영이 유리하며 타인과 재물을 나누어야 하는 상황에서 갈등이 생긴다. 보증이나 동업은 피하는 것이 좋다.","돈 문제로 인한 인간관계 갈등이 발생하기 쉽다. 친구나 형제자매와 금전 거래를 하면 관계가 틀어질 가능성이 높다.","재물에 대한 불안감과 경쟁 의식이 공존하는 심리 상태이다. 나눔의 미덕을 배우는 것이 심리적 성장의 과제이다.","재물을 지키려 하기보다 더 큰 파이를 만드는 데 집중하라. 보증은 절대 서지 마라.",펜타클5/완드5,형제와재산싸움/동업자와갈등,재산분쟁가족-형제간재물갈등사례
SI_04_비견_편재,투기적 경쟁,sipsin_interaction,비견,편재,극 관계,"비견이 편재를 만나면 유동적이고 투기적인 재물을 둘러싼 치열한 경쟁이 벌어진다. 투기 도박 고위험 투자 등에서 큰 손실을 볼 수 있는 위험한 조합이다.","투기성 높은 사업이나 주식 투자에서 큰 손실을 볼 위험이 있다. 안정적인 수입원을 확보한 후에만 모험적 투자를 고려해야 한다.","돈을 둘러싼 경쟁이 인간관계를 악화시킨다. 사업 파트너나 친구와 투자를 같이 하면 배신이나 갈등이 생기기 쉽다.","일확천금의 유혹에 약하고 경쟁적 상황에서 이성적 판단력이 흐려지는 경향이 있다.",투기적 경쟁에서 벗어나 안정적이고 지속 가능한 재물 확보 전략을 세워라.,펜타클5/운명의수레바퀴,카지노에서잃음/도박에빠진꿈,도박중독자-투기실패사례
SI_05_비견_정관,규율과 자존심의 충돌,sipsin_interaction,비견,정관,극 관계,"비견(자아의 힘)과 정관(규율과 질서)이 만나면 자존심과 조직의 규범 사이에서 갈등이 발생한다. 정관이 비견을 극하므로 내면의 반발심이 생기기 쉽다.","조직 생활에서 상사의 지시와 자신의 주관 사이에서 갈등이 잦다. 관리자보다 전문가로서 독자적 영역을 구축하는 것이 유리하다.","권위적인 상대와의 관계에서 충돌이 발생한다. 배우자나 윗사람이 통제하려 하면 강하게 반발한다.","자유와 규율 사이의 내적 갈등이 핵심 심리이다. 합리적인 규범은 수용하되 부당한 통제에는 저항하는 분별력이 필요하다.","모든 규율이 억압은 아니며 때로는 규칙 안에서 더 큰 자유를 누릴 수 있음을 배워야 한다.",정의/황제,상사와다투는꿈/규칙어기고벌받음,반항적직장인-조직과갈등사례
SI_06_식신_정재,재능이 돈이 되는 조합,sipsin_interaction,식신,정재,상생적 조합,"식신(재능과 표현)이 정재(안정된 재물)를 생하는 관계로 자신의 재능과 기술이 안정적인 수입으로 직접 연결되는 최적의 조합이다.","전문 기술이나 재능으로 안정적인 수입을 얻는 분야에서 크게 성공한다. 요리사 디자이너 프로그래머 등 실력이 곧 수입이 되는 직업군이 최적이다.","재능을 인정받으며 경제적으로도 안정되므로 대인관계에서 자신감이 있다. 파트너에게 실질적인 도움을 줄 수 있어 관계의 안정성이 높다.","자기 효능감과 경제적 안정감이 결합된 건강한 심리 상태이다.",좋은 조합이지만 안주하면 성장이 멈출 수 있다. 끊임없이 기술을 연마하라.,펜타클3/펜타클9,자신의작품이팔리는꿈/요리로돈버는꿈,백종원/강호동-재능으로부를이룬사례
SI_07_식신_편인,도식(倒食) - 재능 억압,sipsin_interaction,식신,편인,극 관계,"편인이 식신을 극하는 도식(倒食)은 매우 좋지 않은 조합으로 꼽힌다. 식신의 재능과 표현력을 편인이 억압하여 재능이 있음에도 발휘하지 못하는 답답한 상황이 발생한다.","실력이 있어도 상황이나 환경이 이를 발휘하지 못하게 한다. 직장에서 능력을 인정받지 못하거나 자신의 재능과 맞지 않는 업무를 하게 된다.","자신의 표현이 차단되거나 왜곡되어 소통에 어려움을 겪는다. 억압적인 관계 패턴에 주의해야 한다.","내면에 표현하고 싶은 것이 많으나 무의식적 억압이 이를 막는 심리 상태이다. 창의적 에너지가 출구를 찾지 못해 우울이나 무기력으로 나타날 수 있다.","자신의 재능이 억압받는 환경에서 벗어나는 것이 최우선이다. 작은 것부터 자기 표현을 시작하라.",소드8/매달린사람,목소리가나오지않는꿈/갇힌꿈,재능억압피해자-환경으로재능못펼친사례
SI_08_상관_정관,상관견관(傷官見官) - 최악의 조합,sipsin_interaction,상관,정관,극 관계,"상관견관(傷官見官)은 사주학에서 가장 위험한 조합 중 하나이다. 상관(기존 질서에 대한 반항)이 정관(법과 질서)을 직접 공격하는 구조로 법적 문제 관직 상실 등 큰 재앙을 초래할 수 있다.","직장에서 상사와의 심각한 갈등 해고 소송 등이 발생할 수 있다. 조직 생활이 매우 어렵다. 법적 문제에 휘말리거나 사회적 규범을 어겨 제재를 받을 수 있다.","권위적 인물과의 관계에서 극심한 갈등이 발생한다. 결혼 생활에서도 배우자를 공격하는 형태로 나타나 이혼 위험이 높아진다.","권위에 대한 깊은 반감과 자기 파괴적 충동이 내재해 있다. 규칙을 어기면서 스릴을 느끼는 위험한 심리 패턴이 있다.","법과 규범을 지키는 것이 자신을 보호하는 최선의 방법이다. 반항심을 예술이나 창작 활동으로 승화시켜라.",탑/소드10,법정에서지는꿈/해고당하는꿈,법적문제피해자-상관견관으로몰락한사례
SI_09_상관_편관,반항과 권위의 충돌,sipsin_interaction,상관,편관,극 관계,"상관이 편관을 만나면 반항적 에너지가 강력한 권위와 정면으로 충돌한다. 양쪽 모두 양(陽)의 성질이라 충돌이 격렬하다.","권위적인 조직에서 심한 갈등을 겪으며 직장 내 왕따 혹은 좌천을 당할 수 있다. 그러나 이 갈등을 잘 관리하면 기존 체제를 개혁하는 혁신가가 될 수 있다.","강한 상대와의 대립이 일상화될 수 있다. 폭력적이거나 강압적인 관계에 빠지기 쉽다.","강력한 반항심과 투쟁 본능이 내면에 자리잡고 있다. 이 에너지를 사회적 불의에 맞서는 정의로운 방향으로 전환하는 것이 과제이다.","싸울 대상을 현명하게 선택하라. 인성의 에너지로 날카로운 상관을 감싸면 지혜로운 개혁자가 될 수 있다.",소드기사/완드7,권력자와싸우는꿈/반란꿈,사회운동가-권위에맞서싸운사례
SI_10_상관_정인,상관패인(傷官佩印) - 지혜로운 반항,sipsin_interaction,상관,정인,조화적 조합,"상관패인(傷官佩印)은 상관의 날카로운 비판력을 정인의 지혜와 학식으로 감싸주는 매우 좋은 조합이다. 건설적인 비판과 혁신으로 승화된다.","학문적 비평가 저널리스트 법학자 사회 운동가 등 지적 능력과 비판적 사고가 결합된 분야에서 큰 성공을 이룬다.","예리한 지적 능력으로 주변 사람들에게 존경과 경외를 동시에 받는다. 지적 교류가 풍부한 관계를 형성한다.","비판적 사고와 지적 깊이가 조화를 이룬 성숙한 심리 상태이다. 가장 건강한 형태의 반항이다.","학문과 비판 정신을 결합하는 분야에서 역량을 펼쳐라. 지적 우월감에 빠지지 않도록 겸손함을 유지하라.",여사제/소드퀸,논문발표/지혜로운조언꿈,유시민/진중권-지식인비평가
