id,source,target,relation,category,harmony_score,description_ko,insight_template
NUM_ASTRO_001,life_path_1,Sun,rules,life_path_planet,0.95,"생명수 1은 태양의 에너지를 담고 있습니다. 태양이 모든 행성의 중심이듯, 1의 사람은 리더십과 독립성, 창조적 자기표현의 원형을 지닙니다. 태양의 빛처럼 자신만의 길을 밝히며 주변을 이끄는 힘이 있습니다.",{name}님의 생명수 1은 태양의 창조적 리더십 에너지와 공명합니다. 자기 확신과 독립적 행동력이 핵심 자질입니다.
NUM_ASTRO_002,life_path_2,Moon,rules,life_path_planet,0.93,"생명수 2는 달의 에너지와 깊이 연결됩니다. 달이 조수를 움직이듯, 2의 사람은 감정의 흐름에 민감하며 직관과 수용성이 뛰어납니다. 협력과 조화를 통해 관계 속에서 빛나는 중재자의 역할을 합니다.",{name}님의 생명수 2는 달의 직관적 감수성과 연결됩니다. 관계에서의 조화와 감정적 지혜가 삶의 나침반입니다.
NUM_ASTRO_003,life_path_3,Jupiter,rules,life_path_planet,0.92,"생명수 3은 목성의 확장 에너지를 반영합니다. 목성이 풍요와 성장을 관장하듯, 3의 사람은 자기표현과 창의성, 낙관적 에너지로 주변에 기쁨을 전파합니다. 예술적 재능과 사교성이 목성의 선물입니다.",{name}님의 생명수 3은 목성의 확장과 풍요 에너지를 품고 있습니다. 창의적 자기표현이 행운의 열쇠입니다.
NUM_ASTRO_004,life_path_4,Uranus,rules,life_path_planet,0.88,"생명수 4는 천왕성(및 라후)의 에너지와 공명합니다. 천왕성이 혁신과 구조 변혁을 의미하듯, 4의 사람은 견고한 기반 위에 독창적 체계를 세우는 건축가입니다. 실용성과 혁신이 공존하는 독특한 조합입니다.",{name}님의 생명수 4는 천왕성의 혁신적 구조화 에너지를 담고 있습니다. 안정된 토대 위에 새로운 질서를 창조하는 것이 사명입니다.
NUM_ASTRO_005,life_path_5,Mercury,rules,life_path_planet,0.94,"생명수 5는 수성의 민첩한 에너지를 지닙니다. 수성이 소통과 이동을 관장하듯, 5의 사람은 변화와 자유를 갈망하며 다재다능한 적응력을 발휘합니다. 지적 호기심과 경험 추구가 삶의 원동력입니다.",{name}님의 생명수 5는 수성의 소통과 변화 에너지와 강하게 연결됩니다. 다양한 경험을 통한 성장이 삶의 주제입니다.
NUM_ASTRO_006,life_path_6,Venus,rules,life_path_planet,0.96,"생명수 6은 금성의 조화로운 에너지를 담고 있습니다. 금성이 사랑과 아름다움을 주관하듯, 6의 사람은 가정과 공동체에서 헌신적 돌봄과 책임감을 발휘합니다. 미적 감각과 봉사 정신이 금성의 축복입니다.",{name}님의 생명수 6은 금성의 사랑과 조화 에너지를 품고 있습니다. 가정과 관계에서의 헌신이 영혼의 기쁨이 됩니다.
NUM_ASTRO_007,life_path_7,Neptune,rules,life_path_planet,0.90,"생명수 7은 해왕성(및 케투)의 영적 에너지와 연결됩니다. 해왕성이 초월과 신비를 상징하듯, 7의 사람은 내면 탐구와 영적 진리 추구에 이끌립니다. 분석적 사고와 직관적 통찰이 동시에 작용하는 구도자입니다.",{name}님의 생명수 7은 해왕성의 영적 탐구 에너지와 공명합니다. 내면의 지혜를 깨우는 고독한 여정이 성장의 길입니다.
NUM_ASTRO_008,life_path_8,Saturn,rules,life_path_planet,0.91,"생명수 8은 토성의 구조적 힘과 공명합니다. 토성이 시간과 업보의 법칙을 관장하듯, 8의 사람은 물질적 성취와 권위를 통해 카르마적 균형을 이루도록 요청받습니다. 끈기와 전략적 사고가 성공의 열쇠입니다.",{name}님의 생명수 8은 토성의 구조와 성취 에너지를 담고 있습니다. 인내와 책임을 통한 물질적·영적 풍요가 목표입니다.
NUM_ASTRO_009,life_path_9,Mars,rules,life_path_planet,0.89,"생명수 9는 화성의 전사 에너지를 지닙니다. 화성이 행동과 용기를 상징하듯, 9의 사람은 인류애와 이타심을 실현하는 영적 전사입니다. 완결의 수로서 모든 경험을 통합하고 변환하는 연금술사의 힘이 있습니다.",{name}님의 생명수 9는 화성의 행동력과 변환 에너지를 품고 있습니다. 모든 경험을 지혜로 승화시키는 것이 영혼의 과제입니다.
NUM_ASTRO_010,life_path_1,zodiac_leo,resonates,life_path_zodiac,0.93,"생명수 1과 사자자리는 태양의 지배를 공유합니다. 둘 다 자기 확신과 창조적 자기표현을 핵심 에너지로 삼으며, 리더십과 빛나는 존재감을 통해 세상에 영향력을 행사합니다. 왕성한 생명력과 긍지가 공통 특질입니다.",{name}님의 생명수 1은 사자자리의 당당한 자기표현과 공명합니다. 두 에너지 모두 빛나는 리더십을 요구합니다.
NUM_ASTRO_011,life_path_2,zodiac_cancer,resonates,life_path_zodiac,0.94,"생명수 2와 게자리는 달의 에너지를 공유하며 감정적 민감성과 돌봄의 본능이 극대화됩니다. 가정과 가족에 대한 헌신, 직관적 공감 능력이 이 조합의 핵심이며, 정서적 안전감을 통해 세상과 연결됩니다.",{name}님의 생명수 2는 게자리의 돌봄과 보호 본능과 깊이 연결됩니다. 감정적 지혜가 관계의 핵심 자산입니다.
NUM_ASTRO_012,life_path_3,zodiac_sagittarius,resonates,life_path_zodiac,0.91,"생명수 3과 사수자리는 목성의 확장 에너지를 함께 나눕니다. 낙관주의와 모험 정신, 철학적 탐구가 두 에너지의 공통점이며, 자기표현을 통해 더 넓은 세계로 나아가는 것이 삶의 방향입니다.",{name}님의 생명수 3은 사수자리의 탐구와 확장 정신과 공명합니다. 지식과 경험의 확장이 행복의 원천입니다.
