id,label,type,longitude,magnitude,constellation,nature,description,career_influence,relationship_influence,health_note
FS_algol,알골,fixed_star,26Taurus10,2.1,페르세우스,토성+목성,"메두사의 머리. 가장 강렬한 항성 중 하나로 극단적 에너지를 지닌다. 파괴와 재생, 여성적 분노와 힘의 상징.","위기관리/응급의학/법의학/전쟁 관련. 극단적 상황에서 빛나는 직업.","격렬하고 위험한 인연. 강렬한 끌림이나 파괴적 관계 가능성. 변환적 사랑.","머리/목 부위 주의. 두통, 갑상선 문제 가능."
FS_aldebaran,알데바란,fixed_star,9Gemini47,0.85,황소자리,화성,"황소의 눈. 사계의 왕성(Royal Star) 중 하나. 정직과 명예를 통한 성공을 약속하나 부정직하면 몰락.","군사지도자/정치가/법조인. 명예로운 직업에서 높은 성취. 정직이 핵심 조건.","명예롭고 품위 있는 관계. 상호 존중과 정직이 관계의 기둥.","시력 문제 주의. 눈 건강 관리 필요. 화성성 질환(염증)."
FS_rigel,리겔,fixed_star,16Gemini50,0.12,오리온,목성+토성,"오리온의 왼발. 지식과 교육을 통한 명성과 성공. 학문적 성취와 가르침의 별.","교수/연구원/교육자/저자. 학문적 탁월성으로 명성을 얻는 직업.","지적 교류가 풍부한 관계. 서로를 가르치고 배우는 파트너십.","발/다리 건강 주의. 관절 문제 가능."
FS_sirius,시리우스,fixed_star,14Cancer05,−1.46,큰개자리,목성+화성,"하늘에서 가장 밝은 별. 영광과 야망, 충성과 수호의 에너지. 강력한 보호와 성공의 별.","정부 고위직/기업 리더/수호자 역할. 크고 영향력 있는 위치.","충성스럽고 보호적인 관계. 헌신적인 파트너. 강한 유대감.","더위 관련 질환. 열병, 화상 주의."
FS_regulus,레굴루스,fixed_star,29Leo50,1.35,사자자리,화성+목성,"사자의 심장. 사계의 왕성 중 최고. 왕의 별로 지위와 명예, 리더십의 별. 단 복수심은 몰락.","왕/대통령/CEO급 리더. 최고의 지위에 오를 수 있는 강력한 성공의 별.","왕과 여왕 같은 관계. 서로를 높이고 존경하는 파트너십.","심장 건강 주의. 고혈압, 심장 질환 가능."
FS_spica,스피카,fixed_star,23Libra50,0.97,처녀자리,금성+화성,"처녀의 밀이삭. 풍요와 수확, 재능의 별. 예술적 재능과 물질적 풍요를 동시에 가져온다.","예술가/농업/금융. 재능으로 풍요를 만드는 직업. 과학적 발견의 별이기도.","아름답고 풍요로운 관계. 예술적 감성을 공유하는 파트너.","면역 체계 강화. 전반적으로 건강에 이로운 별."
FS_antares,안타레스,fixed_star,9Sagittarius46,1.09,전갈자리,화성+목성,"전갈의 심장. 사계의 왕성 중 하나. 전쟁과 용기, 모험의 별. 무모함은 파멸을 초래.","군인/탐험가/모험가/위기 전문가. 용기가 필요한 위험한 직업.","열정적이고 모험적인 관계. 격렬한 사랑. 배신에 극도로 민감.","심장/혈액 관련 주의. 열성 질환, 외상 주의."
FS_fomalhaut,포말하우트,fixed_star,3Pisces52,1.16,남쪽물고기자리,금성+수성,"사계의 왕성 중 마지막. 이상과 꿈의 실현, 영적 비전의 별. 순수한 이상을 유지해야 성공.","예술/음악/영성/비전제시. 꿈을 현실로 만드는 직업. 순수성이 핵심.","이상적이고 영적인 관계. 꿈을 공유하는 영혼의 동반자.","발/림프계 주의. 중독 문제 가능성."
FS_vega,베가,fixed_star,15Capricorn19,0.03,거문고자리,금성+수성,"직녀성. 음악과 마법, 카리스마의 별. 예술적 재능과 대중적 매력의 별. 한국/동양 전설의 별.","음악가/배우/마법사(IT)/대중문화. 카리스마로 대중을 사로잡는 직업.","직녀와 견우 같은 운명적 만남. 거리나 장애를 넘는 사랑.","목/후두 관련 주의. 음성 관리 필요."
FS_altair,알타이르,fixed_star,1Aquarius47,0.77,독수리자리,화성+목성,"견우성. 대담하고 용감한 독수리의 별. 행동력과 결단, 모험심의 별. 동양 전설에서 견우.","조종사/군인/모험가/스포츠선수. 대담한 행동력이 필요한 직업.","견우와 직녀의 전설처럼 장애를 극복하는 사랑. 용기 있는 관계.","폐/호흡기 주의. 눈 건강도 관리."
FS_deneb,데네브,fixed_star,5Pisces20,1.25,백조자리,금성+수성,"백조의 꼬리. 예술과 치유, 신비의 별. 백조의 우아함과 변환(못난 오리→아름다운 백조)의 상징.","예술치료/음악치료/무용. 아름다움을 통해 치유하는 직업.","우아하고 신비로운 관계. 서로를 변환시키는 사랑.","피부/점막 관련 주의. 알레르기 체질 가능."
FS_capella,카펠라,fixed_star,21Gemini51,0.08,마차부자리,화성+수성,"마차부의 별. 호기심과 다재다능함, 교육과 소통의 별. 여러 분야를 연결하는 능력.","교육자/소통 전문가/다재다능 크리에이터. 여러 분야를 연결하는 직업.","다양한 주제로 대화가 끊이지 않는 관계. 지적 호기심 공유.","피부/알레르기 주의. 과민 반응 가능."
