id,source,target,relation,description
Mercury_conjunction_MP_Sun_Moon,Mercury,MP_Sun_Moon,conjunction,Mercury이(가) Sun/Moon 미드포인트를 conjunction으로 활성화
Mercury_square_MP_Sun_Moon,Mercury,MP_Sun_Moon,square,Mercury이(가) Sun/Moon 미드포인트를 square으로 활성화
Mercury_opposition_MP_Sun_Moon,Mercury,MP_Sun_Moon,opposition,Mercury이(가) Sun/Moon 미드포인트를 opposition으로 활성화
Venus_conjunction_MP_Sun_Moon,Venus,MP_Sun_Moon,conjunction,Venus이(가) Sun/Moon 미드포인트를 conjunction으로 활성화
Venus_square_MP_Sun_Moon,Venus,MP_Sun_Moon,square,Venus이(가) Sun/Moon 미드포인트를 square으로 활성화
Venus_opposition_MP_Sun_Moon,Venus,MP_Sun_Moon,opposition,Venus이(가) Sun/Moon 미드포인트를 opposition으로 활성화
Mars_conjunction_MP_Sun_Moon,Mars,MP_Sun_Moon,conjunction,Mars이(가) Sun/Moon 미드포인트를 conjunction으로 활성화
Mars_square_MP_Sun_Moon,Mars,MP_Sun_Moon,square,Mars이(가) Sun/Moon 미드포인트를 square으로 활성화
Mars_opposition_MP_Sun_Moon,Mars,MP_Sun_Moon,opposition,Mars이(가) Sun/Moon 미드포인트를 opposition으로 활성화
Jupiter_conjunction_MP_Sun_Moon,Jupiter,MP_Sun_Moon,conjunction,Jupiter이(가) Sun/Moon 미드포인트를 conjunction으로 활성화
Jupiter_square_MP_Sun_Moon,Jupiter,MP_Sun_Moon,square,Jupiter이(가) Sun/Moon 미드포인트를 square으로 활성화
Jupiter_opposition_MP_Sun_Moon,Jupiter,MP_Sun_Moon,opposition,Jupiter이(가) Sun/Moon 미드포인트를 opposition으로 활성화
Saturn_conjunction_MP_Sun_Moon,Saturn,MP_Sun_Moon,conjunction,Saturn이(가) Sun/Moon 미드포인트를 conjunction으로 활성화
Saturn_square_MP_Sun_Moon,Saturn,MP_Sun_Moon,square,Saturn이(가) Sun/Moon 미드포인트를 square으로 활성화
Saturn_opposition_MP_Sun_Moon,Saturn,MP_Sun_Moon,opposition,Saturn이(가) Sun/Moon 미드포인트를 opposition으로 활성화
Uranus_conjunction_MP_Sun_Moon,Uranus,MP_Sun_Moon,conjunction,Uranus이(가) Sun/Moon 미드포인트를 conjunction으로 활성화
Uranus_square_MP_Sun_Moon,Uranus,MP_Sun_Moon,square,Uranus이(가) Sun/Moon 미드포인트를 square으로 활성화
Uranus_opposition_MP_Sun_Moon,Uranus,MP_Sun_Moon,opposition,Uranus이(가) Sun/Moon 미드포인트를 opposition으로 활성화
Neptune_conjunction_MP_Sun_Moon,Neptune,MP_Sun_Moon,conjunction,Neptune이(가) Sun/Moon 미드포인트를 conjunction으로 활성화
Neptune_square_MP_Sun_Moon,Neptune,MP_Sun_Moon,square,Neptune이(가) Sun/Moon 미드포인트를 square으로 활성화
Neptune_opposition_MP_Sun_Moon,Neptune,MP_Sun_Moon,opposition,Neptune이(가) Sun/Moon 미드포인트를 opposition으로 활성화
Pluto_conjunction_MP_Sun_Moon,Pluto,MP_Sun_Moon,conjunction,Pluto이(가) Sun/Moon 미드포인트를 conjunction으로 활성화
Pluto_square_MP_Sun_Moon,Pluto,MP_Sun_Moon,square,Pluto이(가) Sun/Moon 미드포인트를 square으로 활성화
Pluto_opposition_MP_Sun_Moon,Pluto,MP_Sun_Moon,opposition,Pluto이(가) Sun/Moon 미드포인트를 opposition으로 활성화
Sun_conjunction_MP_Venus_Mars,Sun,MP_Venus_Mars,conjunction,Sun이(가) Venus/Mars 미드포인트를 conjunction으로 활성화
Sun_square_MP_Venus_Mars,Sun,MP_Venus_Mars,square,Sun이(가) Venus/Mars 미드포인트를 square으로 활성화
Sun_opposition_MP_Venus_Mars,Sun,MP_Venus_Mars,opposition,Sun이(가) Venus/Mars 미드포인트를 opposition으로 활성화
Moon_conjunction_MP_Venus_Mars,Moon,MP_Venus_Mars,conjunction,Moon이(가) Venus/Mars 미드포인트를 conjunction으로 활성화
Moon_square_MP_Venus_Mars,Moon,MP_Venus_Mars,square,Moon이(가) Venus/Mars 미드포인트를 square으로 활성화
Moon_opposition_MP_Venus_Mars,Moon,MP_Venus_Mars,opposition,Moon이(가) Venus/Mars 미드포인트를 opposition으로 활성화
Mercury_conjunction_MP_Venus_Mars,Mercury,MP_Venus_Mars,conjunction,Mercury이(가) Venus/Mars 미드포인트를 conjunction으로 활성화
Mercury_square_MP_Venus_Mars,Mercury,MP_Venus_Mars,square,Mercury이(가) Venus/Mars 미드포인트를 square으로 활성화
Mercury_opposition_MP_Venus_Mars,Mercury,MP_Venus_Mars,opposition,Mercury이(가) Venus/Mars 미드포인트를 opposition으로 활성화
Jupiter_conjunction_MP_Venus_Mars,Jupiter,MP_Venus_Mars,conjunction,Jupiter이(가) Venus/Mars 미드포인트를 conjunction으로 활성화
Jupiter_square_MP_Venus_Mars,Jupiter,MP_Venus_Mars,square,Jupiter이(가) Venus/Mars 미드포인트를 square으로 활성화
Jupiter_opposition_MP_Venus_Mars,Jupiter,MP_Venus_Mars,opposition,Jupiter이(가) Venus/Mars 미드포인트를 opposition으로 활성화
Saturn_conjunction_MP_Venus_Mars,Saturn,MP_Venus_Mars,conjunction,Saturn이(가) Venus/Mars 미드포인트를 conjunction으로 활성화
Saturn_square_MP_Venus_Mars,Saturn,MP_Venus_Mars,square,Saturn이(가) Venus/Mars 미드포인트를 square으로 활성화
Saturn_opposition_MP_Venus_Mars,Saturn,MP_Venus_Mars,opposition,Saturn이(가) Venus/Mars 미드포인트를 opposition으로 활성화
Uranus_conjunction_MP_Venus_Mars,Uranus,MP_Venus_Mars,conjunction,Uranus이(가) Venus/Mars 미드포인트를 conjunction으로 활성화
Uranus_square_MP_Venus_Mars,Uranus,MP_Venus_Mars,square,Uranus이(가) Venus/Mars 미드포인트를 square으로 활성화
Uranus_opposition_MP_Venus_Mars,Uranus,MP_Venus_Mars,opposition,Uranus이(가) Venus/Mars 미드포인트를 opposition으로 활성화
Neptune_conjunction_MP_Venus_Mars,Neptune,MP_Venus_Mars,conjunction,Neptune이(가) Venus/Mars 미드포인트를 conjunction으로 활성화
Neptune_square_MP_Venus_Mars,Neptune,MP_Venus_Mars,square,Neptune이(가) Venus/Mars 미드포인트를 square으로 활성화
Neptune_opposition_MP_Venus_Mars,Neptune,MP_Venus_Mars,opposition,Neptune이(가) Venus/Mars 미드포인트를 opposition으로 활성화
