id,label,type,pinnacle_number,period,korean_name,meaning,challenges,opportunities,saju_correlation,description
NP_1,피너클1,numerology_pinnacle,1,1st,첫번째피너클,독립/리더십/새시작/자기신뢰,의존성극복/자신감구축,선구자역할/독자적경로개척,초년대운-자립기반,첫 번째 피너클 1은 독립심과 자기 신뢰를 키우는 시기. 스스로 결정하고 이끄는 법을 배움.
NP_2,피너클2,numerology_pinnacle,2,1st,첫번째피너클,협력/인내/관계/외교,조급함극복/타인과조화,파트너십형성/중재역할,초년대운-관계학습,첫 번째 피너클 2는 협력과 인내를 배우는 시기. 다른 사람과 함께 일하고 기다리는 법을 익힘.
NP_3,피너클3,numerology_pinnacle,3,1st,첫번째피너클,창의성/표현/사교/낙관,산만함극복/집중력개발,예술적재능발현/사교확장,초년대운-표현발달,첫 번째 피너클 3은 창의적 표현과 사교성을 발달시키는 시기. 자신을 표현하는 방법을 배움.
NP_4,피너클4,numerology_pinnacle,4,1st,첫번째피너클,기반구축/노력/질서/한계,게으름극복/인내력구축,견고한기초형성/실용적성공,초년대운-기반형성,첫 번째 피너클 4는 노력과 기반 구축의 시기. 땀 흘려 일하고 견고한 토대를 세우는 법을 배움.
NP_5,피너클5,numerology_pinnacle,5,1st,첫번째피너클,변화/자유/다양성/적응,과잉자유극복/책임감학습,다양한경험/적응력강화,초년대운-변화적응,첫 번째 피너클 5는 변화와 자유를 경험하는 시기. 다양한 경험을 통해 적응력을 키움.
NP_6,피너클6,numerology_pinnacle,6,1st,첫번째피너클,책임/가정/돌봄/조화,과잉헌신극복/균형학습,가정적안정/봉사역할,초년대운-가정학습,첫 번째 피너클 6은 책임과 돌봄을 배우는 시기. 가정이나 공동체에서 역할을 맡음.
NP_7,피너클7,numerology_pinnacle,7,1st,첫번째피너클,내면탐구/분석/영성/고독,고립극복/신뢰개발,지적영적성장/전문성개발,초년대운-탐구기,첫 번째 피너클 7은 내면 탐구와 분석의 시기. 혼자만의 시간을 통해 깊은 이해를 얻음.
NP_8,피너클8,numerology_pinnacle,8,1st,첫번째피너클,성취/권력/물질/판단력,물질집착극복/균형있는성공,사업적성공/리더십발휘,초년대운-성취기,첫 번째 피너클 8은 물질적 성취와 권력을 경험하는 시기. 성공과 실패를 통해 판단력을 키움.
NP_9,피너클9,numerology_pinnacle,9,1st,첫번째피너클,완성/인류애/봉사/지혜,집착극복/내려놓음학습,넓은시야/인도주의활동,초년대운-완성기,첫 번째 피너클 9는 넓은 시야와 봉사를 배우는 시기. 개인을 넘어 더 큰 목적을 위해 일함.
NP_11,피너클11,numerology_pinnacle,11,1st,첫번째피너클,영감/직관/영적사명/빛,긴장감극복/영감활용,영적리더십/직관적통찰,초년대운-영적각성,첫 번째 피너클 11은 영적 영감과 직관이 강화되는 시기. 높은 에너지를 다루는 법을 배움.
NP_22,피너클22,numerology_pinnacle,22,1st,첫번째피너클,거대한건설/비전실현/마스터,압도감극복/단계적실행,대규모프로젝트/사회적영향,초년대운-마스터빌더,첫 번째 피너클 22는 거대한 비전을 현실화하는 시기. 큰 꿈을 단계적으로 실행하는 법을 배움.
NP_2nd_1,두번째피너클1,numerology_pinnacle,1,2nd,두번째피너클,리더십성숙/독립심심화/개인적권위,ego조절/타인존중속독립,경력에서리더역할/독자적사업,청년대운-리더십발휘,두 번째 피너클 1은 성숙한 리더십을 발휘하는 시기. 청년기에 자신만의 길을 개척함.
NP_2nd_4,두번째피너클4,numerology_pinnacle,4,2nd,두번째피너클,커리어구축/가정형성/사회적기반,과로주의/삶의균형,전문성확립/안정된가정,청년대운-기반확립,두 번째 피너클 4는 커리어와 가정의 기반을 세우는 핵심 시기. 사회적 위치를 확립함.
NP_2nd_6,두번째피너클6,numerology_pinnacle,6,2nd,두번째피너클,가정책임/결혼/양육/공동체봉사,과잉책임주의/자기돌봄필요,가정의행복/사회적봉사역할,청년대운-가정중심,"두 번째 피너클 6은 가정과 책임이 중심인 시기. 결혼, 양육, 공동체 활동이 주요 주제."
NP_2nd_8,두번째피너클8,numerology_pinnacle,8,2nd,두번째피너클,물질적성공/사회적지위/권력행사,권력오용주의/윤리적성공,사업성공/재정적안정달성,청년대운-성취절정,두 번째 피너클 8은 물질적 성공과 사회적 지위가 절정에 이르는 시기. 권력을 윤리적으로 사용하는 것이 과제.
NP_3rd_7,세번째피너클7,numerology_pinnacle,7,3rd,세번째피너클,내면의지혜/영적깊이/인생성찰,고립주의/타인과연결유지,영적스승역할/깊은통찰공유,중년대운-내면탐구,세 번째 피너클 7은 내면의 지혜가 깊어지는 시기. 인생 경험이 영적 통찰로 변환됨.
NP_3rd_9,세번째피너클9,numerology_pinnacle,9,3rd,세번째피너클,인류봉사/내려놓음/지혜전수,상실감극복/새로운목적발견,인도주의활동/멘토역할,중년대운-봉사기,세 번째 피너클 9는 넓은 봉사와 내려놓음의 시기. 축적된 지혜를 세상에 나눔.
NP_4th_1,네번째피너클1,numerology_pinnacle,1,4th,네번째피너클,독립적노년/새로운시작/자기재발견,고집극복/유연성유지,제2의인생시작/독자적활동,말년대운-재출발,네 번째 피너클 1은 노년에 새로운 시작을 하는 시기. 은퇴 후 새로운 자아를 발견함.
NP_4th_6,네번째피너클6,numerology_pinnacle,6,4th,네번째피너클,가족과의시간/손주돌봄/유산전수,건강관리/과잉간섭주의,가족의중심/지혜로운어른,말년대운-가정회귀,네 번째 피너클 6은 가족과 함께하는 노년. 손주를 돌보고 가족의 지혜로운 어른이 됨.
NP_4th_9,네번째피너클9,numerology_pinnacle,9,4th,네번째피너클,완성과정리/유산남기기/영적완성,미련극복/평화로운마무리,인생통합/영적평화,말년대운-완성정리,네 번째 피너클 9는 인생을 정리하고 완성하는 시기. 경험을 지혜로 통합하고 평화롭게 마무리함.
