id,source,target,relation,description
REL_Sun_Moon_conjunction,Sun,Moon,conjunction,Sun-Moon 합 (0°): 통합·집중
REL_Sun_Moon_sextile,Sun,Moon,sextile,Sun-Moon 육분 (60°): 기회의 조화
REL_Sun_Moon_square,Sun,Moon,square,Sun-Moon 사각 (90°): 도전 긴장
REL_Sun_Moon_trine,Sun,Moon,trine,Sun-Moon 삼합 (120°): 자연스러운 조화
REL_Sun_Moon_opposition,Sun,Moon,opposition,Sun-Moon 대립 (180°): 극적 균형
REL_Sun_Moon_quincunx,Sun,Moon,quincunx,Sun-Moon 퀸컨크스 (150°): 조율 불균형
REL_Sun_Moon_semi_sextile,Sun,Moon,semi_sextile,Sun-Moon 반육분 (30°): 약한 연결
REL_Sun_Moon_sesqui_quadrate,Sun,Moon,sesqui_quadrate,Sun-Moon 세스퀴사각 (135°): 압박 조정
REL_Sun_Moon_quintile,Sun,Moon,quintile,Sun-Moon 퀸타일 (72°): 창조적 연결
REL_Sun_Mercury_conjunction,Sun,Mercury,conjunction,Sun-Mercury 합 (0°): 통합·집중
REL_Sun_Mercury_sextile,Sun,Mercury,sextile,Sun-Mercury 육분 (60°): 기회의 조화
REL_Sun_Mercury_square,Sun,Mercury,square,Sun-Mercury 사각 (90°): 도전 긴장
REL_Sun_Mercury_trine,Sun,Mercury,trine,Sun-Mercury 삼합 (120°): 자연스러운 조화
REL_Sun_Mercury_opposition,Sun,Mercury,opposition,Sun-Mercury 대립 (180°): 극적 균형
REL_Sun_Mercury_quincunx,Sun,Mercury,quincunx,Sun-Mercury 퀸컨크스 (150°): 조율 불균형
REL_Sun_Mercury_semi_sextile,Sun,Mercury,semi_sextile,Sun-Mercury 반육분 (30°): 약한 연결
REL_Sun_Mercury_sesqui_quadrate,Sun,Mercury,sesqui_quadrate,Sun-Mercury 세스퀴사각 (135°): 압박 조정
REL_Sun_Mercury_quintile,Sun,Mercury,quintile,Sun-Mercury 퀸타일 (72°): 창조적 연결
REL_Sun_Venus_conjunction,Sun,Venus,conjunction,Sun-Venus 합 (0°): 통합·집중
REL_Sun_Venus_sextile,Sun,Venus,sextile,Sun-Venus 육분 (60°): 기회의 조화
REL_Sun_Venus_square,Sun,Venus,square,Sun-Venus 사각 (90°): 도전 긴장
REL_Sun_Venus_trine,Sun,Venus,trine,Sun-Venus 삼합 (120°): 자연스러운 조화
REL_Sun_Venus_opposition,Sun,Venus,opposition,Sun-Venus 대립 (180°): 극적 균형
REL_Sun_Venus_quincunx,Sun,Venus,quincunx,Sun-Venus 퀸컨크스 (150°): 조율 불균형
REL_Sun_Venus_semi_sextile,Sun,Venus,semi_sextile,Sun-Venus 반육분 (30°): 약한 연결
REL_Sun_Venus_sesqui_quadrate,Sun,Venus,sesqui_quadrate,Sun-Venus 세스퀴사각 (135°): 압박 조정
REL_Sun_Venus_quintile,Sun,Venus,quintile,Sun-Venus 퀸타일 (72°): 창조적 연결
REL_Sun_Mars_conjunction,Sun,Mars,conjunction,Sun-Mars 합 (0°): 통합·집중
REL_Sun_Mars_sextile,Sun,Mars,sextile,Sun-Mars 육분 (60°): 기회의 조화
REL_Sun_Mars_square,Sun,Mars,square,Sun-Mars 사각 (90°): 도전 긴장
REL_Sun_Mars_trine,Sun,Mars,trine,Sun-Mars 삼합 (120°): 자연스러운 조화
REL_Sun_Mars_opposition,Sun,Mars,opposition,Sun-Mars 대립 (180°): 극적 균형
REL_Sun_Mars_quincunx,Sun,Mars,quincunx,Sun-Mars 퀸컨크스 (150°): 조율 불균형
REL_Sun_Mars_semi_sextile,Sun,Mars,semi_sextile,Sun-Mars 반육분 (30°): 약한 연결
REL_Sun_Mars_sesqui_quadrate,Sun,Mars,sesqui_quadrate,Sun-Mars 세스퀴사각 (135°): 압박 조정
REL_Sun_Mars_quintile,Sun,Mars,quintile,Sun-Mars 퀸타일 (72°): 창조적 연결
REL_Sun_Jupiter_conjunction,Sun,Jupiter,conjunction,Sun-Jupiter 합 (0°): 통합·집중
REL_Sun_Jupiter_sextile,Sun,Jupiter,sextile,Sun-Jupiter 육분 (60°): 기회의 조화
REL_Sun_Jupiter_square,Sun,Jupiter,square,Sun-Jupiter 사각 (90°): 도전 긴장
REL_Sun_Jupiter_trine,Sun,Jupiter,trine,Sun-Jupiter 삼합 (120°): 자연스러운 조화
REL_Sun_Jupiter_opposition,Sun,Jupiter,opposition,Sun-Jupiter 대립 (180°): 극적 균형
REL_Sun_Jupiter_quincunx,Sun,Jupiter,quincunx,Sun-Jupiter 퀸컨크스 (150°): 조율 불균형
REL_Sun_Jupiter_semi_sextile,Sun,Jupiter,semi_sextile,Sun-Jupiter 반육분 (30°): 약한 연결
REL_Sun_Jupiter_sesqui_quadrate,Sun,Jupiter,sesqui_quadrate,Sun-Jupiter 세스퀴사각 (135°): 압박 조정
