id,source_iching,target_tarot,relation,weight,meaning_ko,description
IT_001,HEX_01_건,TAROT_EMPEROR,원형공명,0.9,창조적권위,건괘(乾)의 창조적 힘이 황제 카드의 권위와 공명
IT_002,HEX_01_건,TAROT_CHARIOT,원형공명,0.85,전진하는의지,건괘의 끊임없는 전진이 전차의 승리 의지와 공명
IT_003,HEX_02_곤,TAROT_EMPRESS,원형공명,0.9,수용적창조,곤괘(坤)의 대지적 수용이 여황제의 풍요와 공명
IT_004,HEX_02_곤,TAROT_HIGH_PRIESTESS,원형공명,0.85,직관적수용,곤괘의 음적 지혜가 여사제의 직관과 공명
IT_005,HEX_03_준,TAROT_FOOL,원형공명,0.85,새로운시작,준괘(屯)의 시작의 어려움이 바보의 새출발과 공명
IT_006,HEX_04_몽,TAROT_HIEROPHANT,원형공명,0.8,배움과가르침,몽괘(蒙)의 계몽이 교황의 가르침과 공명
IT_007,HEX_05_수,TAROT_HANGED_MAN,원형공명,0.85,기다림의지혜,수괘(需)의 기다림이 매달린 남자의 멈춤과 공명
IT_008,HEX_06_송,TAROT_JUSTICE,원형공명,0.9,분쟁과판결,송괘(訟)의 분쟁이 정의 카드의 판결과 공명
IT_009,HEX_07_사,TAROT_CHARIOT,원형공명,0.85,조직과전쟁,사괘(師)의 군대가 전차의 전투 의지와 공명
IT_010,HEX_08_비,TAROT_LOVERS,원형공명,0.8,친밀한연결,비괘(比)의 친밀함이 연인의 결합과 공명
IT_011,HEX_09_소축,TAROT_TEMPERANCE,원형공명,0.8,작은절제,소축(小畜)의 작은 축적이 절제의 균형과 공명
IT_012,HEX_10_이,TAROT_STRENGTH,원형공명,0.85,신중한힘,이괘(履)의 호랑이 밟기가 힘 카드의 용기와 공명
IT_013,HEX_11_태,TAROT_WORLD,원형공명,0.9,완전한조화,태괘(泰)의 태평이 세계 카드의 완성과 공명
IT_014,HEX_12_비,TAROT_TOWER,원형공명,0.85,막힘과붕괴,비괘(否)의 막힘이 탑 카드의 붕괴와 공명
IT_015,HEX_13_동인,TAROT_THREE_OF_CUPS,원형공명,0.8,동료와우정,동인(同人)의 동지가 컵3의 축하와 공명
IT_016,HEX_14_대유,TAROT_SUN,원형공명,0.9,위대한소유,대유(大有)의 풍요가 태양 카드의 성공과 공명
IT_017,HEX_15_겸,TAROT_HERMIT,원형공명,0.85,겸손한지혜,겸괘(謙)의 겸손이 은둔자의 지혜와 공명
IT_018,HEX_16_예,TAROT_STAR,원형공명,0.8,기쁨과희망,예괘(豫)의 기쁨이 별 카드의 희망과 공명
IT_019,HEX_17_수,TAROT_PAGE_OF_CUPS,원형공명,0.75,따르는마음,수괘(隨)의 따름이 컵 시종의 순수함과 공명
IT_020,HEX_18_고,TAROT_DEATH,원형공명,0.85,부패와변환,고괘(蠱)의 부패가 죽음 카드의 변환과 공명
IT_021,HEX_19_임,TAROT_MAGICIAN,원형공명,0.8,다가가는힘,임괘(臨)의 다가감이 마법사의 의지력과 공명
IT_022,HEX_20_관,TAROT_HIGH_PRIESTESS,원형공명,0.85,관조와직관,관괘(觀)의 관찰이 여사제의 직관과 공명
IT_023,HEX_21_서합,TAROT_JUSTICE,원형공명,0.85,깨물어합침,서합(噬嗑)의 판결이 정의 카드와 공명
IT_024,HEX_22_비,TAROT_EMPRESS,원형공명,0.8,아름다움,비괘(賁)의 꾸밈이 여황제의 미와 공명
IT_025,HEX_23_박,TAROT_TEN_OF_SWORDS,원형공명,0.85,벗겨짐과끝,박괘(剝)의 벗겨짐이 검10의 종말과 공명
IT_026,HEX_24_복,TAROT_WHEEL_OF_FORTUNE,원형공명,0.9,돌아옴의순환,복괘(復)의 회귀가 운명의 수레바퀴와 공명
IT_027,HEX_25_무망,TAROT_FOOL,원형공명,0.85,순수한무심,무망(无妄)의 순수가 바보의 무심과 공명
IT_028,HEX_26_대축,TAROT_NINE_OF_PENTACLES,원형공명,0.8,큰축적,대축(大畜)의 축적이 펜타클9의 풍요와 공명
IT_029,HEX_27_이,TAROT_TEMPERANCE,원형공명,0.8,양육과절제,이괘(頤)의 양육이 절제의 균형과 공명
IT_030,HEX_28_대과,TAROT_TOWER,원형공명,0.85,과도함의위험,대과(大過)의 지나침이 탑의 붕괴와 공명
IT_031,HEX_29_감,TAROT_MOON,원형공명,0.9,깊은물과위험,감괘(坎)의 물이 달 카드의 무의식과 공명
IT_032,HEX_30_리,TAROT_SUN,원형공명,0.9,밝은불과명료,리괘(離)의 불이 태양 카드의 밝음과 공명
IT_033,HEX_31_함,TAROT_LOVERS,원형공명,0.9,감응과결합,함괘(咸)의 감응이 연인의 결합과 공명
IT_034,HEX_32_항,TAROT_FOUR_OF_WANDS,원형공명,0.8,항구함과안정,항괘(恆)의 지속이 완드4의 안정과 공명
IT_035,HEX_33_돈,TAROT_HERMIT,원형공명,0.85,물러남과은둔,돈괘(遯)의 물러남이 은둔자와 공명
IT_036,HEX_34_대장,TAROT_STRENGTH,원형공명,0.9,위대한힘,대장(大壯)의 힘이 힘 카드와 공명
IT_037,HEX_35_진,TAROT_SIX_OF_WANDS,원형공명,0.85,나아감과승리,진괘(晉)의 전진이 완드6의 승리와 공명
IT_038,HEX_36_명이,TAROT_FOUR_OF_SWORDS,원형공명,0.8,빛이상함,명이(明夷)의 숨김이 검4의 휴식과 공명
IT_039,HEX_37_가인,TAROT_TEN_OF_PENTACLES,원형공명,0.85,가정과가족,가인(家人)이 펜타클10의 가족과 공명
IT_040,HEX_38_규,TAROT_TWO_OF_SWORDS,원형공명,0.8,어긋남과갈등,규괘(睽)의 어긋남이 검2의 교착과 공명
IT_041,HEX_39_건,TAROT_EIGHT_OF_SWORDS,원형공명,0.85,막힘과장애,건괘(蹇)의 어려움이 검8의 제한과 공명
IT_042,HEX_40_해,TAROT_STAR,원형공명,0.85,풀림과해방,해괘(解)의 풀림이 별의 희망과 공명
IT_043,HEX_41_손,TAROT_FIVE_OF_PENTACLES,원형공명,0.8,줄임과손실,손괘(損)의 덜어냄이 펜타클5와 공명
IT_044,HEX_42_익,TAROT_ACE_OF_PENTACLES,원형공명,0.85,보탬과이익,익괘(益)의 더함이 펜타클에이스와 공명
IT_045,HEX_43_쾌,TAROT_SEVEN_OF_WANDS,원형공명,0.8,결단과돌파,쾌괘(夬)의 결단이 완드7의 방어와 공명
IT_046,HEX_44_구,TAROT_PAGE_OF_SWORDS,원형공명,0.75,만남과기회,구괘(姤)의 만남이 검 시종의 호기심과 공명
IT_047,HEX_45_췌,TAROT_THREE_OF_PENTACLES,원형공명,0.8,모임과협력,췌괘(萃)의 모임이 펜타클3의 협력과 공명
IT_048,HEX_46_승,TAROT_KNIGHT_OF_WANDS,원형공명,0.8,올라감과상승,승괘(升)의 상승이 완드 기사의 전진과 공명
IT_049,HEX_47_곤,TAROT_NINE_OF_SWORDS,원형공명,0.85,곤궁함과고통,곤괘(困)의 곤경이 검9의 고통과 공명
IT_050,HEX_48_정,TAROT_ACE_OF_CUPS,원형공명,0.85,우물과근원,정괘(井)의 우물이 컵에이스의 근원과 공명
IT_051,HEX_49_혁,TAROT_DEATH,원형공명,0.9,혁명과변환,혁괘(革)의 변혁이 죽음 카드의 변환과 공명
IT_052,HEX_50_정,TAROT_QUEEN_OF_PENTACLES,원형공명,0.8,솥과양육,정괘(鼎)의 솥이 펜타클 여왕의 양육과 공명
IT_053,HEX_51_진,TAROT_TOWER,원형공명,0.85,우레와충격,진괘(震)의 우레가 탑의 충격과 공명
IT_054,HEX_52_간,TAROT_FOUR_OF_SWORDS,원형공명,0.85,멈춤과고요,간괘(艮)의 멈춤이 검4의 휴식과 공명
IT_055,HEX_53_점,TAROT_PAGE_OF_PENTACLES,원형공명,0.8,점진적성장,점괘(漸)의 점진이 펜타클 시종과 공명
IT_056,HEX_54_귀매,TAROT_THREE_OF_SWORDS,원형공명,0.8,시집감과이별,귀매(歸妹)의 분리가 검3과 공명
IT_057,HEX_55_풍,TAROT_TEN_OF_CUPS,원형공명,0.85,풍성함과기쁨,풍괘(豐)의 풍성함이 컵10과 공명
IT_058,HEX_56_여,TAROT_KNIGHT_OF_SWORDS,원형공명,0.8,나그네와여행,여괘(旅)의 여행이 검 기사와 공명
IT_059,HEX_57_손,TAROT_PAGE_OF_SWORDS,원형공명,0.75,바람과소통,손괘(巽)의 바람이 검 시종과 공명
IT_060,HEX_58_태,TAROT_NINE_OF_CUPS,원형공명,0.85,기쁨과만족,태괘(兌)의 기쁨이 컵9와 공명
IT_061,HEX_59_환,TAROT_ACE_OF_SWORDS,원형공명,0.8,흩어짐과명료,환괘(渙)의 흩어짐이 검에이스와 공명
IT_062,HEX_60_절,TAROT_TEMPERANCE,원형공명,0.85,절제와균형,절괘(節)의 절제가 절제 카드와 공명
IT_063,HEX_61_중부,TAROT_HIGH_PRIESTESS,원형공명,0.85,안의진실,중부(中孚)의 진실이 여사제와 공명
IT_064,HEX_62_소과,TAROT_FIVE_OF_WANDS,원형공명,0.75,작은지나침,소과(小過)의 작은 과함이 완드5와 공명
IT_065,HEX_63_기제,TAROT_WORLD,원형공명,0.9,이미건넘,기제(旣濟)의 완성이 세계 카드와 공명
IT_066,HEX_64_미제,TAROT_FOOL,원형공명,0.9,아직건너지않음,미제(未濟)의 미완이 바보의 새시작과 공명
IT_067,TAROT_MAJOR_순환,ICHING_64_순환,구조공명,0.95,22장78장의순환,타로의 22 메이저와 주역의 64괘는 모두 순환 구조
IT_068,TAROT_음양,ICHING_음양,근본원리,1.0,음양이원성,타로의 정방향/역방향과 주역의 음양효가 같은 원리
IT_069,TAROT_4원소,ICHING_8괘,원소체계,0.9,원소와팔괘,타로의 4원소(불물공기땅)와 8괘가 유사 체계
IT_070,TAROT_변화,ICHING_변화,핵심원리,1.0,변화의철학,타로와 주역 모두 변화를 핵심 주제로 다룸
