id,label,type,archetype,description,positive_expression,shadow_expression,saju_correlation,dream_symbols,integration_advice
JA_self,자기,jung_archetype,Self,"자기(Self)는 의식과 무의식의 전체성, 정신의 중심이자 목표. 개성화(individuation)의 최종 목적지.","내면의 지혜, 통합된 인격, 진정한 자아실현, 삶의 의미 발견, 전체로서의 조화.","팽창(inflation): 신처럼 되려는 과대망상, 또는 무력감으로의 수축.","일간이 중화되고 용신이 적절히 작용하는 조화로운 사주. 격국이 순수하게 성립된 경우.","만다라, 사위일체(quaternity), 현자, 빛나는 아이, 원, 황금, 보석, 용","자기를 향한 여정은 평생의 과업입니다. 완벽해지려 하지 말고 전체가 되세요."
JA_persona,페르소나,jung_archetype,Persona,"페르소나는 사회적 가면, 외부 세계에 보여주는 적응된 자아. 필요하지만 진정한 자아는 아님.","적절한 사회적 적응, 상황에 맞는 역할 수행, 건강한 자아 경계, 직업적 정체성.","페르소나와의 동일시: 가면 뒤의 진짜 자신을 잃음. 또는 페르소나 거부로 사회 부적응.","정관격, 정재격 등 사회적 역할이 명확한 격국. 관성이 강한 사주.","옷, 가면, 직업 유니폼, 공식 석상, 무대, 거울에 비친 모습","가면은 필요하지만 가면이 나는 아닙니다. 집에서는 가면을 벗으세요."
JA_shadow,그림자,jung_archetype,Shadow,"그림자는 의식이 거부하고 억압한 어두운 측면. 그러나 창조적 에너지의 원천이기도 함.","억압된 에너지의 통합, 창조적 힘, 본능적 지혜, 숨겨진 재능의 발견.","투사: 자신의 그림자를 타인에게 투사하여 미워함. 또는 그림자에 압도당함.","편관(칠살), 상관, 양인 등 제어가 필요한 요소들. 형충파해가 많은 사주.","쫓기는 꿈, 괴물, 도둑, 어두운 인물, 지하실, 검은 동물","당신이 가장 싫어하는 타인의 특성을 살펴보세요. 그것이 당신의 그림자입니다."
JA_anima,아니마,jung_archetype,Anima,"아니마는 남성 무의식 속의 여성적 원리. 감정, 관계, 창조성, 영혼과의 연결.","감정 표현, 관계 능력, 창조적 영감, 영적 감수성, 내면과의 소통.","아니마에 사로잡힘: 변덕, 감정 기복, 여성에 대한 환상이나 경멸.","남성 사주에서 재성(특히 정재)의 상태. 수(水) 기운과 정인의 상태.","여인, 여신, 마녀, 요정, 바다, 달, 인어, 꽃","내면의 여성성을 부정하지 마세요. 그녀는 영혼으로 가는 안내자입니다."
JA_animus,아니무스,jung_archetype,Animus,"아니무스는 여성 무의식 속의 남성적 원리. 로고스, 판단, 행동, 정신적 확신.","독립적 사고, 결단력, 자기 주장, 창조적 행동, 영적 진리 추구.","아니무스에 사로잡힘: 독단, 논쟁적, 완고한 의견, 남성에 대한 환상이나 적대.","여성 사주에서 관성(특히 정관)의 상태. 목(木)/화(火) 기운과 편관의 상태.","남자, 영웅, 전사, 아버지, 왕, 태양, 칼, 독수리","내면의 남성성과 친구가 되세요. 그는 진리로 가는 다리입니다."
JA_great_mother,위대한어머니,jung_archetype,Great_Mother,"위대한 어머니는 양육과 보호의 원형이자 삼키고 파괴하는 측면도 가진 양가적 존재.","무조건적 돌봄, 풍요, 자연과의 연결, 생명력, 안전한 품.","삼키는 어머니: 과보호, 독립 방해, 죄책감 유발. 또는 부재/냉담한 어머니.","인성(특히 정인)의 상태. 월주와 년주의 인성. 토(土) 기운의 상태.","어머니, 여왕, 대지, 동굴, 바다, 자궁, 밤, 숲, 곡식","어머니의 품에서 태어났지만 그 품을 떠나야 성장합니다."
JA_wise_old_man,현자,jung_archetype,Wise_Old_Man,"현자는 지혜, 지식, 영적 인도의 원형. 위기의 순간에 나타나 길을 보여주는 존재.","심오한 지혜, 영적 인도, 삶의 의미 발견, 초월적 관점.","거짓 예언자: 교묘한 조종, 사이비 지도자, 또는 지식에 대한 오만.","편인격, 정인격 중 영적 성향이 강한 경우. 천을귀인, 천덕귀인.","노인, 스승, 마법사, 은둔자, 산, 책, 지팡이, 별","진정한 지혜는 겸손에서 옵니다. 아는 것이 많을수록 모르는 것도 많습니다."
JA_trickster,트릭스터,jung_archetype,Trickster,"트릭스터는 규칙을 어기고 혼란을 일으키지만 그를 통해 새로운 가능성을 여는 원형.","창의적 파괴, 유머, 유연성, 고정관념 타파, 변화의 촉매.","무책임한 혼란, 거짓말, 속임수, 파괴적 유머, 성장 거부.","상관격, 특히 상관이 제어되지 않은 경우. 역마살, 도화살이 강한 사주.","광대, 여우, 까마귀, 원숭이, 장난꾸러기 아이, 도둑","규칙을 깨는 힘이 있다면, 새로운 규칙을 만들 책임도 있습니다."
JA_hero,영웅,jung_archetype,Hero,"영웅은 도전에 맞서고 용을 죽이며 보물을 가져오는 원형. 자아의 탄생과 성장을 상징.","용기, 도전 정신, 역경 극복, 집단을 위한 희생, 새로운 의식의 탄생.","영웅 인플레이션: 무모함, 실패 불인정, 항상 싸워야 한다는 강박.","양인격, 건록격, 편관격 중 제어된 경우. 비겁이 강한 사주.","전사, 칼, 용, 괴물과의 싸움, 보물, 공주 구출, 여정","모든 영웅의 여정은 결국 자신과의 싸움입니다. 외부의 용보다 내면의 용이 더 무섭습니다."
JA_child,아이,jung_archetype,Divine_Child,"신성한 아이는 새로운 시작, 잠재력, 순수성, 미래의 가능성을 상징하는 원형.","순수한 기쁨, 창조적 잠재력, 새로운 시작, 치유, 경이로움.","영원한 소년(Puer): 책임 회피, 성장 거부, 현실 도피. 유기된 아이: 무가치함.","식신격 중 순수한 경우. 장생운. 사주 전체가 어린 에너지를 가진 경우.","아기, 황금 아이, 태양 아이, 알, 씨앗, 꽃봉오리, 새벽","내면의 아이를 돌보되, 어른으로서 책임도 지세요."
