id,label,type,number,name_ko,name_cn,name_en,upper_trigram,lower_trigram,element,description,judgment,image,life_situation,timing_advice,saju_parallel,astro_parallel
hex_01,乾,hexagram,1,건(乾) - 하늘/창조,乾為天,The Creative (Heaven),건,건,금(金),"순수한 양의 에너지로 가득한 괘. 하늘이 위아래로 겹쳐 무한한 창조력과 시작의 힘을 상징한다. 강건하고 쉬지 않는 천도(天道)의 원리를 담고 있다.","원형이정(元亨利貞). 크게 형통하니 올바름을 굳게 지켜야 한다. 큰 뜻을 품고 정도를 걸으라.","하늘이 쉬지 않고 운행하니 군자는 스스로 힘써 쉬지 않는다(天行健 君子以自強不息).","새로운 사업을 시작하거나 큰 결단을 내려야 할 때. 리더십을 발휘해야 하는 시기에 나타난다.","지금이 바로 행동할 때이다. 용기를 갖고 주도적으로 나아가라. 그러나 교만은 경계하라.","갑목(甲木)의 건록(建祿)과 제왕(帝旺) 단계. 비겁(比劫)이 강한 사주와 공명하며 자아 의지가 강력한 상태.","양자리/사자자리. 태양과 화성의 에너지. 1하우스와 10하우스의 주도적 힘. 황도대의 시작점."
hex_02,坤,hexagram,2,곤(坤) - 땅/수용,坤為地,The Receptive (Earth),곤,곤,토(土),"순수한 음의 에너지. 땅이 겹쳐 무한한 수용과 포용력을 상징한다. 만물을 품어 기르는 대지의 덕을 담고 있으며 순종과 겸손의 미덕을 가르친다.","원형이정. 암말의 올바름이 이로우니 순리에 따르라. 먼저 나서면 길을 잃고 따르면 주인을 얻는다.","땅의 형세가 곤순하니 군자는 두터운 덕으로 만물을 싣는다(地勢坤 君子以厚德載物).","누군가를 도와야 하거나 보조적 역할이 필요한 때. 겸손하게 따르며 내실을 다져야 하는 시기.","지금은 주도하기보다 수용하고 따를 때이다. 내면의 힘을 기르며 때를 기다려라.","기토(己土)의 양육 에너지. 정인(正印)과 편인(偏印)의 수용력. 인성이 강한 사주의 특성과 유사.","처녀자리/황소자리. 달과 금성의 에너지. 4하우스와 6하우스의 보살핌. 대지의 여신 에너지."
hex_03,屯,hexagram,3,둔(屯) - 시작의 어려움,水雷屯,Difficulty at the Beginning,감,진,수(水),"물과 우레가 만나 혼돈 속에서 새 생명이 탄생하는 괘. 시작은 어렵지만 그 안에 거대한 가능성이 숨어있다. 싹이 땅을 뚫고 나오는 고통을 상징한다.","원형이정. 크게 형통하나 조급하게 나아가지 말라. 후원자를 세우는 것이 이롭다.","구름과 우레가 어우러지니 군자는 경륜(경영과 다스림)으로 세상을 정리한다.","새로운 일을 시작했으나 온갖 장애물에 부딪히는 때. 창업 초기나 새 관계의 시작점.","서두르지 말라. 기초를 단단히 다지고 조력자를 구하라. 혼란 속에 질서를 만들어가라.","임수(壬水)의 태(胎) 단계. 식상(食傷)이 관(官)을 만나 어려움 속 성장. 초년 대운의 혼란기.","물고기자리/물병자리. 해왕성과 천왕성의 혼돈. 12하우스의 잠재력이 1하우스로 전환되는 시점."
hex_04,蒙,hexagram,4,몽(蒙) - 어리석음/몽매,山水蒙,Youthful Folly,간,감,토(土),"산 아래 샘물이 솟는 형상. 아직 어리고 무지하지만 배움의 잠재력이 있다. 스승을 찾아 겸손히 배워야 하는 때이며 교육과 깨달음의 괘이다.","형통하다. 내가 어린이를 구하는 것이 아니라 어린이가 나를 구한다. 처음 묻는 것은 알려주나 거듭 물으면 모독이니 알려주지 않는다.","산 아래 샘이 나오니 군자는 행동을 과감히 하여 덕을 기른다.","지식이나 경험이 부족하여 판단이 흐린 때. 배움이 필요한 시기나 멘토를 찾아야 할 때.","겸손히 배우라. 고집을 부리지 말고 경험 많은 이의 조언을 구하라. 한 번 물은 것은 깊이 새겨라.","인성(印星)의 역할. 정인(正印)은 올바른 스승 편인(偏印)은 독학의 길. 어린 시절 대운의 교육기.","쌍둥이자리/처녀자리. 수성의 학습 에너지. 3하우스와 9하우스의 교육 축. 목성의 지혜 추구."
hex_05,需,hexagram,5,수(需) - 기다림,水天需,Waiting (Nourishment),감,건,수(水),"하늘 위에 구름이 모여 비를 기다리는 형상. 때가 무르익기를 참을성 있게 기다려야 한다. 성급함을 경계하고 내면을 충실히 하는 지혜를 담고 있다.","성실하고 밝으면 크게 형통하니 올바름이 이롭다. 큰 강을 건너는 것이 이롭다.","구름이 하늘에 오르니 군자는 먹고 마시며 즐겁게 지낸다.","준비는 되었으나 아직 때가 오지 않은 상황. 면접 결과를 기다리거나 투자 수확을 기다릴 때.","조급해하지 말고 마음의 여유를 가져라. 기다리는 동안 자기계발에 힘쓰라. 때는 반드시 온다.","용신(用神)이 아직 투출하지 않은 상태. 대운에서 용신이 올 때를 기다리는 시기. 관(官)을 기다리는 식상.","염소자리/황소자리. 토성의 인내 에너지. 시간의 지배자 크로노스. 10하우스의 성취를 향한 기다림."
hex_06,訟,hexagram,6,송(訟) - 다툼/소송,天水訟,Conflict,건,감,금(金),"하늘은 올라가고 물은 내려가 서로 어긋나는 형상. 의견 충돌과 분쟁의 시기이다. 다툼이 있으나 끝까지 밀어붙이면 흉하니 중재자를 찾아야 한다.","성실하면 막히니 두려워하며 중도를 지키면 길하다. 끝까지 가면 흉하다. 대인을 만나는 것이 이롭다.","하늘과 물이 어긋나니 군자는 일을 시작할 때 처음부터 신중히 계획한다.","법적 분쟁이나 의견 대립이 있는 때. 계약 문제 갈등 소송 등 다툼의 상황.","타협과 양보의 지혜가 필요하다. 끝까지 싸우면 모두 잃는다. 공정한 중재자를 세워라.","편관(偏官)의 충돌 에너지. 관살혼잡(官殺混雜)의 갈등 상태. 비겁과 관성의 대립.","양자리/천칭자리 축. 화성과 금성의 대립. 7하우스의 법적 관계. 천칭자리의 공정한 판단."
hex_07,師,hexagram,7,사(師) - 군대/리더십,地水師,The Army,곤,감,토(土),"땅 속에 물이 모여있는 형상으로 대중의 힘이 응집된 상태. 조직과 규율 리더십의 괘이다. 올바른 지도자 아래 대중이 하나로 뭉쳐야 성공한다.","올바름이 이롭고 어른다운 인물이면 길하며 허물이 없다.","땅 가운데 물이 있으니 군자는 백성을 포용하고 무리를 기른다.","조직을 이끌거나 팀 프로젝트를 관리해야 할 때. 규율과 질서가 필요한 상황.","올바른 명분으로 사람들을 이끌어라. 강압이 아닌 덕으로 다스리라. 조직의 기강을 세워라.","정관(正官)의 통솔력. 비겁(比劫)을 관(官)이 다스리는 구조. 인성(印星)으로 관을 설기하여 유순하게 이끔.","양자리/염소자리. 화성의 전투 에너지와 토성의 규율. 10하우스의 리더십. 사자자리의 왕의 기질."
hex_08,比,hexagram,8,비(比) - 친함/화합,水地比,Holding Together (Union),감,곤,수(水),"땅 위에 물이 있어 자연스럽게 모이는 형상. 사람들이 화합하고 단결하는 괘이다. 중심이 되는 이를 따르면 길하고 늦게 오는 자는 흉하다.","길하다. 다시 점쳐 원형이정하면 허물이 없다. 편안하지 못한 자가 오니 늦게 오면 흉하다.","땅 위에 물이 있으니 선왕은 만국을 세우고 제후와 친하였다.","새로운 그룹에 합류하거나 동맹을 맺어야 할 때. 파트너십과 협력의 시기.","진심으로 사람들과 어울려라. 고립은 해롭다. 좋은 리더나 동료를 빨리 찾아 함께하라.","비겁(比劫)의 동료 에너지. 비견(比肩)의 협력과 겁재(劫財)의 경쟁. 합(合)의 관계.","천칭자리/물병자리. 금성의 화합 에너지. 7하우스와 11하우스의 파트너십과 공동체."
hex_09,小畜,hexagram,9,소축(小畜) - 작은 축적,風天小畜,The Taming Power of the Small,손,건,목(木),"바람이 하늘 위에서 부는 형상. 작은 힘으로 큰 것을 잠시 멈추게 한다. 아직 큰 일을 이룰 힘은 부족하나 작은 것부터 차근차근 모아가야 할 때이다.","형통하다. 빽빽한 구름이 비를 내리지 않으니 우리 서쪽 교외에서 온 것이다.","바람이 하늘 위에 행하니 군자는 문덕(文德)을 아름답게 한다.","아직 큰 성과를 기대하기 어렵지만 조금씩 실력과 자원을 쌓아가야 할 때.","큰 욕심을 내려놓고 작은 것부터 성실히 모아가라. 내면의 교양과 실력을 키우는 데 집중하라.","식신(食神)의 작은 생산 에너지. 재성(財星)이 약한 상태에서 식상으로 조금씩 재를 생하는 과정.","처녀자리/쌍둥이자리. 수성의 세밀한 축적. 2하우스의 자원 관리. 6하우스의 꾸준한 노력."
hex_10,履,hexagram,10,리(履) - 밟음/예절,天澤履,Treading (Conduct),건,태,금(金),"하늘 아래 못이 있는 형상. 호랑이 꼬리를 밟는 것처럼 위험하지만 예절을 지키면 물리지 않는다. 분수를 알고 올바르게 처신하는 지혜의 괘이다.","호랑이 꼬리를 밟으나 사람을 물지 않으니 형통하다.","위는 하늘이요 아래는 못이니 군자는 상하를 분별하여 백성의 뜻을 바르게 한다.","윗사람과의 관계에서 조심해야 할 때. 위험한 상황이지만 올바른 행동으로 넘길 수 있는 시기.","예절과 분수를 지켜라. 위험을 인식하되 두려워하지 말라. 올바른 처신이 당신을 지킨다.","정관(正官)에 대한 올바른 태도. 관성(官星)을 만났을 때 인성(印星)으로 설기하는 지혜.","염소자리/천칭자리. 토성의 규범과 금성의 예절. 10하우스의 사회적 처신. 품격의 에너지."
