id,source,target,relation,description
Solar_Eclipse_H1,Solar_Eclipse,H1,in_house,Solar 이클립스가 1하우스에서 발생
Solar_Eclipse_H2,Solar_Eclipse,H2,in_house,Solar 이클립스가 2하우스에서 발생
Solar_Eclipse_H3,Solar_Eclipse,H3,in_house,Solar 이클립스가 3하우스에서 발생
Solar_Eclipse_H4,Solar_Eclipse,H4,in_house,Solar 이클립스가 4하우스에서 발생
Solar_Eclipse_H5,Solar_Eclipse,H5,in_house,Solar 이클립스가 5하우스에서 발생
Solar_Eclipse_H6,Solar_Eclipse,H6,in_house,Solar 이클립스가 6하우스에서 발생
Solar_Eclipse_H7,Solar_Eclipse,H7,in_house,Solar 이클립스가 7하우스에서 발생
Solar_Eclipse_H8,Solar_Eclipse,H8,in_house,Solar 이클립스가 8하우스에서 발생
Solar_Eclipse_H9,Solar_Eclipse,H9,in_house,Solar 이클립스가 9하우스에서 발생
Solar_Eclipse_H10,Solar_Eclipse,H10,in_house,Solar 이클립스가 10하우스에서 발생
Solar_Eclipse_H11,Solar_Eclipse,H11,in_house,Solar 이클립스가 11하우스에서 발생
Solar_Eclipse_H12,Solar_Eclipse,H12,in_house,Solar 이클립스가 12하우스에서 발생
Lunar_Eclipse_H1,Lunar_Eclipse,H1,in_house,Lunar 이클립스가 1하우스에서 발생
Lunar_Eclipse_H2,Lunar_Eclipse,H2,in_house,Lunar 이클립스가 2하우스에서 발생
Lunar_Eclipse_H3,Lunar_Eclipse,H3,in_house,Lunar 이클립스가 3하우스에서 발생
Lunar_Eclipse_H4,Lunar_Eclipse,H4,in_house,Lunar 이클립스가 4하우스에서 발생
Lunar_Eclipse_H5,Lunar_Eclipse,H5,in_house,Lunar 이클립스가 5하우스에서 발생
Lunar_Eclipse_H6,Lunar_Eclipse,H6,in_house,Lunar 이클립스가 6하우스에서 발생
Lunar_Eclipse_H7,Lunar_Eclipse,H7,in_house,Lunar 이클립스가 7하우스에서 발생
Lunar_Eclipse_H8,Lunar_Eclipse,H8,in_house,Lunar 이클립스가 8하우스에서 발생
Lunar_Eclipse_H9,Lunar_Eclipse,H9,in_house,Lunar 이클립스가 9하우스에서 발생
Lunar_Eclipse_H10,Lunar_Eclipse,H10,in_house,Lunar 이클립스가 10하우스에서 발생
Lunar_Eclipse_H11,Lunar_Eclipse,H11,in_house,Lunar 이클립스가 11하우스에서 발생
Lunar_Eclipse_H12,Lunar_Eclipse,H12,in_house,Lunar 이클립스가 12하우스에서 발생
Solar_Eclipse_Aries,Solar_Eclipse,Aries,in_sign,Solar 이클립스가 Aries에서 발생
Solar_Eclipse_Taurus,Solar_Eclipse,Taurus,in_sign,Solar 이클립스가 Taurus에서 발생
Solar_Eclipse_Gemini,Solar_Eclipse,Gemini,in_sign,Solar 이클립스가 Gemini에서 발생
Solar_Eclipse_Cancer,Solar_Eclipse,Cancer,in_sign,Solar 이클립스가 Cancer에서 발생
Solar_Eclipse_Leo,Solar_Eclipse,Leo,in_sign,Solar 이클립스가 Leo에서 발생
Solar_Eclipse_Virgo,Solar_Eclipse,Virgo,in_sign,Solar 이클립스가 Virgo에서 발생
Solar_Eclipse_Libra,Solar_Eclipse,Libra,in_sign,Solar 이클립스가 Libra에서 발생
Solar_Eclipse_Scorpio,Solar_Eclipse,Scorpio,in_sign,Solar 이클립스가 Scorpio에서 발생
Solar_Eclipse_Sagittarius,Solar_Eclipse,Sagittarius,in_sign,Solar 이클립스가 Sagittarius에서 발생
Solar_Eclipse_Capricorn,Solar_Eclipse,Capricorn,in_sign,Solar 이클립스가 Capricorn에서 발생
Solar_Eclipse_Aquarius,Solar_Eclipse,Aquarius,in_sign,Solar 이클립스가 Aquarius에서 발생
Solar_Eclipse_Pisces,Solar_Eclipse,Pisces,in_sign,Solar 이클립스가 Pisces에서 발생
Lunar_Eclipse_Aries,Lunar_Eclipse,Aries,in_sign,Lunar 이클립스가 Aries에서 발생
Lunar_Eclipse_Taurus,Lunar_Eclipse,Taurus,in_sign,Lunar 이클립스가 Taurus에서 발생
Lunar_Eclipse_Gemini,Lunar_Eclipse,Gemini,in_sign,Lunar 이클립스가 Gemini에서 발생
Lunar_Eclipse_Cancer,Lunar_Eclipse,Cancer,in_sign,Lunar 이클립스가 Cancer에서 발생
Lunar_Eclipse_Leo,Lunar_Eclipse,Leo,in_sign,Lunar 이클립스가 Leo에서 발생
Lunar_Eclipse_Virgo,Lunar_Eclipse,Virgo,in_sign,Lunar 이클립스가 Virgo에서 발생
Lunar_Eclipse_Libra,Lunar_Eclipse,Libra,in_sign,Lunar 이클립스가 Libra에서 발생
Lunar_Eclipse_Scorpio,Lunar_Eclipse,Scorpio,in_sign,Lunar 이클립스가 Scorpio에서 발생
Lunar_Eclipse_Sagittarius,Lunar_Eclipse,Sagittarius,in_sign,Lunar 이클립스가 Sagittarius에서 발생
Lunar_Eclipse_Capricorn,Lunar_Eclipse,Capricorn,in_sign,Lunar 이클립스가 Capricorn에서 발생
Lunar_Eclipse_Aquarius,Lunar_Eclipse,Aquarius,in_sign,Lunar 이클립스가 Aquarius에서 발생
Lunar_Eclipse_Pisces,Lunar_Eclipse,Pisces,in_sign,Lunar 이클립스가 Pisces에서 발생
