id,label,type,day,korean_name,core_trait,strengths,challenges,life_lesson,career_hints,description
NB_1,생일수1,numerology_birthday,1,1일생,독립적리더,독립심/창의성/리더십/결단력,고집/외로움/타인무시,협력의가치배우기,CEO/창업/독립사업,1일생은 태어난 리더. 독립적이고 창의적이며 새로운 것을 시작하는 능력이 뛰어남.
NB_2,생일수2,numerology_birthday,2,2일생,협력적중재자,외교력/감수성/협력/인내,우유부단/과민감/의존,자기주장배우기,상담/외교/파트너십,2일생은 조화의 달인. 타인과 협력하고 중재하는 능력이 뛰어나며 섬세한 감수성.
NB_3,생일수3,numerology_birthday,3,3일생,창의적표현자,창의성/표현력/사교성/낙관,산만함/피상적/과장,집중력과깊이,예술/작가/연예/광고,3일생은 창조의 불꽃. 자기 표현이 뛰어나고 사교적이며 낙관적인 에너지.
NB_4,생일수4,numerology_birthday,4,4일생,안정적건설자,실용성/인내/조직력/신뢰,경직/고집/과로,유연성배우기,건축/관리/회계/공학,4일생은 견고한 기반. 실용적이고 꾸준하며 체계적으로 기반을 세우는 능력.
NB_5,생일수5,numerology_birthday,5,5일생,자유로운모험가,적응력/다재다능/변화/자유,불안정/산만/무책임,책임과안정배우기,여행/영업/미디어/변화산업,5일생은 변화의 바람. 자유를 사랑하고 다양한 경험을 추구하며 적응력이 뛰어남.
NB_6,생일수6,numerology_birthday,6,6일생,책임있는돌봄이,책임감/돌봄/조화/예술,과잉책임/간섭/완벽주의,건강한경계설정,교육/의료/서비스/디자인,6일생은 사랑의 담지자. 가정과 공동체를 돌보며 조화와 아름다움을 추구.
NB_7,생일수7,numerology_birthday,7,7일생,깊은탐구자,분석력/직관/영성/연구,고립/냉소/과분석,신뢰와연결배우기,연구/철학/영성/분석,7일생은 진리의 탐구자. 깊이 파고들어 분석하며 영적 통찰을 추구.
NB_8,생일수8,numerology_birthday,8,8일생,성취하는권위자,야심/판단력/성취/리더십,물질집착/일중독/독재,균형과나눔배우기,경영/금융/법률/정치,8일생은 물질계의 달인. 성취를 향해 노력하며 권위와 성공을 추구.
NB_9,생일수9,numerology_birthday,9,9일생,인류를위한봉사자,인류애/지혜/관용/예술,과도한이상/실망/내려놓기어려움,집착내려놓기,인도주의/예술/치유/교육,9일생은 지혜의 완성자. 넓은 시야로 인류를 위해 봉사하며 내려놓음을 배움.
NB_10,생일수10,numerology_birthday,10,10일생,독립적개척자,독립심/창의성/결단력/리더십,외로움/고집/과도한독립,팀워크배우기,리더십역할/창업/혁신,10일생은 1의 에너지에 0의 잠재력이 더해짐. 강력한 독립심과 개척 정신.
NB_11,생일수11,numerology_birthday,11,11일생,영감받은직관가,직관/영감/이상주의/카리스마,긴장/비현실적/예민,영감을현실로,영적리더/예술/상담/미디어,11일생은 마스터 넘버. 강력한 직관과 영감으로 다른 사람을 이끌고 영감을 줌.
NB_12,생일수12,numerology_birthday,12,12일생,창의적표현자,창의성/사교성/표현력/다재다능,산만/감정기복/우유부단,집중과헌신,창작/연예/광고/소통,12일생은 창조적 에너지가 풍부. 다양한 재능을 가지고 자기를 표현함.
NB_13,생일수13,numerology_birthday,13,13일생,변환의건설자,노력/인내/변환능력/실용성,장애물/시련/좌절,인내로극복하기,경영/건축/혁신/재건,13일생은 카르마 숫자. 장애물을 만나지만 노력으로 견고한 것을 건설.
