edge_id,source,target,relation,weight,description
d437c5d41a424ab3,TM_00,TCOMB_TM_00_TM_01,combo_member,1,TM_00 participates in 바보+마법사 via combo_member.
e54dff3161cc7428,TM_01,TCOMB_TM_00_TM_01,combo_member,1,TM_01 participates in 바보+마법사 via combo_member.
258fb97863fc2ed3,TM_00,TCOMB_TM_00_TM_02,combo_member,1,TM_00 participates in 바보+여사제 via combo_member.
505aeb413501e9db,TM_02,TCOMB_TM_00_TM_02,combo_member,1,TM_02 participates in 바보+여사제 via combo_member.
c388ee81e30378c8,TM_00,TCOMB_TM_00_TM_03,combo_member,1,TM_00 participates in 바보+여황제 via combo_member.
bdcdb6dcea0f87c9,TM_03,TCOMB_TM_00_TM_03,combo_member,1,TM_03 participates in 바보+여황제 via combo_member.
1338dc52b55f176f,TM_00,TCOMB_TM_00_TM_04,combo_member,1,TM_00 participates in 바보+황제 via combo_member.
76dc6c217b0d1653,TM_04,TCOMB_TM_00_TM_04,combo_member,1,TM_04 participates in 바보+황제 via combo_member.
7cab44634cebe91c,TM_00,TCOMB_TM_00_TM_05,combo_member,1,TM_00 participates in 바보+교황 via combo_member.
74aced808c78db1d,TM_05,TCOMB_TM_00_TM_05,combo_member,1,TM_05 participates in 바보+교황 via combo_member.
6f9a67b212ea5988,TM_00,TCOMB_TM_00_TM_06,combo_member,1,TM_00 participates in 바보+연인 via combo_member.
2e6a4379269ea66a,TM_06,TCOMB_TM_00_TM_06,combo_member,1,TM_06 participates in 바보+연인 via combo_member.
56912ada57486da6,TM_00,TCOMB_TM_00_TM_07,combo_member,1,TM_00 participates in 바보+전차 via combo_member.
f87a10f2c24fb1c7,TM_07,TCOMB_TM_00_TM_07,combo_member,1,TM_07 participates in 바보+전차 via combo_member.
a6158b29d91ff29f,TM_00,TCOMB_TM_00_TM_08,combo_member,1,TM_00 participates in 바보+힘 via combo_member.
ee70038c9effb191,TM_08,TCOMB_TM_00_TM_08,combo_member,1,TM_08 participates in 바보+힘 via combo_member.
aaaeb591cbd57098,TM_00,TCOMB_TM_00_TM_09,combo_member,1,TM_00 participates in 바보+은둔자 via combo_member.
2d9f75fbd800f205,TM_09,TCOMB_TM_00_TM_09,combo_member,1,TM_09 participates in 바보+은둔자 via combo_member.
62bb69f855c17a23,TM_00,TCOMB_TM_00_TM_10,combo_member,1,TM_00 participates in 바보+운명의수레바퀴 via combo_member.
a33d075d57c30612,TM_10,TCOMB_TM_00_TM_10,combo_member,1,TM_10 participates in 바보+운명의수레바퀴 via combo_member.
1a1f712a95af6c2e,TM_00,TCOMB_TM_00_TM_11,combo_member,1,TM_00 participates in 바보+정의 via combo_member.
fc1bd7a62bb4af49,TM_11,TCOMB_TM_00_TM_11,combo_member,1,TM_11 participates in 바보+정의 via combo_member.
a56c7c145b19d5ef,TM_00,TCOMB_TM_00_TM_12,combo_member,1,TM_00 participates in 바보+매달린사람 via combo_member.
6cc9c19c57b160ad,TM_12,TCOMB_TM_00_TM_12,combo_member,1,TM_12 participates in 바보+매달린사람 via combo_member.
0308aa00221c5e1e,TM_00,TCOMB_TM_00_TM_13,combo_member,1,TM_00 participates in 바보+죽음 via combo_member.
e54d2ed30a071c7d,TM_13,TCOMB_TM_00_TM_13,combo_member,1,TM_13 participates in 바보+죽음 via combo_member.
3297dea74c7748b5,TM_00,TCOMB_TM_00_TM_14,combo_member,1,TM_00 participates in 바보+절제 via combo_member.
92a8b9909ce83acc,TM_14,TCOMB_TM_00_TM_14,combo_member,1,TM_14 participates in 바보+절제 via combo_member.
d1b91c50cee52cd3,TM_00,TCOMB_TM_00_TM_15,combo_member,1,TM_00 participates in 바보+악마 via combo_member.
7e4caf54b150b128,TM_15,TCOMB_TM_00_TM_15,combo_member,1,TM_15 participates in 바보+악마 via combo_member.
2c6ccc444cebf36b,TM_00,TCOMB_TM_00_TM_16,combo_member,1,TM_00 participates in 바보+탑 via combo_member.
723a8a6aced1ec82,TM_16,TCOMB_TM_00_TM_16,combo_member,1,TM_16 participates in 바보+탑 via combo_member.
72702e0d56876c0f,TM_00,TCOMB_TM_00_TM_17,combo_member,1,TM_00 participates in 바보+별 via combo_member.
5970d6aa98e36511,TM_17,TCOMB_TM_00_TM_17,combo_member,1,TM_17 participates in 바보+별 via combo_member.
d8e2acb3619bc291,TM_00,TCOMB_TM_00_TM_18,combo_member,1,TM_00 participates in 바보+달 via combo_member.
ee96e4023dbffbde,TM_18,TCOMB_TM_00_TM_18,combo_member,1,TM_18 participates in 바보+달 via combo_member.
2d052f07b7d427d8,TM_00,TCOMB_TM_00_TM_19,combo_member,1,TM_00 participates in 바보+태양 via combo_member.
