id,source,target,relation,description
LINK_GANJI_SIBSIN_갑술_겁재_GAN,GAN_갑술_겁재,GAN_갑술,has_ganji,GAN_갑술_겁재 -> GAN_갑술 연결
LINK_GANJI_SIBSIN_갑술_겁재_SS,GAN_갑술_겁재,SS_겁재,has_sibsin,GAN_갑술_겁재 -> SS_겁재 연결
LINK_GANJI_SIBSIN_갑술_비견_GAN,GAN_갑술_비견,GAN_갑술,has_ganji,GAN_갑술_비견 -> GAN_갑술 연결
LINK_GANJI_SIBSIN_갑술_비견_SS,GAN_갑술_비견,SS_비견,has_sibsin,GAN_갑술_비견 -> SS_비견 연결
LINK_GANJI_SIBSIN_갑술_상관_GAN,GAN_갑술_상관,GAN_갑술,has_ganji,GAN_갑술_상관 -> GAN_갑술 연결
LINK_GANJI_SIBSIN_갑술_상관_SS,GAN_갑술_상관,SS_상관,has_sibsin,GAN_갑술_상관 -> SS_상관 연결
LINK_GANJI_SIBSIN_갑술_식신_GAN,GAN_갑술_식신,GAN_갑술,has_ganji,GAN_갑술_식신 -> GAN_갑술 연결
LINK_GANJI_SIBSIN_갑술_식신_SS,GAN_갑술_식신,SS_식신,has_sibsin,GAN_갑술_식신 -> SS_식신 연결
LINK_GANJI_SIBSIN_갑술_정관_GAN,GAN_갑술_정관,GAN_갑술,has_ganji,GAN_갑술_정관 -> GAN_갑술 연결
LINK_GANJI_SIBSIN_갑술_정관_SS,GAN_갑술_정관,SS_정관,has_sibsin,GAN_갑술_정관 -> SS_정관 연결
LINK_GANJI_SIBSIN_갑술_정인_GAN,GAN_갑술_정인,GAN_갑술,has_ganji,GAN_갑술_정인 -> GAN_갑술 연결
LINK_GANJI_SIBSIN_갑술_정인_SS,GAN_갑술_정인,SS_정인,has_sibsin,GAN_갑술_정인 -> SS_정인 연결
LINK_GANJI_SIBSIN_갑술_정재_GAN,GAN_갑술_정재,GAN_갑술,has_ganji,GAN_갑술_정재 -> GAN_갑술 연결
LINK_GANJI_SIBSIN_갑술_정재_SS,GAN_갑술_정재,SS_정재,has_sibsin,GAN_갑술_정재 -> SS_정재 연결
LINK_GANJI_SIBSIN_갑술_편관_GAN,GAN_갑술_편관,GAN_갑술,has_ganji,GAN_갑술_편관 -> GAN_갑술 연결
LINK_GANJI_SIBSIN_갑술_편관_SS,GAN_갑술_편관,SS_편관,has_sibsin,GAN_갑술_편관 -> SS_편관 연결
LINK_GANJI_SIBSIN_갑술_편인_GAN,GAN_갑술_편인,GAN_갑술,has_ganji,GAN_갑술_편인 -> GAN_갑술 연결
LINK_GANJI_SIBSIN_갑술_편인_SS,GAN_갑술_편인,SS_편인,has_sibsin,GAN_갑술_편인 -> SS_편인 연결
LINK_GANJI_SIBSIN_갑술_편재_GAN,GAN_갑술_편재,GAN_갑술,has_ganji,GAN_갑술_편재 -> GAN_갑술 연결
LINK_GANJI_SIBSIN_갑술_편재_SS,GAN_갑술_편재,SS_편재,has_sibsin,GAN_갑술_편재 -> SS_편재 연결
LINK_GANJI_SIBSIN_갑신_겁재_GAN,GAN_갑신_겁재,GAN_갑신,has_ganji,GAN_갑신_겁재 -> GAN_갑신 연결
LINK_GANJI_SIBSIN_갑신_겁재_SS,GAN_갑신_겁재,SS_겁재,has_sibsin,GAN_갑신_겁재 -> SS_겁재 연결
LINK_GANJI_SIBSIN_갑신_비견_GAN,GAN_갑신_비견,GAN_갑신,has_ganji,GAN_갑신_비견 -> GAN_갑신 연결
LINK_GANJI_SIBSIN_갑신_비견_SS,GAN_갑신_비견,SS_비견,has_sibsin,GAN_갑신_비견 -> SS_비견 연결
LINK_GANJI_SIBSIN_갑신_상관_GAN,GAN_갑신_상관,GAN_갑신,has_ganji,GAN_갑신_상관 -> GAN_갑신 연결
LINK_GANJI_SIBSIN_갑신_상관_SS,GAN_갑신_상관,SS_상관,has_sibsin,GAN_갑신_상관 -> SS_상관 연결
LINK_GANJI_SIBSIN_갑신_식신_GAN,GAN_갑신_식신,GAN_갑신,has_ganji,GAN_갑신_식신 -> GAN_갑신 연결
LINK_GANJI_SIBSIN_갑신_식신_SS,GAN_갑신_식신,SS_식신,has_sibsin,GAN_갑신_식신 -> SS_식신 연결
LINK_GANJI_SIBSIN_갑신_정관_GAN,GAN_갑신_정관,GAN_갑신,has_ganji,GAN_갑신_정관 -> GAN_갑신 연결
LINK_GANJI_SIBSIN_갑신_정관_SS,GAN_갑신_정관,SS_정관,has_sibsin,GAN_갑신_정관 -> SS_정관 연결
LINK_GANJI_SIBSIN_갑신_정인_GAN,GAN_갑신_정인,GAN_갑신,has_ganji,GAN_갑신_정인 -> GAN_갑신 연결
