id,label,type,ganji_pair,napeum_element,napeum_name,description,personality_trait,career_affinity,health_tendency,advice
NP_01_해중금,해중금,napeum,갑자/을축,금,海中金 (바다 속 금),"수중에 잠긴 보석처럼 아직 세상에 드러나지 않은 재능을 상징한다. 깊은 바다 밑에 숨겨진 금은 시간이 지나야 비로소 그 진가를 발휘하며 인내와 잠재력의 에너지를 품고 있다.","내면에 큰 재능과 잠재력을 지니고 있으나 쉽게 드러내지 않는 성격이다. 겸손하고 신중하며 때를 기다릴 줄 아는 인내심이 강하다. 겉으로는 평범해 보이나 내면에 깊은 통찰력과 지혜를 품고 있어 중년 이후 빛을 발하는 경우가 많다.","연구직, 학자, 보석 감정사, 해양 관련 업종, 심층 분석가, 투자 전문가 등 깊이 있는 전문성을 요구하는 분야에서 두각을 나타낸다. 초기에는 두각을 나타내지 못하더라도 꾸준한 노력으로 중후반에 큰 성과를 이룬다.","폐와 호흡기 계통에 주의가 필요하며 수기(水氣)가 금을 감싸고 있어 신장과 방광 건강에도 관심을 기울여야 한다. 규칙적인 운동과 충분한 수분 섭취가 건강 유지의 핵심이다.","자신의 재능이 늦게 꽃피는 유형임을 인정하고 조급해하지 말아야 한다. 꾸준한 자기계발과 내면의 성장에 집중하면 반드시 빛나는 때가 온다. 주변의 평가에 흔들리지 말고 자신만의 길을 묵묵히 걸어가라."
NP_02_노중화,노중화,napeum,병인/정묘,화,爐中火 (화로 속 불),"화로 안에 담긴 불꽃은 열정적이면서도 통제된 에너지를 상징한다. 무분별하게 타오르지 않고 목적에 맞게 조절되는 힘이며 도자기를 굽고 쇠를 녹이는 실용적 변환의 에너지를 지닌다.","열정적이고 에너지가 넘치지만 함부로 폭발하지 않는 절제력을 갖추고 있다. 목표 지향적이며 한번 마음먹은 일은 끝까지 해내는 집념이 강하다. 따뜻한 성품으로 주변 사람들에게 온기를 전하는 매력이 있다.","제조업, 요리사, 예술 분야(도예 공예 등), 엔지니어링, 에너지 산업, 교육자 등 열과 변환을 다루는 분야에 적합하다. 기술적 전문성과 창조적 열정을 결합하여 독보적인 결과물을 만들어낸다.","심장과 소장 계통에 유의해야 하며 화기(火氣)가 과하면 혈압 상승이나 안구 건조에 시달릴 수 있다. 스트레스 관리와 충분한 휴식으로 화기의 과잉을 방지해야 한다.","열정을 쏟을 대상을 신중하게 선택하고 에너지를 분산시키지 말아야 한다. 화로의 불처럼 한 곳에 집중하여 의미 있는 결과물을 만들어내는 것이 성공의 비결이다. 과로와 번아웃에 주의하라."
NP_03_대림목,대림목,napeum,무진/기사,목,大林木 (큰 숲의 나무),"울창한 숲을 이루는 거대한 나무들의 에너지로 포용력과 성장 그리고 공동체의 힘을 상징한다. 단독으로도 강하지만 함께 숲을 이룰 때 더욱 강력한 생태계를 형성하는 에너지이다.","포용력이 크고 사람을 품는 넓은 그릇을 지녔다. 리더십이 자연스럽게 발휘되며 조직을 이끌고 성장시키는 능력이 탁월하다. 느긋하고 대범하지만 뿌리가 깊어 쉽게 흔들리지 않는 안정감이 있다.","경영자, 조직 관리자, 교육 행정가, 환경 분야, 농림 관련 사업, 부동산 개발 등 큰 틀을 설계하고 성장시키는 분야에 적합하다. 팀을 이끌고 조직을 키우는 역할에서 최고의 성과를 낸다.","간과 담낭 계통의 건강에 주의가 필요하다. 목기(木氣)가 강하여 근육통이나 관절 문제가 발생할 수 있으며 스트레칭과 유연성 운동이 도움이 된다. 녹색 채소와 신맛 나는 음식이 건강에 이롭다.","혼자서 모든 것을 이루려 하기보다 주변 사람들과 함께 성장하는 숲의 지혜를 본받아야 한다. 뿌리를 깊이 내리되 가지를 넓게 펼쳐 많은 사람을 품는 리더가 되어라. 작은 성과에 안주하지 말고 큰 그림을 그려라."
NP_04_노방토,노방토,napeum,경오/신미,토,路傍土 (길가의 흙),"길가에 놓인 흙으로 수많은 사람들이 밟고 지나가는 겸손하고 봉사적인 에너지를 상징한다. 화려하지는 않지만 모든 사람이 의지하는 기반이 되며 묵묵한 인내와 헌신의 덕목을 품고 있다.","겸손하고 성실하며 남을 돕는 일에 보람을 느끼는 성격이다. 화려한 주목을 받기보다 묵묵히 자신의 자리에서 최선을 다하는 성실함이 있다. 다만 지나친 희생정신으로 자신을 소홀히 할 수 있어 주의가 필요하다.","공무원, 사회복지사, 간호사, 건축 기초공사, 도로 교통 관련 업종, 농업 등 사회 기반을 다지는 분야에서 빛을 발한다. 사람들을 지원하고 돕는 역할에서 큰 보람을 느낀다.","소화기 계통과 비위(脾胃) 건강에 주의해야 한다. 스트레스를 몸으로 받는 경향이 있어 위장 장애나 피부 문제가 나타날 수 있다. 규칙적인 식사와 소화에 좋은 음식을 섭취하는 것이 중요하다.","자신을 너무 낮추지 말고 적절한 자기 가치 인식이 필요하다. 봉사하되 자신의 건강과 행복도 챙기는 균형 감각을 길러야 한다. 길가의 흙이 단단해져야 모든 사람이 안전하게 지나갈 수 있음을 기억하라."
NP_05_검봉금,검봉금,napeum,임신/계유,금,劍鋒金 (칼날의 금),"날카롭게 벼려진 칼의 금속으로 결단력과 정밀함 그리고 강인한 의지를 상징한다. 모든 금 중에서 가장 예리하고 강력한 에너지로 정의를 관철하고 불의를 베어내는 힘을 지닌다.","결단력이 뛰어나고 시비를 분명히 가리는 정의감이 강하다. 예리한 분석력과 비판적 사고를 지니고 있으며 타협을 모르는 완고한 면이 있다. 한번 결정하면 물러서지 않는 강인한 의지의 소유자이다.","검찰 법조인 군인 외과의사 정밀기계 엔지니어 비평가 등 날카로운 판단력과 결단력이 요구되는 분야에 최적이다. 문제를 정확히 진단하고 해결하는 능력이 탁월하다.","폐와 대장 계통에 주의가 필요하며 금기(金氣)가 너무 강하면 호흡기 질환이나 피부 건조 문제가 생길 수 있다. 날카로운 기운을 완화하기 위해 충분한 수분 섭취와 이완 운동이 필요하다.","칼이 너무 날카로우면 스스로를 다칠 수 있듯이 지나친 비판과 완벽주의를 경계해야 한다. 부드러움과 유연함도 강함의 일부임을 배우고 타인에 대한 관용을 키우는 것이 인생의 과제이다."
NP_06_산두화,산두화,napeum,갑술/을해,화,山頭火 (산꼭대기 불),"산 정상에서 타오르는 봉화로 멀리서도 보이는 지도력과 비전의 상징이다. 높은 곳에서 사방을 비추는 빛처럼 큰 영향력을 행사하며 사람들을 이끄는 카리스마를 지닌다.","리더십이 강하고 원대한 비전을 가진 이상주의자이다. 높은 목표를 설정하고 이를 향해 끊임없이 나아가는 추진력이 있다. 카리스마와 존재감이 뛰어나 자연스럽게 사람들의 시선을 끈다.","CEO, 정치인, 종교 지도자, 등산 가이드, 전망대 관련 업종, 방송인 등 높은 위치에서 영향력을 행사하는 분야에 적합하다. 큰 조직을 이끌고 방향을 제시하는 역할에서 두각을 나타낸다.","심장과 혈관 계통 그리고 눈 건강에 주의해야 한다. 높은 곳의 화기는 머리 쪽으로 열이 오르기 쉬워 두통이나 불면에 시달릴 수 있다. 명상과 하체 운동으로 기운의 균형을 맞추는 것이 좋다.","높은 곳에 있을수록 겸손해야 한다. 산 정상의 불은 바람에 쉽게 꺼질 수 있으므로 기반을 단단히 다지는 것이 중요하다. 혼자 빛나려 하기보다 주변을 비추는 등대의 역할을 할 때 진정한 리더십이 발휘된다."
NP_07_간하수,간하수,napeum,병자/정축,수,澗下水 (계곡 아래 물),"깊은 골짜기 아래를 흐르는 물로 깊은 지혜와 인내 그리고 조용한 힘을 상징한다. 외부에서 쉽게 보이지 않는 곳에서 묵묵히 흐르며 바위도 뚫는 끈기를 지니고 있다.","조용하고 사려 깊으며 깊은 통찰력을 가지고 있다. 겉으로 드러내기보다 내면에서 깊이 사유하는 철학적 성향이 강하다. 인내심이 깊고 한번 정한 방향으로 꾸준히 나아가는 지구력이 있다.","철학자, 심리상담사, 연구원, 지하수 개발, 수맥 탐사, 명상 지도자 등 깊이 있는 사고와 인내가 필요한 분야에 적합하다. 조용히 성과를 쌓아가는 분야에서 큰 업적을 이룬다.","신장과 방광 그리고 생식기 계통의 건강에 유의해야 한다. 수기(水氣)가 깊어 냉증이나 하체 순환 장애가 올 수 있다. 따뜻한 음식과 하체 보온 그리고 적절한 운동으로 기혈 순환을 촉진해야 한다.","지나치게 내면에만 침잠하지 말고 때로는 세상 밖으로 나와 자신의 지혜를 나누어야 한다. 물은 결국 바다로 흘러가듯이 자신의 재능도 세상과 소통할 때 더 큰 가치를 발휘한다. 고립을 경계하라."
NP_08_성두토,성두토,napeum,무인/기묘,토,城頭土 (성벽의 흙),"성벽을 이루는 견고한 흙으로 방어력과 보호 본능 그리고 안전을 상징한다. 외부의 위협으로부터 내부를 지키는 단단한 의지와 책임감의 에너지를 지니고 있다.","보호 본능이 강하고 가족과 조직을 지키려는 책임감이 크다. 외부 위협에 강하게 대응하며 신뢰할 수 있는 든든한 존재이다. 다소 보수적이고 변화를 꺼리는 경향이 있지만 안정감을 주는 성격이다.","군인, 경비원, 보안 전문가, 건축가, 보험 설계사, 방어 시스템 개발자 등 보호와 안전을 다루는 분야에 적합하다. 조직의 방패 역할을 하며 위기 상황에서 진가를 발휘한다.","비위(脾胃)와 근골격계 건강에 주의해야 한다. 성벽처럼 단단한 기운이 강하여 관절이 뻣뻣해지거나 소화 기능이 약해질 수 있다. 유연성 운동과 따뜻한 음식 섭취가 건강 유지에 도움이 된다.","지나친 방어는 오히려 고립을 초래할 수 있음을 알아야 한다. 성벽에 문을 열어 소통하듯이 마음의 문도 열어야 한다. 변화를 두려워하지 말고 필요할 때는 성벽을 허물고 새로운 영토를 개척하는 용기를 가져라."
NP_09_백납금,백납금,napeum,경진/신사,금,白蠟金 (백랍의 금),"순백의 밀랍처럼 순수하고 아름다운 금속으로 완벽주의와 순수함 그리고 섬세한 미적 감각을 상징한다. 가장 순도 높은 금속의 에너지로 오염되지 않은 깨끗함을 추구한다.","완벽주의적 성향이 강하고 깨끗하고 순수한 것을 추구한다. 미적 감각이 뛰어나며 세부 사항에 민감하다. 타인의 불순함이나 부정직함에 강하게 반응하며 자신만의 높은 기준을 고수하는 성격이다.","보석 디자이너, 치과의사, 정밀기기 제조, 품질 관리 전문가, 예술가, 클래식 음악가 등 순수함과 정밀함이 요구되는 분야에서 빛을 발한다.","폐 기관지 피부 건강에 주의해야 한다. 순수한 금기가 외부 오염에 민감하게 반응하여 알레르기나 피부 트러블이 발생할 수 있다. 공기 좋은 환경과 깨끗한 식이요법이 건강 유지에 중요하다.","완벽을 추구하되 완벽하지 않은 세상과 타협하는 법을 배워야 한다. 지나친 결벽은 인간관계를 해칠 수 있으므로 타인의 불완전함도 받아들이는 관용을 키우는 것이 인생의 과제이다."
NP_10_양류목,양류목,napeum,임오/계미,목,楊柳木 (버드나무),"바람에 유연하게 흔들리는 버드나무로 적응력과 감성 그리고 예술적 감수성을 상징한다. 강한 바람에도 부러지지 않는 유연함과 물가에서 자라는 감성적 에너지를 지닌다.","감성이 풍부하고 예술적 재능이 뛰어나다. 유연하게 상황에 적응하는 능력이 탁월하며 부드러운 카리스마로 사람들의 마음을 사로잡는다. 다만 우유부단하거나 감정에 치우치는 경향이 있어 주의가 필요하다.","예술가, 음악가, 시인, 패션 디자이너, 상담사, 요가 강사 등 감성과 유연성이 요구되는 분야에 적합하다. 사람의 마음을 어루만지는 치유 관련 직종에서도 두각을 나타낸다.","간과 근육 계통에 유의해야 하며 습기에 약한 체질이라 관절통이나 류머티즘에 주의가 필요하다. 물가의 나무처럼 습한 환경에 오래 노출되면 건강이 나빠질 수 있으므로 건조하고 따뜻한 환경을 유지해야 한다.","유연함은 강점이지만 때로는 단호한 결정이 필요한 순간이 있다. 버드나무도 뿌리는 단단히 내리고 있듯이 자신의 핵심 가치만은 흔들리지 않게 지켜야 한다. 감정에 휘둘리지 말고 이성과 감성의 균형을 유지하라."
