id,life_path,month,universal_month,energy,focus,opportunity,challenge,advice,saju_correlation
NMF_1_1,1,1월,1,시작/리더십,새해목표설정/주도권,새프로젝트시작/리더역할,성급함/독단,신중하게계획하되과감히시작하라,목-시작의기운
NMF_1_2,1,2월,2,협력/균형,파트너십조율/협력,팀워크강화/관계개선,인내부족/충돌,협력의가치를인정하고경청하라,토-조화의기운
NMF_1_3,1,3월,3,표현/창조,아이디어발표/창작활동,창의적프로젝트/사교,분산/과잉표현,집중력유지하며핵심을표현하라,목-성장의기운
NMF_1_4,1,4월,4,구축/안정,기반다지기/체계구축,실질적성과/안정화,답답함/지루함,인내심갖고단단한토대를만들라,토-안정의기운
NMF_1_5,1,5월,5,변화/자유,새로운시도/여행,예상치못한기회/모험,불안정/산만,변화를두려워말고유연하게대응하라,금-변화의기운
NMF_1_6,1,6월,6,책임/가정,가족관계/책임이행,가정화목/사랑,과도한책임/희생,균형잡힌책임을지되자신도돌보라,토-돌봄의기운
NMF_1_7,1,7월,7,성찰/지혜,내면탐구/학습,깊은통찰/영적성장,고립/의심,혼자만의시간으로지혜를얻으라,수-지혜의기운
NMF_1_8,1,8월,8,성취/재물,목표달성/재정,사업성공/수입증가,물질집착/권력욕,성취하되겸손을유지하라,금-결실의기운
NMF_1_9,1,9월,9,완성/봉사,마무리/정리,인생교훈완성/베풂,집착/미련,보내야할것을보내고정리하라,화-완성의기운
NMF_1_10,1,10월,1,새시작/독립,새로운사이클시작,리더십발휘/새도전,반복실수/성급함,경험을바탕으로새롭게시작하라,목-재시작
NMF_1_11,1,11월,2,직관/영감,직관력강화/영적연결,영감받음/비전,혼란/과민,직관을신뢰하되현실도체크하라,수-영성의기운
NMF_1_12,1,12월,3,축하/사교,한해마무리/모임,사교성공/기쁨나눔,과소비/피로,감사하며나누고휴식을취하라,화-기쁨의기운
NMF_2_1,2,1월,1,파트너십시작,관계에서새로운시작,새로운인연/협력기회,주도권갈등,조화로운리더십을발휘하라,목-시작
NMF_2_2,2,2월,2,조화/균형,관계최적화/균형,깊은유대/이해,과민함/의존,서로의공간을존중하며조화를이루라,토-균형
NMF_2_3,2,3월,3,소통/표현,감정표현/대화,관계발전/기쁨,오해/분산,진심을적절히표현하라,목-표현
NMF_2_4,2,4월,4,관계안정,관계기반강화,신뢰구축/안정감,답답함/거리감,꾸준함으로신뢰를쌓으라,토-안정
NMF_2_5,2,5월,5,관계변화,관계패턴변화,새로운동반자/자유,불안정/갈등,변화를함께성장의기회로삼으라,금-변화
NMF_2_6,2,6월,6,헌신/가정,가정에집중,가족화합/사랑,과잉헌신/피로,사랑을주되받기도하라,토-헌신
NMF_2_7,2,7월,7,관계성찰,관계의의미탐구,깊은이해/영적연결,고독/의심,혼자만의시간으로관계를성찰하라,수-성찰
NMF_2_8,2,8월,8,관계성과,파트너십의결실,공동성취/재정협력,권력다툼,공동목표를향해협력하라,금-성과
NMF_2_9,2,9월,9,관계정리,관계마무리/정리,카르마청산/성장,이별/미련,끝낼관계는감사히보내라,화-정리
NMF_2_10,2,10월,1,새인연,새로운인연의시작,운명적만남/새출발,과거집착,열린마음으로새인연을맞으라,목-새인연
NMF_2_11,2,11월,2,영적연결,영혼의교류,영적파트너/직관,혼란/환상,영적연결을소중히하되현실도보라,수-영성
NMF_2_12,2,12월,3,관계기쁨,관계에서의기쁨,사교/축하/나눔,피로/과잉,함께기뻐하고감사하라,화-기쁨
NMF_3_1,3,1월,1,창조적시작,새로운창작시작,아이디어/영감,분산/미완성,핵심아이디어에집중하여시작하라,목-창조
NMF_3_2,3,2월,2,협업창작,공동창작/협력,시너지/완성도,의견충돌,타인의관점을수용하여완성도를높여라,토-협력
NMF_3_3,3,3월,3,표현절정,창작의절정기,발표/인정/성공,과잉표현/분산,재능을최대한발휘하되집중하라,목-절정
NMF_3_4,3,4월,4,창작구조화,아이디어체계화,실질적결과/완성,답답함/속도,구조를잡아아이디어를현실화하라,토-구조
NMF_3_5,3,5월,5,창조적자유,새로운시도/실험,혁신/돌파구,불안정/실패,과감히실험하되배움을얻으라,금-자유
NMF_3_6,3,6월,6,창작과가정,가정에서의창조,가족예술/홈데코,책임과창작갈등,가정에서도창조성을발휘하라,토-가정
NMF_3_7,3,7월,7,창작성찰,창작의의미탐구,깊은영감/혼자작업,고독/슬럼프,내면의깊이에서영감을찾으라,수-영감
NMF_3_8,3,8월,8,창작성과,창작물의성과,판매/인정/재정,물질화압박,창작물을세상에내놓고성과를거두라,금-성과
NMF_3_9,3,9월,9,창작완성,프로젝트마무리,완성/정리/평가,미련/집착,완성된작품을놓아주고새로준비하라,화-완성
NMF_3_10,3,10월,1,새창작시작,새프로젝트시작,새영감/새시도,과거패턴반복,경험을살려더나은시작을하라,목-시작
NMF_3_11,3,11월,2,영감의달,직관적창작,영적영감/비전,현실과괴리,영감을현실에연결하라,수-영감
NMF_3_12,3,12월,3,창작축제,창작물공유/기쁨,발표/축하/나눔,피로/과소비,한해창작을나누고축하하라,화-축제
NMF_4_1,4,1월,1,기반시작,새로운구축시작,계획수립/토대,성급함/불안정,단단한계획으로시작하라,목-기반
NMF_4_2,4,2월,2,협력구축,함께만들기,팀빌딩/협력,의견차이,함께만드는과정을즐기라,토-협력
NMF_4_3,4,3월,3,구축과표현,진행상황공유,보고/발표/소통,과잉/분산,효과적으로진행상황을소통하라,목-소통
NMF_4_4,4,4월,4,구축절정,실질적건설,큰진전/완성,과로/답답함,인내심을갖고묵묵히쌓아라,토-절정
NMF_4_5,4,5월,5,구축과변화,유연한적응,예상치못한변수/조정,혼란/불안,계획을유연하게조정하라,금-변화
NMF_4_6,4,6월,6,가정의구축,가정환경정비,집수리/가정안정,과도한책임,가정의기반을든든히하라,토-가정
NMF_4_7,4,7월,7,구축성찰,방향점검,계획재검토/조정,의심/정체,잠시멈추고방향을점검하라,수-성찰
NMF_4_8,4,8월,8,구축성과,실질적결과,완공/성취/재정,물질집착,노력의결실을수확하라,금-성과
