id,label,type,category,description,frequency_meaning,psychological_cause,jung_interpretation,saju_parallel,resolution_path,warning_sign
DR_falling,반복되는추락꿈,dream_recurring,불안형,"떨어지는 꿈이 반복됨. 높은 곳에서 추락, 끝없이 떨어짐, 착지 직전 깨어남.","빈도가 높을수록 현재 통제력 상실감이 심각. 주 1회 이상이면 즉각 대응 필요.","삶의 통제력 상실, 실패에 대한 두려움, 자존감 하락, 지지 기반의 붕괴감.","자아(Ego)의 안정성 흔들림. 페르소나와 진정한 자기 사이의 괴리. 그라운딩 필요.","공망운/충운 시기. 기반이 흔들리는 대운. 비겁 약화로 자아 지지력 부족.","현실에서 '발 딛고 있는' 것들 점검. 신체 운동과 자연 접촉으로 그라운딩.","월 4회 이상 반복시 우울증/불안장애 가능성 체크"
DR_chase,반복되는쫓기는꿈,dream_recurring,불안형,"누군가/무언가에 쫓기는 꿈이 반복됨. 도망치지만 따라잡힘, 숨어도 발견됨.","빈도 증가는 회피하고 있는 문제가 점점 커지고 있음을 의미.","직면하기 두려운 문제 회피, 억압된 감정/욕구, 해결하지 못한 갈등.","그림자(Shadow)의 추격. 자신이 거부한 측면이 통합을 요구함.","편관/칠살 강한 시기. 외부 압박이 심한 운. 상관견관의 갈등 상태.","쫓는 존재가 무엇인지 직면하기. 현실에서 회피 중인 문제 목록 작성 후 하나씩 해결.","쫓는 존재가 점점 가까워지면 문제가 임계점에 도달 중"
DR_teeth,반복되는이빨빠지는꿈,dream_recurring,상실형,"이빨이 빠지거나 부서지는 꿈이 반복됨. 모든 이가 우수수 빠짐, 입안에서 부서짐.","자주 반복되면 자존감과 외적 이미지에 대한 심각한 불안 상태.","노화 공포, 외모/능력에 대한 불안, 자신감 상실, 말(커뮤니케이션)에 대한 두려움.","페르소나의 균열. 사회적 가면이 벗겨지는 것에 대한 공포.","비겁 손상, 자존감 관련 운세 약화. 상관 과다로 말로 인한 구설.","자기 가치의 근본 재정립. 외적 이미지가 아닌 내면의 가치 발견.","치아 건강 실제 체크 필요. 스트레스성 이갈이 가능성"
DR_exam,반복되는시험꿈,dream_recurring,불안형,"시험에 떨어지거나 준비가 안 된 상태로 시험 보는 꿈이 반복됨.","현재 삶에서 '평가받는' 상황에 대한 스트레스 수준 반영.","자기 평가 불안, 준비 부족감, 완벽주의, 실패에 대한 두려움.","열등감 콤플렉스. 자기 비판적인 내면의 목소리가 과도함.","정관/편관 운에서 평가받는 상황. 토성 귀환처럼 인생의 시험기.","충분히 잘하고 있다는 자기 인정. 완벽보다 최선을 목표로 재설정.","실제 중요한 시험/평가 앞에서 이 꿈이 증가하면 정상적 반응"
DR_naked,반복되는벌거벗은꿈,dream_recurring,노출형,"공공장소에서 옷을 입지 않은 상태로 있는 꿈이 반복됨.","사회적 상황에서 진짜 자신이 드러날 것에 대한 불안 수준 반영.","취약성 노출 공포, 비밀이 드러날 두려움, 가면 뒤의 진짜 자신에 대한 수치심.","페르소나와 진정한 자기의 괴리. 사회적 가면에 지나치게 의존.","도화살/홍염살 강한 시기에 평판 관련 불안. 관성 과다로 체면 중시.","진정한 자신을 받아들이고 안전한 관계에서 조금씩 드러내는 연습.","실제로 비밀이 있다면 그 부담이 꿈에 반영될 수 있음"
DR_flying,반복되는날기꿈,dream_recurring,초월형,"하늘을 자유롭게 나는 꿈이 반복됨. 자유로운 비행, 높이 솟아오름.","긍정적 반복은 창의성과 자유 욕구. 추락으로 끝나면 과대망상 경고.","자유에 대한 갈망, 현실 제약에서 벗어나고픈 욕구, 영적 상승 욕구.","자아 초월 욕구. 푸에르 원형 활성화. 제한에서 벗어나려는 시도.","역마살 강한 운. 천왕성/목성 에너지. 자유와 확장의 시기.","창의적 활동으로 자유 욕구 표현. 단, 현실 도피가 아닌지 점검.","비행 중 추락이 반복되면 과대망상/비현실적 기대 경고"
DR_water,반복되는물에빠지는꿈,dream_recurring,감정형,"물에 빠지거나 익사하는 꿈이 반복됨. 파도에 휩쓸림, 물속에서 숨 못 쉼.","감정에 압도당하고 있음. 빈도 증가는 감정적 위기 심화.","감정 과부하, 우울, 상황에 압도됨, 무의식에 삼켜지는 공포.","무의식(집단 무의식)에 의한 압도. 감정의 바다에서 자아 상실 위험.","수(水) 기운 과다. 해시/자시 공망. 감정적 혼란의 시기.","감정 표현 출구 마련. 일기, 상담, 예술 등으로 감정 배출.","수영 못하는데 물꿈 반복시 실제 물 관련 안전 주의"
DR_death,반복되는죽음꿈,dream_recurring,변환형,"자신이나 가까운 사람이 죽는 꿈이 반복됨. 장례, 시체 발견 등.","대부분 변환의 메시지. 단, 특정인 죽음 반복은 그 관계의 종결 암시.","삶의 한 단계 종결, 변환의 필요성, 과거 자아의 죽음, 새로운 시작 전조.","죽음-재탄생 원형. 자아의 죽음을 통한 개성화 진전.","대운 교체기. 공망에서 벗어남. 명왕성 트랜짓처럼 근본적 변환기.","끝내야 할 것을 끝내기. 새로운 시작을 위한 정리. 애도의 시간.","자살 사고가 동반되면 즉각 전문 상담 필요"
DR_lost,반복되는길잃는꿈,dream_recurring,방향형,"길을 잃거나 목적지를 찾지 못하는 꿈이 반복됨. 미로, 낯선 도시.","인생 방향에 대한 혼란 수준 반영. 잦을수록 방향 상실감 심각.","인생 목표 불확실, 정체성 혼란, 선택의 기로, 소속감 상실.","자기(Self)를 향한 길을 잃음. 개성화 여정에서 방황 중.","역마살 혼란, 공망 시기, 용신 불명확으로 방향 상실.","인생의 우선순위 재정립. 가치관 명확화. 멘토/상담 도움.","반복적으로 같은 장소에서 길 잃으면 그 장소의 상징 해석 필요"
DR_late,반복되는지각꿈,dream_recurring,불안형,"중요한 약속에 늦는 꿈이 반복됨. 달려도 안 됨, 교통편 놓침.","시간 압박과 책임감에 대한 스트레스 수준 반영.","시간 관리 불안, 책임감 과중, 기대에 부응하지 못할 두려움.","페르소나의 과부하. 사회적 기대에 자신을 맞추려는 과도한 노력.","관성 과다, 정관의 압박, 책임이 무거운 시기.","현실적인 일정 관리. 과도한 책임 덜어내기. 자기 페이스 찾기.","실제로 시간 관리 문제가 있다면 현실적 해결책 필요"
