id,source,target,relation,description
OVERLAY_Sun_H1,Sun,H1,overlay,A의 Sun이(가) B의 1하우스에 위치
OVERLAY_Sun_H2,Sun,H2,overlay,A의 Sun이(가) B의 2하우스에 위치
OVERLAY_Sun_H3,Sun,H3,overlay,A의 Sun이(가) B의 3하우스에 위치
OVERLAY_Sun_H4,Sun,H4,overlay,A의 Sun이(가) B의 4하우스에 위치
OVERLAY_Sun_H5,Sun,H5,overlay,A의 Sun이(가) B의 5하우스에 위치
OVERLAY_Sun_H6,Sun,H6,overlay,A의 Sun이(가) B의 6하우스에 위치
OVERLAY_Sun_H7,Sun,H7,overlay,A의 Sun이(가) B의 7하우스에 위치
OVERLAY_Sun_H8,Sun,H8,overlay,A의 Sun이(가) B의 8하우스에 위치
OVERLAY_Sun_H9,Sun,H9,overlay,A의 Sun이(가) B의 9하우스에 위치
OVERLAY_Sun_H10,Sun,H10,overlay,A의 Sun이(가) B의 10하우스에 위치
OVERLAY_Sun_H11,Sun,H11,overlay,A의 Sun이(가) B의 11하우스에 위치
OVERLAY_Sun_H12,Sun,H12,overlay,A의 Sun이(가) B의 12하우스에 위치
OVERLAY_Moon_H1,Moon,H1,overlay,A의 Moon이(가) B의 1하우스에 위치
OVERLAY_Moon_H2,Moon,H2,overlay,A의 Moon이(가) B의 2하우스에 위치
OVERLAY_Moon_H3,Moon,H3,overlay,A의 Moon이(가) B의 3하우스에 위치
OVERLAY_Moon_H4,Moon,H4,overlay,A의 Moon이(가) B의 4하우스에 위치
OVERLAY_Moon_H5,Moon,H5,overlay,A의 Moon이(가) B의 5하우스에 위치
OVERLAY_Moon_H6,Moon,H6,overlay,A의 Moon이(가) B의 6하우스에 위치
OVERLAY_Moon_H7,Moon,H7,overlay,A의 Moon이(가) B의 7하우스에 위치
OVERLAY_Moon_H8,Moon,H8,overlay,A의 Moon이(가) B의 8하우스에 위치
OVERLAY_Moon_H9,Moon,H9,overlay,A의 Moon이(가) B의 9하우스에 위치
OVERLAY_Moon_H10,Moon,H10,overlay,A의 Moon이(가) B의 10하우스에 위치
OVERLAY_Moon_H11,Moon,H11,overlay,A의 Moon이(가) B의 11하우스에 위치
OVERLAY_Moon_H12,Moon,H12,overlay,A의 Moon이(가) B의 12하우스에 위치
OVERLAY_Mercury_H1,Mercury,H1,overlay,A의 Mercury이(가) B의 1하우스에 위치
OVERLAY_Mercury_H2,Mercury,H2,overlay,A의 Mercury이(가) B의 2하우스에 위치
OVERLAY_Mercury_H3,Mercury,H3,overlay,A의 Mercury이(가) B의 3하우스에 위치
OVERLAY_Mercury_H4,Mercury,H4,overlay,A의 Mercury이(가) B의 4하우스에 위치
OVERLAY_Mercury_H5,Mercury,H5,overlay,A의 Mercury이(가) B의 5하우스에 위치
OVERLAY_Mercury_H6,Mercury,H6,overlay,A의 Mercury이(가) B의 6하우스에 위치
OVERLAY_Mercury_H7,Mercury,H7,overlay,A의 Mercury이(가) B의 7하우스에 위치
OVERLAY_Mercury_H8,Mercury,H8,overlay,A의 Mercury이(가) B의 8하우스에 위치
OVERLAY_Mercury_H9,Mercury,H9,overlay,A의 Mercury이(가) B의 9하우스에 위치
OVERLAY_Mercury_H10,Mercury,H10,overlay,A의 Mercury이(가) B의 10하우스에 위치
OVERLAY_Mercury_H11,Mercury,H11,overlay,A의 Mercury이(가) B의 11하우스에 위치
OVERLAY_Mercury_H12,Mercury,H12,overlay,A의 Mercury이(가) B의 12하우스에 위치
OVERLAY_Venus_H1,Venus,H1,overlay,A의 Venus이(가) B의 1하우스에 위치
OVERLAY_Venus_H2,Venus,H2,overlay,A의 Venus이(가) B의 2하우스에 위치
OVERLAY_Venus_H3,Venus,H3,overlay,A의 Venus이(가) B의 3하우스에 위치
OVERLAY_Venus_H4,Venus,H4,overlay,A의 Venus이(가) B의 4하우스에 위치
OVERLAY_Venus_H5,Venus,H5,overlay,A의 Venus이(가) B의 5하우스에 위치
OVERLAY_Venus_H6,Venus,H6,overlay,A의 Venus이(가) B의 6하우스에 위치
OVERLAY_Venus_H7,Venus,H7,overlay,A의 Venus이(가) B의 7하우스에 위치
OVERLAY_Venus_H8,Venus,H8,overlay,A의 Venus이(가) B의 8하우스에 위치
OVERLAY_Venus_H9,Venus,H9,overlay,A의 Venus이(가) B의 9하우스에 위치
OVERLAY_Venus_H10,Venus,H10,overlay,A의 Venus이(가) B의 10하우스에 위치
OVERLAY_Venus_H11,Venus,H11,overlay,A의 Venus이(가) B의 11하우스에 위치
OVERLAY_Venus_H12,Venus,H12,overlay,A의 Venus이(가) B의 12하우스에 위치
OVERLAY_Mars_H1,Mars,H1,overlay,A의 Mars이(가) B의 1하우스에 위치
OVERLAY_Mars_H2,Mars,H2,overlay,A의 Mars이(가) B의 2하우스에 위치
OVERLAY_Mars_H3,Mars,H3,overlay,A의 Mars이(가) B의 3하우스에 위치
OVERLAY_Mars_H4,Mars,H4,overlay,A의 Mars이(가) B의 4하우스에 위치
OVERLAY_Mars_H5,Mars,H5,overlay,A의 Mars이(가) B의 5하우스에 위치
OVERLAY_Mars_H6,Mars,H6,overlay,A의 Mars이(가) B의 6하우스에 위치
OVERLAY_Mars_H7,Mars,H7,overlay,A의 Mars이(가) B의 7하우스에 위치
OVERLAY_Mars_H8,Mars,H8,overlay,A의 Mars이(가) B의 8하우스에 위치
OVERLAY_Mars_H9,Mars,H9,overlay,A의 Mars이(가) B의 9하우스에 위치
OVERLAY_Mars_H10,Mars,H10,overlay,A의 Mars이(가) B의 10하우스에 위치
OVERLAY_Mars_H11,Mars,H11,overlay,A의 Mars이(가) B의 11하우스에 위치
OVERLAY_Mars_H12,Mars,H12,overlay,A의 Mars이(가) B의 12하우스에 위치
OVERLAY_Jupiter_H1,Jupiter,H1,overlay,A의 Jupiter이(가) B의 1하우스에 위치
OVERLAY_Jupiter_H2,Jupiter,H2,overlay,A의 Jupiter이(가) B의 2하우스에 위치
OVERLAY_Jupiter_H3,Jupiter,H3,overlay,A의 Jupiter이(가) B의 3하우스에 위치
OVERLAY_Jupiter_H4,Jupiter,H4,overlay,A의 Jupiter이(가) B의 4하우스에 위치
OVERLAY_Jupiter_H5,Jupiter,H5,overlay,A의 Jupiter이(가) B의 5하우스에 위치
OVERLAY_Jupiter_H6,Jupiter,H6,overlay,A의 Jupiter이(가) B의 6하우스에 위치
OVERLAY_Jupiter_H7,Jupiter,H7,overlay,A의 Jupiter이(가) B의 7하우스에 위치
OVERLAY_Jupiter_H8,Jupiter,H8,overlay,A의 Jupiter이(가) B의 8하우스에 위치
OVERLAY_Jupiter_H9,Jupiter,H9,overlay,A의 Jupiter이(가) B의 9하우스에 위치
OVERLAY_Jupiter_H10,Jupiter,H10,overlay,A의 Jupiter이(가) B의 10하우스에 위치
OVERLAY_Jupiter_H11,Jupiter,H11,overlay,A의 Jupiter이(가) B의 11하우스에 위치
OVERLAY_Jupiter_H12,Jupiter,H12,overlay,A의 Jupiter이(가) B의 12하우스에 위치
OVERLAY_Saturn_H1,Saturn,H1,overlay,A의 Saturn이(가) B의 1하우스에 위치
OVERLAY_Saturn_H2,Saturn,H2,overlay,A의 Saturn이(가) B의 2하우스에 위치
OVERLAY_Saturn_H3,Saturn,H3,overlay,A의 Saturn이(가) B의 3하우스에 위치
OVERLAY_Saturn_H4,Saturn,H4,overlay,A의 Saturn이(가) B의 4하우스에 위치
OVERLAY_Saturn_H5,Saturn,H5,overlay,A의 Saturn이(가) B의 5하우스에 위치
OVERLAY_Saturn_H6,Saturn,H6,overlay,A의 Saturn이(가) B의 6하우스에 위치
OVERLAY_Saturn_H7,Saturn,H7,overlay,A의 Saturn이(가) B의 7하우스에 위치
OVERLAY_Saturn_H8,Saturn,H8,overlay,A의 Saturn이(가) B의 8하우스에 위치
OVERLAY_Saturn_H9,Saturn,H9,overlay,A의 Saturn이(가) B의 9하우스에 위치
OVERLAY_Saturn_H10,Saturn,H10,overlay,A의 Saturn이(가) B의 10하우스에 위치
OVERLAY_Saturn_H11,Saturn,H11,overlay,A의 Saturn이(가) B의 11하우스에 위치
OVERLAY_Saturn_H12,Saturn,H12,overlay,A의 Saturn이(가) B의 12하우스에 위치
OVERLAY_Uranus_H1,Uranus,H1,overlay,A의 Uranus이(가) B의 1하우스에 위치
OVERLAY_Uranus_H2,Uranus,H2,overlay,A의 Uranus이(가) B의 2하우스에 위치
OVERLAY_Uranus_H3,Uranus,H3,overlay,A의 Uranus이(가) B의 3하우스에 위치
OVERLAY_Uranus_H4,Uranus,H4,overlay,A의 Uranus이(가) B의 4하우스에 위치
OVERLAY_Uranus_H5,Uranus,H5,overlay,A의 Uranus이(가) B의 5하우스에 위치
OVERLAY_Uranus_H6,Uranus,H6,overlay,A의 Uranus이(가) B의 6하우스에 위치
OVERLAY_Uranus_H7,Uranus,H7,overlay,A의 Uranus이(가) B의 7하우스에 위치
OVERLAY_Uranus_H8,Uranus,H8,overlay,A의 Uranus이(가) B의 8하우스에 위치
OVERLAY_Uranus_H9,Uranus,H9,overlay,A의 Uranus이(가) B의 9하우스에 위치
OVERLAY_Uranus_H10,Uranus,H10,overlay,A의 Uranus이(가) B의 10하우스에 위치
OVERLAY_Uranus_H11,Uranus,H11,overlay,A의 Uranus이(가) B의 11하우스에 위치
OVERLAY_Uranus_H12,Uranus,H12,overlay,A의 Uranus이(가) B의 12하우스에 위치
OVERLAY_Neptune_H1,Neptune,H1,overlay,A의 Neptune이(가) B의 1하우스에 위치
OVERLAY_Neptune_H2,Neptune,H2,overlay,A의 Neptune이(가) B의 2하우스에 위치
OVERLAY_Neptune_H3,Neptune,H3,overlay,A의 Neptune이(가) B의 3하우스에 위치
OVERLAY_Neptune_H4,Neptune,H4,overlay,A의 Neptune이(가) B의 4하우스에 위치
OVERLAY_Neptune_H5,Neptune,H5,overlay,A의 Neptune이(가) B의 5하우스에 위치
OVERLAY_Neptune_H6,Neptune,H6,overlay,A의 Neptune이(가) B의 6하우스에 위치
OVERLAY_Neptune_H7,Neptune,H7,overlay,A의 Neptune이(가) B의 7하우스에 위치
OVERLAY_Neptune_H8,Neptune,H8,overlay,A의 Neptune이(가) B의 8하우스에 위치
OVERLAY_Neptune_H9,Neptune,H9,overlay,A의 Neptune이(가) B의 9하우스에 위치
OVERLAY_Neptune_H10,Neptune,H10,overlay,A의 Neptune이(가) B의 10하우스에 위치
OVERLAY_Neptune_H11,Neptune,H11,overlay,A의 Neptune이(가) B의 11하우스에 위치
OVERLAY_Neptune_H12,Neptune,H12,overlay,A의 Neptune이(가) B의 12하우스에 위치
OVERLAY_Pluto_H1,Pluto,H1,overlay,A의 Pluto이(가) B의 1하우스에 위치
OVERLAY_Pluto_H2,Pluto,H2,overlay,A의 Pluto이(가) B의 2하우스에 위치
OVERLAY_Pluto_H3,Pluto,H3,overlay,A의 Pluto이(가) B의 3하우스에 위치
OVERLAY_Pluto_H4,Pluto,H4,overlay,A의 Pluto이(가) B의 4하우스에 위치
OVERLAY_Pluto_H5,Pluto,H5,overlay,A의 Pluto이(가) B의 5하우스에 위치
OVERLAY_Pluto_H6,Pluto,H6,overlay,A의 Pluto이(가) B의 6하우스에 위치
OVERLAY_Pluto_H7,Pluto,H7,overlay,A의 Pluto이(가) B의 7하우스에 위치
OVERLAY_Pluto_H8,Pluto,H8,overlay,A의 Pluto이(가) B의 8하우스에 위치
OVERLAY_Pluto_H9,Pluto,H9,overlay,A의 Pluto이(가) B의 9하우스에 위치
OVERLAY_Pluto_H10,Pluto,H10,overlay,A의 Pluto이(가) B의 10하우스에 위치
OVERLAY_Pluto_H11,Pluto,H11,overlay,A의 Pluto이(가) B의 11하우스에 위치
OVERLAY_Pluto_H12,Pluto,H12,overlay,A의 Pluto이(가) B의 12하우스에 위치
