id,label,type,category,symbol,element_connection,description,psychological_meaning,saju_connection,astro_connection,advice
DREAM_SYM_001,물/바다 꿈,dream_symbol,자연,물/바다,水,"물이나 바다가 등장하는 꿈은 감정의 흐름과 무의식의 깊이를 상징한다. 맑은 물은 정서적 정화를, 탁한 물은 감정적 혼란을, 거대한 바다는 무한한 가능성과 두려움을 동시에 나타낸다.","프로이트: 양수와 모태 회귀 욕구 및 성적 에너지의 상징. 융: 집단무의식의 바다이며 자기(Self) 탐구의 시작점. 물의 상태가 현재 감정 상태를 반영한다.","水 기운과 직결되며 임수(壬水)의 광활함 또는 계수(癸水)의 은밀한 직관을 반영. 사주에 수가 부족하면 감정 억압의 신호이고 수가 과다하면 감정 범람의 경고.","해왕성(Neptune)과 물고기자리의 영역. 달(Moon)의 감정적 조류와도 연결. 4하우스(가정/내면)와 12하우스(무의식/영성)의 주제를 담고 있다.","감정을 억누르지 말고 자연스럽게 흘려보내세요. 물이 맑았다면 직관을 신뢰하고 탁했다면 마음속 미해결 감정을 정리할 시간입니다. 명상이나 물가 산책이 도움됩니다."
DREAM_SYM_002,산 꿈,dream_symbol,자연,산,土,"산이 등장하는 꿈은 목표와 도전 그리고 성취를 상징한다. 산을 오르는 꿈은 인생의 고난을 극복하려는 의지를, 정상에 서는 꿈은 목표 달성을, 산이 무너지는 꿈은 안정감의 붕괴를 의미한다.","융: 자기실현(individuation)의 여정을 상징하는 대표적 원형. 산 정상은 의식의 최고점이자 깨달음. 프로이트: 극복해야 할 아버지적 권위의 상징.","土 기운과 연결되며 무토(戊土)의 견고함과 안정성을 반영. 사주에서 토가 용신이면 목표 달성의 길몽이고 토가 기신이면 장애물에 대한 경고.","토성(Saturn)의 인내와 구조 그리고 염소자리의 야망과 연결. 10하우스(사회적 성취/커리어)의 주제를 담고 있다.","큰 목표를 향해 한 걸음씩 나아가세요. 산을 올랐다면 노력이 결실을 맺을 징조이고 내려왔다면 잠시 쉬어갈 때입니다. 조급해하지 마세요."
DREAM_SYM_003,불/화재 꿈,dream_symbol,자연,불/화재,火,"불이나 화재가 등장하는 꿈은 열정과 분노 그리고 변혁을 상징한다. 따뜻한 불은 희망과 창조를, 걷잡을 수 없는 화재는 억눌린 감정의 폭발을, 불을 끄는 꿈은 문제 해결 능력을 나타낸다.","프로이트: 리비도와 성적 에너지의 직접적 표현. 융: 변환(transformation)과 정화의 상징. 불은 파괴하면서 동시에 새로운 것을 만들어내는 연금술적 원소.","火 기운과 직결되며 병화(丙火)의 강렬함 또는 정화(丁火)의 은은한 열정을 반영. 사주에 화가 과다하면 분노 조절의 메시지이고 화가 부족하면 열정 회복의 신호.","화성(Mars)의 행동력과 양자리의 추진력에 연결. 명왕성(Pluto)의 변혁적 파괴와도 관련. 1하우스(자아)와 8하우스(변혁/재탄생)의 에너지.","억눌린 감정이 있다면 안전하게 표출할 방법을 찾으세요. 불이 밝았다면 새로운 시작의 에너지이고 화재였다면 분노나 스트레스를 점검하세요. 운동이나 창작 활동이 좋습니다."
DREAM_SYM_004,폭풍/태풍 꿈,dream_symbol,자연,폭풍/태풍,木,"폭풍이나 태풍이 등장하는 꿈은 삶의 급격한 변화와 혼란 그리고 내면의 격동을 상징한다. 폭풍 속에서 버티는 꿈은 시련 극복을, 폭풍이 지나간 후의 고요함은 위기 후 안정을 의미한다.","융: 무의식의 격렬한 분출이며 기존 의식 구조의 해체를 알리는 신호. 자아가 감당하기 어려운 감정이 밀려옴을 나타낸다. 성장통의 상징.","木 기운의 바람과 연결되며 갑목(甲木)이 흔들리는 상황을 반영. 대운이나 세운에서 충(冲)이 발생할 때 자주 나타나는 꿈으로 변화의 예고.","천왕성(Uranus)의 갑작스러운 변화와 물병자리의 혁명적 에너지. 12하우스(숨겨진 위기)에서 1하우스(새로운 시작)로의 전환기에 해당.","변화를 두려워하지 마세요. 폭풍은 반드시 지나갑니다. 지금은 무리한 결정보다 내면의 중심을 잡는 것이 중요합니다. 깊은 호흡과 그라운딩을 실천하세요."
DREAM_SYM_005,지진 꿈,dream_symbol,자연,지진,土,"지진이 등장하는 꿈은 삶의 근본적 기반이 흔들리는 것을 상징한다. 관계나 직업 등 안정적이라 여겼던 것에 대한 불안감이 표출되며 정체성의 위기를 나타낼 수 있다.","융: 자아의 기반인 페르소나가 무너지는 경험. 개성화 과정에서 필연적으로 겪는 해체의 단계. 프로이트: 안전감의 상실과 거세 불안의 변형.","土 기운의 붕괴를 상징하며 사주에서 토가 충(冲)을 받거나 형(刑)이 발생할 때의 에너지와 일치. 세운에서 지지 충이 올 때 자주 출현하는 꿈.","명왕성(Pluto)의 근본적 변혁과 전갈자리의 파괴와 재탄생. 4하우스(가정의 기반)와 10하우스(사회적 기반)의 축이 흔들리는 에너지.","현재 불안의 근원을 직시하세요. 피하면 더 커집니다. 변화가 두렵더라도 새로운 기반을 세울 기회로 삼으세요. 신뢰할 수 있는 사람과 이야기를 나누세요."
DREAM_SYM_006,홍수 꿈,dream_symbol,자연,홍수,水,"홍수가 등장하는 꿈은 감정의 범람과 통제 불능 상태를 상징한다. 억눌러왔던 감정이 한꺼번에 터지거나 삶의 상황이 감당하기 어려울 때 나타나며 정화와 새 출발의 의미도 있다.","프로이트: 억압된 감정과 욕구의 폭발적 귀환. 융: 무의식의 물이 의식의 영역을 침범하는 상태로 그림자 통합이 시급함을 알린다.","水 기운의 과다를 상징하며 사주에서 수가 범람하거나 수극화(水剋火)가 발생할 때의 에너지. 대운에서 수 대운이 올 때 감정적 파도를 경험할 수 있다.","해왕성(Neptune)의 경계 해체와 물고기자리의 감정적 범람. 8하우스(위기/변혁)와 12하우스(무의식/카르마)의 에너지가 강하게 작용.","감정을 억누르지 말고 안전한 방식으로 표현하세요. 글쓰기나 상담을 통해 내면을 정리하세요. 홍수 후에는 비옥한 땅이 드러나듯 정화 후 새로운 시작이 옵니다."
DREAM_SYM_007,달 꿈,dream_symbol,자연,달,水,"달이 등장하는 꿈은 여성성과 직관 그리고 무의식의 세계를 상징한다. 보름달은 완성과 풍요를, 초승달은 새로운 시작을, 달이 가려지는 꿈은 감정적 혼란이나 직관의 차단을 의미한다.","융: 아니마(anima)의 상징이자 무의식의 안내자. 달의 위상은 내면 성장의 단계를 반영한다. 프로이트: 모성과 여성적 원리의 상징.","水 기운 및 음(陰)의 에너지와 연결. 계수(癸水)의 은밀한 직관력을 반영하며 사주에서 인성(印星)이 강한 사람에게 자주 나타나는 꿈.","달(Moon) 그 자체의 상징이며 게자리의 모성과 감정. 4하우스(내면/가정)의 영역. 달의 위상(보름/초승/그믐)에 따라 해석이 달라진다.","직관을 신뢰하세요. 보름달 꿈은 계획이 무르익었다는 신호이고 초승달 꿈은 새로운 의도를 심을 때입니다. 달 일기를 쓰면 무의식과의 소통이 깊어집니다."
DREAM_SYM_008,태양 꿈,dream_symbol,자연,태양,火,"태양이 등장하는 꿈은 자아의 힘과 생명력 그리고 의식의 확장을 상징한다. 밝은 태양은 자신감과 성공을, 구름에 가린 태양은 자아 정체성의 혼란을, 일출은 새 시작을 의미한다.","융: 자기(Self)의 상징이며 의식의 중심. 태양은 개성화의 최종 목표인 전체성을 나타낸다. 자아(ego)가 자기(Self)와 연결되는 경험.","火 기운과 직결되며 병화(丙火)의 빛나는 존재감을 반영. 사주에서 일간이 강할 때 자아 확인의 꿈으로 나타나며 일간이 약할 때는 자아 회복의 갈망.","태양(Sun) 그 자체이며 사자자리의 자기표현과 창조성. 5하우스(창조/즐거움)와 10하우스(명예/성취)의 에너지. 태양 리턴 시기와 관련될 수 있다.","자신감을 가지세요. 당신의 빛을 세상에 보여줄 때입니다. 태양이 밝았다면 적극적으로 나서고 흐렸다면 자기 정체성을 재점검하는 시간을 가지세요."
DREAM_SYM_009,별 꿈,dream_symbol,자연,별,火,"별이 등장하는 꿈은 희망과 이상 그리고 영적 인도를 상징한다. 밝게 빛나는 별은 목표와 꿈의 실현 가능성을, 별똥별은 소원 성취를, 별이 사라지는 꿈은 희망의 상실을 나타낸다.","융: 자기(Self)의 빛이 어둠(무의식) 속에서 빛나는 상징. 별은 방향성과 의미를 제공하는 원형적 이미지. 만다라의 중심점과 같은 역할.","火 기운의 정수이며 천간의 빛나는 에너지를 반영. 사주에서 식신(食神)이나 상관(傷官)이 발달한 사람에게 창작 영감의 꿈으로 나타난다.","항성과 고정별의 점성술적 의미. 목성(Jupiter)의 희망과 사수자리의 이상추구. 9하우스(철학/고등교육)와 11하우스(소망/이상)의 영역.","꿈과 이상을 포기하지 마세요. 별이 밝았다면 올바른 방향으로 가고 있다는 확인이고 흐렸다면 목표를 재점검할 시기입니다. 밤하늘을 올려다보며 초심을 떠올리세요."
DREAM_SYM_010,꽃 꿈,dream_symbol,자연,꽃,木,"꽃이 등장하는 꿈은 아름다움과 성장 그리고 일시적 행복을 상징한다. 활짝 핀 꽃은 사랑과 번영을, 시든 꽃은 상실과 덧없음을, 꽃봉오리는 잠재력의 발현을 의미한다.","융: 만다라의 변형이자 자기(Self)의 개화. 연꽃은 특히 영적 각성의 상징. 프로이트: 여성성과 성적 개화의 상징.","木 기운의 성장과 개화를 상징하며 을목(乙木)의 유연한 아름다움을 반영. 사주에서 식신(食神)이 있는 사람에게 재능 발현의 길몽으로 나타난다.","금성(Venus)의 아름다움과 황소자리/천칭자리의 미학. 5하우스(창조/연애)와 7하우스(파트너십)의 에너지가 담겨 있다.","자신의 아름다움과 재능을 인정하세요. 꽃이 활짝 폈다면 사랑이나 기회가 다가오고 있습니다. 시들었다면 지나간 것에 집착하지 말고 새 씨앗을 뿌리세요."
