id,source,target,relation,category,harmony_score,description_ko,description_en,insight_template
# ============================================================
# PART 1: Major Arcana ↔ 십이운성 (12 Life Stages)
# 22 Major Arcana cards mapped to 12 life-cycle stages
# ============================================================
TMA_001,TAROT_Fool,SAJU_TS_태,타로운성,major_arcana_stage,92,"광대(The Fool)는 태(胎)의 단계와 공명합니다. 아직 형체가 없는 가능성의 씨앗이며, 무한한 잠재력이 잉태되는 순간입니다. 아무것도 정해지지 않았기에 모든 것이 가능합니다.",The Fool resonates with the Conception(胎) stage — pure potentiality before form.,"당신의 타로 아키타입 '광대'가 사주 십이운성의 '{target}' 단계와 만났습니다. 새로운 시작 앞에 서 있는 당신에게 무한한 가능성이 열려 있습니다. 두려움 없이 첫 발을 내딛으세요."
TMA_002,TAROT_Magician,SAJU_TS_양,타로운성,major_arcana_stage,90,"마법사(The Magician)는 양(養)의 단계와 공명합니다. 잉태된 기운이 자라나며 의지와 기술이 형성되는 시기입니다. 자원을 모으고 역량을 키우는 단계입니다.",The Magician resonates with the Nurturing(養) stage — growing will and skill.,"당신의 타로 아키타입 '마법사'가 사주 십이운성의 '{target}' 단계와 만났습니다. 내면의 재능이 무르익고 있습니다. 가진 자원을 통합하여 현실을 창조할 때입니다."
TMA_003,TAROT_HighPriestess,SAJU_TS_양,타로운성,major_arcana_stage,85,"여사제(The High Priestess)는 양(養)의 단계와 공명합니다. 겉으로 드러나지 않는 내면의 지혜가 조용히 자라나는 시기이며, 직관과 무의식의 힘이 배양됩니다.",The High Priestess resonates with Nurturing(養) — inner wisdom quietly growing.,"당신의 타로 아키타입 '여사제'가 사주 십이운성의 '{target}' 단계와 만났습니다. 보이지 않는 곳에서 직관이 성숙하고 있습니다. 내면의 목소리에 귀 기울이세요."
TMA_004,TAROT_Empress,SAJU_TS_장생,타로운성,major_arcana_stage,95,"여제(The Empress)는 장생(長生)의 단계와 공명합니다. 새 생명이 탄생하고 풍요가 시작되는 단계입니다. 창조적 에너지가 물질 세계에 처음 드러나며, 자연의 축복이 함께합니다.",The Empress resonates with Birth(長生) — new life and abundance manifest.,"당신의 타로 아키타입 '여제'가 사주 십이운성의 '{target}' 단계와 만났습니다. 풍요와 창조의 기운이 당신 곁에 있습니다. 새로운 생명력이 피어나는 시기입니다."
TMA_005,TAROT_Emperor,SAJU_TS_건록,타로운성,major_arcana_stage,93,"황제(The Emperor)는 건록(建祿)의 단계와 공명합니다. 사회적 기반이 확고해지고 자신의 영역에서 안정된 권위를 행사하는 시기입니다. 구조와 질서를 세우는 힘이 있습니다.",The Emperor resonates with Establishment(建祿) — firm authority and structure.,"당신의 타로 아키타입 '황제'가 사주 십이운성의 '{target}' 단계와 만났습니다. 당신의 권위와 체계가 단단해지는 시기입니다. 자신의 영역에서 질서를 세우세요."
TMA_006,TAROT_Hierophant,SAJU_TS_관대,타로운성,major_arcana_stage,88,"교황(The Hierophant)은 관대(冠帶)의 단계와 공명합니다. 성년이 되어 사회적 역할을 부여받고, 전통과 가르침을 통해 공동체에 합류하는 시기입니다.",The Hierophant resonates with Coming-of-Age(冠帶) — receiving social role and tradition.,"당신의 타로 아키타입 '교황'이 사주 십이운성의 '{target}' 단계와 만났습니다. 전통 속의 지혜를 배우고 전달하는 역할이 당신에게 주어져 있습니다."
TMA_007,TAROT_Lovers,SAJU_TS_목욕,타로운성,major_arcana_stage,91,"연인(The Lovers)은 목욕(沐浴)의 단계와 공명합니다. 순수하고 감성적인 시기이며, 선택과 유혹 앞에 서게 됩니다. 감정이 격동하고 관계를 통해 자아를 발견합니다.",The Lovers resonates with Bathing(沐浴) — emotional awakening and critical choices.,"당신의 타로 아키타입 '연인'이 사주 십이운성의 '{target}' 단계와 만났습니다. 감정의 물결 속에서 중요한 선택의 순간이 다가옵니다. 진심을 따르되 지혜를 잃지 마세요."
TMA_008,TAROT_Chariot,SAJU_TS_건록,타로운성,major_arcana_stage,89,"전차(The Chariot)는 건록(建祿)의 단계와 공명합니다. 의지로 방향을 잡고 자신의 길을 개척해 나가는 시기입니다. 내면의 상반된 힘을 통합하여 전진합니다.",The Chariot resonates with Establishment(建祿) — determined forward drive and willpower.,"당신의 타로 아키타입 '전차'가 사주 십이운성의 '{target}' 단계와 만났습니다. 강한 의지로 앞으로 나아갈 때입니다. 상반된 에너지를 하나로 모아 돌파하세요."
