id,label,type,archetype_name,category,description,shadow_form,saju_connection,astro_connection,tarot_connection,growth_path,advice
hero,Hero,archetype,영웅(Hero),core_archetype,"도전을 극복하고 세상을 구하는 원형. 용기와 결단력으로 시련을 이겨내며 자아를 증명한다. 영웅의 여정은 일상의 세계를 떠나 모험을 거쳐 변화된 자아로 돌아오는 순환 구조를 따른다. 강한 의지와 희생정신이 핵심이다.","오만한 폭군: 자신만이 옳다고 믿으며 타인을 짓밟는다. 구원자 콤플렉스에 빠져 남의 삶을 통제하려 한다.","비겁(比劫)이 강하고 식상(食傷)이 유력한 사주. 양인(羊刃)과 건록(建祿)의 강한 자아 에너지. 편관(偏官)을 제어하는 식신제살(食神制殺)의 구조.","양자리/사자자리. 화성과 태양의 결합. 1하우스의 자아 의지와 10하우스의 사회적 성취. 화성-목성 합(合).","전차(The Chariot) - 의지의 승리. 힘(Strength) - 내면의 용기. 바보(The Fool) - 모험의 시작.","영웅 → 현자: 외적 성취에서 내적 지혜로. 전투에서 이기는 것보다 자기 자신을 아는 것이 진정한 승리.","영웅의 여정은 외부가 아니라 내면에서 시작된다. 가장 큰 적은 바깥에 있지 않으니 자신의 그림자와 먼저 대면하라."
innocent,Innocent,archetype,순수한 자(Innocent),core_archetype,"낙관과 희망으로 세상을 바라보는 원형. 순수한 믿음과 선의로 살아가며 에덴동산과 같은 이상향을 추구한다. 아직 세상의 어두운 면을 경험하지 않았거나 경험 후에도 선함을 지키는 존재이다.","부정하는 자: 현실을 외면하고 환상 속에 살며 필요한 변화를 거부한다. 의존적이 되어 타인에게 구원을 맡긴다.","식신(食神)이 강하고 인성(印星)의 보호를 받는 사주. 일간이 약하지만 인성과 비겁의 보호가 있어 순수함을 유지하는 구조.","물고기자리/사수자리. 목성과 해왕성의 낙관적 에너지. 9하우스의 이상주의. 달-목성 합의 선한 마음.","별(The Star) - 희망과 영감. 태양(The Sun) - 순수한 기쁨. 바보(The Fool) - 순수한 시작.","순수한 자 → 현자: 순수함을 잃지 않으면서도 현실의 지혜를 얻는 성장. 상처 입은 후에도 빛을 잃지 않는 것이 진정한 순수.","세상의 어둠을 알면서도 빛을 선택하는 것이 진정한 순수이다. 눈을 감는 것이 아니라 눈을 뜨고도 희망을 보는 것이다."
sage,Sage,archetype,현자(Sage),core_archetype,"진리와 지혜를 추구하는 원형. 깊은 사유와 탐구를 통해 세상의 이치를 깨닫고자 한다. 은둔자이면서 안내자이며 경험과 학문을 통해 얻은 통찰로 다른 이들을 인도한다.","교만한 냉소주의자: 지식으로 타인을 깔보며 감정을 무시한다. 이론에 갇혀 실천하지 못하고 비판만 하는 공허한 지식인이 된다.","정인(正印)이 발달한 사주. 인성(印星)이 왕성하여 학문과 사유가 깊다. 편인(偏印)의 독창적 통찰력. 토성적 깊이와 수성적 분석력의 결합.","처녀자리/사수자리. 토성과 수성의 분석력. 9하우스의 철학과 3하우스의 학습. 토성-수성 합의 깊은 사유.","은둔자(The Hermit) - 내면의 빛. 교황(The Hierophant) - 전통적 지혜. 여사제(The High Priestess) - 직관적 앎.","현자 → 바보: 모든 것을 알고 난 후 다시 비우는 경지. 지혜의 극치는 아이처럼 되는 것.","참된 지혜는 아는 것이 아니라 모른다는 것을 아는 것이다. 머리에서 가슴으로 내려오는 앎이 진정한 지혜이다."
explorer,Explorer,archetype,탐험가(Explorer),core_archetype,"자유와 발견을 갈망하는 원형. 미지의 세계를 향해 끊임없이 나아가며 일상의 틀을 벗어나 새로운 경험을 추구한다. 독립적이고 자율적이며 자기만의 길을 개척한다.","방황하는 부랑자: 어디에도 정착하지 못하고 영원히 떠도는 존재. 관계와 책임을 회피하며 표면적 경험만 수집한다.","역마(驛馬)가 강한 사주. 식상(食傷)이 왕성하여 새로운 것을 추구. 편인(偏印)의 독립적 사고. 화개(華蓋)와 역마의 결합.","사수자리/물병자리. 목성과 천왕성의 확장. 9하우스의 장거리 여행과 3하우스의 탐색. 화성-천왕성 합의 모험.","바보(The Fool) - 미지의 여정. 별(The Star) - 더 넓은 세상. 전차(The Chariot) - 새로운 방향.","탐험가 → 현자: 외적 탐험에서 내적 탐험으로. 세상을 돌아본 후 자기 안의 우주를 발견하는 성장.","진정한 탐험은 새로운 풍경을 보는 것이 아니라 새로운 눈을 갖는 것이다. 밖을 다 돌아보았다면 이제 안을 들여다볼 때이다."
outlaw,Outlaw,archetype,반역자(Outlaw),core_archetype,"기존 질서를 뒤엎고 혁명을 꿈꾸는 원형. 부당한 권위에 저항하며 급진적 변화를 추구한다. 체제의 모순을 간파하고 새로운 가능성을 제시하는 혁명가이다.","파괴적 범죄자: 건설 없는 파괴에 빠져 자기 자신마저 불태운다. 분노에 사로잡혀 무차별적으로 공격하는 존재가 된다.","상관(傷官)이 매우 강한 사주. 상관견관(傷官見官)의 구조로 기존 질서와 충돌. 양인(羊刃)과 상관의 결합은 극도의 반항심.","물병자리/전갈자리. 천왕성과 명왕성의 혁명 에너지. 11하우스의 사회 변혁. 8하우스의 근본적 파괴와 재생.","탑(The Tower) - 기존 구조의 붕괴. 죽음(Death) - 변혁. 악마(The Devil) - 속박으로부터의 해방.","반역자 → 마법사: 파괴에서 창조로. 무엇을 부수는지가 아니라 무엇을 세우는지가 혁명의 완성.","부수는 것은 쉬우나 세우는 것은 어렵다. 진정한 반역은 더 나은 세상을 만드는 것이지 세상을 불태우는 것이 아니다."
magician,Magician,archetype,마법사(Magician),core_archetype,"변환과 창조의 원형. 의지의 힘으로 현실을 바꾸며 보이지 않는 원리를 꿰뚫어 보는 능력이 있다. 연금술사처럼 납을 금으로 바꾸듯 상황을 변화시키는 촉매 역할을 한다.","사기꾼 조종자: 자신의 능력을 남을 조종하고 속이는 데 사용한다. 진실보다 환상을 만들어 타인을 기만하는 존재.","편인(偏印)이 매우 강한 사주. 편인의 직관력과 식상(食傷)의 창조력이 결합. 화개(華蓋)의 영적 에너지. 관인상생(官印相生)의 변환 능력.","전갈자리/물병자리. 명왕성의 변환력과 천왕성의 혁신. 8하우스의 연금술. 수성-명왕성 합의 깊은 통찰.","마법사(The Magician) - 의지의 현현. 운명의 수레바퀴(Wheel of Fortune) - 운명 조작. 절제(Temperance) - 연금술적 조합.","마법사 → 현자: 힘의 사용에서 힘의 포기로. 최고의 마법은 마법을 쓰지 않는 것.","가장 위대한 변환은 세상을 바꾸는 것이 아니라 자기 자신을 바꾸는 것이다. 진정한 연금술은 내면에서 일어난다."
lover,Lover,archetype,연인(Lover),core_archetype,"열정과 친밀감을 추구하는 원형. 아름다움에 대한 감각과 깊은 감정적 유대를 중시한다. 사랑뿐 아니라 일 자연 예술 등 삶의 모든 것에 대한 헌신적 열정을 상징한다.","집착하는 중독자: 사랑에 중독되어 자아를 잃는다. 상대에게 집착하거나 쾌락에 빠져 자기 파괴적이 된다.","정재(正財)와 정관(正官)의 인연 에너지. 도화(桃花)와 홍염(紅艶)의 매력. 일간과 배우자성의 합(合)이 강한 사주.","금성/천칭자리/황소자리. 금성과 달의 친밀감. 5하우스의 연애와 7하우스의 파트너십. 금성-화성 합의 열정.","연인(The Lovers) - 선택과 헌신. 여황제(The Empress) - 풍요로운 사랑. 별(The Star) - 영혼의 사랑.","연인 → 창조자: 외적 사랑에서 창조적 사랑으로. 사랑의 에너지를 작품과 봉사로 승화.","사랑은 소유가 아니라 존재의 방식이다. 집착을 내려놓을 때 진정한 사랑의 깊이를 알게 된다."
jester,Jester,archetype,광대(Jester),core_archetype,"유머와 즐거움으로 세상을 밝히는 원형. 진지함의 가면을 벗기고 웃음으로 진실을 드러낸다. 궁중의 광대처럼 누구도 말하지 못하는 진실을 유머로 전달하는 지혜가 있다.","잔인한 조롱자: 유머가 공격 무기가 되어 남을 깎아내린다. 모든 것을 조롱하며 아무것도 진지하게 받아들이지 못해 공허해진다.","식신(食神)의 유머 감각. 상관(傷官)의 날카로운 풍자력. 식신과 비견이 함께 있어 즐거운 사교의 에너지.","쌍둥이자리/사수자리. 수성의 재치와 목성의 유머. 5하우스의 즐거움과 3하우스의 언어 재능. 수성-목성 합.","바보(The Fool) - 신성한 광기. 태양(The Sun) - 순수한 기쁨. 마법사(The Magician) - 재치있는 변환.","광대 → 현자: 유머 속에 담긴 진실을 깨달음으로. 웃음에서 깨달음으로의 전환.","웃음은 영혼의 약이다. 그러나 남을 웃기기 전에 자기 자신을 웃을 수 있어야 한다. 진정한 유머는 사랑에서 나온다."
caregiver,Caregiver,archetype,돌봄이(Caregiver),core_archetype,"타인을 보살피고 보호하는 원형. 모성적 사랑과 이타심으로 남을 돌보며 희생을 두려워하지 않는다. 치유자이자 양육자로서 주변 사람들에게 안전과 따뜻함을 제공한다.","순교자 혹은 질식시키는 자: 자기 희생에 중독되어 자신을 돌보지 않는다. 또는 과도한 돌봄으로 상대의 자립을 막고 의존하게 만든다.","정인(正印)의 돌봄 에너지. 인성(印星)이 강하고 식신(食神)이 있어 양육적인 사주. 정재(正財)의 안정적 제공.","게자리/처녀자리. 달의 양육 에너지와 금성의 보살핌. 4하우스의 가정과 6하우스의 봉사. 달-금성 합.","여황제(The Empress) - 풍요로운 돌봄. 힘(Strength) - 부드러운 힘. 별(The Star) - 치유의 빛.","돌봄이 → 현자: 타인 돌봄에서 자기 돌봄으로. 남을 돌보기 위해 먼저 자신을 채우는 지혜.","먼저 자기 컵을 채우지 않으면 남에게 줄 것이 없다. 자기를 돌보는 것은 이기심이 아니라 지속가능한 사랑의 조건이다."
ruler,Ruler,archetype,통치자(Ruler),core_archetype,"질서와 통제를 통해 세상을 다스리는 원형. 책임감과 리더십으로 공동체를 이끌며 안정과 번영을 만든다. 왕이나 여왕처럼 권위를 가지되 정의와 공정으로 다스리는 것이 이상적이다.","독재적 폭군: 권력에 집착하여 모든 것을 통제하려 한다. 반대 의견을 용납하지 않고 공포로 지배하는 절대 권력자가 된다.","정관(正官)이 매우 강한 사주. 관인상생(官印相生)의 리더 구조. 정관과 정인이 결합하여 덕으로 다스리는 사주. 편관(偏官)이 강하면 강압적 통치.","사자자리/염소자리. 태양의 왕권과 토성의 규율. 10하우스의 사회적 지위와 권위. 태양-토성 합의 무거운 왕관.","황제(The Emperor) - 세속의 권위. 정의(Justice) - 공정한 판단. 세계(The World) - 완성된 통치.","통치자 → 현자: 세속의 권력에서 영적 권위로. 왕관을 내려놓을 때 진정한 왕이 되는 역설.","진정한 왕은 섬기는 자이다. 권력은 목적이 아니라 도구이며 왕관의 무게는 책임의 무게와 같다."
