id,label,desc,type,suit,number,korean_name,upright_meaning,reversed_meaning,element,saju_correlation,astro_correlation,description,jung_archetype,dream_symbol,advice,timing_guidance
TM_cups_ace,컵에이스,"컵에이스 | 컵의 에이스는 새로운 사랑과 감정의 시작을 상징합니다. 이 카드는 영적 깨달음과 축복을 의미하며, 마음을 열고 새로운 경험을 받아들이라는 조언을 줍니다. 반면, 거꾸로 놓인 경우에는 감정의 막힘이나 공허함, 사랑의 거부를 나타내며, 영적으로 고갈된 상태를 경고합니다. 이 카드는 특히 게자리와 연결되며, 초승달이나 금요일, 물고기자리 시즌에 더욱 강한 영향을 미칩니다. 마음의 문을 열면 새로운 사랑과 영감이 자연스럽게 흘러들어올 것입니다. | upright: 새로운사랑/감정의시작/영적깨달음/축복 | reversed: 감정막힘/공허함/사랑거부/영적고갈 | advice: 마음을 여세요. 새로운 사랑과 영감이 흘러들어옵니다. | archetype: 아니마원형-영혼의부름 | symbols: 성배/샘솟는물/연꽃 | timing: 초승달/금요일/물고기자리시즌 | astrology: 게자리0-10도 | saju: 임수계수일간-감정새시작 | element: Water",tarot_minor,Cups,1,컵의에이스,새로운사랑/감정의시작/영적깨달음/축복,감정막힘/공허함/사랑거부/영적고갈,Water,임수계수일간-감정새시작,게자리0-10도,"컵의 에이스는 새로운 사랑과 감정의 시작을 상징합니다. 이 카드는 영적 깨달음과 축복을 의미하며, 마음을 열고 새로운 경험을 받아들이라는 조언을 줍니다. 반면, 거꾸로 놓인 경우에는 감정의 막힘이나 공허함, 사랑의 거부를 나타내며, 영적으로 고갈된 상태를 경고합니다. 이 카드는 특히 게자리와 연결되며, 초승달이나 금요일, 물고기자리 시즌에 더욱 강한 영향을 미칩니다. 마음의 문을 열면 새로운 사랑과 영감이 자연스럽게 흘러들어올 것입니다.",아니마원형-영혼의부름,성배/샘솟는물/연꽃,마음을 여세요. 새로운 사랑과 영감이 흘러들어옵니다.,초승달/금요일/물고기자리시즌
TM_cups_2,컵2,"컵2 | 컵의 2는 파트너십과 사랑, 그리고 상호 존중을 상징하는 카드입니다. 이 카드는 진정한 관계를 위해 서로의 마음을 열고 소통하는 것이 얼마나 중요한지를 일깨워줍니다. 만약 이 카드가 거꾸로 나올 경우, 관계의 불균형이나 오해, 갈등이 발생할 수 있음을 경고합니다. 따라서, 건강한 관계를 유지하기 위해서는 주고받음의 균형을 잘 맞추는 것이 필수적입니다. 이 카드는 특히 게자리와 관련이 있으며, 금요일이나 보름달 같은 특별한 순간에 더욱 의미가 깊습니다. | upright: 파트너십/사랑/결합/상호존중 | reversed: 불균형/이별/오해/관계갈등 | advice: 진정한 파트너십을 위해 마음을 열어주세요. 주고받음의 균형이 중요합니다. | archetype: 결합원형-영혼의만남 | symbols: 연인/결혼/손잡음 | timing: 금요일/보름달/연인의날 | astrology: 게자리10-20도 | saju: 정재정관합-연인관계 | element: Water",tarot_minor,Cups,2,컵의2,파트너십/사랑/결합/상호존중,불균형/이별/오해/관계갈등,Water,정재정관합-연인관계,게자리10-20도,"컵의 2는 파트너십과 사랑, 그리고 상호 존중을 상징하는 카드입니다. 이 카드는 진정한 관계를 위해 서로의 마음을 열고 소통하는 것이 얼마나 중요한지를 일깨워줍니다. 만약 이 카드가 거꾸로 나올 경우, 관계의 불균형이나 오해, 갈등이 발생할 수 있음을 경고합니다. 따라서, 건강한 관계를 유지하기 위해서는 주고받음의 균형을 잘 맞추는 것이 필수적입니다. 이 카드는 특히 게자리와 관련이 있으며, 금요일이나 보름달 같은 특별한 순간에 더욱 의미가 깊습니다.",결합원형-영혼의만남,연인/결혼/손잡음,진정한 파트너십을 위해 마음을 열어주세요. 주고받음의 균형이 중요합니다.,금요일/보름달/연인의날
TM_cups_3,컵3,"컵3 | 컵의 3 카드는 축하와 우정, 기쁨과 사교의 상징으로, 친구들과 함께하는 소중한 순간을 강조합니다. 이 카드는 기쁨을 나누는 것이 얼마나 중요한지를 일깨워 주며, 특히 금요일이나 주말, 축제 시즌에 친구들과의 모임을 통해 더욱 큰 행복을 느낄 수 있음을 알려줍니다. 반면, 이 카드가 거꾸로 나올 경우 과음이나 고립, 외로움과 같은 부정적인 의미를 내포하고 있어, 관계의 깊이를 소홀히 하지 말라는 경고로 해석할 수 있습니다. 따라서, 진정한 기쁨은 친구들과의 소통과 함께 나누는 것임을 잊지 마세요. | upright: 축하/우정/기쁨/사교 | reversed: 과음/고립/외로움/관계피상 | advice: 친구들과 함께하세요. 기쁨은 나누면 배가 됩니다. | archetype: 영원한아이원형-순수한기쁨 | symbols: 파티/친구들/축배 | timing: 금요일/주말/축제시즌 | astrology: 게자리20-30도 | saju: 비겁식신-친구모임 | element: Water",tarot_minor,Cups,3,컵의3,축하/우정/기쁨/사교,과음/고립/외로움/관계피상,Water,비겁식신-친구모임,게자리20-30도,"컵의 3 카드는 축하와 우정, 기쁨과 사교의 상징으로, 친구들과 함께하는 소중한 순간을 강조합니다. 이 카드는 기쁨을 나누는 것이 얼마나 중요한지를 일깨워 주며, 특히 금요일이나 주말, 축제 시즌에 친구들과의 모임을 통해 더욱 큰 행복을 느낄 수 있음을 알려줍니다. 반면, 이 카드가 거꾸로 나올 경우 과음이나 고립, 외로움과 같은 부정적인 의미를 내포하고 있어, 관계의 깊이를 소홀히 하지 말라는 경고로 해석할 수 있습니다. 따라서, 진정한 기쁨은 친구들과의 소통과 함께 나누는 것임을 잊지 마세요.",영원한아이원형-순수한기쁨,파티/친구들/축배,친구들과 함께하세요. 기쁨은 나누면 배가 됩니다.,금요일/주말/축제시즌
TM_cups_4,컵4,"컵4 | 컵의 4는 무관심과 권태를 상징하며, 때로는 새로운 기회를 거부하는 모습을 나타냅니다. 이 카드가 정방향으로 나왔을 때, 우리는 종종 눈앞에 있는 축복을 간과하고 있는지 고민해봐야 합니다. 반면, 역방향으로 나타날 경우 행동과 수용, 새로운 관점을 통해 깨어나는 기회를 의미합니다. 따라서 이 카드는 우리에게 삶을 다시 돌아보고, 새로운 시각으로 주변을 바라보라는 조언을 줍니다. | upright: 무관심/권태/새기회거부/명상 | reversed: 행동/수용/새로운관점/깨어남 | advice: 눈앞의 축복을 보지 못하고 있진 않나요? 새 시각으로 바라보세요. | archetype: 고아원형-소외감 | symbols: 닫힌문/외면하는사람 | timing: 하현달/수요일/정체기 | astrology: 게자리-전갈경계 | saju: 편인운-내면침잠 | element: Water",tarot_minor,Cups,4,컵의4,무관심/권태/새기회거부/명상,행동/수용/새로운관점/깨어남,Water,편인운-내면침잠,게자리-전갈경계,"컵의 4는 무관심과 권태를 상징하며, 때로는 새로운 기회를 거부하는 모습을 나타냅니다. 이 카드가 정방향으로 나왔을 때, 우리는 종종 눈앞에 있는 축복을 간과하고 있는지 고민해봐야 합니다. 반면, 역방향으로 나타날 경우 행동과 수용, 새로운 관점을 통해 깨어나는 기회를 의미합니다. 따라서 이 카드는 우리에게 삶을 다시 돌아보고, 새로운 시각으로 주변을 바라보라는 조언을 줍니다.",고아원형-소외감,닫힌문/외면하는사람,눈앞의 축복을 보지 못하고 있진 않나요? 새 시각으로 바라보세요.,하현달/수요일/정체기
TM_cups_5,컵5,"컵5 | 컵의 5는 슬픔과 상실을 상징하는 타로 카드입니다. 이 카드는 우리가 겪는 실망과 후회를 나타내며, 이러한 감정을 충분히 느끼고 받아들이는 것이 중요하다는 메시지를 전달합니다. 그러나 슬픔 속에서도 남아 있는 축복을 잊지 말고, 앞으로 나아갈 수 있는 희망을 찾으라는 조언을 담고 있습니다. 이 카드는 전갈자리와 관련이 있으며, 감정적 상실을 겪는 시기에 특히 의미가 깊습니다. | upright: 상실/슬픔/후회/실망 | reversed: 회복/수용/앞으로/희망 | advice: 슬픔을 충분히 느끼세요. 하지만 남은 축복도 기억하세요. | archetype: 그림자원형-상실과애도 | symbols: 쏟아진물/깨진그릇/눈물 | timing: 그믐달/월요일/이별후시기 | astrology: 전갈자리0-10도 | saju: 상관견관-감정적상실 | element: Water",tarot_minor,Cups,5,컵의5,상실/슬픔/후회/실망,회복/수용/앞으로/희망,Water,상관견관-감정적상실,전갈자리0-10도,"컵의 5는 슬픔과 상실을 상징하는 타로 카드입니다. 이 카드는 우리가 겪는 실망과 후회를 나타내며, 이러한 감정을 충분히 느끼고 받아들이는 것이 중요하다는 메시지를 전달합니다. 그러나 슬픔 속에서도 남아 있는 축복을 잊지 말고, 앞으로 나아갈 수 있는 희망을 찾으라는 조언을 담고 있습니다. 이 카드는 전갈자리와 관련이 있으며, 감정적 상실을 겪는 시기에 특히 의미가 깊습니다.",그림자원형-상실과애도,쏟아진물/깨진그릇/눈물,슬픔을 충분히 느끼세요. 하지만 남은 축복도 기억하세요.,그믐달/월요일/이별후시기
TM_cups_6,컵6,"컵6 | 컵의 6은 과거의 추억과 순수함을 상징하는 카드로, 우리의 어린 시절 기억이나 잃어버린 순수함을 되새기게 합니다. 이 카드는 때때로 우리가 과거에 머무르는 것이 치유가 될 수 있음을 알려줍니다. 그러므로 잠시 동안 그 시절의 소중한 기억을 떠올리며 감정에 잠겨보는 것도 좋습니다. 하지만 이 카드가 거꾸로 나올 경우, 현재에 집중하고 과거의 집착에서 벗어나 성장해야 한다는 메시지를 전달합니다. | upright: 추억/향수/순수함/과거 | reversed: 현재집중/과거집착탈피/성장/전진 | advice: 과거의 순수함이 당신을 치유할 수 있습니다. 잠시 추억에 머물러도 좋아요. | archetype: 영원한아이원형-잃어버린순수 | symbols: 어린시절집/옛친구/장난감 | timing: 토요일/고향방문시기/추석 | astrology: 전갈자리10-20도 | saju: 인성운-어린시절기억 | element: Water",tarot_minor,Cups,6,컵의6,추억/향수/순수함/과거,현재집중/과거집착탈피/성장/전진,Water,인성운-어린시절기억,전갈자리10-20도,"컵의 6은 과거의 추억과 순수함을 상징하는 카드로, 우리의 어린 시절 기억이나 잃어버린 순수함을 되새기게 합니다. 이 카드는 때때로 우리가 과거에 머무르는 것이 치유가 될 수 있음을 알려줍니다. 그러므로 잠시 동안 그 시절의 소중한 기억을 떠올리며 감정에 잠겨보는 것도 좋습니다. 하지만 이 카드가 거꾸로 나올 경우, 현재에 집중하고 과거의 집착에서 벗어나 성장해야 한다는 메시지를 전달합니다.",영원한아이원형-잃어버린순수,어린시절집/옛친구/장난감,과거의 순수함이 당신을 치유할 수 있습니다. 잠시 추억에 머물러도 좋아요.,토요일/고향방문시기/추석
TM_cups_7,컵7,"컵7 | 컵의 7은 환상과 선택, 꿈, 그리고 다양한 가능성을 상징하는 타로 카드입니다. 이 카드가 정방향으로 나타날 때는 현실과 환상을 구별하는 것이 중요하다는 메시지를 전달합니다. 당신이 진정으로 원하는 것이 무엇인지 깊이 고민해보아야 합니다. 반면, 역방향으로 나타날 경우 현실을 직시하고 결정을 내리는 것이 필요하다는 것을 의미합니다. 이 카드는 전갈자리와 관련이 있으며, 특히 수요일과 해왕성의 영향을 받는 몽환적인 시기에 더욱 두드러집니다. | upright: 환상/선택/꿈/다양한가능성 | reversed: 현실직시/결정/명확화/환상깨짐 | advice: 환상과 현실을 구별하세요. 진정으로 원하는 것이 무엇인가요? | archetype: 마술사원형-선택의미로 | symbols: 구름속성/환상의성/신기루 | timing: 수요일/해왕성영향기/몽환적시기 | astrology: 전갈자리20-30도 | saju: 도화살-환상과유혹 | element: Water",tarot_minor,Cups,7,컵의7,환상/선택/꿈/다양한가능성,현실직시/결정/명확화/환상깨짐,Water,도화살-환상과유혹,전갈자리20-30도,"컵의 7은 환상과 선택, 꿈, 그리고 다양한 가능성을 상징하는 타로 카드입니다. 이 카드가 정방향으로 나타날 때는 현실과 환상을 구별하는 것이 중요하다는 메시지를 전달합니다. 당신이 진정으로 원하는 것이 무엇인지 깊이 고민해보아야 합니다. 반면, 역방향으로 나타날 경우 현실을 직시하고 결정을 내리는 것이 필요하다는 것을 의미합니다. 이 카드는 전갈자리와 관련이 있으며, 특히 수요일과 해왕성의 영향을 받는 몽환적인 시기에 더욱 두드러집니다.",마술사원형-선택의미로,구름속성/환상의성/신기루,환상과 현실을 구별하세요. 진정으로 원하는 것이 무엇인가요?,수요일/해왕성영향기/몽환적시기
TM_cups_8,컵8,"컵8 | 컵의 8은 떠남과 포기를 상징하며, 더 높은 것을 추구하는 여정을 나타냅니다. 이 카드는 익숙한 것에 안주하지 않고 새로운 길을 찾아 나설 용기를 요구합니다. 반면, 거꾸로 놓인 경우에는 집착이나 두려움, 체념을 의미하며, 미완료된 상태를 경고합니다. 따라서 이 카드는 우리가 더 깊은 의미를 찾기 위해 익숙함을 뒤로하고 새로운 탐험을 시작해야 함을 상기시킵니다. 물고기자리와의 연관성을 통해 감정적인 떠남의 필요성을 강조하며, 그믐달이나 새벽과 같은 전환점에서 새로운 시작을 할 수 있는 기회를 제공합니다. | upright: 떠남/포기/더높은것추구/여정 | reversed: 집착/두려움/체념/미완료 | advice: 더 깊은 의미를 찾아 떠날 용기가 필요합니다. 익숙함을 뒤로하세요. | archetype: 탐험가원형-영적여정 | symbols: 뒤돌아떠남/달밤길/산길 | timing: 그믐달/새벽/전환점시기 | astrology: 물고기자리0-10도 | saju: 역마운-감정적떠남 | element: Water",tarot_minor,Cups,8,컵의8,떠남/포기/더높은것추구/여정,집착/두려움/체념/미완료,Water,역마운-감정적떠남,물고기자리0-10도,"컵의 8은 떠남과 포기를 상징하며, 더 높은 것을 추구하는 여정을 나타냅니다. 이 카드는 익숙한 것에 안주하지 않고 새로운 길을 찾아 나설 용기를 요구합니다. 반면, 거꾸로 놓인 경우에는 집착이나 두려움, 체념을 의미하며, 미완료된 상태를 경고합니다. 따라서 이 카드는 우리가 더 깊은 의미를 찾기 위해 익숙함을 뒤로하고 새로운 탐험을 시작해야 함을 상기시킵니다. 물고기자리와의 연관성을 통해 감정적인 떠남의 필요성을 강조하며, 그믐달이나 새벽과 같은 전환점에서 새로운 시작을 할 수 있는 기회를 제공합니다.",탐험가원형-영적여정,뒤돌아떠남/달밤길/산길,더 깊은 의미를 찾아 떠날 용기가 필요합니다. 익숙함을 뒤로하세요.,그믐달/새벽/전환점시기
TM_cups_9,컵9,"컵9 | 컵의 9는 소원 성취와 만족, 행복, 풍요를 상징하는 타로 카드입니다. 이 카드는 당신이 바라던 것들이 이루어지고 있음을 나타내며, 이를 통해 삶의 기쁨을 만끽하라는 메시지를 전합니다. 그러나 거꾸로 놓였을 때는 불만족이나 탐욕, 공허함을 경고하며, 지나친 욕심이 오히려 행복을 가로막을 수 있음을 상기시킵니다. 따라서 현재의 성취에 감사하고 그 순간을 즐기는 것이 중요합니다. 이 카드는 물고기자리와 관련이 있으며, 보름달이나 목요일에 소원 성취의 기운이 강해질 수 있음을 알려줍니다. | upright: 소원성취/만족/행복/풍요 | reversed: 불만족/탐욕/과욕/공허 | advice: 당신의 소원이 이루어지고 있습니다. 감사하며 누리세요. | archetype: 자기원형-충족된자아 | symbols: 풍성한테이블/미소/만족 | timing: 보름달/목요일/소원성취기 | astrology: 물고기자리10-20도 | saju: 정재운-물질정서만족 | element: Water",tarot_minor,Cups,9,컵의9,소원성취/만족/행복/풍요,불만족/탐욕/과욕/공허,Water,정재운-물질정서만족,물고기자리10-20도,"컵의 9는 소원 성취와 만족, 행복, 풍요를 상징하는 타로 카드입니다. 이 카드는 당신이 바라던 것들이 이루어지고 있음을 나타내며, 이를 통해 삶의 기쁨을 만끽하라는 메시지를 전합니다. 그러나 거꾸로 놓였을 때는 불만족이나 탐욕, 공허함을 경고하며, 지나친 욕심이 오히려 행복을 가로막을 수 있음을 상기시킵니다. 따라서 현재의 성취에 감사하고 그 순간을 즐기는 것이 중요합니다. 이 카드는 물고기자리와 관련이 있으며, 보름달이나 목요일에 소원 성취의 기운이 강해질 수 있음을 알려줍니다.",자기원형-충족된자아,풍성한테이블/미소/만족,당신의 소원이 이루어지고 있습니다. 감사하며 누리세요.,보름달/목요일/소원성취기
TM_cups_10,컵10,"컵10 | 컵의 10은 가정의 행복과 완전한 사랑을 상징하는 카드로, 조화로운 관계와 축복이 가득한 상황을 나타냅니다. 이 카드가 정방향으로 나왔을 때는 사랑하는 사람들과의 소중한 시간을 보내는 것이 진정한 행복을 가져다준다는 메시지를 담고 있습니다. 반면, 역방향으로 나타날 경우 가정 내 불화나 관계의 단절을 경고하며, 소외감을 느낄 수 있음을 암시합니다. 따라서 이 카드는 가족과의 유대감을 소중히 여기고, 함께하는 시간을 통해 진정한 기쁨을 찾으라는 조언을 주고 있습니다. | upright: 가정행복/완전한사랑/조화/축복 | reversed: 가정불화/깨진관계/불화/소외 | advice: 사랑하는 사람들과 함께하세요. 이것이 진정한 행복입니다. | archetype: 돌봄자원형-완전한사랑 | symbols: 무지개/행복한가족/집 | timing: 일요일/보름달/가족기념일 | astrology: 물고기자리20-30도 | saju: 일지배우자궁-가정완성 | element: Water",tarot_minor,Cups,10,컵의10,가정행복/완전한사랑/조화/축복,가정불화/깨진관계/불화/소외,Water,일지배우자궁-가정완성,물고기자리20-30도,"컵의 10은 가정의 행복과 완전한 사랑을 상징하는 카드로, 조화로운 관계와 축복이 가득한 상황을 나타냅니다. 이 카드가 정방향으로 나왔을 때는 사랑하는 사람들과의 소중한 시간을 보내는 것이 진정한 행복을 가져다준다는 메시지를 담고 있습니다. 반면, 역방향으로 나타날 경우 가정 내 불화나 관계의 단절을 경고하며, 소외감을 느낄 수 있음을 암시합니다. 따라서 이 카드는 가족과의 유대감을 소중히 여기고, 함께하는 시간을 통해 진정한 기쁨을 찾으라는 조언을 주고 있습니다.",돌봄자원형-완전한사랑,무지개/행복한가족/집,사랑하는 사람들과 함께하세요. 이것이 진정한 행복입니다.,일요일/보름달/가족기념일
