id,label,type,suit,number,korean_name,upright_meaning,reversed_meaning,element,saju_correlation,astro_correlation,description,jung_archetype,dream_symbol,advice,timing_guidance
TM_wands_ace,완드에이스,tarot_minor,Wands,1,완드의에이스,새로운시작/영감/창조력/열정의불꽃,지연/막힘/에너지고갈/동기부족,Fire,병화/정화일간-새로운시작운,양자리0-10도,완드 에이스는 순수한 화(火)의 에너지. 새로운 프로젝트나 아이디어의 씨앗. 창조적 영감이 불꽃처럼 일어남.,영웅원형-모험의부름,횃불/불꽃/새벽빛,지금 떠오른 아이디어를 신뢰하세요. 열정을 따르면 길이 열립니다.,봄/아침/초승달-새시작적기
TM_wands_2,완드2,tarot_minor,Wands,2,완드의2,계획/결정/미래비전/세계가발앞에,불안/망설임/두려움/잘못된선택,Fire,편관운-선택의기로,양자리10-20도,완드 2는 세상을 손에 들고 선택을 고민하는 순간. 큰 계획을 세우고 앞으로 나아갈 방향을 결정해야 함.,자기원형-비전탐색,지도/갈림길/망대에서바라봄,두 길 중 하나를 선택해야 할 때입니다. 직관과 비전을 믿으세요.,새달-계획수립기/수요일-결정의날
TM_wands_3,완드3,tarot_minor,Wands,3,완드의3,확장/성장/해외진출/넓은시야,지연/실망/장애물/노력부족,Fire,식신생재운-확장기,양자리20-30도,완드 3은 배가 바다로 나가는 모습. 시야를 넓히고 새로운 영역으로 확장. 해외나 원거리와 인연.,탐험가원형-지평확장,배타기/해외여행/새로운땅,당신의 배는 항구를 떠날 준비가 됐습니다. 더 넓은 세상으로 나아가세요.,목요일/3월/확장대운기
TM_wands_4,완드4,tarot_minor,Wands,4,완드의4,축하/안정/가정의평화/결실,과도기/불안정/미완성/조화부족,Fire,정재운-가정안정기,양자리-황소경계,완드 4는 화환 아래 축하받는 장면. 노력의 결실을 맺고 안정을 누리는 시기. 가정의 행복.,돌봄자원형-안식처,집/결혼식/축제,잠시 멈춰 성취를 축하하세요. 안정의 기반이 마련됐습니다.,보름달/토요일/가을초입
TM_wands_5,완드5,tarot_minor,Wands,5,완드의5,경쟁/갈등/도전/내부분쟁,회피/타협/갈등해소/경쟁종료,Fire,비겁겁재운-경쟁시기,사자자리0-10도,완드 5는 다섯 명이 막대기로 싸우는 장면. 건전한 경쟁이나 의견 충돌. 내부 갈등을 해결해야 성장.,전사원형-건전한경쟁,싸움/운동경기/토론,갈등을 피하지 말고 건전하게 경쟁하세요. 마찰이 성장을 낳습니다.,화요일/경쟁시험기간/양자리시즌
TM_wands_6,완드6,tarot_minor,Wands,6,완드의6,승리/인정/성공/명예회복,지연/실패/자만/인정못받음,Fire,정관운-승진인정기,사자자리10-20도,완드 6은 월계관을 쓰고 행진하는 승리자. 노력이 인정받고 성공을 거두는 시기. 명예와 칭송.,영웅원형-개선장군,퍼레이드/수상/칭찬받음,당신의 노력이 인정받을 때입니다. 당당히 승리를 즐기세요.,일요일/사자자리시즌/여름성수기
TM_wands_7,완드7,tarot_minor,Wands,7,완드의7,방어/도전/용기/역경극복,포기/압도당함/자신감상실,Fire,칠살운-시련극복기,사자자리20-30도,완드 7은 높은 곳에서 아래를 막는 모습. 많은 도전에 맞서 굳건히 자신의 입장을 지킴.,전사원형-최후의저항,성벽방어/고지점령,물러서지 마세요. 지금 버티면 이깁니다. 용기를 내세요.,역경극복대운/하현달-인내기간
TM_wands_8,완드8,tarot_minor,Wands,8,완드의8,빠른진행/소식/여행/속도,지연/정체/기다림/느린진행,Fire,역마운-급속진행,사수자리0-10도,완드 8은 여덟 개의 막대기가 빠르게 날아가는 모습. 일이 급속히 진행되고 좋은 소식이 빨리 옴.,메신저원형-신속전달,비행기/화살/빠른이동,일이 빠르게 진행됩니다. 흐름을 타고 신속히 행동하세요.,수요일/역마대운/항공운좋은날
TM_wands_9,완드9,tarot_minor,Wands,9,완드의9,인내/방어/경계/끈기,피로/의심/포기직전/탈진,Fire,편인운-수비인내기,사수자리10-20도,완드 9는 상처 입은 채 막대기를 지키는 모습. 어려움 속에서도 포기하지 않는 끈기와 인내.,생존자원형-불굴의의지,상처입은전사/마지막방어,지쳤더라도 조금만 더 버티세요. 고비를 넘기면 빛이 보입니다.,토요일/그믐달/인내테스트기간
TM_wands_10,완드10,tarot_minor,Wands,10,완드의10,부담/책임/과중/끝이보임,위임/해방/부담감소/포기,Fire,관다신약-과중책임,사수자리20-30도,완드 10은 무거운 짐을 지고 가는 모습. 책임이 무겁지만 목적지가 보임. 끝까지 해내면 해방.,순교자원형-책임의무게,무거운짐/언덕오르기,짐이 무겁다면 나눠지세요. 혼자 모든 걸 질 필요 없습니다.,토요일/책임완수기한임박
