id,source,target,relation,description
SR_ASC_Aries,SR_ASC,Aries,in_sign,솔라 리턴 어센던트가 Aries에 위치
SR_ASC_Taurus,SR_ASC,Taurus,in_sign,솔라 리턴 어센던트가 Taurus에 위치
SR_ASC_Gemini,SR_ASC,Gemini,in_sign,솔라 리턴 어센던트가 Gemini에 위치
SR_ASC_Cancer,SR_ASC,Cancer,in_sign,솔라 리턴 어센던트가 Cancer에 위치
SR_ASC_Leo,SR_ASC,Leo,in_sign,솔라 리턴 어센던트가 Leo에 위치
SR_ASC_Virgo,SR_ASC,Virgo,in_sign,솔라 리턴 어센던트가 Virgo에 위치
SR_ASC_Libra,SR_ASC,Libra,in_sign,솔라 리턴 어센던트가 Libra에 위치
SR_ASC_Scorpio,SR_ASC,Scorpio,in_sign,솔라 리턴 어센던트가 Scorpio에 위치
SR_ASC_Sagittarius,SR_ASC,Sagittarius,in_sign,솔라 리턴 어센던트가 Sagittarius에 위치
SR_ASC_Capricorn,SR_ASC,Capricorn,in_sign,솔라 리턴 어센던트가 Capricorn에 위치
SR_ASC_Aquarius,SR_ASC,Aquarius,in_sign,솔라 리턴 어센던트가 Aquarius에 위치
SR_ASC_Pisces,SR_ASC,Pisces,in_sign,솔라 리턴 어센던트가 Pisces에 위치
SR_Sun_H1,SR_Sun,H1,in_house,솔라 리턴 태양이 1하우스에 위치
SR_Sun_H2,SR_Sun,H2,in_house,솔라 리턴 태양이 2하우스에 위치
SR_Sun_H3,SR_Sun,H3,in_house,솔라 리턴 태양이 3하우스에 위치
SR_Sun_H4,SR_Sun,H4,in_house,솔라 리턴 태양이 4하우스에 위치
SR_Sun_H5,SR_Sun,H5,in_house,솔라 리턴 태양이 5하우스에 위치
SR_Sun_H6,SR_Sun,H6,in_house,솔라 리턴 태양이 6하우스에 위치
SR_Sun_H7,SR_Sun,H7,in_house,솔라 리턴 태양이 7하우스에 위치
SR_Sun_H8,SR_Sun,H8,in_house,솔라 리턴 태양이 8하우스에 위치
SR_Sun_H9,SR_Sun,H9,in_house,솔라 리턴 태양이 9하우스에 위치
SR_Sun_H10,SR_Sun,H10,in_house,솔라 리턴 태양이 10하우스에 위치
SR_Sun_H11,SR_Sun,H11,in_house,솔라 리턴 태양이 11하우스에 위치
SR_Sun_H12,SR_Sun,H12,in_house,솔라 리턴 태양이 12하우스에 위치
SR_Moon_H1,SR_Moon,H1,in_house,솔라 리턴 달이 1하우스에 위치
SR_Moon_H2,SR_Moon,H2,in_house,솔라 리턴 달이 2하우스에 위치
SR_Moon_H3,SR_Moon,H3,in_house,솔라 리턴 달이 3하우스에 위치
SR_Moon_H4,SR_Moon,H4,in_house,솔라 리턴 달이 4하우스에 위치
SR_Moon_H5,SR_Moon,H5,in_house,솔라 리턴 달이 5하우스에 위치
SR_Moon_H6,SR_Moon,H6,in_house,솔라 리턴 달이 6하우스에 위치
SR_Moon_H7,SR_Moon,H7,in_house,솔라 리턴 달이 7하우스에 위치
SR_Moon_H8,SR_Moon,H8,in_house,솔라 리턴 달이 8하우스에 위치
SR_Moon_H9,SR_Moon,H9,in_house,솔라 리턴 달이 9하우스에 위치
SR_Moon_H10,SR_Moon,H10,in_house,솔라 리턴 달이 10하우스에 위치
