id,source,target,relation,description
REL_EL_목_화,EL_목,EL_화,생,목은 화를 생한다 — 나무가 타서 불을 만든다.
REL_EL_화_토,EL_화,EL_토,생,화는 토를 생한다 — 불이 재로 남아 흙이 된다.
REL_EL_토_금,EL_토,EL_금,생,토는 금을 생한다 — 흙 속에서 금속이 생겨난다.
REL_EL_금_수,EL_금,EL_수,생,금은 수를 생한다 — 금속의 응결이 물을 만든다.
REL_EL_수_목,EL_수,EL_목,생,수는 목을 생한다 — 물이 나무를 키운다.
REL_EL_목_토,EL_목,EL_토,극,목은 토를 극한다 — 나무의 뿌리가 흙을 뚫는다.
REL_EL_화_금,EL_화,EL_금,극,화는 금을 극한다 — 불이 금속을 녹인다.
REL_EL_토_수,EL_토,EL_수,극,토는 수를 극한다 — 흙이 물길을 막는다.
REL_EL_금_목,EL_금,EL_목,극,금은 목을 극한다 — 금속이 나무를 자른다.
REL_EL_수_화,EL_수,EL_화,극,수는 화를 극한다 — 물이 불을 끈다.
