id,source,target,relation,description
LINK_ASTRO_COMBO_Aquarius_H1_SIGN,ASTRO_SIGN_Aquarius_HOUSE_H1,Aquarius,has_sign,ASTRO_SIGN_Aquarius_HOUSE_H1 -> Aquarius 연결
LINK_ASTRO_COMBO_Aquarius_H1_HOUSE,ASTRO_SIGN_Aquarius_HOUSE_H1,H1,has_house,ASTRO_SIGN_Aquarius_HOUSE_H1 -> H1 연결
LINK_ASTRO_COMBO_Aquarius_H10_SIGN,ASTRO_SIGN_Aquarius_HOUSE_H10,Aquarius,has_sign,ASTRO_SIGN_Aquarius_HOUSE_H10 -> Aquarius 연결
LINK_ASTRO_COMBO_Aquarius_H10_HOUSE,ASTRO_SIGN_Aquarius_HOUSE_H10,H10,has_house,ASTRO_SIGN_Aquarius_HOUSE_H10 -> H10 연결
LINK_ASTRO_COMBO_Aquarius_H11_SIGN,ASTRO_SIGN_Aquarius_HOUSE_H11,Aquarius,has_sign,ASTRO_SIGN_Aquarius_HOUSE_H11 -> Aquarius 연결
LINK_ASTRO_COMBO_Aquarius_H11_HOUSE,ASTRO_SIGN_Aquarius_HOUSE_H11,H11,has_house,ASTRO_SIGN_Aquarius_HOUSE_H11 -> H11 연결
LINK_ASTRO_COMBO_Aquarius_H12_SIGN,ASTRO_SIGN_Aquarius_HOUSE_H12,Aquarius,has_sign,ASTRO_SIGN_Aquarius_HOUSE_H12 -> Aquarius 연결
LINK_ASTRO_COMBO_Aquarius_H12_HOUSE,ASTRO_SIGN_Aquarius_HOUSE_H12,H12,has_house,ASTRO_SIGN_Aquarius_HOUSE_H12 -> H12 연결
LINK_ASTRO_COMBO_Aquarius_H2_SIGN,ASTRO_SIGN_Aquarius_HOUSE_H2,Aquarius,has_sign,ASTRO_SIGN_Aquarius_HOUSE_H2 -> Aquarius 연결
LINK_ASTRO_COMBO_Aquarius_H2_HOUSE,ASTRO_SIGN_Aquarius_HOUSE_H2,H2,has_house,ASTRO_SIGN_Aquarius_HOUSE_H2 -> H2 연결
LINK_ASTRO_COMBO_Aquarius_H3_SIGN,ASTRO_SIGN_Aquarius_HOUSE_H3,Aquarius,has_sign,ASTRO_SIGN_Aquarius_HOUSE_H3 -> Aquarius 연결
LINK_ASTRO_COMBO_Aquarius_H3_HOUSE,ASTRO_SIGN_Aquarius_HOUSE_H3,H3,has_house,ASTRO_SIGN_Aquarius_HOUSE_H3 -> H3 연결
LINK_ASTRO_COMBO_Aquarius_H4_SIGN,ASTRO_SIGN_Aquarius_HOUSE_H4,Aquarius,has_sign,ASTRO_SIGN_Aquarius_HOUSE_H4 -> Aquarius 연결
LINK_ASTRO_COMBO_Aquarius_H4_HOUSE,ASTRO_SIGN_Aquarius_HOUSE_H4,H4,has_house,ASTRO_SIGN_Aquarius_HOUSE_H4 -> H4 연결
LINK_ASTRO_COMBO_Aquarius_H5_SIGN,ASTRO_SIGN_Aquarius_HOUSE_H5,Aquarius,has_sign,ASTRO_SIGN_Aquarius_HOUSE_H5 -> Aquarius 연결
LINK_ASTRO_COMBO_Aquarius_H5_HOUSE,ASTRO_SIGN_Aquarius_HOUSE_H5,H5,has_house,ASTRO_SIGN_Aquarius_HOUSE_H5 -> H5 연결
LINK_ASTRO_COMBO_Aquarius_H6_SIGN,ASTRO_SIGN_Aquarius_HOUSE_H6,Aquarius,has_sign,ASTRO_SIGN_Aquarius_HOUSE_H6 -> Aquarius 연결
LINK_ASTRO_COMBO_Aquarius_H6_HOUSE,ASTRO_SIGN_Aquarius_HOUSE_H6,H6,has_house,ASTRO_SIGN_Aquarius_HOUSE_H6 -> H6 연결
LINK_ASTRO_COMBO_Aquarius_H7_SIGN,ASTRO_SIGN_Aquarius_HOUSE_H7,Aquarius,has_sign,ASTRO_SIGN_Aquarius_HOUSE_H7 -> Aquarius 연결
LINK_ASTRO_COMBO_Aquarius_H7_HOUSE,ASTRO_SIGN_Aquarius_HOUSE_H7,H7,has_house,ASTRO_SIGN_Aquarius_HOUSE_H7 -> H7 연결
