id,label,type,category,description,traditional_meaning,psychological_meaning,fortune_rating,action_advice
DKH_소변꿈,소변보는꿈,korean_haemong,재물,"소변을 시원하게 보는 꿈. 한국에서 대표적인 재물 유입의 길몽으로 해석한다.","막혔던 것이 뚫리고 재물이 들어온다는 의미. 오줌줄기가 세고 시원할수록 큰 재물. 복권 당첨 꿈으로도 유명.","억압된 에너지의 해방. 정체되었던 것이 흐르기 시작하는 심리적 전환점을 반영.","★★★★☆","재물 기회가 올 수 있으니 준비하세요. 막혔던 일도 풀릴 조짐입니다."
DKH_대변꿈,똥꿈,korean_haemong,재물,"똥을 누는 꿈이나 똥을 밟는 꿈. 한국에서 매우 유명한 재물 길몽.","똥=재물의 전통적 상징. 똥을 밟으면 횡재, 옷에 묻으면 뜻밖의 재물, 똥산을 보면 큰 재산. 지저분할수록 더 큰 재물.","버려야 할 것을 버림으로써 새로운 공간이 생김. 심리적 정화 후 풍요가 따라옴.","★★★★★","꿈이 불쾌해도 좋은 징조입니다. 재테크 기회를 적극 활용하세요."
DKH_임신꿈,임신하는꿈,korean_haemong,창조,"임신하는 꿈(비임신자). 새로운 프로젝트나 아이디어의 잉태를 의미.","실제 임신 예고보다는 새로운 시작/사업/창작의 시작을 암시하는 경우가 많음. 배가 클수록 큰 프로젝트.","창조성의 각성. 내면에서 무언가 새로운 것이 자라나고 있음. 잠재력이 형태를 갖추기 시작.","★★★★☆","새로운 아이디어나 프로젝트를 시작할 좋은 시기입니다."
DKH_출산꿈,아기낳는꿈,korean_haemong,창조,"아기를 낳는 꿈. 창조적 결과물의 탄생이나 프로젝트의 완성을 의미.","노력의 결실. 준비한 것이 세상에 나올 때가 됨. 건강한 아기일수록 좋은 결과.","새로운 자아의 탄생. 개성화 과정에서 새로운 의식 내용이 탄생하는 것을 상징.","★★★★☆","준비한 것을 세상에 내놓을 때입니다. 두려워하지 마세요."
DKH_국수꿈,국수먹는꿈,korean_haemong,인연,"국수를 먹는 꿈. 한국에서 국수는 결혼/잔치와 연결된 전통적 상징.","좋은 인연이 다가옴. 결혼 적령기라면 혼사 징조. 국수가 길수록 오래가는 인연.","인간관계의 긴 줄기. 연결되고 이어지는 관계에 대한 무의식적 기대.","★★★★☆","인연을 소중히 하세요. 새로운 만남이나 기존 관계의 발전이 있을 수 있습니다."
DKH_떡꿈,떡받는꿈,korean_haemong,경사,"떡을 받거나 먹는 꿈. 한국 전통에서 경사스러운 일의 전조.","경사/축하할 일이 다가옴. 떡을 나눠주면 기쁨을 나누게 됨. 인절미는 끈끈한 인연, 송편은 속 꽉 찬 복.","나눔과 공동체의 기쁨. 집단적 축하와 인정에 대한 무의식적 열망.","★★★★☆","좋은 일이 다가오고 있습니다. 주변과 기쁨을 나눌 준비를 하세요."
DKH_밥꿈,밥먹는꿈,korean_haemong,기본운,"밥을 먹는 꿈. 한국에서 밥은 생명력과 기본적인 복을 상징.","흰쌀밥은 기본적인 복, 잡곡밥은 건강운, 비빔밥은 다양한 복이 섞임. 맛있게 먹으면 길.","생존 본능의 충족. 기본적인 삶의 영위에 대한 안정감. 영양과 보살핌.","★★★☆☆","기본에 충실하세요. 건강과 일상의 소중함을 잊지 마세요."
DKH_쌀꿈,쌀받는꿈,korean_haemong,재물,"쌀을 받거나 쌀창고를 보는 꿈. 재물과 풍요의 한국 전통 상징.","쌀=재물의 등식. 쌀가마가 많을수록 재물 축적. 쌀을 쏟으면 재물 손실 주의.","생존과 풍요의 기본 상징. 물질적 안정에 대한 무의식적 욕구와 그 충족.","★★★★☆","알뜰하게 재물을 모으세요. 낭비를 피하면 복이 쌓입니다."
DKH_고추꿈,고추따는꿈,korean_haemong,태몽,"고추를 따거나 받는 꿈. 한국에서 아들 태몽의 대표적 상징.","크고 붉은 고추일수록 건강하고 기운 찬 아들. 고추를 많이 따면 다산의 의미도.","남성성(아니무스)의 상징. 양적 에너지와 생명력의 표현.","★★★★☆","태몽일 경우 건강한 아이를 기대해도 좋습니다. 태몽이 아니면 활력 상승."
DKH_감꿈,감따는꿈,korean_haemong,성취,"감을 따는 꿈. 한국에서 성취와 결실의 상징.","노력의 결실을 맺음. 익은 감은 때가 된 성취, 떫은 감은 아직 시기상조. 곶감은 장기적 성과.","인내 후 달콤한 결실. 시간이 필요한 과정을 거쳐 완성되는 것들.","★★★★☆","때를 기다리세요. 익은 감은 저절로 떨어집니다."
