id,label,type,daymaster,stage,description,intensity,career_effect,relationship_effect,timing_advice
TSI_갑_장생,갑목장생,twelve_stage_interaction,甲,장생,"갑목이 장생에 해당하면 나무가 씨앗에서 싹트는 형상. 새로운 시작의 에너지가 강하고 순수한 야심이 있다.","★★★☆☆","교육/연구 분야 창업에 유리. 새로운 기술 학습기.","순수하고 이상적인 연애의 시작. 첫사랑 같은 설렘.","봄에 시작하는 일이 유리. 새학기/신년 프로젝트 추천."
TSI_갑_목욕,갑목목욕,twelve_stage_interaction,甲,목욕,"갑목이 목욕에 놓이면 젊은 나무가 비를 맞는 형상. 성장 욕구가 강하나 외부 환경에 흔들리기 쉽다.","★★☆☆☆","창작/예술 분야에서 영감 풍부. 직업 변동 주의.","감정적 연애. 열정적이나 불안정. 이성 관계 복잡해질 수 있음.","중요한 결정은 미루고 경험을 쌓는 시기로 활용."
TSI_갑_관대,갑목관대,twelve_stage_interaction,甲,관대,"갑목이 관대에 놓이면 나무가 성장하여 관을 쓰는 형상. 사회적 인정과 자신감이 높아지는 시기.","★★★★☆","시험/면접/승진에 유리. 공직/전문직에서 인정받음.","자존심 높은 연애. 당당하고 매력적이나 타협이 어려움.","사회적 도약의 기회를 적극 잡아야. 시험이나 자격증 도전 추천."
TSI_갑_임관,갑목임관,twelve_stage_interaction,甲,임관,"갑목이 임관에 놓이면 큰 나무가 숲을 이루는 형상. 능력의 정점에 도달하며 리더십을 발휘한다.","★★★★★","CEO/임원급 승진. 사업 최대 확장기. 정치/공직 진출 유리.","안정적이고 성숙한 관계. 결혼운 최상. 책임감 있는 파트너.","인생 최대 성취의 시기. 중요한 계약/결혼/투자에 최적."
TSI_갑_제왕,갑목제왕,twelve_stage_interaction,甲,제왕,"갑목이 제왕에 놓이면 나무가 최대로 성장한 형상. 정점의 에너지이나 쇠퇴의 시작점이기도 하다.","★★★★★","최고 지위 도달. 그러나 내리막 시작 주의. 후계자 양성 필요.","관계의 정점. 최고의 행복이나 하강 조짐도. 관계 관리 중요.","정점에서 겸손을 유지하라. 지나친 욕심은 금물."
TSI_갑_쇠,갑목쇠,twelve_stage_interaction,甲,쇠,"갑목이 쇠에 놓이면 나무가 열매를 맺고 잎이 떨어지기 시작하는 형상. 성취의 결실과 점진적 하강.","★★★☆☆","경험과 노하우를 전수하는 시기. 컨설팅/멘토링에 적합.","편안하고 성숙한 관계. 격정보다 안정을 추구.","수확하고 정리하는 시기. 새 시작보다 기존 것을 다듬어야."
TSI_갑_병,갑목병,twelve_stage_interaction,甲,병,"갑목이 병에 놓이면 나무가 병들기 시작하는 형상. 에너지가 약해지며 건강과 활력에 주의가 필요하다.","★★☆☆☆","체력 소모가 큰 일을 피하라. 내면적 작업/연구에 집중.","관계에서 상처받기 쉬움. 감정적 회복이 필요한 시기.","건강검진 필수. 무리하지 말고 쉬어가는 지혜 필요."
TSI_갑_사,갑목사,twelve_stage_interaction,甲,사,"갑목이 사에 놓이면 나무가 말라가는 형상. 에너지의 극적 전환점으로 끝과 새 시작이 공존한다.","★☆☆☆☆","기존 사업/직장의 마무리. 과감한 방향 전환이 필요할 수 있음.","관계의 이별이나 극적 변화. 그러나 이것이 새 시작의 전조.","과거를 놓아보내고 새 길을 준비하라. 집착은 금물."
TSI_갑_묘,갑목묘,twelve_stage_interaction,甲,묘,"갑목이 묘에 놓이면 나무가 땅속에 묻히는 형상. 잠복기로 외부적 성과는 적으나 내면의 축적이 이루어진다.","★☆☆☆☆","겉으로 드러나지 않는 실력 축적기. 연구/학습에 몰두하라.","관계가 겉으로 드러나지 않음. 비밀 연애나 내면적 사랑.","인내하며 실력을 쌓는 시기. 때가 오면 반드시 빛난다."
TSI_갑_절,갑목절,twelve_stage_interaction,甲,절,"갑목이 절에 놓이면 나무의 생명이 끊어지는 형상. 가장 약한 에너지이나 역설적으로 새 시작의 씨앗이 된다.","★☆☆☆☆","기존 일이 완전히 끝남. 완전한 방향 전환. 전혀 다른 분야로.","관계의 단절. 그러나 운명적 새 만남의 가능성.","가장 어려운 시기이나 가장 큰 변화의 기회. 용기를 내라."
