id,label,type,number,calculation,description,inner_desire,hidden_talent,spiritual_lesson,relationship_need,career_motivation,saju_parallel,shadow_side
SU_1,영혼충동수1,soul_urge,1,모음합산→1,"영혼이 독립과 자기실현을 갈망한다. 내면 깊은 곳에서 리더가 되고 싶고 자기만의 길을 가고 싶다.","자신만의 독특한 방식으로 세상에 기여하고 싶은 열망. 남과 다른 존재가 되고 싶음.","독창적 사고. 아무도 가지 않은 길을 개척하는 선구자적 재능이 숨어있음.","나를 찾는 여정이 인생의 핵심. 남의 기대가 아닌 나의 목소리를 따르세요.","독립성을 존중하고 자유를 주는 파트너. 함께하되 각자의 공간을 인정.","스스로 시작하고 이끄는 직업. 누군가의 명령이 아닌 자기 결정으로 일함.","비겁이 강한 사주-자아실현욕구","과도한 독선, 타인 무시, 외로움에 대한 두려움 숨김"
SU_2,영혼충동수2,soul_urge,2,모음합산→2,"영혼이 평화와 조화를 갈망한다. 내면 깊은 곳에서 사랑받고 싶고 누군가와 깊이 연결되고 싶다.","갈등 없는 평화로운 세상. 진정한 영혼의 동반자와의 만남. 모든 것이 조화로운 상태.","타인의 감정을 읽는 능력. 중재와 치유의 재능. 보이지 않는 곳에서 균형을 맞추는 힘.","혼자만의 평화가 아닌 함께하는 조화를 배우세요. 갈등은 성장의 기회입니다.","깊은 감정적 연결. 말하지 않아도 알아주는 상대. 안전하고 안정적인 관계.","협력하고 지원하는 역할. 팀의 조화를 만드는 일. 갈등을 해소하는 직업.","정인격-조화욕구/수기운-공감","의존성, 자기 주장 부족, 거절 두려움"
SU_3,영혼충동수3,soul_urge,3,모음합산→3,"영혼이 창조적 표현을 갈망한다. 내면 깊은 곳에서 자신의 이야기를 세상에 전하고 싶다.","아름다움을 창조하고 기쁨을 나누고 싶은 열망. 자기 안의 이야기가 표현을 갈구함.","말/글/예술로 사람들의 마음을 움직이는 재능. 기쁨과 영감을 전달하는 능력.","표현하지 않으면 에너지가 막힙니다. 어떤 형태로든 창조하세요.","재미있고 창의적인 상대. 함께 웃고 영감을 나눌 수 있는 관계. 지루함 싫음.","자기표현이 가능한 직업. 말하고 쓰고 창조하는 일. 엔터테인먼트.","식신격-표현욕구/화기운-창조","산만함, 깊이 부족, 감정 기복"
SU_4,영혼충동수4,soul_urge,4,모음합산→4,"영혼이 안정과 질서를 갈망한다. 내면 깊은 곳에서 견고한 기반 위에 서고 싶다.","흔들리지 않는 안정적인 삶. 자신이 만든 체계가 오래 지속되는 것을 보고 싶은 열망.","복잡한 것을 체계화하는 능력. 오래 지속되는 구조물(물리적/정신적)을 만드는 재능.","안정은 내면에서 옵니다. 외부 환경이 아닌 내면의 기반을 먼저 구축하세요.","안정적이고 신뢰할 수 있는 상대. 예측 가능하고 책임감 있는 관계.","체계를 만들고 유지하는 직업. 조직의 기반을 구축하는 일.","정재격-안정욕구/토기운-구조","경직성, 변화 거부, 감정 억압"
SU_5,영혼충동수5,soul_urge,5,모음합산→5,"영혼이 자유와 경험을 갈망한다. 내면 깊은 곳에서 모든 것을 경험하고 싶다.","제한 없는 자유. 세상의 모든 맛/냄새/소리/장면을 경험하고 싶은 강렬한 열망.","변화하는 상황에서 기회를 포착하는 능력. 다양한 경험을 통합하는 지혜.","자유의 진정한 의미는 외부가 아닌 내면에 있습니다. 어디에 있든 자유로울 수 있어요.","자유를 주고 함께 모험하는 상대. 속박 없이 함께 성장하는 관계.","변화와 다양성이 있는 직업. 여행하고 새로운 것을 경험하는 일.","역마살-자유욕구/목기운-확장","책임 회피, 중독 경향, 산만함"
SU_6,영혼충동수6,soul_urge,6,모음합산→6,"영혼이 사랑과 아름다움을 갈망한다. 내면 깊은 곳에서 완벽한 조화와 사랑을 원한다.","이상적인 가정과 완벽한 사랑. 세상이 더 아름다워지기를 바라는 마음.","사랑으로 사람을 치유하는 능력. 주변을 아름답게 만드는 미적 감각.","완벽한 사랑은 불완전함을 받아들이는 것에서 시작됩니다.","헌신적이고 책임감 있는 상대. 가정을 함께 꾸리고 돌볼 수 있는 파트너.","돌보고 아름답게 만드는 직업. 사람을 치유하고 환경을 조화롭게.","정인격-사랑욕구/금기운-조화","간섭, 완벽주의, 과잉보호"
SU_7,영혼충동수7,soul_urge,7,모음합산→7,"영혼이 진리와 깨달음을 갈망한다. 내면 깊은 곳에서 존재의 의미를 알고 싶다.","우주의 비밀을 이해하고 싶은 열망. 표면 아래의 진실을 꿰뚫어 보고 싶음.","직관적 통찰. 보이지 않는 패턴을 읽는 능력. 깊은 명상/연구 재능.","지식은 도구일 뿐입니다. 진정한 지혜는 사랑에서 옵니다.","지적 깊이가 있는 상대. 혼자 있는 시간을 존중하고 영적으로 교류할 수 있는 관계.","깊이 탐구하는 직업. 연구/분석/영적 탐구에 몰입할 수 있는 일.","편인격-진리욕구/수기운-직관","고립, 냉소, 감정적 친밀감 회피"
SU_8,영혼충동수8,soul_urge,8,모음합산→8,"영혼이 권능과 영향력을 갈망한다. 내면 깊은 곳에서 세상을 변화시킬 힘을 원한다.","큰 영향력을 행사하고 싶은 열망. 물질적/사회적 성공을 통해 세상을 바꾸고 싶음.","비전을 현실화하는 능력. 사람과 자원을 조직하여 큰 일을 이루는 재능.","권력의 목적을 기억하세요. 봉사하기 위한 것이지 지배하기 위한 것이 아닙니다.","강하고 성공지향적인 상대. 함께 제국을 건설할 수 있는 동반자.","권력과 영향력이 있는 직업. 조직을 이끌고 큰 프로젝트를 실현하는 일.","정관격-권력욕구/금토-현실화","물질만능, 일중독, 권력 남용"
SU_9,영혼충동수9,soul_urge,9,모음합산→9,"영혼이 보편적 사랑과 완성을 갈망한다. 내면 깊은 곳에서 모든 것을 포용하고 싶다.","세상의 모든 고통이 치유되기를 바라는 마음. 국경과 차별 없는 보편적 사랑의 실현.","무조건적 사랑의 능력. 인종/문화/종교를 초월하여 사람을 연결하는 재능.","먼저 자신을 용서하고 사랑하세요. 자기 사랑 없는 봉사는 소진으로 끝납니다.","영혼을 공유하는 상대. 함께 세상을 위해 봉사할 수 있는 파트너.","인류에 기여하는 직업. 봉사하고 치유하고 영감을 주는 일.","화개살-보편적사랑/인성-헌신","순교자 콤플렉스, 현실 도피, 이별 패턴"
SU_11,영혼충동수11,soul_urge,11,모음합산→11,"마스터영혼충동 11은 영적 각성을 갈망한다. 내면 깊은 곳에서 영적 진화와 인류의 각성을 원한다.","인류의 의식이 깨어나기를 바라는 열망. 영적 메시지를 전달하는 채널이 되고 싶음.","영적 안테나. 보이지 않는 세계의 메시지를 받는 능력. 영감을 전달하는 재능.","비전을 현실에 착지시키는 것이 과제입니다. 높이 날면서도 땅을 딛으세요.","영적으로 깨어있는 상대. 깊은 영혼의 교류가 가능한 관계.","영적 인도의 직업. 사람들에게 영감을 주고 각성을 돕는 일.","화개살+공망-영적각성","극도의 긴장, 현실과 괴리, 자기파괴 경향"
