id,label,type,category,jungian_meaning,psychological_significance,somatic_correlate,saju_element,polarity,description
DA_running,달리기,dream_action,movement,목표추구/도피/에너지방출,삶의속도와방향에대한성찰/스트레스해소욕구,다리와심폐기능상태반영,목,중립,"달리기 꿈은 목표를 향한 추진력 또는 무언가로부터의 도피를 나타냄. 달리는 방향과 속도가 의미를 결정."
DA_running_away,도망치기,dream_action,movement,회피/두려움직면회피/억압,직면하기어려운상황이나감정의회피/불안,자율신경계의과활성화/아드레날린,수,흉,"도망치는 꿈은 현실에서 피하고 싶은 상황이나 감정의 반영. 추격자의 정체가 핵심."
DA_running_toward,달려가기,dream_action,movement,목표지향/열정/용기,적극적인목표추구/동기부여상태,에너지레벨상승/활력,화,길,"무언가를 향해 달려가는 꿈은 목표를 향한 적극적인 추진력. 긍정적인 동기 상태."
DA_flying,비행,dream_action,movement,자유/초월/통제력,제약에서벗어나고싶은욕구/자기효능감,경직된신체의이완욕구/해방감,화,길,"비행 꿈은 자유와 가능성의 상징. 통제력과 자기효능감이 높을 때 나타남."
DA_flying_difficulty,비행_어려움,dream_action,movement,제약/좌절/불안,목표달성의어려움/자신감저하,신체적피로/에너지부족,토,흉,"날려고 하나 어려운 꿈은 목표 달성의 좌절감. 자신감 회복 필요."
DA_falling,추락,dream_action,movement,통제상실/불안/급격한변화,삶의통제력상실감/갑작스러운변화에대한두려움,낙상반응/근육긴장이완,금,흉,"추락하는 꿈은 통제력 상실에 대한 두려움. 수면 중 근육 이완 시 발생하기도 함."
DA_swimming,수영,dream_action,movement,감정탐색/무의식탐험/적응,감정세계의탐색/무의식적내용과의접촉,체액균형/림프순환,수,중립,"수영하는 꿈은 감정의 바다를 헤엄치는 것. 물의 상태가 감정 상태를 반영."
DA_swimming_drowning,익사위험,dream_action,movement,감정에압도됨/통제상실,감당할수없는감정적상황/우울,호흡기문제/숨막힘,수,흉,"익사할 것 같은 꿈은 감정에 압도되는 상황. 도움이 필요한 상태."
DA_climbing,오르기,dream_action,movement,상승/성취/노력,목표를향한진전/야망/노력의과정,척추와근육의긴장/에너지상승,목,길,"오르는 꿈은 목표를 향한 상승. 오르는 대상과 난이도가 현실의 도전을 반영."
DA_climbing_falling,오르다추락,dream_action,movement,좌절/실패두려움/불안,성취과정의불안/실패에대한두려움,균형감각/근육긴장,금,흉,"오르다 떨어지는 꿈은 성취 과정의 좌절감. 다시 도전할 용기 필요."
DA_walking,걷기,dream_action,movement,인생여정/방향/속도,삶의속도와방향에대한성찰/현재의리듬,다리와발건강상태,토,중립,"걷는 꿈은 인생의 여정. 걷는 속도와 방향이 현재의 삶의 리듬을 반영."
DA_dancing,춤추기,dream_action,movement,표현/조화/기쁨,자기표현욕구/삶과의조화/기쁨의표현,신체조정력/리듬감,화,길,"춤추는 꿈은 자기 표현과 삶의 조화. 춤의 종류와 파트너가 의미를 더함."
DA_fighting,싸움,dream_action,conflict,내면갈등/자기방어/억압된분노,내면의갈등/억압된공격성의표출,아드레날린/근육긴장,화,중립,"싸우는 꿈은 내면의 갈등이나 억압된 분노의 표출. 싸우는 대상이 핵심."
DA_fighting_winning,싸움_승리,dream_action,conflict,극복/자기효능감/성취,도전의극복/자신감회복/억압된힘의인정,에너지충만/활력,화,길,"싸워서 이기는 꿈은 도전을 극복하는 능력. 자기효능감 상승."
DA_fighting_losing,싸움_패배,dream_action,conflict,무력감/좌절/항복,도전에대한무력감/자존감문제,에너지고갈/피로,수,흉,"싸워서 지는 꿈은 무력감의 반영. 도움을 구하거나 전략 변경 필요."
DA_killing,살해,dream_action,conflict,극단적변화/억압된분노/종결,관계나상황의극적종결욕구/억압된공격성,극단적스트레스반응,금,중립,"살해하는 꿈은 무언가를 끝내고 싶은 욕구. 살해 대상이 무엇을 상징하는지 중요."
DA_being_killed,죽임당함,dream_action,conflict,변환/자아죽음/재탄생,삶의한부분의종결/자아의변환,면역기능저하/스트레스,금,중립,"죽임당하는 꿈은 자아의 변환. 끝이 아닌 새로운 시작의 전조일 수 있음."
DA_eating,먹기,dream_action,nurturance,양육/흡수/만족,정서적영양섭취/지식이나경험의흡수,소화기능상태/영양상태,토,중립,"먹는 꿈은 양육과 흡수. 먹는 음식의 종류와 맛이 흡수하는 것의 질을 반영."
DA_eating_delicious,맛있게먹기,dream_action,nurturance,만족/풍요/보상,삶의만족감/적절한보상/정서적충만,소화기건강/식욕정상,토,길,"맛있게 먹는 꿈은 삶의 만족. 정서적으로 충만한 상태."
DA_eating_bad,썩은음식먹기,dream_action,nurturance,해로운것흡수/후회/오염,해로운영향의흡수/독성관계나경험,소화불량/식중독주의,토,흉,"상한 음식을 먹는 꿈은 해로운 것의 흡수. 관계나 환경 점검 필요."
DA_speaking,말하기,dream_action,communication,표현/소통/자기주장,자기표현욕구/소통의필요성,목과성대건강,목,중립,"말하는 꿈은 소통과 표현. 말의 내용과 상대방이 핵심."
DA_speaking_unable,말못함,dream_action,communication,억압/무력/좌절,표현의억압/목소리를내지못하는상황,목의긴장/갑상선문제,목,흉,"말하려 하나 못하는 꿈은 표현의 억압. 자기 목소리를 내야 할 때."
DA_screaming,비명,dream_action,communication,경고/공포/긴급,억압된감정의폭발/긴급한도움요청,후두긴장/스트레스반응,화,흉,"비명 지르는 꿈은 억압된 감정의 폭발. 긴급한 표현이 필요한 상태."
