id,label,type,position,korean_name,time_period,family_relation,life_domain,body_part,description
POS_년간,년간,saju_position,year_stem,년간,0-15세,조부/사회,사회적배경/뿌리,머리상부,"년간은 조상으로부터 물려받은 사회적 유산과 초년의 환경을 나타낸다. 사회적 인식과 외부 세계에 보이는 첫인상."
POS_년지,년지,saju_position,year_branch,년지,0-15세,조모/사회기반,조상운/유산,머리하부,"년지는 조상의 기운이 저장된 곳. 가문의 특성과 어린 시절의 환경. 사회적 기반과 뿌리의 상태를 보여줌."
POS_월간,월간,saju_position,month_stem,월간,15-30세,부친/상관,부모덕/직업표면,가슴상부,"월간은 부모(특히 아버지)의 영향과 사회적 활동의 표면을 나타낸다. 직업적 이미지와 사회적 역할."
POS_월지,월지,saju_position,month_branch,월지,15-30세,모친/형제,격국/직업핵심,가슴하부,"월지는 사주의 핵심. 격국을 결정하는 가장 중요한 자리. 청년기의 활동과 직업의 본질을 나타냄."
POS_일간,일간,saju_position,day_stem,일간,30-45세,나자신,자아/정체성,복부상부,"일간은 나 자신. 사주 전체의 중심이며 모든 것이 일간을 기준으로 판단된다. 핵심 정체성."
POS_일지,일지,saju_position,day_branch,일지,30-45세,배우자,배우자궁/가정,복부하부,"일지는 배우자의 자리. 결혼 운과 가정환경을 나타낸다. 중년기의 가정생활과 내면적 자아."
POS_시간,시간,saju_position,hour_stem,시간,45-60세,자녀표면,자녀외적,하체상부,"시간은 자녀의 표면적 모습과 말년의 활동 영역을 나타낸다. 후손운과 노후 활동의 외적 측면."
POS_시지,시지,saju_position,hour_branch,시지,60세이후,자녀본질,자녀운/말년,하체하부,"시지는 자녀의 본질과 말년의 진정한 모습. 후손의 발전 가능성과 노년기 삶의 질을 보여줌."
POS_대운,대운,saju_position,major_luck,대운,10년단위,환경변화,인생큰흐름,전신에너지,"대운은 10년 단위로 바뀌는 큰 운의 흐름. 인생의 큰 국면 변화를 나타내며 원국과의 상호작용이 핵심."
POS_세운,세운,saju_position,annual_luck,세운,1년단위,년간환경,해당년운세,연간에너지,"세운은 매년 바뀌는 운의 흐름. 대운의 큰 틀 안에서 구체적인 년도별 길흉을 판단하는 기준."
POS_월운,월운,saju_position,monthly_luck,월운,1월단위,월간환경,해당월운세,월간에너지,"월운은 매월 바뀌는 운의 흐름. 세운의 틀 안에서 월별로 더 구체적인 운세를 살펴볼 수 있음."
POS_일운,일운,saju_position,daily_luck,일운,1일단위,일간환경,당일운세,일일에너지,"일운은 매일 바뀌는 운의 흐름. 특정 날짜의 길흉을 판단할 때 사용. 중요한 날짜 선택에 활용."
