id,label,type,category,jungian_meaning,psychological_significance,safety_assessment,saju_element,polarity,description
DS_home,집,dream_setting,shelter,자아/안전/정체성,심리적안식처/자아의상태반영,높음-안전한공간,토,길,"집은 자아와 정체성의 상징. 집의 상태가 자아의 상태를 반영. 심리적 안식처."
DS_home_childhood,어린시절집,dream_setting,shelter,과거/기원/근원,어린시절의미해결과제/근원탐색,중간-과거회귀,토,중립,"어린 시절 집은 과거와 근원. 미해결된 어린 시절 과제의 탐색."
DS_home_unknown,낯선집,dream_setting,shelter,미지의자아/새로운측면,아직발견되지않은자아의측면,중간-탐색필요,토,중립,"낯선 집은 미지의 자아. 발견되지 않은 자신의 측면."
DS_home_ruined,폐허가된집,dream_setting,shelter,방치된자아/무너진기반,자아의방치/심리적기반의붕괴,낮음-위기상태,토,흉,"폐허가 된 집은 방치된 자아. 심리적 기반 재건이 필요한 상태."
DS_room_bedroom,침실,dream_setting,interior,친밀성/휴식/무의식,가장개인적인공간/친밀한관계/휴식,높음-개인공간,수,중립,"침실은 가장 개인적인 공간. 친밀성과 휴식, 무의식과의 접촉."
DS_room_bathroom,욕실,dream_setting,interior,정화/사적영역/변환,정화와정서적세정/가장사적인변환,중간-정화공간,수,중립,"욕실은 정화와 변환의 공간. 정서적 세정과 정화 필요성."
DS_room_kitchen,주방,dream_setting,interior,양육/창조/변환,양육과돌봄/창조적변환/감정의조리,중간-양육공간,화,길,"주방은 양육과 창조의 공간. 감정의 조리와 변환."
DS_room_basement,지하실,dream_setting,interior,무의식/억압/숨김,깊은무의식/억압된내용/숨겨진것,낮음-무의식,수,중립,"지하실은 깊은 무의식. 억압되거나 숨겨진 내용의 저장소."
DS_room_attic,다락방,dream_setting,interior,과거/기억/잊힌것,잊힌기억/오래된생각/과거의자아,중간-과거저장,화,중립,"다락방은 과거와 기억. 잊힌 것들이 저장된 공간."
DS_building_office,사무실,dream_setting,building,직업/역할/사회적자아,직업적정체성/사회적역할,중간-직업공간,금,중립,"사무실은 직업적 정체성. 사회적 역할과 책임의 공간."
DS_building_school,학교,dream_setting,building,학습/성장/평가,배움의과정/성장단계/평가불안,중간-배움공간,목,중립,"학교는 배움과 성장. 평가와 시험에 대한 불안이 표현되기도."
DS_building_hospital,병원,dream_setting,building,치유/취약성/돌봄,치유의필요성/건강에대한불안/돌봄,낮음-치유필요,금,중립,"병원은 치유와 취약성. 건강에 대한 불안 또는 치유 필요성."
DS_building_church,교회/사찰,dream_setting,building,영성/초월/신성,영적탐색/초월에대한갈망/신성경험,높음-영적공간,화,길,"교회나 사찰은 영성과 초월. 신성한 것과의 연결 욕구."
DS_building_prison,감옥,dream_setting,building,속박/제한/죄책감,자유의제한/죄책감/갇힌느낌,낮음-속박,금,흉,"감옥은 속박과 제한. 자유가 억압되거나 죄책감의 상징."
DS_building_castle,성,dream_setting,building,권력/방어/고립,권력과지위/자기방어/때로는고립,중간-방어공간,토,중립,"성은 권력과 방어. 자기 보호 또는 고립의 상징."
DS_building_tower,탑,dream_setting,building,고립/관점/야망,높은곳에서의관점/야망/때로는고립,중간-고립가능,화,중립,"탑은 높은 관점과 야망. 때로는 고립과 외로움."
DS_nature_forest,숲,dream_setting,nature,무의식/미지/성장,무의식의영역/미지의탐험/생명의성장,중간-미지영역,목,중립,"숲은 무의식과 미지의 영역. 생명력과 성장, 그러나 길을 잃을 수도."
DS_nature_forest_dark,어두운숲,dream_setting,nature,두려움/미지/위험,무의식의어두운면/두려운미지,낮음-위험,목,흉,"어두운 숲은 무의식의 어두운 면. 두려움과 미지에 대한 불안."
DS_nature_mountain,산,dream_setting,nature,도전/성취/영적상승,삶의도전/목표달성/영적고양,중간-도전공간,토,길,"산은 도전과 성취. 오르면 관점이 넓어지고 영적 상승."
