id,label,type,element,yinyang,branch,role,description,daymaster_interaction,career_hint,relationship_hint
HIDDEN_자_계,계,지장간,수,음,子,본기,"자(子) 속의 계수(癸水). 자수의 본기로 순수한 음수의 에너지. 깊은 직관과 감성의 원천. 겉으로 드러나지 않는 내면의 지혜를 상징한다.","계수가 일간이면 자신의 본질과 일치하여 자아가 강함. 갑목 일간이면 편인으로 학문/예술의 재능. 병화 일간이면 정관으로 규율과 책임감.","학술/연구/예술/심리상담 분야 잠재력. 직관을 활용하는 직업에 강점.","내면이 깊어 쉽게 속을 보여주지 않음. 깊은 유대를 원하지만 표현이 서투름."
HIDDEN_축_기,기,지장간,토,음,丑,본기,"축(丑) 속의 기토(己土). 축토의 본기로 습한 땅의 에너지. 차갑고 축축한 흙처럼 보수적이고 실속있는 내면을 가진다. 재물을 모으고 지키는 힘.","기토가 일간이면 축의 습토와 공명하여 재물복이 강함. 갑목 일간이면 정재로 안정적 수입. 경금 일간이면 편인으로 특수 기술.","재무/회계/부동산/농업 관련 잠재력. 실속형 재테크 능력.","현실적인 사랑. 물질적 안정을 중시하며 점진적으로 마음을 여는 타입."
HIDDEN_축_계,계,지장간,수,음,丑,여기,"축(丑) 속의 계수(癸水). 축토 안에 숨어있는 물의 여기(餘氣). 겉은 토이지만 속에 수의 지혜가 숨어있다. 실용적 지식과 직관의 결합.","축의 계수가 일간과 어떤 관계를 맺느냐에 따라 숨겨진 재능이 달라짐. 토 일간이면 재성(재물), 금 일간이면 식신(표현력).","겉으로 드러나지 않는 지적 능력. 데이터 분석, 숨겨진 패턴 발견.","겉은 무뚝뚝하지만 속마음은 세심하고 배려깊은 타입."
HIDDEN_축_신,신,지장간,금,음,丑,중기,"축(丑) 속의 신금(辛金). 축토 안에 묻힌 보석. 흙 속에서 다듬어지지 않은 원석을 의미. 숨겨진 가치와 잠재력의 상징.","신금이 일간이면 축이 편인으로 자신을 보호하는 환경. 갑목 일간이면 정관으로 숨겨진 규율. 병화 일간이면 정재로 숨겨진 재물.","보석감정/정밀가공/금융 분야 잠재력. 숨겨진 재능을 발굴하는 능력.","티 나지 않는 매력. 알면 알수록 빠져드는 타입. 대기만성형 연애."
HIDDEN_인_갑,갑,지장간,목,양,寅,본기,"인(寅) 속의 갑목(甲木). 인목의 본기로 강한 양목의 에너지. 봄의 시작처럼 힘차게 자라나는 큰 나무. 리더십과 추진력의 핵심.","갑목 일간이면 인목에서 자신의 뿌리를 찾음(건록). 가장 강한 상태. 기토 일간이면 편관으로 도전과 압박.","리더십/창업/교육/출판 분야. 새로운 분야를 개척하는 선구자형.","직진형 사랑. 좋으면 적극적으로 다가감. 리더십을 발휘하는 관계."
HIDDEN_인_병,병,지장간,화,양,寅,중기,"인(寅) 속의 병화(丙火). 목생화(木生火)의 원리로 나무 속에 숨어있는 불씨. 잠재된 열정과 표현력.","병화 일간이면 인목이 편인(보호자). 갑목 일간이면 식신(표현력)이 숨어있어 내면의 창의력이 풍부.","연예/방송/마케팅 분야 잠재력. 겉은 조용하지만 무대에 서면 빛나는 타입.","내면에 뜨거운 열정이 숨어있음. 겉은 차분하지만 사랑에 빠지면 뜨거움."
HIDDEN_인_무,무,지장간,토,양,寅,여기,"인(寅) 속의 무토(戊土). 나무(목)가 자란 산의 흙. 성장의 기반이 되는 안정적 에너지가 숨어있다.","무토 일간이면 인목이 편관으로 외부의 도전. 토 일간이면 목에 의해 극을 받아 긴장감이 있지만 성장의 동력.","안정적 기반 위에서 성장하는 직업. 교육행정/시설관리/인프라 분야.","안정감을 주는 파트너. 화려하지 않지만 든든한 지지자."
HIDDEN_묘_을,을,지장간,목,음,卯,본기,"묘(卯) 속의 을목(乙木). 묘목의 유일한 본기. 순수한 음목의 에너지. 꽃과 덩굴처럼 유연하고 아름다운 에너지. 예술성과 적응력의 상징.","을목 일간이면 묘에서 건록. 가장 순수한 자아 발현. 경금 일간이면 정재(안정적 재물)로 예술적 수입.","예술/디자인/패션/화훼/조경 분야. 유연한 적응력으로 다양한 분야 소화.","감성적이고 로맨틱한 사랑. 꽃처럼 아름답지만 연약한 면도 있음."
HIDDEN_진_무,무,지장간,토,양,辰,본기,"진(辰) 속의 무토(戊土). 진토의 본기로 습한 봄 흙의 에너지. 만물을 품고 키우는 대지. 포용력과 축적의 상징. 창고(庫)의 성격.","무토 일간이면 진이 비견(동료)으로 도움. 갑목 일간이면 편재로 투기적 재물운. 진은 수(水)의 창고.","부동산/금융/저장/물류 관련. 축적하고 보관하는 능력. 데이터베이스/아카이브 적합.","많은 것을 품는 포용력. 여러 사람의 비밀을 간직하는 신뢰의 상.  "
HIDDEN_진_을,을,지장간,목,음,辰,중기,"진(辰) 속의 을목(乙木). 흙 속에서 자라나는 작은 풀. 봄 흙에서 싹트는 새로운 가능성. 숨겨진 성장의 씨앗.","을목 일간이면 진토가 정재(안정적 수입). 토 속에서 목이 자라는 형상으로 환경의 지원을 받는 성장.","농업/원예/바이오/환경 분야 잠재력. 어려운 환경에서도 성장하는 강인함.","소박하지만 꾸준한 성장이 있는 관계. 시간이 갈수록 깊어지는 인연."
