source,target,relation_type,description
HEX_01,HEX_02,대대괘,건(하늘)과 곤(땅)은 완전한 대립이자 보완. 양과 음의 근본. 모든 변화의 시작.
HEX_01,HEX_44,일효변,건의 초효가 변하면 구괘. 순양에 음이 처음 들어옴. 유혹과 만남의 시작.
HEX_01,HEX_13,이효변,건의 2효가 변하면 동인. 같은 뜻을 가진 사람들의 모임. 협력의 시작.
HEX_02,HEX_01,대대괘,곤(땅)에서 건(하늘)으로. 순음에서 순양으로의 극적 전환.
HEX_02,HEX_23,호괘,곤의 호괘는 박. 벗겨짐과 쇠퇴의 과정을 내포.
HEX_03,HEX_50,종괘,둔(시작의 어려움)을 뒤집으면 정(솥/문명). 어려운 시작이 위대한 문명을 만듦.
HEX_03,HEX_04,서괘,둔 다음은 몽. 만물이 생겨난 후 어리고 미숙한 상태가 됨.
HEX_04,HEX_03,서괘역,몽의 이전은 둔. 미숙함은 새 시작에서 비롯됨.
HEX_04,HEX_49,종괘,몽(어리석음)을 뒤집으면 혁(혁명). 무지에서 깨어나 변혁을 일으킴.
HEX_05,HEX_06,서괘,기다림(수) 다음은 다툼(송). 기다림이 길어지면 갈등이 생김.
HEX_05,HEX_35,종괘,수(기다림)를 뒤집으면 진(나아감). 인내 후 전진.
HEX_07,HEX_08,서괘,군대(사) 다음은 친함(비). 전쟁 후 연대가 생김.
HEX_07,HEX_13,대대괘,사(전쟁)와 동인(화합)은 대립. 갈등과 협력의 근본적 선택.
HEX_08,HEX_07,서괘역,친밀함의 이전은 투쟁. 연대는 갈등을 통해 형성됨.
HEX_11,HEX_12,대대괘,태(태평)와 비(막힘)는 대대괘. 형통과 막힘의 순환. 부귀에 안주하면 막힘이 옴.
HEX_11,HEX_12,서괘,태평함 다음은 막힘. 좋은 시절은 영원하지 않음을 경고.
HEX_12,HEX_11,대대괘,비(막힘)에서 태(태평)로. 막힌 것이 뚫리면 형통해짐. 고난 후 행복.
HEX_17,HEX_18,서괘,따름(수) 다음은 부패(고). 맹목적으로 따르면 부패가 생김.
HEX_18,HEX_17,서괘역,부패(고)의 이전은 따름(수). 부패를 바로잡으려면 올바른 리더를 따라야.
HEX_21,HEX_22,서괘,물어뜯음(서합/법) 다음은 꾸밈(비/예술). 질서 후 문화가 발전.
HEX_23,HEX_24,서괘,벗겨짐(박) 다음은 돌아옴(복). 쇠퇴의 극점에서 회복이 시작.
HEX_24,HEX_23,서괘역,돌아옴의 이전은 벗겨짐. 회복은 쇠퇴를 거쳐야 옴. 동지에 양이 돌아오듯.
