id,ilgan,ilgan_strength,preferred_yongsin,secondary_yongsin,ki_yongsin,heung_yongsin,yongsin_weakness,remedy,description
YS_갑목_강,갑목,강,금,화,수,토,목,화토운에주의_금운유리,"강한 갑목은 금(金)으로 제어해야. 화(火)로 설기하면 재능 발휘. 수가 너무 많으면 뿌리 썩음 주의."
YS_갑목_약,갑목,약,수,목,화,금,토,화금운주의_수목운유리,"약한 갑목은 수(水)로 기르고 목(木)으로 도와야. 금의 극이 치명적. 토가 많으면 뿌리 못 내림."
YS_갑목_중화,갑목,중화,화,토,수,금,목,균형유지가핵심,"중화된 갑목은 화(火)로 재능 발휘하고 토(土)로 재물 획득. 균형 유지가 핵심."
YS_을목_강,을목,강,금,화,수,토,목,금운으로정리_화운으로발산,"강한 을목은 금(金)으로 다듬어야 아름다움 발휘. 화(火)로 표현하면 재능 빛남."
YS_을목_약,을목,약,수,목,화,금,토,수목운필수_금운회피,"약한 을목은 수(水)로 자양하고 목(木) 형제로 도와야. 금의 극은 치명적."
YS_을목_중화,을목,중화,화,토,수,금,목,화토운이유리_창조와재물,"중화된 을목은 화(火)로 재능 표현, 토(土)로 재물 획득. 유연함이 강점."
YS_병화_강,병화,강,수,토,목,금,화,수토운유리_조열해소,"강한 병화는 수(水)로 조절해야 폭발 방지. 토(土)로 설기하면 안정적 발휘."
YS_병화_약,병화,약,목,화,토,수,금,목화운필수_수운회피,"약한 병화는 목(木)으로 기르고 화(火) 형제로 도와야. 수의 극은 꺼뜨림."
YS_병화_중화,병화,중화,토,금,목,수,화,토금운이유리_재물명예,"중화된 병화는 토(土)로 재능 발휘, 금(金)으로 재물 획득. 밝음이 강점."
YS_정화_강,정화,강,수,토,목,금,화,수운으로조절_토운으로안정,"강한 정화는 수(水)로 적셔야 지속적 빛남. 토(土)로 설기하면 온기 전달."
YS_정화_약,정화,약,목,화,토,수,금,목화운필수_수운회피,"약한 정화는 목(木)으로 연료 보충, 화(火) 형제로 도와야. 수는 치명적."
YS_정화_중화,정화,중화,토,금,목,수,화,토금운유리_온기와결실,"중화된 정화는 토(土)로 따뜻함 전달, 금(金)으로 결실. 은은함이 매력."
YS_무토_강,무토,강,목,금,화,수,토,목운으로풀어주고_금운으로설기,"강한 무토는 목(木)으로 개간해야 활용 가능. 금(金)으로 설기하면 가치 발휘."
YS_무토_약,무토,약,화,토,금,목,수,화토운필수_목운회피,"약한 무토는 화(火)로 굳히고 토(土) 형제로 도와야. 목의 극은 무너뜨림."
YS_무토_중화,무토,중화,금,수,화,목,토,금수운유리_결실과지혜,"중화된 무토는 금(金)으로 결실 맺고 수(水)로 재물 모음. 안정이 강점."
YS_기토_강,기토,강,목,금,화,수,토,목운으로배양_금운으로설기,"강한 기토는 목(木)으로 활용하고 금(金)으로 설기하면 생산적."
YS_기토_약,기토,약,화,토,금,목,수,화토운필수_목운회피,"약한 기토는 화(火)로 따뜻하게 하고 토(土) 형제로 보강. 목의 극은 척박함."
YS_기토_중화,기토,중화,금,수,화,목,토,금수운유리_수확과흐름,"중화된 기토는 금(金)으로 결실, 수(水)로 재물 흐름. 포용력이 강점."
YS_경금_강,경금,강,화,수,토,목,금,화운으로단련_수운으로세정,"강한 경금은 화(火)로 단련해야 보검이 됨. 수(水)로 설기하면 빛남."
YS_경금_약,경금,약,토,금,수,화,목,토금운필수_화운회피,"약한 경금은 토(土)로 생하고 금(金) 형제로 보강. 화의 극은 녹여버림."
YS_경금_중화,경금,중화,수,목,토,화,금,수목운유리_지혜와성장,"중화된 경금은 수(水)로 지혜 발휘, 목(木)으로 재물 획득. 결단력이 강점."
YS_신금_강,신금,강,화,수,토,목,금,화운으로정련_수운으로빛남,"강한 신금은 화(火)로 정련해야 보석이 됨. 수(水)로 설기하면 광채 발휘."
YS_신금_약,신금,약,토,금,수,화,목,토금운필수_화운회피,"약한 신금은 토(土)로 품고 금(金) 형제로 강화. 화의 극은 녹여버림."
YS_신금_중화,신금,중화,수,목,토,화,금,수목운유리_맑음과재물,"중화된 신금은 수(水)로 맑은 지혜, 목(木)으로 재물. 섬세함이 강점."
YS_임수_강,임수,강,토,목,금,화,수,토운으로제방_목운으로배출,"강한 임수는 토(土)로 제방을 쌓아야 범람 방지. 목(木)으로 설기하면 생산적."
YS_임수_약,임수,약,금,수,목,토,화,금수운필수_토운회피,"약한 임수는 금(金)으로 생하고 수(水) 형제로 보강. 토의 극은 막아버림."
YS_임수_중화,임수,중화,목,화,금,토,수,목화운유리_성장과빛남,"중화된 임수는 목(木)으로 성장 촉진, 화(火)로 재물. 포용력이 강점."
YS_계수_강,계수,강,토,목,금,화,수,토운으로조절_목운으로활용,"강한 계수는 토(土)로 방향 조절, 목(木)으로 설기하면 생명력 발휘."
YS_계수_약,계수,약,금,수,목,토,화,금수운필수_토운회피,"약한 계수는 금(金)으로 생하고 수(水) 형제로 보강. 토의 극은 흡수해버림."
YS_계수_중화,계수,중화,목,화,금,토,수,목화운유리_자양과따뜻함,"중화된 계수는 목(木)으로 자양, 화(火)로 따뜻함. 직관력이 강점."
YS_목다,일간상관없음,목과다,금,화,수,토,목,금운필수_목기제어,"목이 과다하면 금(金)으로 제어 필수. 화(火)로 설기하면 재능 발휘."
YS_화다,일간상관없음,화과다,수,토,목,금,화,수운필수_열기조절,"화가 과다하면 수(水)로 조절 필수. 토(土)로 설기하면 안정적 발휘."
