id,label,name,desc,category,element,description
wisdom_sun,Wisdom through Sun,Wisdom - 태양,태양을 통해 실천하는 Wisdom,stoic_virtue,earth,Wisdom - 태양 - 태양을 통해 실천하는 Wisdom (카테고리: stoic_virtue) 원소: earth
wisdom_moon,Wisdom through Moon,Wisdom - 달,달을 통해 실천하는 Wisdom,stoic_virtue,earth,Wisdom - 달 - 달을 통해 실천하는 Wisdom (카테고리: stoic_virtue) 원소: earth
wisdom_mercury,Wisdom through Mercury,Wisdom - 수성,수성을 통해 실천하는 Wisdom,stoic_virtue,earth,Wisdom - 수성 - 수성을 통해 실천하는 Wisdom (카테고리: stoic_virtue) 원소: earth
wisdom_venus,Wisdom through Venus,Wisdom - 금성,금성을 통해 실천하는 Wisdom,stoic_virtue,earth,Wisdom - 금성 - 금성을 통해 실천하는 Wisdom (카테고리: stoic_virtue) 원소: earth
wisdom_mars,Wisdom through Mars,Wisdom - 화성,화성을 통해 실천하는 Wisdom,stoic_virtue,earth,Wisdom - 화성 - 화성을 통해 실천하는 Wisdom (카테고리: stoic_virtue) 원소: earth
wisdom_jupiter,Wisdom through Jupiter,Wisdom - 목성,목성을 통해 실천하는 Wisdom,stoic_virtue,earth,Wisdom - 목성 - 목성을 통해 실천하는 Wisdom (카테고리: stoic_virtue) 원소: earth
wisdom_saturn,Wisdom through Saturn,Wisdom - 토성,토성을 통해 실천하는 Wisdom,stoic_virtue,earth,Wisdom - 토성 - 토성을 통해 실천하는 Wisdom (카테고리: stoic_virtue) 원소: earth
wisdom_uranus,Wisdom through Uranus,Wisdom - 천왕성,천왕성을 통해 실천하는 Wisdom,stoic_virtue,earth,Wisdom - 천왕성 - 천왕성을 통해 실천하는 Wisdom (카테고리: stoic_virtue) 원소: earth
wisdom_neptune,Wisdom through Neptune,Wisdom - 해왕성,해왕성을 통해 실천하는 Wisdom,stoic_virtue,earth,Wisdom - 해왕성 - 해왕성을 통해 실천하는 Wisdom (카테고리: stoic_virtue) 원소: earth
wisdom_pluto,Wisdom through Pluto,Wisdom - 명왕성,명왕성을 통해 실천하는 Wisdom,stoic_virtue,earth,Wisdom - 명왕성 - 명왕성을 통해 실천하는 Wisdom (카테고리: stoic_virtue) 원소: earth
courage_sun,Courage through Sun,Courage - 태양,태양을 통해 실천하는 Courage,stoic_virtue,earth,Courage - 태양 - 태양을 통해 실천하는 Courage (카테고리: stoic_virtue) 원소: earth
courage_moon,Courage through Moon,Courage - 달,달을 통해 실천하는 Courage,stoic_virtue,earth,Courage - 달 - 달을 통해 실천하는 Courage (카테고리: stoic_virtue) 원소: earth
courage_mercury,Courage through Mercury,Courage - 수성,수성을 통해 실천하는 Courage,stoic_virtue,earth,Courage - 수성 - 수성을 통해 실천하는 Courage (카테고리: stoic_virtue) 원소: earth
courage_venus,Courage through Venus,Courage - 금성,금성을 통해 실천하는 Courage,stoic_virtue,earth,Courage - 금성 - 금성을 통해 실천하는 Courage (카테고리: stoic_virtue) 원소: earth
courage_mars,Courage through Mars,Courage - 화성,화성을 통해 실천하는 Courage,stoic_virtue,earth,Courage - 화성 - 화성을 통해 실천하는 Courage (카테고리: stoic_virtue) 원소: earth
courage_jupiter,Courage through Jupiter,Courage - 목성,목성을 통해 실천하는 Courage,stoic_virtue,earth,Courage - 목성 - 목성을 통해 실천하는 Courage (카테고리: stoic_virtue) 원소: earth
courage_saturn,Courage through Saturn,Courage - 토성,토성을 통해 실천하는 Courage,stoic_virtue,earth,Courage - 토성 - 토성을 통해 실천하는 Courage (카테고리: stoic_virtue) 원소: earth
courage_uranus,Courage through Uranus,Courage - 천왕성,천왕성을 통해 실천하는 Courage,stoic_virtue,earth,Courage - 천왕성 - 천왕성을 통해 실천하는 Courage (카테고리: stoic_virtue) 원소: earth
courage_neptune,Courage through Neptune,Courage - 해왕성,해왕성을 통해 실천하는 Courage,stoic_virtue,earth,Courage - 해왕성 - 해왕성을 통해 실천하는 Courage (카테고리: stoic_virtue) 원소: earth
