id,label,type,number,calculation,description,talents,communication,creativity,career_fit,relationship_style,saju_parallel,famous_examples
EXP_1,표현수1,expression,1,이름자모합산→1,"표현수 1은 독립적이고 창의적인 자기표현. 리더십 있는 커뮤니케이션으로 자신만의 독특한 방식을 고수한다.","선구적 사고, 독창적 아이디어, 자신감 있는 프레젠테이션, 결단력 있는 의사전달.","직접적이고 단도직입적. 자기 의견 명확히 전달. 경청보다 발언에 강함. 회의를 주도함.","새로운 장르 개척, 독특한 스타일 창조에 재능. 기존 틀을 깨는 혁신.","CEO/창업자/발명가/독립예술가/프리랜서. 남의 밑에서 일하기보다 자기 사업 적합.","주도적이고 리드함. 파트너를 이끌려는 성향. 독립성 존중하는 상대 필요.","비겁이 강한 사주/건록격-자수성가형","스티브잡스/래리페이지/레이디가가"
EXP_2,표현수2,expression,2,이름자모합산→2,"표현수 2는 조화롭고 외교적인 자기표현. 부드럽고 섬세한 커뮤니케이션으로 갈등을 중재한다.","중재 능력, 세부사항 파악, 팀워크 조율, 경청과 공감, 비언어적 소통 파악.","부드럽고 배려 깊음. 상대 입장 먼저 고려. 간접적 표현 선호. 갈등 회피 경향.","디테일한 표현, 감성적 글쓰기, 하모니 있는 음악, 섬세한 디자인.","상담사/외교관/중재자/비서/코디네이터. 파트너십이 중요한 직업.","헌신적이고 로맨틱. 상대 필요를 먼저 챙김. 갈등 회피로 감정 억압 가능.","정인격-조화형/수기운이 강한 사주","오프라윈프리/바락오바마"
EXP_3,표현수3,expression,3,이름자모합산→3,"표현수 3은 밝고 예술적인 자기표현. 언어적 재능이 뛰어나고 사람들을 즐겁게 하는 능력이 있다.","말재주, 글재주, 유머감각, 무대 퍼포먼스, 즉흥 대화, 스토리텔링.","생동감 있고 재미있음. 스토리텔링에 능함. 과장 경향. 분위기 메이커.","모든 형태의 예술 표현. 특히 언어와 공연 예술. 엔터테인먼트.","작가/배우/가수/MC/마케터/강사. 창의적 표현이 가능한 직업.","매력적이고 재미있는 연인. 다양한 경험 추구. 지루함 싫어함. 가벼울 수 있음.","식신격-표현형/화기운이 강한 사주","짐캐리/엘렌드제너러스/테일러스위프트"
EXP_4,표현수4,expression,4,이름자모합산→4,"표현수 4는 체계적이고 실용적인 자기표현. 논리적이고 구조화된 방식으로 정보를 전달한다.","조직력, 매뉴얼 작성, 프로세스 설계, 체계적 교육, 데이터 분석.","논리적이고 구체적. 데이터 기반 설명. 감정적 표현 서투름. 신뢰감 줌.","설계도, 건축, 시스템 디자인, 공학적 창작, 매뉴얼 집필.","건축가/엔지니어/회계사/관리자/공무원. 안정적이고 체계적인 직업.","안정적이고 충실한 파트너. 물질적 안정 제공. 감정 표현 서투름.","정재격-안정형/토기운이 강한 사주","빌게이츠/마크저커버그"
EXP_5,표현수5,expression,5,이름자모합산→5,"표현수 5는 역동적이고 다채로운 자기표현. 다양한 분야 지식을 재미있게 전달하는 능력이 있다.","다국어 능력, 다양한 분야 지식, 적응력 있는 소통, 설득력, 변화 대응.","활기차고 흥미진진. 다양한 주제 넘나듦. 산만할 수 있음. 변화 즐김.","트렌드 선도, 멀티미디어 창작, 장르 융합, 즉흥 창작.","여행가/기자/세일즈/이벤트기획자/통역사. 변화가 있는 직업.","자유를 중시. 속박 싫어함. 다양한 만남 즐김. 헌신에 어려움.","역마살-변화형/목기운과 역마가 강한 사주","안젤리나졸리/리처드브랜슨"
EXP_6,표현수6,expression,6,이름자모합산→6,"표현수 6은 따뜻하고 책임감 있는 자기표현. 돌봄과 아름다움을 통해 세상과 소통한다.","미적 감각, 조화로운 환경 조성, 가르치고 돌보는 능력, 조언과 격려.","따뜻하고 포용적. 조언과 격려에 능함. 잔소리가 되기도 함. 책임감.","인테리어, 요리, 가드닝, 교육 콘텐츠, 돌봄의 창작.","의사/간호사/교사/상담사/요리사. 돌봄과 아름다움 관련 직업.","헌신적이고 로맨틱. 가정 중시. 이상적 관계 추구. 과잉보호 경향.","정인격-돌봄형/금기운이 강한 사주","마더테레사/존레논"
EXP_7,표현수7,expression,7,이름자모합산→7,"표현수 7은 깊이 있고 분석적인 자기표현. 지적이고 신비로운 방식으로 진리를 탐구하고 전달한다.","연구 분석, 심층 글쓰기, 철학적 담론, 직관적 통찰 전달, 명상적 가르침.","과묵하지만 깊이 있음. 핵심 찌르는 질문. 소수와 깊은 대화 선호.","심오한 주제 글쓰기, 연구 논문, 명상 음악, 영적 콘텐츠.","연구원/학자/프로그래머/심리학자/명상지도자. 깊은 탐구 직업.","내면적이고 선택적. 영적 교류 추구. 감정 표현 서투름. 벽 쌓기 쉬움.","편인격-탐구형/수기운과 화개살","스티븐호킹/아인슈타인"
EXP_8,표현수8,expression,8,이름자모합산→8,"표현수 8은 강력하고 권위 있는 자기표현. 비즈니스 감각과 조직력으로 영향력을 행사한다.","협상력, 비전 제시, 조직 관리, 재무 분석, 전략적 소통, 권위.","자신감 있고 카리스마적. 결과 중심 소통. 위압적일 수 있음. 권위적.","브랜딩, 비즈니스 전략, 대규모 이벤트, 기업 비전 제시.","기업 경영자/금융인/부동산/법조인/정치인. 권력과 재물 직업.","강하고 보호적. 물질적 풍요 제공. 일 때문에 관계 소홀 가능.","정관격-권력형/금토가 강하고 재성 풍부","도널드트럼프/워렌버핏"
EXP_9,표현수9,expression,9,이름자모합산→9,"표현수 9은 보편적이고 인류애적인 자기표현. 넓은 시야로 세상의 이야기를 전하는 스토리텔러.","다문화 이해, 박애적 소통, 영감을 주는 연설, 예술적 전달, 카리스마.","감동적이고 영감을 줌. 큰 그림을 그림. 실용성 부족할 수 있음. 이상적.","드라마, 다큐멘터리, 사회적 예술, 공익 캠페인, 국제 콘텐츠.","사회운동가/NGO/예술가/치유사/종교인. 인류에 기여하는 직업.","이상적이고 헌신적. 보편적 사랑 추구. 개인적 친밀감 부족할 수 있음.","화개살-봉사형/인성이 강하고 공망","마하트마간디/넬슨만델라"
EXP_11,표현수11,expression,11,이름자모합산→11,"마스터표현수 11은 영감과 직관의 자기표현. 영적 메시지를 전달하는 채널 역할을 한다.","영적 직관, 영감 전달, 카리스마, 대중 연설, 치유적 소통.","강렬하고 영감을 줌. 직관적 통찰. 긴장과 불안 경향. 높은 감수성.","영적 글쓰기, 영감을 주는 연설, 치유 음악, 비전 아트.","영적 지도자/치유사/영감을 주는 강연자/비전 제시자.","영혼의 동반자 추구. 깊은 영적 교류. 보통 관계에 만족 못함.","화개살+공망-영적각성형","마틴루터킹/스티비원더"
