id,ilju,stem,branch,personality,career,love,wealth,health,famous_people,description
IJ_갑자,갑자,甲,子,개척 정신이 강하고 지혜로움. 리더십과 창의력이 뛰어나나 고집이 세다. 새로운 시작을 잘하며 독립심이 강함.,"CEO, 창업가, 정치인, 연구원, 작가. 새로운 분야 개척에 탁월.",이상주의적 사랑. 지적인 파트너를 선호하며 정신적 교감 중시.,초년에 어려움 있으나 중년 이후 안정. 투자보다 사업에 강점.,"신장, 방광 계통 주의. 과로로 인한 피로 축적 조심.","정주영, 빌 게이츠",IJ_갑자: Astro interpretation data.
IJ_을축,을축,乙,丑,인내심이 강하고 꾸준함. 겉으로는 부드러우나 속은 단단하다. 예술적 감각과 현실적 판단력 겸비.,"예술가, 디자이너, 금융인, 부동산, 농업. 장기 프로젝트에 강함.",신중하고 진지한 연애. 한번 사랑하면 끝까지 가는 스타일.,늦게 피는 꽃. 40대 이후 재물운 상승. 땅과 관련된 투자 유리.,"소화기, 비장 주의. 습한 환경 피하고 적당한 운동 필요.",무라카미 하루키,IJ_을축: Astro interpretation data.
IJ_병인,병인,丙,寅,열정적이고 진취적. 태양과 호랑이의 기운으로 카리스마 넘침. 정의감 강하고 리더십 탁월.,"정치인, 연예인, 사업가, 군인, 스포츠. 주목받는 자리에 적합.",뜨겁고 적극적인 연애. 상대를 리드하며 헌신적으로 사랑.,젊어서 돈을 벌고 크게 쓰는 타입. 투자보다 사업으로 성공.,"심장, 눈, 혈압 주의. 과열되기 쉬우니 휴식 중요.",마이클 조던,IJ_병인: Astro interpretation data.
IJ_정묘,정묘,丁,卯,섬세하고 예술적. 불꽃처럼 아름답고 감성적. 직관력이 뛰어나고 사람의 마음을 잘 읽는다.,"예술가, 작가, 상담사, 교육자, 뷰티. 감성을 다루는 분야.",로맨틱하고 감성적인 연애. 분위기와 감정 교류를 중시.,예술적 재능으로 부를 얻음. 투자보다 본업에 집중해야.,"간, 신경계 주의. 스트레스 관리와 충분한 수면 필요.",빈센트 반 고흐,IJ_정묘: Astro interpretation data.
IJ_무진,무진,戊,辰,산과 용의 기운. 웅장하고 포용력 있으며 큰 그릇. 책임감 강하고 신뢰받는 타입.,"대기업, 건설, 부동산, 정치, 종교. 큰 조직을 이끄는 역할.",포용력 있고 듬직한 연애. 상대에게 안정감을 주는 파트너.,"큰 돈을 다루는 재능. 부동산, 대규모 사업에서 성공.","위장, 피부 주의. 습한 것 피하고 규칙적인 식사 중요.",도널드 트럼프,IJ_무진: Astro interpretation data.
IJ_기사,기사,己,巳,유연하면서도 지혜로움. 겉은 부드럽고 속은 날카롭다. 상황 판단력과 적응력이 뛰어남.,"외교관, 비서, 기획자, 상담사, 서비스업. 사람을 다루는 역할.",매력적이고 센스있는 연애. 상대의 니즈를 잘 파악.,여러 방면에서 수입을 얻음. 투자 감각이 있으나 도박 주의.,"심장, 소화기 주의. 과로와 스트레스 관리 필요.",마릴린 먼로,IJ_기사: Astro interpretation data.
IJ_경오,경오,庚,午,결단력과 열정의 조합. 칼과 불의 만남으로 강렬하고 파워풀. 승부욕이 강하다.,"군인, 외과의사, 스포츠, 금융, 법조. 결단이 필요한 분야.",뜨겁고 강렬한 연애. 질투심이 있고 소유욕이 강한 편.,젊어서 크게 벌거나 크게 잃음. 중년에 안정. 투기 주의.,"심장, 폐 주의. 열이 많으니 술, 담배 절제 필요.",나폴레옹,IJ_경오: Astro interpretation data.
IJ_신미,신미,辛,未,섬세하고 예술적. 보석과 흙의 조합으로 숨은 재능이 많다. 완벽주의적 성향.,"보석, 패션, 예술, 금융, 감정사. 아름다움을 다루는 분야.",이상이 높은 연애. 상대에 대한 기준이 까다로운 편.,꾸준히 모으는 스타일. 투기보다 저축과 안정 투자.,"폐, 피부, 알레르기 주의. 건조한 환경 피해야.",코코 샤넬,IJ_신미: Astro interpretation data.
IJ_임신,임신,壬,申,지혜롭고 실리적. 바다와 원숭이의 조합으로 영리하고 적응력 좋음. 언변이 뛰어남.,"사업가, 무역, 컨설턴트, IT, 언론. 정보를 다루는 분야.",다양한 인연을 만나는 타입. 한곳에 정착이 어려울 수 있음.,여러 방면에서 수입. 투자 감각은 좋으나 집중이 필요.,"신장, 호흡기 주의. 물을 많이 마시고 휴식 중요.",빌 클린턴,IJ_임신: Astro interpretation data.
IJ_계유,계유,癸,酉,직관적이고 예리함. 샘물과 닭의 조합으로 섬세하고 날카롭다. 예술적 감각 탁월.,"예술가, 비평가, 애널리스트, 보석, 뷰티. 분석과 미학의 분야.",까다롭고 이상 높은 연애. 외모와 품격을 중시하는 편.,예술이나 투자로 성공. 한 분야 전문가로 부를 얻음.,"폐, 피부, 비뇨기 주의. 알레르기 체질이 많음.",마이클 잭슨,IJ_계유: Astro interpretation data.
