"id","label","type","category","formation","description","personality","career","wealth","relationship","health","advice"
"GK_식신격","식신격","geokguk","식상격","식신이월지통근","식신격은 일간이 생하는 오행(식신)이 월지에 통근한 격국. 온화하고 지적이며 창조적 활동에 재능이 있다.","온화하고 여유로운 성격. 식복이 좋고 학문적 재능. 표현력이 풍부하며 사교적. 예술적 감각.","교수, 연구원, 작가, 요리사, 영양사, 예술가. 지적/창조적 직업에 적합.","안정적 재물운. 급격한 부보다 꾸준한 수입. 식품/교육 관련 사업 유리.","따뜻하고 포근한 파트너. 자녀운이 좋음. 먹는 것으로 사랑 표현.","소화기 계통 주의. 비만/당뇨 관리 필요. 식습관이 건강을 좌우.","식신의 여유를 유지하되 게으름에 빠지지 않도록. 꾸준한 자기계발이 핵심."
"GK_상관격","상관격","geokguk","식상격","상관이월지통근","상관격은 일간이 생하는 오행(상관)이 월지에 통근한 격국. 재능이 출중하나 반항적이고 날카로운 성향.","총명하고 재능 넘침. 기존 체계에 도전적. 비판적 사고. 예리한 관찰력. 자유분방.","예술가, 변호사, 프리랜서, 비평가, 혁신 기업가. 기존 틀을 깨는 직업.","불규칙한 재물운. 큰돈을 벌기도 하나 변동이 큼. 특수 재능으로 부 축적.","뜨겁고 격정적인 연애. 질투와 갈등이 잦음. 이혼 주의. 독특한 매력.","신경계통 질환 주의. 스트레스성 질병. 수면장애 가능.","날카로운 재능을 건설적으로 사용하라. 파괴가 아닌 창조에 에너지를 쏟을 것."
"GK_편재격","편재격","geokguk","재성격","편재가월지통근","편재격은 일간이 극하는 오행(편재)이 월지에 통근한 격국. 사업수완이 뛰어나고 돈의 흐름을 잘 읽는다.","활동적이고 사교적. 사업 감각이 탁월. 돈을 잘 벌고 잘 씀. 의리 있으나 변덕.","사업가, 무역상, 투자가, 세일즈, 유통업, 이벤트업. 큰돈이 움직이는 직업.","큰돈이 들어오고 나감. 투기적 재물운. 편재는 남의 재물이라 흘러가는 돈.","이성 관계가 복잡할 수 있음. 편재는 아버지/여자를 의미. 다정다감하나 바람기 주의.","간담 계통 주의. 과음/과식 주의. 활동량이 많아 체력 관리 중요.","편재의 유동성을 인정하되 기본 자산은 안정적으로 지키라. 분산 투자 추천."
"GK_정재격","정재격","geokguk","재성격","정재가월지통근","정재격은 일간이 극하는 오행(정재)이 월지에 통근한 격국. 성실하고 근면하며 안정적인 재물 축적에 능하다.","근면하고 정직. 절약 정신. 현실적이고 실용적. 안정을 추구. 보수적 경향.","은행원, 회계사, 공무원, 관리직, 자영업. 안정적이고 체계적인 직업.","안정적이고 꾸준한 재물 축적. 저축에 능함. 급격한 재물 변동은 적음.","안정적이고 충실한 배우자. 가정적. 정재는 정당한 아내/재물을 의미.","비장/위장 계통 주의. 과로로 인한 소화불량. 스트레스성 질환.","안정은 좋으나 지나친 인색함은 경계. 적절한 투자와 자기 투자도 필요."
"GK_편관격","편관격","geokguk","관성격","편관이월지통근","편관격은 일간을 극하는 오행(편관/칠살)이 월지에 통근한 격국. 강한 추진력과 카리스마를 가졌다.","강인하고 결단력 있음. 리더십 강하나 독단적. 위기 상황에서 빛남. 군인/경찰 기질.","군인, 경찰, 외과의사, 격투기선수, CEO, 위기관리 전문가. 강한 체력과 결단력 필요한 직업.","변동이 큰 재물운. 위험을 무릅쓰고 큰 성과를 거둠. 투기적 성향.","강렬하고 지배적인 연애. 상대를 보호하려 하나 통제적일 수 있음. 갈등 잦음.","외상/수술 주의. 혈압/심장 관련 질환. 과도한 스트레스.","칠살의 공격성을 정의를 위해 사용하라. 제어되지 않은 편관은 재앙."
"GK_정관격","정관격","geokguk","관성격","정관이월지통근","정관격은 일간을 극하는 오행(정관)이 월지에 통근한 격국. 품위 있고 사회적 규범을 존중하는 지도자형.","품위 있고 예의 바름. 사회적 규범 존중. 책임감 강함. 명예를 중시. 원칙주의.","고위 공무원, 판사, 교수, 대기업 임원, 외교관. 사회적 지위가 높은 직업.","안정적이고 명예로운 재물. 녹봉(월급)형 수입. 부정한 재물 거부.","예의 바르고 격식 있는 연애. 좋은 배우자를 만남. 가문을 중시.","심장/혈압 관련 주의. 과중한 책임감으로 인한 스트레스. 수면 관리.","정관의 격식을 유지하되 유연성도 키워라. 원칙만으로는 변화에 대응 어려움."
"GK_편인격","편인격","geokguk","인성격","편인이월지통근","편인격은 일간을 생하는 오행(편인)이 월지에 통근한 격국. 독특한 사고와 직관력을 가진 비범한 인물.","독특하고 비범한 사고. 직관력 뛰어남. 편집적 집중력. 고독을 즐김. 종교/철학적 성향.","종교인, 철학자, 한의사, 점술가, 프로그래머, 발명가. 비범한 전문 분야.","불규칙한 재물운. 정신적 가치를 더 중시. 예상치 못한 곳에서 수입.","독특한 연애관. 일반적 결혼 형태를 거부할 수 있음. 영적 교류를 중시.","신경계/정신건강 주의. 불면증, 우울증 가능. 건강 관리 소홀 경향.","편인의 직관을 현실에 접목하라. 머릿속 세계에만 머물면 고립됨."
"GK_정인격","정인격","geokguk","인성격","정인이월지통근","정인격은 일간을 생하는 오행(정인)이 월지에 통근한 격국. 학문적 재능과 인자한 성품을 가진 학자형.","인자하고 학문적. 모성적 보호 본능. 배움을 좋아함. 문서운 좋음. 지적 호기심.","학자, 교사, 작가, 의사, 상담사, 공무원. 학문과 가르침 관련 직업.","안정적 재물. 문서(계약/자격증)를 통한 수입. 부동산 문서 운 좋음.","따뜻하고 지적인 파트너. 어머니 같은 따뜻함. 가르치고 돌보는 관계.","비뇨기/신장 계통 주의. 냉기에 약함. 겨울 건강 관리 중요.","정인의 학문을 세상에 나누라. 배움만 하고 실천하지 않으면 공허."
"GK_건록격","건록격","geokguk","특수격","일간이월지건록","건록격은 일간의 록(禄)이 월지에 있는 격국. 타고난 복과 능력이 있으나 육친 덕이 부족할 수 있다.","자수성가형. 독립적이고 자립심 강함. 타고난 능력은 있으나 홀로 개척해야 함.","프리랜서, 자영업, 1인 기업, 전문직. 자기 힘으로 일어서는 직업.","자수성가의 재물. 초년에는 어렵지만 중년 이후 안정. 근면으로 부를 축적.","자립적 연애. 상대에게 의존하지 않음. 부부가 각자의 영역이 있음.","체력은 기본적으로 좋으나 과로 주의. 혼자 모든 것을 감당하려는 습관.","독립심은 강점이나 도움을 받는 것도 지혜. 혼자만의 힘에는 한계가 있음."
"GK_양인격","양인격","geokguk","특수격","일간양인이월지","양인격은 일간의 양인(羊刃)이 월지에 있는 격국. 매우 강한 기운으로 잘 쓰면 영웅, 못 쓰면 흉.","극도로 강한 성격. 과감하고 무모할 수 있음. 승부욕 강함. 양극단의 운명.","군인, 경찰, 외과의사, 검사, 격투기선수. 위험하고 강한 직업.","대박 아니면 쪽박. 극단적 재물운. 도박성 투자 주의.","격렬한 연애. 상대와 충돌 잦음. 이혼 가능성 높으나 운명적 만남도.","외상/수술/사고 주의. 혈액 관련 질환. 무리한 운동 경계.","양인의 칼날 같은 에너지를 제어하라. 편관이나 식신으로 제어되면 영웅의 격."
