id,label,desc,type,suit,number,korean_name,upright_meaning,reversed_meaning,element,saju_correlation,astro_correlation,description,jung_archetype,dream_symbol,advice,timing_guidance
TM_wands_ace,완드에이스,"완드에이스 | 완드의 에이스는 새로운 시작과 영감을 상징하는 타로 카드로, 창조력과 열정의 불꽃을 나타냅니다. 이 카드는 현재 떠오르는 아이디어를 신뢰하고, 그 열정을 따라 나아가면 새로운 길이 열릴 것이라는 조언을 줍니다. 반면, 카드가 거꾸로 나올 경우에는 지연이나 에너지가 고갈된 상태를 의미하며, 동기 부족을 경고합니다. 이 카드는 양자리와 관련이 있으며, 봄과 아침, 초승달의 시기에 새로운 시작을 위한 좋은 타이밍을 제시합니다. | upright: 새로운시작/영감/창조력/열정의불꽃 | reversed: 지연/막힘/에너지고갈/동기부족 | advice: 지금 떠오른 아이디어를 신뢰하세요. 열정을 따르면 길이 열립니다. | archetype: 영웅원형-모험의부름 | symbols: 횃불/불꽃/새벽빛 | timing: 봄/아침/초승달-새시작적기 | astrology: 양자리0-10도 | saju: 병화/정화일간-새로운시작운 | element: Fire",tarot_minor,Wands,1,완드의에이스,새로운시작/영감/창조력/열정의불꽃,지연/막힘/에너지고갈/동기부족,Fire,병화/정화일간-새로운시작운,양자리0-10도,"완드의 에이스는 새로운 시작과 영감을 상징하는 타로 카드로, 창조력과 열정의 불꽃을 나타냅니다. 이 카드는 현재 떠오르는 아이디어를 신뢰하고, 그 열정을 따라 나아가면 새로운 길이 열릴 것이라는 조언을 줍니다. 반면, 카드가 거꾸로 나올 경우에는 지연이나 에너지가 고갈된 상태를 의미하며, 동기 부족을 경고합니다. 이 카드는 양자리와 관련이 있으며, 봄과 아침, 초승달의 시기에 새로운 시작을 위한 좋은 타이밍을 제시합니다.",영웅원형-모험의부름,횃불/불꽃/새벽빛,지금 떠오른 아이디어를 신뢰하세요. 열정을 따르면 길이 열립니다.,봄/아침/초승달-새시작적기
TM_wands_2,완드2,"완드2 | 완드의 2는 중요한 결정을 내려야 할 시기를 나타냅니다. 이 카드는 미래에 대한 비전과 계획을 세우는 것이 필수적임을 강조하며, 자신이 원하는 방향을 확고히 해야 함을 상징합니다. 그러나 거꾸로 나올 경우, 불안과 망설임이 찾아올 수 있으며, 잘못된 선택을 할 위험이 있습니다. 따라서 두 가지 길 중 하나를 선택할 때는 자신의 직관과 비전을 믿고, 명확한 결정을 내리는 것이 중요합니다. 이 카드는 또한 양자리의 에너지를 반영하며, 새달에 계획을 세우고 수요일에 결정을 내리는 것이 좋습니다. | upright: 계획/결정/미래비전/세계가발앞에 | reversed: 불안/망설임/두려움/잘못된선택 | advice: 두 길 중 하나를 선택해야 할 때입니다. 직관과 비전을 믿으세요. | archetype: 자기원형-비전탐색 | symbols: 지도/갈림길/망대에서바라봄 | timing: 새달-계획수립기/수요일-결정의날 | astrology: 양자리10-20도 | saju: 편관운-선택의기로 | element: Fire",tarot_minor,Wands,2,완드의2,계획/결정/미래비전/세계가발앞에,불안/망설임/두려움/잘못된선택,Fire,편관운-선택의기로,양자리10-20도,"완드의 2는 중요한 결정을 내려야 할 시기를 나타냅니다. 이 카드는 미래에 대한 비전과 계획을 세우는 것이 필수적임을 강조하며, 자신이 원하는 방향을 확고히 해야 함을 상징합니다. 그러나 거꾸로 나올 경우, 불안과 망설임이 찾아올 수 있으며, 잘못된 선택을 할 위험이 있습니다. 따라서 두 가지 길 중 하나를 선택할 때는 자신의 직관과 비전을 믿고, 명확한 결정을 내리는 것이 중요합니다. 이 카드는 또한 양자리의 에너지를 반영하며, 새달에 계획을 세우고 수요일에 결정을 내리는 것이 좋습니다.",자기원형-비전탐색,지도/갈림길/망대에서바라봄,두 길 중 하나를 선택해야 할 때입니다. 직관과 비전을 믿으세요.,새달-계획수립기/수요일-결정의날
TM_wands_3,완드3,"완드3 | 완드의 3 카드는 확장과 성장을 상징하며, 새로운 기회를 찾아 해외로 나아갈 준비가 되었음을 나타냅니다. 이 카드는 넓은 시야를 가지고 새로운 가능성을 탐색하라는 조언을 줍니다. 반면, 역방향으로 나타날 경우 지연이나 실망, 장애물에 직면할 수 있음을 경고합니다. 그러므로 지금이야말로 배를 항구에서 떠나 더 넓은 세상으로 나아갈 때임을 기억하세요. | upright: 확장/성장/해외진출/넓은시야 | reversed: 지연/실망/장애물/노력부족 | advice: 당신의 배는 항구를 떠날 준비가 됐습니다. 더 넓은 세상으로 나아가세요. | archetype: 탐험가원형-지평확장 | symbols: 배타기/해외여행/새로운땅 | timing: 목요일/3월/확장대운기 | astrology: 양자리20-30도 | saju: 식신생재운-확장기 | element: Fire",tarot_minor,Wands,3,완드의3,확장/성장/해외진출/넓은시야,지연/실망/장애물/노력부족,Fire,식신생재운-확장기,양자리20-30도,"완드의 3 카드는 확장과 성장을 상징하며, 새로운 기회를 찾아 해외로 나아갈 준비가 되었음을 나타냅니다. 이 카드는 넓은 시야를 가지고 새로운 가능성을 탐색하라는 조언을 줍니다. 반면, 역방향으로 나타날 경우 지연이나 실망, 장애물에 직면할 수 있음을 경고합니다. 그러므로 지금이야말로 배를 항구에서 떠나 더 넓은 세상으로 나아갈 때임을 기억하세요.",탐험가원형-지평확장,배타기/해외여행/새로운땅,당신의 배는 항구를 떠날 준비가 됐습니다. 더 넓은 세상으로 나아가세요.,목요일/3월/확장대운기
TM_wands_4,완드4,"완드4 | 완드의 4 카드는 축하와 안정, 그리고 가정의 평화를 상징합니다. 이 카드는 성취의 순간을 기념하고, 안정된 기반이 마련되었음을 알리는 메시지를 담고 있습니다. 따라서 지금은 잠시 멈춰서 그동안의 노력과 결실을 축하할 때입니다. 반면, 거꾸로 나왔을 경우에는 불안정함이나 미완성된 상태를 나타내며, 조화가 부족할 수 있음을 경고합니다. 이 카드는 특히 양자리와 황소의 경계에 해당하며, 가정의 안정기를 나타내는 정재운과 관련이 깊습니다. 꿈 속에서 집이나 결혼식, 축제와 같은 상징으로 나타나며, 보름달이나 토요일, 가을 초입에 관련된 시기에 더욱 의미가 깊어집니다. | upright: 축하/안정/가정의평화/결실 | reversed: 과도기/불안정/미완성/조화부족 | advice: 잠시 멈춰 성취를 축하하세요. 안정의 기반이 마련됐습니다. | archetype: 돌봄자원형-안식처 | symbols: 집/결혼식/축제 | timing: 보름달/토요일/가을초입 | astrology: 양자리-황소경계 | saju: 정재운-가정안정기 | element: Fire",tarot_minor,Wands,4,완드의4,축하/안정/가정의평화/결실,과도기/불안정/미완성/조화부족,Fire,정재운-가정안정기,양자리-황소경계,"완드의 4 카드는 축하와 안정, 그리고 가정의 평화를 상징합니다. 이 카드는 성취의 순간을 기념하고, 안정된 기반이 마련되었음을 알리는 메시지를 담고 있습니다. 따라서 지금은 잠시 멈춰서 그동안의 노력과 결실을 축하할 때입니다. 반면, 거꾸로 나왔을 경우에는 불안정함이나 미완성된 상태를 나타내며, 조화가 부족할 수 있음을 경고합니다. 이 카드는 특히 양자리와 황소의 경계에 해당하며, 가정의 안정기를 나타내는 정재운과 관련이 깊습니다. 꿈 속에서 집이나 결혼식, 축제와 같은 상징으로 나타나며, 보름달이나 토요일, 가을 초입에 관련된 시기에 더욱 의미가 깊어집니다.",돌봄자원형-안식처,집/결혼식/축제,잠시 멈춰 성취를 축하하세요. 안정의 기반이 마련됐습니다.,보름달/토요일/가을초입
TM_wands_5,완드5,"완드5 | 완드의 5는 경쟁과 갈등을 상징하는 타로 카드로, 이를 통해 내면의 분쟁이나 도전적인 상황을 나타냅니다. 이 카드는 건전한 경쟁을 통해 갈등을 피하지 말고, 오히려 마찰을 통해 개인의 성장을 이루라는 조언을 담고 있습니다. 정방향에서는 경쟁과 도전의 필요성을 강조하며, 역방향에서는 회피와 타협을 통해 갈등을 해소할 수 있는 기회를 제공합니다. 이 카드는 특히 사자자리와 관련이 있으며, 화요일이나 경쟁시험 기간에 더욱 의미가 깊어집니다. | upright: 경쟁/갈등/도전/내부분쟁 | reversed: 회피/타협/갈등해소/경쟁종료 | advice: 갈등을 피하지 말고 건전하게 경쟁하세요. 마찰이 성장을 낳습니다. | archetype: 전사원형-건전한경쟁 | symbols: 싸움/운동경기/토론 | timing: 화요일/경쟁시험기간/양자리시즌 | astrology: 사자자리0-10도 | saju: 비겁겁재운-경쟁시기 | element: Fire",tarot_minor,Wands,5,완드의5,경쟁/갈등/도전/내부분쟁,회피/타협/갈등해소/경쟁종료,Fire,비겁겁재운-경쟁시기,사자자리0-10도,"완드의 5는 경쟁과 갈등을 상징하는 타로 카드로, 이를 통해 내면의 분쟁이나 도전적인 상황을 나타냅니다. 이 카드는 건전한 경쟁을 통해 갈등을 피하지 말고, 오히려 마찰을 통해 개인의 성장을 이루라는 조언을 담고 있습니다. 정방향에서는 경쟁과 도전의 필요성을 강조하며, 역방향에서는 회피와 타협을 통해 갈등을 해소할 수 있는 기회를 제공합니다. 이 카드는 특히 사자자리와 관련이 있으며, 화요일이나 경쟁시험 기간에 더욱 의미가 깊어집니다.",전사원형-건전한경쟁,싸움/운동경기/토론,갈등을 피하지 말고 건전하게 경쟁하세요. 마찰이 성장을 낳습니다.,화요일/경쟁시험기간/양자리시즌
TM_wands_6,완드6,"완드6 | 완드의 6 카드는 승리와 성공을 상징하며, 당신의 노력이 드디어 인정받는 시점에 도달했음을 나타냅니다. 이 카드는 당신이 이룬 성과를 당당히 즐기고, 주변의 칭찬과 인정을 받아들이라는 메시지를 전달합니다. 반면, 이 카드가 거꾸로 나올 경우 지연이나 실패의 가능성을 암시하며, 자만으로 인해 인정을 받지 못할 수 있음을 경고합니다. 따라서, 현재의 성과를 소중히 여기고, 겸손함을 잃지 않는 것이 중요합니다. | upright: 승리/인정/성공/명예회복 | reversed: 지연/실패/자만/인정못받음 | advice: 당신의 노력이 인정받을 때입니다. 당당히 승리를 즐기세요. | archetype: 영웅원형-개선장군 | symbols: 퍼레이드/수상/칭찬받음 | timing: 일요일/사자자리시즌/여름성수기 | astrology: 사자자리10-20도 | saju: 정관운-승진인정기 | element: Fire",tarot_minor,Wands,6,완드의6,승리/인정/성공/명예회복,지연/실패/자만/인정못받음,Fire,정관운-승진인정기,사자자리10-20도,"완드의 6 카드는 승리와 성공을 상징하며, 당신의 노력이 드디어 인정받는 시점에 도달했음을 나타냅니다. 이 카드는 당신이 이룬 성과를 당당히 즐기고, 주변의 칭찬과 인정을 받아들이라는 메시지를 전달합니다. 반면, 이 카드가 거꾸로 나올 경우 지연이나 실패의 가능성을 암시하며, 자만으로 인해 인정을 받지 못할 수 있음을 경고합니다. 따라서, 현재의 성과를 소중히 여기고, 겸손함을 잃지 않는 것이 중요합니다.",영웅원형-개선장군,퍼레이드/수상/칭찬받음,당신의 노력이 인정받을 때입니다. 당당히 승리를 즐기세요.,일요일/사자자리시즌/여름성수기
TM_wands_7,완드7,"완드7 | 완드의 7은 방어와 도전, 그리고 용기를 상징하는 타로 카드로, 역경을 극복하는 힘을 나타냅니다. 이 카드가 정방향으로 나올 때는 어려운 상황에서도 물러서지 않고 끝까지 버티는 것이 중요하다는 메시지를 전달합니다. 용기를 내어 현재의 도전을 극복하면 결국 승리할 수 있습니다. 반면, 역방향으로 나올 경우 포기하거나 압도당하는 상황을 경고하며, 자신감을 잃지 않도록 주의해야 합니다. 이 카드의 에너지는 사자자리와 연관되어 있으며, 전사 원형의 상징으로 최후의 저항을 강조합니다. | upright: 방어/도전/용기/역경극복 | reversed: 포기/압도당함/자신감상실 | advice: 물러서지 마세요. 지금 버티면 이깁니다. 용기를 내세요. | archetype: 전사원형-최후의저항 | symbols: 성벽방어/고지점령 | timing: 역경극복대운/하현달-인내기간 | astrology: 사자자리20-30도 | saju: 칠살운-시련극복기 | element: Fire",tarot_minor,Wands,7,완드의7,방어/도전/용기/역경극복,포기/압도당함/자신감상실,Fire,칠살운-시련극복기,사자자리20-30도,"완드의 7은 방어와 도전, 그리고 용기를 상징하는 타로 카드로, 역경을 극복하는 힘을 나타냅니다. 이 카드가 정방향으로 나올 때는 어려운 상황에서도 물러서지 않고 끝까지 버티는 것이 중요하다는 메시지를 전달합니다. 용기를 내어 현재의 도전을 극복하면 결국 승리할 수 있습니다. 반면, 역방향으로 나올 경우 포기하거나 압도당하는 상황을 경고하며, 자신감을 잃지 않도록 주의해야 합니다. 이 카드의 에너지는 사자자리와 연관되어 있으며, 전사 원형의 상징으로 최후의 저항을 강조합니다.",전사원형-최후의저항,성벽방어/고지점령,물러서지 마세요. 지금 버티면 이깁니다. 용기를 내세요.,역경극복대운/하현달-인내기간
TM_wands_8,완드8,"완드8 | 완드의 8 카드는 빠른 진행과 소식을 상징하며, 여행이나 신속한 행동을 통해 긍정적인 변화를 가져올 수 있음을 나타냅니다. 이 카드를 뽑았다면, 현재의 흐름을 잘 타고 빠르게 움직이는 것이 중요합니다. 반면, 이 카드가 역위치로 나올 경우 지연이나 정체를 의미하므로, 인내심을 가지고 기다려야 할 수도 있습니다. 특히 수요일이나 역마운의 좋은 운이 있는 날에 더욱 유리한 상황이 펼쳐질 것입니다. | upright: 빠른진행/소식/여행/속도 | reversed: 지연/정체/기다림/느린진행 | advice: 일이 빠르게 진행됩니다. 흐름을 타고 신속히 행동하세요. | archetype: 메신저원형-신속전달 | symbols: 비행기/화살/빠른이동 | timing: 수요일/역마대운/항공운좋은날 | astrology: 사수자리0-10도 | saju: 역마운-급속진행 | element: Fire",tarot_minor,Wands,8,완드의8,빠른진행/소식/여행/속도,지연/정체/기다림/느린진행,Fire,역마운-급속진행,사수자리0-10도,"완드의 8 카드는 빠른 진행과 소식을 상징하며, 여행이나 신속한 행동을 통해 긍정적인 변화를 가져올 수 있음을 나타냅니다. 이 카드를 뽑았다면, 현재의 흐름을 잘 타고 빠르게 움직이는 것이 중요합니다. 반면, 이 카드가 역위치로 나올 경우 지연이나 정체를 의미하므로, 인내심을 가지고 기다려야 할 수도 있습니다. 특히 수요일이나 역마운의 좋은 운이 있는 날에 더욱 유리한 상황이 펼쳐질 것입니다.",메신저원형-신속전달,비행기/화살/빠른이동,일이 빠르게 진행됩니다. 흐름을 타고 신속히 행동하세요.,수요일/역마대운/항공운좋은날
TM_wands_9,완드9,"완드9 | 완드의 9 카드는 인내와 방어, 경계의 의미를 지니고 있습니다. 이 카드는 어려운 상황에서도 끈기를 잃지 않고 끝까지 버텨야 한다는 메시지를 전달합니다. 비록 현재 지치고 힘들더라도, 조금만 더 인내하면 결국 고비를 넘기고 희망의 빛을 발견할 수 있습니다. 특히 토요일과 그믐달에 이 카드를 뽑았다면, 인내의 시험이 진행 중임을 나타내며, 생존자원형의 불굴의 의지를 상기시킵니다. | upright: 인내/방어/경계/끈기 | reversed: 피로/의심/포기직전/탈진 | advice: 지쳤더라도 조금만 더 버티세요. 고비를 넘기면 빛이 보입니다. | archetype: 생존자원형-불굴의의지 | symbols: 상처입은전사/마지막방어 | timing: 토요일/그믐달/인내테스트기간 | astrology: 사수자리10-20도 | saju: 편인운-수비인내기 | element: Fire",tarot_minor,Wands,9,완드의9,인내/방어/경계/끈기,피로/의심/포기직전/탈진,Fire,편인운-수비인내기,사수자리10-20도,"완드의 9 카드는 인내와 방어, 경계의 의미를 지니고 있습니다. 이 카드는 어려운 상황에서도 끈기를 잃지 않고 끝까지 버텨야 한다는 메시지를 전달합니다. 비록 현재 지치고 힘들더라도, 조금만 더 인내하면 결국 고비를 넘기고 희망의 빛을 발견할 수 있습니다. 특히 토요일과 그믐달에 이 카드를 뽑았다면, 인내의 시험이 진행 중임을 나타내며, 생존자원형의 불굴의 의지를 상기시킵니다.",생존자원형-불굴의의지,상처입은전사/마지막방어,지쳤더라도 조금만 더 버티세요. 고비를 넘기면 빛이 보입니다.,토요일/그믐달/인내테스트기간
TM_wands_10,완드10,"완드10 | 완드의 10 카드는 부담과 책임을 상징하며, 현재의 상황이 과중하다는 것을 나타냅니다. 이 카드가 정방향으로 나타날 경우, 힘든 짐이 무겁게 느껴질 수 있지만, 끝이 보인다는 희망적인 메시지를 담고 있습니다. 반면, 역방향으로 나타날 때는 이러한 부담에서 벗어나거나 위임할 수 있는 기회를 의미합니다. 이 카드가 주는 조언은 혼자 모든 것을 짊어질 필요가 없다는 것입니다. 짐이 무겁다면 주변 사람들과 나누고, 함께 해결해 나가는 것이 중요합니다. | upright: 부담/책임/과중/끝이보임 | reversed: 위임/해방/부담감소/포기 | advice: 짐이 무겁다면 나눠지세요. 혼자 모든 걸 질 필요 없습니다. | archetype: 순교자원형-책임의무게 | symbols: 무거운짐/언덕오르기 | timing: 토요일/책임완수기한임박 | astrology: 사수자리20-30도 | saju: 관다신약-과중책임 | element: Fire",tarot_minor,Wands,10,완드의10,부담/책임/과중/끝이보임,위임/해방/부담감소/포기,Fire,관다신약-과중책임,사수자리20-30도,"완드의 10 카드는 부담과 책임을 상징하며, 현재의 상황이 과중하다는 것을 나타냅니다. 이 카드가 정방향으로 나타날 경우, 힘든 짐이 무겁게 느껴질 수 있지만, 끝이 보인다는 희망적인 메시지를 담고 있습니다. 반면, 역방향으로 나타날 때는 이러한 부담에서 벗어나거나 위임할 수 있는 기회를 의미합니다. 이 카드가 주는 조언은 혼자 모든 것을 짊어질 필요가 없다는 것입니다. 짐이 무겁다면 주변 사람들과 나누고, 함께 해결해 나가는 것이 중요합니다.",순교자원형-책임의무게,무거운짐/언덕오르기,짐이 무겁다면 나눠지세요. 혼자 모든 걸 질 필요 없습니다.,토요일/책임완수기한임박
