id,label,desc,type,card1_id,card2_id,element_relation
TCOMB_TM_00_TM_01,바보+마법사,"relation: unknown | love: 바보의 새로운 시작, 순수한 잠재력 그리고 마법사의 의지와 집중, 기술의 숙달가  연애의 흐름을 만듭니다.  | career: 바보의 새로운 시작, 순수한 잠재력 그리고 마법사의 의지와 집중, 기술의 숙달가  일/커리어에 반영됩니다.  | finance: 바보의 새로운 시작, 순수한 잠재력 그리고 마법사의 의지와 집중, 기술의 숙달가  재정 흐름을 만듭니다.  | advice: 메이저 아르카나 조합이라 큰 전환/핵심 과제가 강조됩니다. 같은 원소(unknown)라 에너지가 한 방향으로 모입니다. | summary: 바보+마법사 조합 (unknown)",tarot_combination,TM_00,TM_01,unknown
TCOMB_TM_00_TM_02,바보+여사제,"relation: unknown | love: 바보의 새로운 시작, 순수한 잠재력 그리고 여사제의 직관, 신비가  연애의 흐름을 만듭니다.  | career: 바보의 새로운 시작, 순수한 잠재력 그리고 여사제의 직관, 신비가  일/커리어에 반영됩니다.  | finance: 바보의 새로운 시작, 순수한 잠재력 그리고 여사제의 직관, 신비가  재정 흐름을 만듭니다.  | advice: 메이저 아르카나 조합이라 큰 전환/핵심 과제가 강조됩니다. | summary: 바보+여사제 조합 (unknown)",tarot_combination,TM_00,TM_02,unknown
TCOMB_TM_00_TM_03,바보+여황제,"relation: unknown | love: 바보의 새로운 시작, 순수한 잠재력 그리고 여황제의 풍요, 창조가  연애의 흐름을 만듭니다.  | career: 바보의 새로운 시작, 순수한 잠재력 그리고 여황제의 풍요, 창조가  일/커리어에 반영됩니다.  | finance: 바보의 새로운 시작, 순수한 잠재력 그리고 여황제의 풍요, 창조가  재정 흐름을 만듭니다.  | advice: 메이저 아르카나 조합이라 큰 전환/핵심 과제가 강조됩니다. | summary: 바보+여황제 조합 (unknown)",tarot_combination,TM_00,TM_03,unknown
TCOMB_TM_00_TM_04,바보+황제,"relation: unknown | love: 바보의 새로운 시작, 순수한 잠재력 그리고 황제의 권위, 구조가  연애의 흐름을 만듭니다.  | career: 바보의 새로운 시작, 순수한 잠재력 그리고 황제의 권위, 구조가  일/커리어에 반영됩니다.  | finance: 바보의 새로운 시작, 순수한 잠재력 그리고 황제의 권위, 구조가  재정 흐름을 만듭니다.  | advice: 메이저 아르카나 조합이라 큰 전환/핵심 과제가 강조됩니다. | summary: 바보+황제 조합 (unknown)",tarot_combination,TM_00,TM_04,unknown
TCOMB_TM_00_TM_05,바보+교황,"relation: unknown | love: 바보의 새로운 시작, 순수한 잠재력 그리고 교황의 전통, 교육가  연애의 흐름을 만듭니다.  | career: 바보의 새로운 시작, 순수한 잠재력 그리고 교황의 전통, 교육가  일/커리어에 반영됩니다.  | finance: 바보의 새로운 시작, 순수한 잠재력 그리고 교황의 전통, 교육가  재정 흐름을 만듭니다.  | advice: 메이저 아르카나 조합이라 큰 전환/핵심 과제가 강조됩니다. | summary: 바보+교황 조합 (unknown)",tarot_combination,TM_00,TM_05,unknown
TCOMB_TM_00_TM_06,바보+연인,"relation: unknown | love: 바보의 새로운 시작, 순수한 잠재력 그리고 연인의 사랑, 선택가  연애의 흐름을 만듭니다.  | career: 바보의 새로운 시작, 순수한 잠재력 그리고 연인의 사랑, 선택가  일/커리어에 반영됩니다.  | finance: 바보의 새로운 시작, 순수한 잠재력 그리고 연인의 사랑, 선택가  재정 흐름을 만듭니다.  | advice: 메이저 아르카나 조합이라 큰 전환/핵심 과제가 강조됩니다. 같은 원소(unknown)라 에너지가 한 방향으로 모입니다. | summary: 바보+연인 조합 (unknown)",tarot_combination,TM_00,TM_06,unknown
TCOMB_TM_00_TM_07,바보+전차,"relation: unknown | love: 바보의 새로운 시작, 순수한 잠재력 그리고 전차의 의지의 승리, 결단과 전진. 상반된 힘을 조절하여 목표를 향해 나아감.가  연애의 흐름을 만듭니다.  | career: 바보의 새로운 시작, 순수한 잠재력 그리고 전차의 의지의 승리, 결단과 전진. 상반된 힘을 조절하여 목표를 향해 나아감.가  일/커리어에 반영됩니다.  | finance: 바보의 새로운 시작, 순수한 잠재력 그리고 전차의 의지의 승리, 결단과 전진. 상반된 힘을 조절하여 목표를 향해 나아감.가  재정 흐름을 만듭니다.  | advice: 메이저 아르카나 조합이라 큰 전환/핵심 과제가 강조됩니다. | summary: 바보+전차 조합 (unknown)",tarot_combination,TM_00,TM_07,unknown
TCOMB_TM_00_TM_08,바보+힘,"relation: unknown | love: 바보의 새로운 시작, 순수한 잠재력 그리고 힘의 내면의 힘, 용기가  연애의 흐름을 만듭니다.  | career: 바보의 새로운 시작, 순수한 잠재력 그리고 힘의 내면의 힘, 용기가  일/커리어에 반영됩니다.  | finance: 바보의 새로운 시작, 순수한 잠재력 그리고 힘의 내면의 힘, 용기가  재정 흐름을 만듭니다.  | advice: 메이저 아르카나 조합이라 큰 전환/핵심 과제가 강조됩니다. | summary: 바보+힘 조합 (unknown)",tarot_combination,TM_00,TM_08,unknown
TCOMB_TM_00_TM_09,바보+은둔자,"relation: unknown | love: 바보의 새로운 시작, 순수한 잠재력 그리고 은둔자의 내면 탐구, 고독가  연애의 흐름을 만듭니다.  | career: 바보의 새로운 시작, 순수한 잠재력 그리고 은둔자의 내면 탐구, 고독가  일/커리어에 반영됩니다.  | finance: 바보의 새로운 시작, 순수한 잠재력 그리고 은둔자의 내면 탐구, 고독가  재정 흐름을 만듭니다.  | advice: 메이저 아르카나 조합이라 큰 전환/핵심 과제가 강조됩니다. | summary: 바보+은둔자 조합 (unknown)",tarot_combination,TM_00,TM_09,unknown
TCOMB_TM_00_TM_10,바보+운명의수레바퀴,"relation: unknown | love: 바보의 새로운 시작, 순수한 잠재력 그리고 운명의수레바퀴의 변화, 순환가  연애의 흐름을 만듭니다.  | career: 바보의 새로운 시작, 순수한 잠재력 그리고 운명의수레바퀴의 변화, 순환가  일/커리어에 반영됩니다.  | finance: 바보의 새로운 시작, 순수한 잠재력 그리고 운명의수레바퀴의 변화, 순환가  재정 흐름을 만듭니다.  | advice: 메이저 아르카나 조합이라 큰 전환/핵심 과제가 강조됩니다. | summary: 바보+운명의수레바퀴 조합 (unknown)",tarot_combination,TM_00,TM_10,unknown
