id,label,type,asteroid_number,mythology,description,sign_influence,house_influence,aspect_influence,saju_parallel,jung_archetype
AST_ceres,세레스,asteroid,1,데메테르/곡물여신,"세레스는 양육과 돌봄, 풍요와 상실의 소행성. 어머니 원형과 자녀와의 관계, 음식/영양과 관련.","양자리: 독립적 양육 / 황소자리: 물질적 풍요 돌봄 / 게자리: 모성본능 극대화 / 처녀자리: 봉사로 돌봄 / 염소자리: 엄격한 사랑","1하우스: 돌보는 사람 정체성 / 4하우스: 가정의 중심 / 6하우스: 건강과 영양 / 10하우스: 양육을 직업으로","세레스-달 합: 뛰어난 모성 / 세레스-토성: 엄격한 양육 / 세레스-명왕성: 상실과 재생","정인(어머니)/식신(음식복)","Great_Mother/Caregiver"
AST_pallas,팔라스,asteroid,2,아테나/전략여신,"팔라스는 지혜와 전략, 패턴 인식과 창조적 지성의 소행성. 전쟁이 아닌 전략으로 해결하는 능력.","양자리: 선구적 전략가 / 쌍둥이: 언어적 전략 / 처녀자리: 분석적 패턴 / 천칭자리: 외교 전략 / 물병자리: 혁신적 사고","2하우스: 재무 전략 / 6하우스: 업무 패턴 분석 / 9하우스: 철학적 사고 / 11하우스: 사회 변혁 전략","팔라스-수성: 천재적 두뇌 / 팔라스-천왕성: 혁신적 발명 / 팔라스-화성: 전략적 행동","편인(전략적지혜)/상관(창조적지성)","Wise_Old_Man/Magician"
AST_juno,주노,asteroid,3,헤라/결혼여신,"주노는 결혼과 파트너십, 헌신과 관계 역학의 소행성. 이상적 파트너와 권력 균형.","양자리: 독립적 파트너십 / 황소자리: 충실하고 안정적 / 게자리: 돌보는 파트너 / 사자자리: 왕과 여왕 관계 / 천칭자리: 완벽한 균형","1하우스: 파트너십이 정체성 / 5하우스: 로맨틱 결합 / 7하우스: 결혼의 별 최고 배치 / 8하우스: 영적 결합","주노-금성: 이상적 사랑 / 주노-화성: 열정적 파트너십 / 주노-토성: 오래가는 결혼","정재(아내)/정관(남편)","Queen/Lover"
AST_vesta,베스타,asteroid,4,헤스티아/화로여신,"베스타는 헌신과 집중, 신성한 불꽃과 자기 통합의 소행성. 헌신 대상과 성적 에너지 승화.","양자리: 선구적 헌신 / 처녀자리: 완벽한 봉사 / 전갈자리: 집요한 헌신 / 염소자리: 직업적 소명 / 물고기자리: 영적 봉사","2하우스: 재물에 헌신 / 6하우스: 일에 신성한 헌신 / 9하우스: 진리 탐구 / 12하우스: 영적 수행","베스타-태양: 정체성과 헌신 일치 / 베스타-명왕성: 강렬한 변환적 헌신 / 베스타-해왕성: 영적 봉사","화개살(영적헌신)/정인격(학문헌신)","Sage/Creator"
AST_chiron,카이론,asteroid,2060,켄타우로스/상처입은치유사,"카이론은 상처와 치유, 멘토링의 소행성. 치유할 수 없는 자신의 상처로 타인을 치유하는 역설.","양자리: 정체성 상처 / 황소자리: 자존감 상처 / 게자리: 가족 안전의 상처 / 사자자리: 창의성 상처 / 처녀자리: 완벽주의 상처","1하우스: 자아 정체성 상처 / 4하우스: 가정 뿌리 상처 / 7하우스: 관계 상처 / 10하우스: 사회적 역할 상처","카이론-태양: 정체성 상처→치유사 / 카이론-달: 감정 상처→공감 / 카이론-금성: 사랑 상처→관계 치유","공망(상처)/천의성(치유능력)","Wounded_Healer"
AST_lilith,릴리스,asteroid,1181,아담의첫번째아내,"블랙문 릴리스는 억압된 본능, 야생적 여성성, 거부된 그림자. 사회적 금기와 해방의 지점.","양자리: 억압된 분노/주도권 / 황소자리: 억압된 관능 / 전갈자리: 억압된 성적 에너지/권력 / 물병자리: 억압된 반항심","1하우스: 진정한 자아 억압 / 5하우스: 창의성/성적 억압 / 8하우스: 깊은 본능 억압 / 12하우스: 무의식 그림자","릴리스-태양: 진정한 자아 해방 / 릴리스-금성: 억압된 관능 해방 / 릴리스-명왕성: 깊은 변환","홍염살/도화살(억압된매력)","Shadow/Rebel"
AST_north_node,북교점,lunar_node,0,용의머리/라후,"북교점은 영혼의 진화 방향, 이생의 목표, 불편하지만 성장하는 방향.","양자리: 독립과 자기주장 / 사자자리: 자기표현과 창조 / 천칭자리: 관계와 협력 / 물병자리: 집단과 혁신","1하우스: 자아 발견 / 7하우스: 파트너십 배우기 / 10하우스: 사회적 성취가 영혼 과제","북교점-태양: 방향과 정체성 일치 / 북교점-목성: 확장과 성장 축복 / 북교점-토성: 숙제 통한 성장","대운방향/용신방향","Hero/Seeker"
AST_south_node,남교점,lunar_node,0,용의꼬리/케투,"남교점은 전생의 재능, 익숙한 패턴, 놓아보내야 할 것.","양자리: 전생의 전사 / 게자리: 전생의 양육자 / 천칭자리: 전생의 외교관 / 염소자리: 전생의 권력자","1하우스: 자기중심 패턴 놓기 / 4하우스: 가정 집착 놓기 / 10하우스: 지위 집착 놓기","남교점-달: 감정 패턴 해방 / 남교점-금성: 관계 패턴 놓기 / 남교점-토성: 카르마 부채 청산","공망영역/기신방향","Shadow/Senex"
AST_eros,에로스,asteroid,433,사랑의신,"에로스는 열정적 사랑, 성적 끌림, 창조적 생명력의 소행성. 무엇에 가장 열정을 느끼는지 나타냄.","양자리: 정복적 사랑 / 황소자리: 관능적 사랑 / 쌍둥이: 지적 매력 / 전갈자리: 깊고 집요한 사랑 / 물고기자리: 초월적 사랑","1하우스: 열정이 정체성 / 5하우스: 로맨틱 창조력 / 8하우스: 깊은 성적 변환 / 12하우스: 영적 사랑","에로스-금성: 완벽한 사랑의 별 / 에로스-화성: 강렬한 성적 끌림 / 에로스-명왕성: 집착적 변환적 사랑","도화살/홍염살(열정적매력)","Lover"
AST_psyche,프시케,asteroid,16,영혼/나비여신,"프시케는 영혼과 영적 성장, 사랑을 통한 변환의 소행성. 에로스의 반려자로 영혼의 여정 상징.","양자리: 독립적 영혼 / 게자리: 돌보는 영혼 / 천칭자리: 관계 통한 영혼 성장 / 전갈자리: 변환적 영혼 / 물고기자리: 초월적 영혼","1하우스: 영혼이 정체성 / 7하우스: 파트너 통한 영혼 성장 / 8하우스: 죽음과 재생 / 12하우스: 무의식과 영성","프시케-에로스: 영혼의 짝 / 프시케-해왕성: 영적 각성 / 프시케-달: 감정적 영혼 깊이","화개살(영적성장)/공망(영혼의빈곳)","Anima/Seeker"
