id,pillar,pillar_kr,cheongan,cheongan_kr,cheongan_ohang,jiji,jiji_kr,jiji_animal,jiji_ohang,napeum,nature,personality,career_hint,relationship_hint,description
PILLAR_甲子,甲子,갑자,甲,갑,목,子,자,쥐,수,금,"큰 나무, 시작, 진취의 기운이 쥐의 특성과 결합",목의 성질을 수의 땅에서 발휘. 갑자일주.,"큰 나무, 시작, 진취과 관련된 분야에서 쥐의 특성 활용",양의 천간과 수의 지지 조합이 관계에 영향,PILLAR_甲子: Astro interpretation data.
PILLAR_乙丑,乙丑,을축,乙,을,목,丑,축,소,토,금,"풀, 유연함, 적응의 기운이 소의 특성과 결합",목의 성질을 토의 땅에서 발휘. 을축일주.,"풀, 유연함, 적응과 관련된 분야에서 소의 특성 활용",음의 천간과 토의 지지 조합이 관계에 영향,PILLAR_乙丑: Astro interpretation data.
PILLAR_丙寅,丙寅,병인,丙,병,화,寅,인,호랑이,목,수,"태양, 열정, 밝음의 기운이 호랑이의 특성과 결합",화의 성질을 목의 땅에서 발휘. 병인일주.,"태양, 열정, 밝음과 관련된 분야에서 호랑이의 특성 활용",양의 천간과 목의 지지 조합이 관계에 영향,PILLAR_丙寅: Astro interpretation data.
PILLAR_丁卯,丁卯,정묘,丁,정,화,卯,묘,토끼,목,수,"촛불, 지혜, 정밀의 기운이 토끼의 특성과 결합",화의 성질을 목의 땅에서 발휘. 정묘일주.,"촛불, 지혜, 정밀과 관련된 분야에서 토끼의 특성 활용",음의 천간과 목의 지지 조합이 관계에 영향,PILLAR_丁卯: Astro interpretation data.
PILLAR_戊辰,戊辰,무진,戊,무,토,辰,진,용,토,화,"산, 신뢰, 중후의 기운이 용의 특성과 결합",토의 성질을 토의 땅에서 발휘. 무진일주.,"산, 신뢰, 중후과 관련된 분야에서 용의 특성 활용",양의 천간과 토의 지지 조합이 관계에 영향,PILLAR_戊辰: Astro interpretation data.
PILLAR_己巳,己巳,기사,己,기,토,巳,사,뱀,화,화,"밭, 포용, 수용의 기운이 뱀의 특성과 결합",토의 성질을 화의 땅에서 발휘. 기사일주.,"밭, 포용, 수용과 관련된 분야에서 뱀의 특성 활용",음의 천간과 화의 지지 조합이 관계에 영향,PILLAR_己巳: Astro interpretation data.
PILLAR_庚午,庚午,경오,庚,경,금,午,오,말,화,토,"쇠, 결단, 의리의 기운이 말의 특성과 결합",금의 성질을 화의 땅에서 발휘. 경오일주.,"쇠, 결단, 의리과 관련된 분야에서 말의 특성 활용",양의 천간과 화의 지지 조합이 관계에 영향,PILLAR_庚午: Astro interpretation data.
PILLAR_辛未,辛未,신미,辛,신,금,未,미,양,토,토,"보석, 섬세, 예민의 기운이 양의 특성과 결합",금의 성질을 토의 땅에서 발휘. 신미일주.,"보석, 섬세, 예민과 관련된 분야에서 양의 특성 활용",음의 천간과 토의 지지 조합이 관계에 영향,PILLAR_辛未: Astro interpretation data.
PILLAR_壬申,壬申,임신,壬,임,수,申,신,원숭이,금,목,"바다, 지혜, 포용의 기운이 원숭이의 특성과 결합",수의 성질을 금의 땅에서 발휘. 임신일주.,"바다, 지혜, 포용과 관련된 분야에서 원숭이의 특성 활용",양의 천간과 금의 지지 조합이 관계에 영향,PILLAR_壬申: Astro interpretation data.
PILLAR_癸酉,癸酉,계유,癸,계,수,酉,유,닭,금,목,"비, 순응, 침투의 기운이 닭의 특성과 결합",수의 성질을 금의 땅에서 발휘. 계유일주.,"비, 순응, 침투과 관련된 분야에서 닭의 특성 활용",음의 천간과 금의 지지 조합이 관계에 영향,PILLAR_癸酉: Astro interpretation data.
PILLAR_甲戌,甲戌,갑술,甲,갑,목,戌,술,개,토,금,"큰 나무, 시작, 진취의 기운이 개의 특성과 결합",목의 성질을 토의 땅에서 발휘. 갑술일주.,"큰 나무, 시작, 진취과 관련된 분야에서 개의 특성 활용",양의 천간과 토의 지지 조합이 관계에 영향,PILLAR_甲戌: Astro interpretation data.
PILLAR_乙亥,乙亥,을해,乙,을,목,亥,해,돼지,수,금,"풀, 유연함, 적응의 기운이 돼지의 특성과 결합",목의 성질을 수의 땅에서 발휘. 을해일주.,"풀, 유연함, 적응과 관련된 분야에서 돼지의 특성 활용",음의 천간과 수의 지지 조합이 관계에 영향,PILLAR_乙亥: Astro interpretation data.
PILLAR_丙子,丙子,병자,丙,병,화,子,자,쥐,수,수,"태양, 열정, 밝음의 기운이 쥐의 특성과 결합",화의 성질을 수의 땅에서 발휘. 병자일주.,"태양, 열정, 밝음과 관련된 분야에서 쥐의 특성 활용",양의 천간과 수의 지지 조합이 관계에 영향,PILLAR_丙子: Astro interpretation data.
PILLAR_丁丑,丁丑,정축,丁,정,화,丑,축,소,토,수,"촛불, 지혜, 정밀의 기운이 소의 특성과 결합",화의 성질을 토의 땅에서 발휘. 정축일주.,"촛불, 지혜, 정밀과 관련된 분야에서 소의 특성 활용",음의 천간과 토의 지지 조합이 관계에 영향,PILLAR_丁丑: Astro interpretation data.
PILLAR_戊寅,戊寅,무인,戊,무,토,寅,인,호랑이,목,화,"산, 신뢰, 중후의 기운이 호랑이의 특성과 결합",토의 성질을 목의 땅에서 발휘. 무인일주.,"산, 신뢰, 중후과 관련된 분야에서 호랑이의 특성 활용",양의 천간과 목의 지지 조합이 관계에 영향,PILLAR_戊寅: Astro interpretation data.
