id,label,type,progression_type,trigger,description,life_theme,typical_events,duration,psychological_shift,advice
PROG_001,진행 태양 사인 전환,progression,Secondary Progression,진행 태양이 새로운 황도 사인에 진입할 때 활성화,"진행 태양의 사인 전환은 약 30년에 한 번 일어나는 근본적 정체성 변화의 시점입니다. 출생 차트의 태양 사인이 평생의 기본 에너지를 나타낸다면 진행 태양의 사인 전환은 그 기본 에너지 위에 새로운 층이 추가되는 것입니다. 마치 나무가 새로운 나이테를 형성하듯이 이전 사인의 경험 위에 새로운 사인의 에너지가 통합됩니다. 이 전환은 갑작스럽지 않고 점진적으로 일어나며 전환 시점 전후 1-2년간 가장 강하게 체감됩니다.","자기 정체성의 근본적 재정의와 인생 방향의 전환. 이전 사인에서 배운 것을 토대로 새로운 삶의 방식을 탐험하며 자아의 확장이 일어납니다. 기존의 자기 이미지가 더 이상 맞지 않는 느낌이 들며 새로운 자신을 발견하는 여정이 시작됩니다.","직업 전환 또는 경력 방향 재설정 / 거주지 변경이나 생활환경의 큰 변화 / 인간관계 패턴의 변화 / 새로운 취미나 관심사의 등장 / 외모나 스타일의 변화 / 가치관이나 세계관의 전환 / 중요한 인생 결정의 시점","전환 시점 전후 2-3년간 가장 강하게 작용하며 새로운 사인의 에너지가 완전히 통합되는 데 약 5-7년이 소요됩니다. 이후 약 30년간 해당 사인의 에너지가 진행 태양을 통해 작용합니다.","기존 정체성에 대한 미묘한 불만족에서 시작하여 점차 새로운 자아의 가능성을 탐험하게 됩니다. 과거의 자신을 놓아주는 과정에서 상실감을 느낄 수 있지만 동시에 해방감과 새로운 가능성에 대한 흥분이 공존합니다. 결국 더 넓고 깊은 자기 이해에 도달합니다.","이 전환기를 저항하지 말고 자연스럽게 받아들이세요. 새로운 사인의 에너지를 탐험하되 이전 사인에서 배운 것들을 버리지 마세요. 전환 시기에는 큰 결정을 서두르지 말고 새로운 에너지에 충분히 적응한 후에 방향을 설정하세요. 자서전이나 삶의 회고를 통해 이전 시기를 정리하고 새로운 장을 의식적으로 열어보세요."
PROG_002,진행 달 주기,progression,Secondary Progression,진행 달이 12궁을 완전히 한 바퀴 순환하는 약 27.3년 주기,"진행 달의 전체 주기(약 27.3년)는 감정적 성숙의 완전한 순환을 나타냅니다. 각 사인을 약 2.3년씩 통과하며 12가지 감정적 경험을 모두 체험합니다. 이 주기가 완성되면(27-28세경 첫 번째 완성) 감정적으로 한 단계 성숙한 새로운 주기가 시작됩니다. 새턴 리턴(약 29.5세)과 거의 겹치는 이 시기는 성인으로서의 진정한 독립을 나타냅니다.","감정적 성숙의 완전한 순환과 새로운 감정적 주기의 시작. 모든 감정적 경험을 한 바퀴 순환하며 감정적 지혜가 축적됩니다. 주기의 시작과 끝에서 삶의 감정적 기반이 재설정되며 새로운 감정적 패러다임이 시작됩니다.","첫 번째 주기 완성(27-28세): 성인 독립의 완성 / 두 번째 주기 완성(54-56세): 인생 후반기의 감정적 지혜 확립 / 세 번째 주기 완성(81-83세): 영적 완성의 시기 / 각 주기 전환기에 삶의 방향과 감정적 기반의 대전환이 일어남","전체 주기는 약 27.3년이며 각 사인 통과에 약 2.3년이 소요됩니다. 주기 전환 시점(진행 달이 출생 달의 위치로 돌아올 때) 전후 약 6개월이 가장 강력한 전환기입니다.","주기 전환 시 깊은 내면 성찰이 일어나며 지금까지의 감정적 패턴을 전체적으로 조망하게 됩니다. 새로운 주기가 시작될 때 감정적 백지 상태를 경험하며 이전 주기에서 해결하지 못한 감정적 과제가 다시 떠오를 수 있습니다. 이를 통해 더 깊은 수준의 치유가 가능합니다.","진행 달의 각 사인 통과 시기를 인식하고 해당 사인의 감정적 교훈에 열려 있으세요. 주기 전환기에는 과거를 정리하는 의식이나 일기 쓰기가 도움이 됩니다. 감정적 경험의 전체 스펙트럼을 수용하는 것이 진정한 감정적 지혜의 토대입니다."
PROG_003,진행 달 양자리,progression,Secondary Progression,진행 달이 양자리에 진입할 때 활성화,"진행 달이 양자리에 들어오면 약 2.3년간 새로운 감정적 시작의 에너지가 강하게 작용합니다. 양자리의 화성적 에너지가 감정 영역에 활력을 불어넣어 새로운 시작에 대한 본능적 충동이 강해집니다. 감정적으로 용감해지며 두려움을 극복하고 새로운 것에 도전하려는 열정이 솟구칩니다. 이전 사인(물고기자리)의 해소와 종결 에너지에서 벗어나 신선한 시작의 에너지로 전환됩니다.","독립과 자기 주장의 강화. 타인의 기대나 승인 없이 자신의 감정적 욕구를 직접적으로 추구하는 시기입니다. 새로운 감정적 정체성을 구축하며 용기 있는 자기표현이 핵심 주제가 됩니다.","새로운 프로젝트나 사업의 시작 / 운동이나 신체 활동 시작 / 독립적 생활의 시작(이사 또는 자립) / 리더십 역할의 시작 / 오래된 감정적 패턴에서의 돌파 / 자기 주장 훈련의 시기","약 2.3년(2년 3-4개월)간 지속됩니다. 진입 시점의 첫 3-6개월이 에너지가 가장 강렬하며 이후 점차 안정화됩니다.","감정적으로 대담해지고 직설적이 됩니다. 자신의 욕구를 숨기지 않고 표현하며 갈등을 회피하기보다 직면하게 됩니다. 분노나 좌절의 감정이 더 쉽게 표출되며 이를 건설적으로 다루는 법을 배우게 됩니다. 감정적 자립과 주도성이 강화됩니다.","이 시기의 충동적 에너지를 건설적으로 활용하세요. 새로운 시작에 적합한 시기이지만 충동적 결정은 피하세요. 분노가 올라올 때 그 아래의 진짜 감정(두려움·상처)을 인식하고 신체 활동을 통해 에너지를 건강하게 발산하세요. 용기를 내되 무모하지는 마세요."
PROG_004,진행 달 게자리,progression,Secondary Progression,진행 달이 게자리에 진입할 때 활성화,"진행 달이 게자리에 들어오면 약 2.3년간 감정적 깊이와 양육 에너지가 극대화됩니다. 달이 본래 지배하는 사인인 게자리에서 진행 달의 에너지가 가장 자연스럽고 강력하게 발현됩니다. 가정·가족·뿌리·감정적 안전에 대한 깊은 갈망이 일어나며 내면의 어린아이와 재연결되는 시기입니다. 과거의 감정적 상처를 치유하고 진정한 감정적 기반을 구축할 기회가 주어집니다.","감정적 뿌리내리기와 내면의 안전 기반 구축. 가정과 가족의 중요성이 부각되며 감정적 돌봄과 양육의 주제가 삶의 중심에 옵니다. 내면의 취약함을 수용하고 진정한 감정적 안전을 구축하는 것이 핵심 과제입니다.","이사 또는 집 구매 / 가족 관계의 재정립 / 출산이나 양육 관련 사건 / 어린 시절 기억이나 트라우마의 재부상 / 요리·가드닝 등 가정적 활동에 대한 관심 증가 / 감정적 치유 작업의 시작 / 조상이나 뿌리에 대한 관심","약 2.3년간 지속되며 특히 진행 달이 출생 차트의 달이나 IC와 합을 이룰 때 에너지가 극대화됩니다.","감정적으로 훨씬 민감해지며 과거의 감정들이 수면 위로 떠오릅니다. 눈물이 많아지고 향수에 잠기는 시간이 늘어납니다. 타인에 대한 돌봄 욕구가 강해지며 동시에 자신도 돌봄을 받고 싶은 갈망이 커집니다. 감정적 경계가 더 투과적이 되어 타인의 감정에 영향을 받기 쉬워집니다.","이 시기를 감정적 치유와 뿌리내리기의 기회로 활용하세요. 가족과의 관계를 정리하고 치유하는 데 시간을 투자하고 자신만의 안전한 공간(물리적·감정적)을 만드세요. 과거의 상처가 떠오르면 피하지 말고 부드럽게 마주하되 전문 상담의 도움을 받는 것도 좋습니다. 자기 돌봄의 루틴을 확립하세요."
PROG_005,진행 달 천칭자리,progression,Secondary Progression,진행 달이 천칭자리에 진입할 때 활성화,"진행 달이 천칭자리에 들어오면 약 2.3년간 관계·균형·미적 감각에 대한 감정적 욕구가 강해집니다. 혼자보다 함께할 때 감정적 안정을 느끼며 조화로운 환경에 대한 갈망이 커집니다. 파트너십과 협력의 가치가 부각되고 갈등보다 평화를 추구하는 시기입니다. 아름다움과 예술에 대한 감수성이 높아지며 삶의 질과 세련됨에 대한 관심이 증가합니다.","관계 속에서의 자기 발견과 타인을 통한 성장. 파트너십·협력·균형의 주제가 감정 생활의 중심에 오며 혼자만의 세계에서 벗어나 타인과의 연결을 통해 자신을 더 깊이 이해하게 됩니다. 공정함과 정의에 대한 감정적 민감도가 높아집니다.","새로운 관계의 시작 또는 기존 관계의 깊어짐 / 결혼이나 공식적 파트너십 / 법적 문제나 계약 / 인테리어 변경이나 미적 환경 개선 / 예술·문화 활동 참여 증가 / 사교 모임이나 네트워킹 활성화 / 갈등 중재 역할","약 2.3년간 지속됩니다. 관계 관련 사건은 진행 달이 출생 차트의 금성이나 DSC(7하우스 시작점)와 접촉할 때 특히 강하게 일어납니다.","관계에 대한 감정적 욕구가 강해지며 혼자 있을 때 외로움을 더 강하게 느낍니다. 타인의 시선과 평가에 더 민감해지며 조화를 위해 자신의 욕구를 양보하는 경향이 나타날 수 있습니다. 미적 감각이 세련되어지고 아름다움에 대한 감상 능력이 깊어집니다. 결정에 있어 타인의 의견을 더 많이 고려하게 됩니다.","관계를 추구하되 자기 자신을 잃지 마세요. 타인과의 조화를 위해 자신의 진정한 감정을 억압하면 장기적으로 불만이 쌓입니다. 예술이나 미적 활동을 통해 감정을 표현하고 공정하지 않은 상황에 대해서는 우아하게 목소리를 내는 연습을 하세요. 이 시기에 형성되는 관계가 장기적 의미를 가질 수 있으므로 신중하면서도 열린 마음으로 임하세요."
PROG_006,진행 달 염소자리,progression,Secondary Progression,진행 달이 염소자리에 진입할 때 활성화,"진행 달이 염소자리에 들어오면 약 2.3년간 감정적 성숙과 현실적 기반 구축의 에너지가 작용합니다. 달이 낙(detriment)이 되는 사인이라 감정 표현이 억제되고 대신 구조·규율·책임에 대한 감정적 욕구가 강해집니다. 감정적 자립과 성숙이 요구되며 삶의 현실적 기반을 다지는 데 에너지가 집중됩니다. 어른으로서의 감정적 책임감이 깊어지는 시기입니다.","감정적 성숙과 책임의 수용. 삶의 현실적 측면에 감정적 에너지를 투자하며 장기적 안정을 위한 기반을 구축합니다. 감정을 절제하고 관리하는 능력이 발달하며 진정한 어른으로서의 감정적 성숙이 이루어집니다.","직업적 성취나 승진 / 재정 계획이나 투자 결정 / 부모 역할이나 돌봄 책임의 증가 / 구조화된 건강관리 시작 / 장기 목표 설정과 체계적 실행 / 불필요한 관계나 활동의 정리 / 사회적 지위나 평판과 관련된 사건","약 2.3년간 지속됩니다. 진행 달이 출생 차트의 토성이나 MC(10하우스 시작점)와 접촉할 때 현실적 책임의 주제가 특히 강하게 활성화됩니다.","감정적으로 절제되고 현실적이 됩니다. 감정에 휩쓸리기보다 이성적으로 상황을 판단하며 불필요한 감정 소모를 줄이는 경향이 강해집니다. 외로움이나 고립감을 느낄 수 있지만 이는 내면의 자립을 위한 과정입니다. 시간의 가치와 유한성을 깊이 인식하며 삶의 우선순위가 명확해집니다.","이 시기의 감정적 절제를 억압과 혼동하지 마세요. 감정을 느끼되 표현의 방식을 성숙하게 발전시키는 것이 목표입니다. 현실적 기반 구축에 에너지를 집중하되 삶의 즐거움도 잊지 마세요. 신뢰할 수 있는 소수의 사람과 깊은 감정적 교류를 유지하고 혼자만의 시간을 생산적으로 활용하세요."
PROG_007,진행 뉴문,progression,Secondary Progression,진행 태양과 진행 달이 합(0도)을 이룰 때 활성화 - 약 29.5년 주기,"진행 뉴문은 진행 태양과 진행 달이 같은 도수에서 만나는 순간으로 약 29.5년에 한 번 일어나는 가장 강력한 새로운 시작의 시점입니다. 의지(태양)와 감정(달)이 완전히 합치되어 삶의 새로운 장이 열립니다. 마치 씨앗이 땅에 심어지는 순간처럼 이후 약 15년간 성장할 인생의 새로운 주제가 시작됩니다. 이 순간은 과거의 주기가 완전히 종결되고 새로운 주기가 탄생하는 전환점입니다.","인생의 완전히 새로운 장의 시작. 의식적 의지와 무의식적 감정이 동일한 방향을 가리키며 새로운 인생 비전이 탄생합니다. 과거의 자아가 사라지고 새로운 자아가 태어나는 깊은 변환의 시기입니다.","중대한 인생 결정(결혼·이혼·이민·창업 등) / 완전히 새로운 삶의 방향 설정 / 정체성의 근본적 변화 / 영적 각성이나 전환의 경험 / 오래된 삶의 방식과의 작별 / 새로운 관계·직업·거주지의 시작 / 삶의 목적에 대한 깊은 통찰","진행 뉴문 시점 전후 약 1년이 가장 강력한 전환기이며 이때 심어진 씨앗이 약 14-15년에 걸쳐 성장하여 진행 풀문에서 절정에 달합니다.","기존의 정체성과 삶의 방식에 대한 깊은 의문이 들며 동시에 새로운 가능성에 대한 미묘하지만 강력한 끌림을 느낍니다. 일시적으로 방향 상실이나 공허함을 경험할 수 있지만 이는 새로운 것이 채워지기 위한 비움의 과정입니다. 내면에서 새로운 비전이 서서히 형태를 갖추기 시작합니다.","이 시기는 의식적으로 새로운 의도(intention)를 설정하기에 가장 좋은 때입니다. 조용한 성찰과 명상을 통해 내면에서 떠오르는 새로운 비전에 귀 기울이세요. 큰 변화가 시작되는 시기이므로 서두르지 말고 씨앗을 심듯 신중하게 새로운 방향을 설정하세요. 과거를 정리하는 의식을 행하고 새로운 시작을 축하하세요."
PROG_008,진행 풀문,progression,Secondary Progression,진행 태양과 진행 달이 대립(180도)을 이룰 때 활성화 - 진행 뉴문 후 약 14-15년,"진행 풀문은 진행 태양과 진행 달이 정확히 180도(대립)를 이루는 순간으로 진행 뉴문에서 시작된 주기의 절정과 결실의 시점입니다. 약 14-15년 전 뉴문에서 심었던 씨앗이 만개하여 가장 완전한 표현에 도달합니다. 의지(태양)와 감정(달)이 서로 마주보며 내면과 외면의 완전한 조명이 이루어집니다. 숨겨진 것이 드러나고 미완성이었던 것이 완성됩니다.","인생 주기의 절정과 결실 그리고 전환. 진행 뉴문 이후 성장해온 것들이 최대의 표현에 달하며 동시에 수확과 평가의 시기입니다. 의식과 무의식 사이의 완전한 조명으로 자기 인식이 극대화됩니다. 관계에서의 깨달음과 타인과의 상호작용에서 중요한 진실이 드러납니다.","중요한 성취의 완성 / 관계에서의 결정적 전환점 / 숨겨진 진실의 발각이나 고백 / 사회적 인정이나 공적 성과 / 내면의 갈등이 외면화되는 사건 / 14-15년 전 시작한 것의 결실 / 삶의 방향에 대한 명확한 깨달음","진행 풀문 시점 전후 약 1년이 가장 강력하며 이후 점차 에너지가 줄어들며 다음 뉴문을 향한 통합과 방출의 시기로 전환됩니다.","자기 인식이 극대화되어 자신에 대해 이전보다 훨씬 명확하게 볼 수 있게 됩니다. 감정의 빛과 그림자가 모두 드러나며 자기 자신과 타인에 대한 깊은 이해에 도달합니다. 성취감과 동시에 더 이상 성장하기 위해서는 무언가를 놓아야 한다는 인식이 찾아옵니다.","성취한 것을 충분히 인정하고 축하하세요. 동시에 이 절정의 순간이 영원히 지속되지 않음을 수용하고 다음 단계의 성장을 위해 놓아줘야 할 것들을 파악하세요. 관계에서 드러나는 진실을 용기 있게 마주하고 자기 인식의 확장을 삶의 모든 영역에 적용하세요."
PROG_009,진행 금성 합 출생 태양,progression,Secondary Progression,진행 금성이 출생 태양과 합(0도)을 이룰 때 활성화,"진행 금성이 출생 태양과 합을 이루면 사랑·아름다움·가치에 대한 에너지가 핵심 정체성과 융합되는 아름다운 시기가 시작됩니다. 자기 자신에 대한 사랑과 수용이 깊어지며 타인과의 관계에서도 더 많은 사랑과 조화를 경험합니다. 예술적 감수성이 높아지고 삶의 아름다움을 더 깊이 감상하게 됩니다. 자기 가치에 대한 인식이 높아지며 자신이 사랑받을 자격이 있다는 내면의 확신이 강화됩니다.","자기 사랑과 가치의 재발견. 삶에서 사랑과 아름다움의 비중이 커지며 관계의 질이 향상됩니다. 자신의 가치를 인정하고 그에 걸맞은 대우를 추구하게 되며 창조적 자기표현의 욕구가 강해집니다.","새로운 사랑의 시작이나 기존 관계의 심화 / 결혼이나 약혼 / 예술 활동의 시작이나 발전 / 외모 변화나 이미지 개선 / 재정적 개선이나 가치 있는 획득 / 사회적 인기나 매력의 상승 / 자기 돌봄에 대한 관심 증가","정확한 합 시점 전후 약 6-12개월이 가장 강력하게 작용하며 진행 금성이 매우 느리게 움직이므로(하루 약 1도) 영향은 수개월에 걸쳐 점진적으로 느껴집니다.","자기 자신에 대한 태도가 부드럽고 수용적으로 변합니다. 자기비판이 줄어들고 자신의 아름다움과 가치를 인정하는 내면의 전환이 일어납니다. 사랑에 대한 기대와 희망이 커지며 감각적 즐거움에 대한 감수성이 높아집니다. 조화와 평화를 추구하는 마음이 강해집니다.","이 아름다운 에너지를 충분히 즐기되 현실 감각을 유지하세요. 사랑과 관계에서 이상화의 함정에 빠지지 않도록 주의하고 자기 사랑을 나르시시즘이 아닌 건강한 자기 수용으로 발전시키세요. 예술 활동이나 미적 환경 개선에 투자하기 좋은 시기이며 자신에게 가치 있는 것이 무엇인지 진지하게 탐구하세요."
PROG_010,진행 화성 합 MC,progression,Secondary Progression,진행 화성이 출생 MC(천정·10하우스 시작점)와 합(0도)을 이룰 때 활성화,"진행 화성이 출생 MC와 합을 이루면 직업적 야망과 사회적 행동력이 극대화되는 강력한 시기입니다. 화성의 에너지(행동·의지·경쟁)가 MC(사회적 지위·경력·공적 이미지)와 결합하여 경력에서 적극적이고 과감한 행동을 취하게 됩니다. 이 시기는 직업적 돌파구를 만들거나 사회적 위치를 확립하는 결정적 시점이 될 수 있습니다.","직업적 야망의 극대화와 사회적 자기 주장. 경력에서 수동적 태도를 벗어나 적극적으로 원하는 것을 추구하는 시기입니다. 리더십을 발휘하고 경쟁에서 승리하려는 의지가 강해지며 사회적 목표 달성을 위한 에너지가 최고조에 달합니다.","승진이나 직위 상승 / 새로운 사업 시작 / 직업적 경쟁에서의 승리 / 공적 발언이나 대중 앞에서의 활동 / 직업 관련 갈등이나 분쟁 / 독립적 경력 추구 / 사회적 인정을 받는 성취","진행 화성은 매우 느리게 움직이므로(하루 약 0.5도) 정확한 합 시점 전후 약 1-2년에 걸쳐 영향이 작용합니다.","직업에 대한 열정과 야망이 강해지며 수동적 태도를 더 이상 견딜 수 없게 됩니다. 경쟁 본능이 활성화되고 자신의 능력을 증명하고 싶은 욕구가 커집니다. 때로 과도한 야심이나 공격성이 나타날 수 있으며 직업적 갈등이 발생할 수도 있습니다.","이 에너지를 직업적 성장에 전략적으로 활용하세요. 공격성을 자기 주장과 리더십으로 승화하고 경쟁을 개인 성장의 동력으로 삼으세요. 직업적 갈등에서는 감정적 반응보다 전략적 행동을 선택하고 장기적 경력 비전에 부합하는 행동만 취하세요. 에너지가 넘치는 시기이므로 운동을 통한 균형 잡기가 중요합니다."
