id,source,target,relation,harmony_score,interaction_type,description
HARMONY_FIRE_ARIES,SAJU_ELEMENT_화,ASTRO_SIGN_ARIES,오행사인조화,95,상생공명,화(火)의 강렬한 에너지와 양자리의 불꽃같은 추진력이 완벽한 상생공명을 이룬다. 두 기운이 만나면 폭발적인 열정과 리더십이 극대화되어 강력한 시너지를 발휘한다.
HARMONY_FIRE_TAURUS,SAJU_ELEMENT_화,ASTRO_SIGN_TAURUS,오행사인조화,72,상생지원,화(火)가 토(土)를 생하는 화생토의 원리로 황소자리의 안정적 기반을 따뜻하게 지원한다. 불의 에너지가 대지를 데워 풍요를 촉진하듯 상생의 흐름이 자연스럽게 이어진다.
HARMONY_FIRE_GEMINI,SAJU_ELEMENT_화,ASTRO_SIGN_GEMINI,오행사인조화,68,중립조화,화(火)의 열기와 쌍둥이자리의 바람 기운이 만나 활발한 소통과 변화의 에너지를 만든다. 풍조화의 관계로 서로를 자극하되 과도하면 불안정해질 수 있어 균형이 필요하다.
HARMONY_FIRE_CANCER,SAJU_ELEMENT_화,ASTRO_SIGN_CANCER,오행사인조화,35,상극긴장,화(火)와 게자리의 수(水) 기운이 수극화의 상극 관계를 형성하여 본질적 긴장이 존재한다. 물이 불을 끄려 하고 불이 물을 증발시키려 하여 상호 소모적 역학이 작용한다.
HARMONY_FIRE_LEO,SAJU_ELEMENT_화,ASTRO_SIGN_LEO,오행사인조화,93,상생공명,화(火)의 찬란한 빛과 사자자리의 왕성한 불꽃이 최상의 상생공명으로 빛난다. 두 화기가 합쳐져 카리스마와 창조적 에너지가 극대화되며 강렬한 존재감을 발산한다.
HARMONY_FIRE_VIRGO,SAJU_ELEMENT_화,ASTRO_SIGN_VIRGO,오행사인조화,70,상생지원,화생토의 원리로 화(火)가 처녀자리의 토(土) 기운에 따뜻한 활력을 불어넣는다. 불의 에너지가 세밀한 분석력을 가진 처녀자리에게 실행력과 추진력을 상생적으로 보탠다.
HARMONY_FIRE_LIBRA,SAJU_ELEMENT_화,ASTRO_SIGN_LIBRA,오행사인조화,65,중립조화,화(火)의 직진적 에너지와 천칭자리의 균형 잡힌 풍(風) 기운이 풍조화를 이룬다. 바람이 불을 키우듯 서로를 북돋울 수 있으나 조화로운 균형점을 찾는 것이 관건이다.
HARMONY_FIRE_SCORPIO,SAJU_ELEMENT_화,ASTRO_SIGN_SCORPIO,오행사인조화,38,상극긴장,화(火)와 전갈자리의 깊은 수(水) 기운이 화극수의 상극적 긴장을 만들어낸다. 강렬한 불과 깊은 물이 부딪히며 갈등이 생기지만 이 긴장이 변혁적 성장의 동력이 될 수 있다.
HARMONY_FIRE_SAGITTARIUS,SAJU_ELEMENT_화,ASTRO_SIGN_SAGITTARIUS,오행사인조화,92,상생공명,화(火)의 확장하는 에너지와 사수자리의 탐험적 불꽃이 상생공명하여 무한한 가능성을 연다. 두 화기가 만나 지적 열정과 모험심이 배가되어 큰 비전을 실현하는 힘이 된다.
HARMONY_FIRE_CAPRICORN,SAJU_ELEMENT_화,ASTRO_SIGN_CAPRICORN,오행사인조화,74,상생지원,화생토의 상생 원리에 따라 화(火)가 염소자리의 견고한 토(土) 기운을 활성화시킨다. 불의 열정이 염소자리의 인내심과 만나 목표 달성을 위한 강력한 원동력으로 작용한다.
