id,label,desc,type,suit,number,korean_name,upright_meaning,reversed_meaning,element,saju_correlation,astro_correlation,description,jung_archetype,dream_symbol,advice,timing_guidance
TM_pent_ace,펜타클에이스,"펜타클에이스 | 펜타클의 에이스는 새로운 재정적 기회가 도래했음을 상징합니다. 이 카드는 물질적인 축복과 번영의 시작을 나타내며, 안정된 기반을 마련할 수 있는 기회를 제공합니다. 그러나 이 기회를 놓치지 않도록 주의해야 하며, 물질에 대한 지나친 집착은 불안정성을 초래할 수 있습니다. 그러므로 땅에 씨앗을 심듯이, 새로운 시작을 위해 적극적으로 행동하는 것이 중요합니다. | upright: 새기회/물질축복/번영시작/안정 | reversed: 기회놓침/물질집착/불안정/손실 | advice: 새로운 재정적 기회가 왔습니다. 땅에 씨앗을 심으세요. | archetype: 자기원형-물질적시작 | symbols: 황금/씨앗/비옥한땅 | timing: 초승달/목요일/봄(파종기) | astrology: 황소자리0-10도 | saju: 무토기토일간-물질적시작 | element: Earth",tarot_minor,Pentacles,1,펜타클의에이스,새기회/물질축복/번영시작/안정,기회놓침/물질집착/불안정/손실,Earth,무토기토일간-물질적시작,황소자리0-10도,"펜타클의 에이스는 새로운 재정적 기회가 도래했음을 상징합니다. 이 카드는 물질적인 축복과 번영의 시작을 나타내며, 안정된 기반을 마련할 수 있는 기회를 제공합니다. 그러나 이 기회를 놓치지 않도록 주의해야 하며, 물질에 대한 지나친 집착은 불안정성을 초래할 수 있습니다. 그러므로 땅에 씨앗을 심듯이, 새로운 시작을 위해 적극적으로 행동하는 것이 중요합니다.",자기원형-물질적시작,황금/씨앗/비옥한땅,새로운 재정적 기회가 왔습니다. 땅에 씨앗을 심으세요.,초승달/목요일/봄(파종기)
TM_pent_2,펜타클2,"펜타클2 | 펜타클의2 카드는 균형과 적응의 중요성을 강조합니다. 이 카드는 여러 가지 일을 동시에 잘 처리하고 있는 당신에게 균형을 유지하라는 조언을 줍니다. 그러나 만약 이 카드가 거꾸로 나왔다면, 불균형이나 과부하로 인한 스트레스가 나타날 수 있음을 경고합니다. 따라서, 현재의 상황에서 우선순위를 정하고 유연하게 대처하는 것이 필요합니다. | upright: 균형/적응/유연성/다중작업 | reversed: 불균형/과부하/우선순위혼란/스트레스 | advice: 여러 일을 동시에 잘 처리하고 있습니다. 균형을 유지하세요. | archetype: 트릭스터원형-유연한균형 | symbols: 저글링/파도타기/균형잡기 | timing: 수요일/변동시기/멀티태스킹필요기 | astrology: 황소자리10-20도 | saju: 비겁운-다중관리 | element: Earth",tarot_minor,Pentacles,2,펜타클의2,균형/적응/유연성/다중작업,불균형/과부하/우선순위혼란/스트레스,Earth,비겁운-다중관리,황소자리10-20도,"펜타클의2 카드는 균형과 적응의 중요성을 강조합니다. 이 카드는 여러 가지 일을 동시에 잘 처리하고 있는 당신에게 균형을 유지하라는 조언을 줍니다. 그러나 만약 이 카드가 거꾸로 나왔다면, 불균형이나 과부하로 인한 스트레스가 나타날 수 있음을 경고합니다. 따라서, 현재의 상황에서 우선순위를 정하고 유연하게 대처하는 것이 필요합니다.",트릭스터원형-유연한균형,저글링/파도타기/균형잡기,여러 일을 동시에 잘 처리하고 있습니다. 균형을 유지하세요.,수요일/변동시기/멀티태스킹필요기
TM_pent_3,펜타클3,"펜타클3 | 펜타클의 3은 기술과 협업, 그리고 장인정신을 상징하는 카드로, 이러한 요소들이 조화를 이루었을 때 높은 인정과 성과를 가져온다는 메시지를 전달합니다. 이 카드는 전문성을 키우고 팀원들과의 협업을 통해 더 나은 결과를 도출하라는 조언을 줍니다. 만약 이 카드가 거꾸로 나올 경우, 미숙함이나 협업의 실패, 품질 저하와 같은 부정적인 상황을 암시할 수 있습니다. 따라서, 목요일에 기술 향상이나 협업 프로젝트를 시작하는 것이 좋으며, 자신의 장인정신을 발휘하는 기회를 찾는 것이 중요합니다. | upright: 기술/협업/장인정신/인정 | reversed: 미숙함/협업실패/품질저하/무시 | advice: 전문성을 키우고 협업하세요. 장인정신이 인정받습니다. | archetype: 창조자원형-장인정신 | symbols: 대성당/공예품/팀작업 | timing: 목요일/기술향상기/협업프로젝트시작 | astrology: 황소자리20-30도 | saju: 식신생재-기술인정 | element: Earth",tarot_minor,Pentacles,3,펜타클의3,기술/협업/장인정신/인정,미숙함/협업실패/품질저하/무시,Earth,식신생재-기술인정,황소자리20-30도,"펜타클의 3은 기술과 협업, 그리고 장인정신을 상징하는 카드로, 이러한 요소들이 조화를 이루었을 때 높은 인정과 성과를 가져온다는 메시지를 전달합니다. 이 카드는 전문성을 키우고 팀원들과의 협업을 통해 더 나은 결과를 도출하라는 조언을 줍니다. 만약 이 카드가 거꾸로 나올 경우, 미숙함이나 협업의 실패, 품질 저하와 같은 부정적인 상황을 암시할 수 있습니다. 따라서, 목요일에 기술 향상이나 협업 프로젝트를 시작하는 것이 좋으며, 자신의 장인정신을 발휘하는 기회를 찾는 것이 중요합니다.",창조자원형-장인정신,대성당/공예품/팀작업,전문성을 키우고 협업하세요. 장인정신이 인정받습니다.,목요일/기술향상기/협업프로젝트시작
TM_pent_4,펜타클4,"펜타클4 | 펜타클의 4 카드는 안정과 보존을 상징하며, 소유욕이 강하게 드러나는 카드입니다. 이 카드는 가진 것을 지키는 것이 중요하지만, 지나치게 움켜쥐게 되면 자연스러운 흐름이 멈출 수 있음을 경고합니다. 따라서, 변화에 대한 두려움을 극복하고 적절한 균형을 유지하는 것이 필요합니다. 황소자리와 처녀자리의 경계에 해당하며, 재산을 보호하고 보수적인 접근이 요구되는 상황에서 특히 유용한 지침이 될 수 있습니다. | upright: 안정/보존/보수적/소유욕 | reversed: 탐욕/집착/폐쇄적/변화두려움 | advice: 가진 것을 지키되 너무 움켜쥐면 흐름이 멈춥니다. | archetype: 그림자원형-소유집착 | symbols: 금고/꽉쥔손/성벽 | timing: 토요일/재산보호기/보수적접근필요시 | astrology: 황소자리-처녀경계 | saju: 정재운-재산보존 | element: Earth",tarot_minor,Pentacles,4,펜타클의4,안정/보존/보수적/소유욕,탐욕/집착/폐쇄적/변화두려움,Earth,정재운-재산보존,황소자리-처녀경계,"펜타클의 4 카드는 안정과 보존을 상징하며, 소유욕이 강하게 드러나는 카드입니다. 이 카드는 가진 것을 지키는 것이 중요하지만, 지나치게 움켜쥐게 되면 자연스러운 흐름이 멈출 수 있음을 경고합니다. 따라서, 변화에 대한 두려움을 극복하고 적절한 균형을 유지하는 것이 필요합니다. 황소자리와 처녀자리의 경계에 해당하며, 재산을 보호하고 보수적인 접근이 요구되는 상황에서 특히 유용한 지침이 될 수 있습니다.",그림자원형-소유집착,금고/꽉쥔손/성벽,가진 것을 지키되 너무 움켜쥐면 흐름이 멈춥니다.,토요일/재산보호기/보수적접근필요시
TM_pent_5,펜타클5,"펜타클5 | 펜타클의 5 카드는 어려움과 고립을 상징합니다. 이 카드가 나타날 때는 경제적 어려움이나 건강 문제로 힘든 시기를 겪고 있을 수 있습니다. 그러나 이 카드의 거꾸로 된 의미는 회복과 희망을 나타내며, 어려운 시기에도 도움의 손길이 있다는 것을 알려줍니다. 주변을 둘러보면 예상치 못한 지원이 있을 수 있으니, 긍정적인 시각을 잃지 않는 것이 중요합니다. | upright: 어려움/가난/고립/건강문제 | reversed: 회복/도움/끝터널/희망 | advice: 어려운 시기지만 도움의 문이 있습니다. 주변을 둘러보세요. | archetype: 고아원형-물질적결핍 | symbols: 눈보라/빈손/교회앞 | timing: 그믐달/겨울/경제적어려움기 | astrology: 처녀자리0-10도 | saju: 재성파-경제적어려움 | element: Earth",tarot_minor,Pentacles,5,펜타클의5,어려움/가난/고립/건강문제,회복/도움/끝터널/희망,Earth,재성파-경제적어려움,처녀자리0-10도,"펜타클의 5 카드는 어려움과 고립을 상징합니다. 이 카드가 나타날 때는 경제적 어려움이나 건강 문제로 힘든 시기를 겪고 있을 수 있습니다. 그러나 이 카드의 거꾸로 된 의미는 회복과 희망을 나타내며, 어려운 시기에도 도움의 손길이 있다는 것을 알려줍니다. 주변을 둘러보면 예상치 못한 지원이 있을 수 있으니, 긍정적인 시각을 잃지 않는 것이 중요합니다.",고아원형-물질적결핍,눈보라/빈손/교회앞,어려운 시기지만 도움의 문이 있습니다. 주변을 둘러보세요.,그믐달/겨울/경제적어려움기
TM_pent_6,펜타클6,"펜타클6 | 펜타클의 6은 나눔과 관용의 중요성을 상징하는 카드로, 주고받음의 균형이 풍요로운 삶을 가져온다는 메시지를 전달합니다. 이 카드는 다른 사람에게 도움을 줄 수 있는 기회를 놓치지 말라는 조언을 담고 있으며, 자신이 받은 것에 대한 감사의 마음을 표현하는 것이 중요하다는 것을 강조합니다. 반면, 이 카드가 거꾸로 나올 경우 불공정함이나 이기심이 드러날 수 있으며, 이는 관계에 부정적인 영향을 미칠 수 있습니다. 따라서, 금요일과 같은 기부의 적기에는 주변 사람들에게 베풀고, 감사의 마음을 전하는 것이 좋습니다. | upright: 나눔/관용/주고받음/균형 | reversed: 불공정/이기심/빚/착취 | advice: 베풀 수 있을 때 베푸세요. 주고받음의 균형이 풍요를 낳습니다. | archetype: 돌봄자원형-관대한나눔 | symbols: 저울/나눔/선물 | timing: 금요일/기부적기/감사표현시기 | astrology: 처녀자리10-20도 | saju: 식신생재-베풂과받음 | element: Earth",tarot_minor,Pentacles,6,펜타클의6,나눔/관용/주고받음/균형,불공정/이기심/빚/착취,Earth,식신생재-베풂과받음,처녀자리10-20도,"펜타클의 6은 나눔과 관용의 중요성을 상징하는 카드로, 주고받음의 균형이 풍요로운 삶을 가져온다는 메시지를 전달합니다. 이 카드는 다른 사람에게 도움을 줄 수 있는 기회를 놓치지 말라는 조언을 담고 있으며, 자신이 받은 것에 대한 감사의 마음을 표현하는 것이 중요하다는 것을 강조합니다. 반면, 이 카드가 거꾸로 나올 경우 불공정함이나 이기심이 드러날 수 있으며, 이는 관계에 부정적인 영향을 미칠 수 있습니다. 따라서, 금요일과 같은 기부의 적기에는 주변 사람들에게 베풀고, 감사의 마음을 전하는 것이 좋습니다.",돌봄자원형-관대한나눔,저울/나눔/선물,베풀 수 있을 때 베푸세요. 주고받음의 균형이 풍요를 낳습니다.,금요일/기부적기/감사표현시기
TM_pent_7,펜타클7,"펜타클7 | 펜타클의 7은 인내와 성장 관찰의 중요성을 강조하는 카드로, 씨앗을 심은 후에는 조급하게 결과를 기다리지 말고 자연스러운 성장을 지켜보라는 메시지를 담고 있습니다. 이 카드는 성급한 수확이나 포기를 경계하며, 투자와 기다림의 과정을 통해 진정한 결실을 맺을 수 있음을 상기시킵니다. 특히, 처녀자리와 관련이 깊어 세심한 관찰과 인내가 필요한 시기에 적합한 조언을 제공합니다. 따라서, 장기적인 관점에서 목표를 향해 나아가며, 토요일과 같은 특정한 시기에 더욱 집중할 필요가 있습니다. | upright: 인내/성장관찰/투자/기다림 | reversed: 조급함/성급한수확/포기/좌절 | advice: 씨앗은 심었습니다. 조급해하지 말고 성장을 지켜보세요. | archetype: 농부원형-인내의결실 | symbols: 농작물/기다리는사람/계절변화 | timing: 토요일/장기투자기간/인내필요시 | astrology: 처녀자리20-30도 | saju: 편인운-투자기다림 | element: Earth",tarot_minor,Pentacles,7,펜타클의7,인내/성장관찰/투자/기다림,조급함/성급한수확/포기/좌절,Earth,편인운-투자기다림,처녀자리20-30도,"펜타클의 7은 인내와 성장 관찰의 중요성을 강조하는 카드로, 씨앗을 심은 후에는 조급하게 결과를 기다리지 말고 자연스러운 성장을 지켜보라는 메시지를 담고 있습니다. 이 카드는 성급한 수확이나 포기를 경계하며, 투자와 기다림의 과정을 통해 진정한 결실을 맺을 수 있음을 상기시킵니다. 특히, 처녀자리와 관련이 깊어 세심한 관찰과 인내가 필요한 시기에 적합한 조언을 제공합니다. 따라서, 장기적인 관점에서 목표를 향해 나아가며, 토요일과 같은 특정한 시기에 더욱 집중할 필요가 있습니다.",농부원형-인내의결실,농작물/기다리는사람/계절변화,씨앗은 심었습니다. 조급해하지 말고 성장을 지켜보세요.,토요일/장기투자기간/인내필요시
TM_pent_8,펜타클8,"펜타클8 | 펜타클의 8은 장인정신과 숙련, 집중과 노력을 상징하는 타로 카드입니다. 이 카드는 특정 분야에 집중하여 꾸준히 노력할 때 진정한 전문가로 성장할 수 있음을 알려줍니다. 반면, 카드가 거꾸로 나올 경우에는 반복적인 작업에서 오는 지루함이나 완벽주의로 인한 과로를 경고합니다. 따라서 이 카드는 기술을 연마하고 집중해야 할 시기를 나타내며, 화요일에 특히 좋은 에너지를 발휘할 수 있습니다. | upright: 장인정신/숙련/집중/노력 | reversed: 반복/지루함/완벽주의/과로 | advice: 한 분야에 집중하세요. 꾸준한 노력이 전문가를 만듭니다. | archetype: 창조자원형-숙련의길 | symbols: 작업대/반복연습/도구 | timing: 화요일/기술연마기/집중필요시기 | astrology: 염소자리0-10도 | saju: 식신운-기술연마 | element: Earth",tarot_minor,Pentacles,8,펜타클의8,장인정신/숙련/집중/노력,반복/지루함/완벽주의/과로,Earth,식신운-기술연마,염소자리0-10도,"펜타클의 8은 장인정신과 숙련, 집중과 노력을 상징하는 타로 카드입니다. 이 카드는 특정 분야에 집중하여 꾸준히 노력할 때 진정한 전문가로 성장할 수 있음을 알려줍니다. 반면, 카드가 거꾸로 나올 경우에는 반복적인 작업에서 오는 지루함이나 완벽주의로 인한 과로를 경고합니다. 따라서 이 카드는 기술을 연마하고 집중해야 할 시기를 나타내며, 화요일에 특히 좋은 에너지를 발휘할 수 있습니다.",창조자원형-숙련의길,작업대/반복연습/도구,한 분야에 집중하세요. 꾸준한 노력이 전문가를 만듭니다.,화요일/기술연마기/집중필요시기
TM_pent_9,펜타클9,"펜타클9 | 펜타클의 9는 풍요와 독립, 자수성가의 상징으로, 자신의 노력과 성취를 통해 얻은 결과를 즐기라는 메시지를 전달합니다. 이 카드는 자신이 이룬 것에 대해 감사하며, 스스로 만든 풍요를 누릴 것을 권장합니다. 그러나 거꾸로 놓일 경우 과시욕이나 물질에 대한 의존, 외로움과 불안정함을 경고합니다. 따라서 자신의 성취를 진정으로 즐기고, 물질적 가치에 지나치게 집착하지 않도록 주의하는 것이 중요합니다. | upright: 풍요/독립/자수성가/성취 | reversed: 과시/물질의존/외로움/불안정 | advice: 노력의 결실을 누리세요. 스스로 만든 풍요에 감사하세요. | archetype: 자기원형-자족하는풍요 | symbols: 정원/포도/새 | timing: 목요일/보름달/성취축하시기 | astrology: 염소자리10-20도 | saju: 정재운-자수성가 | element: Earth",tarot_minor,Pentacles,9,펜타클의9,풍요/독립/자수성가/성취,과시/물질의존/외로움/불안정,Earth,정재운-자수성가,염소자리10-20도,"펜타클의 9는 풍요와 독립, 자수성가의 상징으로, 자신의 노력과 성취를 통해 얻은 결과를 즐기라는 메시지를 전달합니다. 이 카드는 자신이 이룬 것에 대해 감사하며, 스스로 만든 풍요를 누릴 것을 권장합니다. 그러나 거꾸로 놓일 경우 과시욕이나 물질에 대한 의존, 외로움과 불안정함을 경고합니다. 따라서 자신의 성취를 진정으로 즐기고, 물질적 가치에 지나치게 집착하지 않도록 주의하는 것이 중요합니다.",자기원형-자족하는풍요,정원/포도/새,노력의 결실을 누리세요. 스스로 만든 풍요에 감사하세요.,목요일/보름달/성취축하시기
TM_pent_10,펜타클10,"펜타클10 | 펜타클의 10은 유산과 가업, 그리고 세대 간의 영속성을 상징합니다. 이 카드는 가족의 기반이 얼마나 중요한지를 강조하며, 물려받은 것과 물려줄 것에 대해 깊이 생각해보라는 조언을 담고 있습니다. 반면에 거꾸로 나올 경우, 가족 간의 갈등이나 유산 분쟁을 나타내기도 하며, 이는 기반의 불안정이나 단절을 의미할 수 있습니다. 따라서 이 카드는 가문과의 연결성을 강화하고, 지속 가능한 기반을 세우는 것이 얼마나 중요한지를 일깨워줍니다. | upright: 유산/가업/영속/세대 | reversed: 가족갈등/유산분쟁/기반불안/단절 | advice: 물려받은 것과 물려줄 것을 생각하세요. 영속하는 기반을 세우세요. | archetype: 노인원형-세대간전승 | symbols: 대가족/저택/가문 | timing: 토요일/가족모임/유산관련시기 | astrology: 염소자리20-30도 | saju: 년주조상궁-가문유산 | element: Earth",tarot_minor,Pentacles,10,펜타클의10,유산/가업/영속/세대,가족갈등/유산분쟁/기반불안/단절,Earth,년주조상궁-가문유산,염소자리20-30도,"펜타클의 10은 유산과 가업, 그리고 세대 간의 영속성을 상징합니다. 이 카드는 가족의 기반이 얼마나 중요한지를 강조하며, 물려받은 것과 물려줄 것에 대해 깊이 생각해보라는 조언을 담고 있습니다. 반면에 거꾸로 나올 경우, 가족 간의 갈등이나 유산 분쟁을 나타내기도 하며, 이는 기반의 불안정이나 단절을 의미할 수 있습니다. 따라서 이 카드는 가문과의 연결성을 강화하고, 지속 가능한 기반을 세우는 것이 얼마나 중요한지를 일깨워줍니다.",노인원형-세대간전승,대가족/저택/가문,물려받은 것과 물려줄 것을 생각하세요. 영속하는 기반을 세우세요.,토요일/가족모임/유산관련시기
