id,label,type,element,yinyang,description
GAN_갑자,갑자,ganji,목,양,"갑자: 갑(목,양) 천간이 자(수,양) 지지를 만나 이루는 조합으로, 시작, 추진력, 지도자적 성향 성향과 감정적, 지적, 순발력, 유동성 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
GAN_을축,을축,ganji,목,음,"을축: 을(목,음) 천간이 축(토,음) 지지를 만나 이루는 조합으로, 유연, 협조적, 예술·감성적 성향과 보수적, 인내심, 실속형 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
GAN_병인,병인,ganji,화,양,"병인: 병(화,양) 천간이 인(목,양) 지지를 만나 이루는 조합으로, 열정, 카리스마, 창조적 추진력 성향과 혁신적, 진취적, 추진력 기질이 합쳐진다. 전체적으로 열정, 표현, 리더십, 생명력의 기질이 강하다."
GAN_정묘,정묘,ganji,화,음,"정묘: 정(화,음) 천간이 묘(목,음) 지지를 만나 이루는 조합으로, 지적, 세련, 미적 감수성 성향과 감성적, 예술성, 감각적 기질이 합쳐진다. 전체적으로 열정, 표현, 리더십, 생명력의 기질이 강하다."
GAN_무진,무진,ganji,토,양,"무진: 무(토,양) 천간이 진(토,양) 지지를 만나 이루는 조합으로, 단단, 성실, 조직적 성향과 신뢰감, 조정자, 포용력 기질이 합쳐진다. 전체적으로 안정, 성실, 중재, 현실감의 기질이 강하다."
GAN_기사,기사,ganji,토,음,"기사: 기(토,음) 천간이 사(화,음) 지지를 만나 이루는 조합으로, 섬세, 실용, 중재 역할 성향과 리더십, 매력, 주목받는 기질 기질이 합쳐진다. 전체적으로 안정, 성실, 중재, 현실감의 기질이 강하다."
GAN_경오,경오,ganji,금,양,"경오: 경(금,양) 천간이 오(화,양) 지지를 만나 이루는 조합으로, 결단, 정의감, 강한 의지 성향과 열정적, 표현력, 추진력 기질이 합쳐진다. 전체적으로 결단, 규율, 판단, 완성의 기질이 강하다."
GAN_신미,신미,ganji,금,음,"신미: 신(금,음) 천간이 미(토,음) 지지를 만나 이루는 조합으로, 정교, 세련, 분석력 성향과 조화와 균형, 감성적 안정 기질이 합쳐진다. 전체적으로 결단, 규율, 판단, 완성의 기질이 강하다."
GAN_임신,임신,ganji,수,양,"임신: 임(수,양) 천간이 신(금,양) 지지를 만나 이루는 조합으로, 지혜, 통찰, 확장적 사고 성향과 논리적, 체계적, 실리 중심 기질이 합쳐진다. 전체적으로 지혜, 감정, 유연, 직관의 기질이 강하다."
GAN_계유,계유,ganji,수,음,"계유: 계(수,음) 천간이 유(금,음) 지지를 만나 이루는 조합으로, 감수성, 직관, 치유적 성향과 정교, 분석적, 미적 감각 기질이 합쳐진다. 전체적으로 지혜, 감정, 유연, 직관의 기질이 강하다."
GAN_갑술,갑술,ganji,목,양,"갑술: 갑(목,양) 천간이 술(토,양) 지지를 만나 이루는 조합으로, 시작, 추진력, 지도자적 성향 성향과 책임감, 신중함, 현실적 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
GAN_을해,을해,ganji,목,음,"을해: 을(목,음) 천간이 해(수,음) 지지를 만나 이루는 조합으로, 유연, 협조적, 예술·감성적 성향과 자비, 직관, 공감 능력 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
GAN_병자,병자,ganji,화,양,"병자: 병(화,양) 천간이 자(수,양) 지지를 만나 이루는 조합으로, 열정, 카리스마, 창조적 추진력 성향과 감정적, 지적, 순발력, 유동성 기질이 합쳐진다. 전체적으로 열정, 표현, 리더십, 생명력의 기질이 강하다."
GAN_정축,정축,ganji,화,음,"정축: 정(화,음) 천간이 축(토,음) 지지를 만나 이루는 조합으로, 지적, 세련, 미적 감수성 성향과 보수적, 인내심, 실속형 기질이 합쳐진다. 전체적으로 열정, 표현, 리더십, 생명력의 기질이 강하다."
GAN_무인,무인,ganji,토,양,"무인: 무(토,양) 천간이 인(목,양) 지지를 만나 이루는 조합으로, 단단, 성실, 조직적 성향과 혁신적, 진취적, 추진력 기질이 합쳐진다. 전체적으로 안정, 성실, 중재, 현실감의 기질이 강하다."
GAN_기묘,기묘,ganji,토,음,"기묘: 기(토,음) 천간이 묘(목,음) 지지를 만나 이루는 조합으로, 섬세, 실용, 중재 역할 성향과 감성적, 예술성, 감각적 기질이 합쳐진다. 전체적으로 안정, 성실, 중재, 현실감의 기질이 강하다."
GAN_경진,경진,ganji,금,양,"경진: 경(금,양) 천간이 진(토,양) 지지를 만나 이루는 조합으로, 결단, 정의감, 강한 의지 성향과 신뢰감, 조정자, 포용력 기질이 합쳐진다. 전체적으로 결단, 규율, 판단, 완성의 기질이 강하다."
GAN_신사,신사,ganji,금,음,"신사: 신(금,음) 천간이 사(화,음) 지지를 만나 이루는 조합으로, 정교, 세련, 분석력 성향과 리더십, 매력, 주목받는 기질 기질이 합쳐진다. 전체적으로 결단, 규율, 판단, 완성의 기질이 강하다."
GAN_임오,임오,ganji,수,양,"임오: 임(수,양) 천간이 오(화,양) 지지를 만나 이루는 조합으로, 지혜, 통찰, 확장적 사고 성향과 열정적, 표현력, 추진력 기질이 합쳐진다. 전체적으로 지혜, 감정, 유연, 직관의 기질이 강하다."
GAN_계미,계미,ganji,수,음,"계미: 계(수,음) 천간이 미(토,음) 지지를 만나 이루는 조합으로, 감수성, 직관, 치유적 성향과 조화와 균형, 감성적 안정 기질이 합쳐진다. 전체적으로 지혜, 감정, 유연, 직관의 기질이 강하다."
GAN_갑신,갑신,ganji,목,양,"갑신: 갑(목,양) 천간이 신(금,양) 지지를 만나 이루는 조합으로, 시작, 추진력, 지도자적 성향 성향과 논리적, 체계적, 실리 중심 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
GAN_을유,을유,ganji,목,음,"을유: 을(목,음) 천간이 유(금,음) 지지를 만나 이루는 조합으로, 유연, 협조적, 예술·감성적 성향과 정교, 분석적, 미적 감각 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
GAN_병술,병술,ganji,화,양,"병술: 병(화,양) 천간이 술(토,양) 지지를 만나 이루는 조합으로, 열정, 카리스마, 창조적 추진력 성향과 책임감, 신중함, 현실적 기질이 합쳐진다. 전체적으로 열정, 표현, 리더십, 생명력의 기질이 강하다."
GAN_정해,정해,ganji,화,음,"정해: 정(화,음) 천간이 해(수,음) 지지를 만나 이루는 조합으로, 지적, 세련, 미적 감수성 성향과 자비, 직관, 공감 능력 기질이 합쳐진다. 전체적으로 열정, 표현, 리더십, 생명력의 기질이 강하다."
GAN_무자,무자,ganji,토,양,"무자: 무(토,양) 천간이 자(수,양) 지지를 만나 이루는 조합으로, 단단, 성실, 조직적 성향과 감정적, 지적, 순발력, 유동성 기질이 합쳐진다. 전체적으로 안정, 성실, 중재, 현실감의 기질이 강하다."
GAN_기축,기축,ganji,토,음,"기축: 기(토,음) 천간이 축(토,음) 지지를 만나 이루는 조합으로, 섬세, 실용, 중재 역할 성향과 보수적, 인내심, 실속형 기질이 합쳐진다. 전체적으로 안정, 성실, 중재, 현실감의 기질이 강하다."
GAN_경인,경인,ganji,금,양,"경인: 경(금,양) 천간이 인(목,양) 지지를 만나 이루는 조합으로, 결단, 정의감, 강한 의지 성향과 혁신적, 진취적, 추진력 기질이 합쳐진다. 전체적으로 결단, 규율, 판단, 완성의 기질이 강하다."
GAN_신묘,신묘,ganji,금,음,"신묘: 신(금,음) 천간이 묘(목,음) 지지를 만나 이루는 조합으로, 정교, 세련, 분석력 성향과 감성적, 예술성, 감각적 기질이 합쳐진다. 전체적으로 결단, 규율, 판단, 완성의 기질이 강하다."
GAN_임진,임진,ganji,수,양,"임진: 임(수,양) 천간이 진(토,양) 지지를 만나 이루는 조합으로, 지혜, 통찰, 확장적 사고 성향과 신뢰감, 조정자, 포용력 기질이 합쳐진다. 전체적으로 지혜, 감정, 유연, 직관의 기질이 강하다."
GAN_계사,계사,ganji,수,음,"계사: 계(수,음) 천간이 사(화,음) 지지를 만나 이루는 조합으로, 감수성, 직관, 치유적 성향과 리더십, 매력, 주목받는 기질 기질이 합쳐진다. 전체적으로 지혜, 감정, 유연, 직관의 기질이 강하다."
GAN_갑오,갑오,ganji,목,양,"갑오: 갑(목,양) 천간이 오(화,양) 지지를 만나 이루는 조합으로, 시작, 추진력, 지도자적 성향 성향과 열정적, 표현력, 추진력 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
GAN_을미,을미,ganji,목,음,"을미: 을(목,음) 천간이 미(토,음) 지지를 만나 이루는 조합으로, 유연, 협조적, 예술·감성적 성향과 조화와 균형, 감성적 안정 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
GAN_병신,병신,ganji,화,양,"병신: 병(화,양) 천간이 신(금,양) 지지를 만나 이루는 조합으로, 열정, 카리스마, 창조적 추진력 성향과 논리적, 체계적, 실리 중심 기질이 합쳐진다. 전체적으로 열정, 표현, 리더십, 생명력의 기질이 강하다."
GAN_정유,정유,ganji,화,음,"정유: 정(화,음) 천간이 유(금,음) 지지를 만나 이루는 조합으로, 지적, 세련, 미적 감수성 성향과 정교, 분석적, 미적 감각 기질이 합쳐진다. 전체적으로 열정, 표현, 리더십, 생명력의 기질이 강하다."
GAN_무술,무술,ganji,토,양,"무술: 무(토,양) 천간이 술(토,양) 지지를 만나 이루는 조합으로, 단단, 성실, 조직적 성향과 책임감, 신중함, 현실적 기질이 합쳐진다. 전체적으로 안정, 성실, 중재, 현실감의 기질이 강하다."
GAN_기해,기해,ganji,토,음,"기해: 기(토,음) 천간이 해(수,음) 지지를 만나 이루는 조합으로, 섬세, 실용, 중재 역할 성향과 자비, 직관, 공감 능력 기질이 합쳐진다. 전체적으로 안정, 성실, 중재, 현실감의 기질이 강하다."
GAN_경자,경자,ganji,금,양,"경자: 경(금,양) 천간이 자(수,양) 지지를 만나 이루는 조합으로, 결단, 정의감, 강한 의지 성향과 감정적, 지적, 순발력, 유동성 기질이 합쳐진다. 전체적으로 결단, 규율, 판단, 완성의 기질이 강하다."
GAN_신축,신축,ganji,금,음,"신축: 신(금,음) 천간이 축(토,음) 지지를 만나 이루는 조합으로, 정교, 세련, 분석력 성향과 보수적, 인내심, 실속형 기질이 합쳐진다. 전체적으로 결단, 규율, 판단, 완성의 기질이 강하다."
GAN_임인,임인,ganji,수,양,"임인: 임(수,양) 천간이 인(목,양) 지지를 만나 이루는 조합으로, 지혜, 통찰, 확장적 사고 성향과 혁신적, 진취적, 추진력 기질이 합쳐진다. 전체적으로 지혜, 감정, 유연, 직관의 기질이 강하다."
GAN_계묘,계묘,ganji,수,음,"계묘: 계(수,음) 천간이 묘(목,음) 지지를 만나 이루는 조합으로, 감수성, 직관, 치유적 성향과 감성적, 예술성, 감각적 기질이 합쳐진다. 전체적으로 지혜, 감정, 유연, 직관의 기질이 강하다."
GAN_갑진,갑진,ganji,목,양,"갑진: 갑(목,양) 천간이 진(토,양) 지지를 만나 이루는 조합으로, 시작, 추진력, 지도자적 성향 성향과 신뢰감, 조정자, 포용력 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
GAN_을사,을사,ganji,목,음,"을사: 을(목,음) 천간이 사(화,음) 지지를 만나 이루는 조합으로, 유연, 협조적, 예술·감성적 성향과 리더십, 매력, 주목받는 기질 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
GAN_병오,병오,ganji,화,양,"병오: 병(화,양) 천간이 오(화,양) 지지를 만나 이루는 조합으로, 열정, 카리스마, 창조적 추진력 성향과 열정적, 표현력, 추진력 기질이 합쳐진다. 전체적으로 열정, 표현, 리더십, 생명력의 기질이 강하다."
GAN_정미,정미,ganji,화,음,"정미: 정(화,음) 천간이 미(토,음) 지지를 만나 이루는 조합으로, 지적, 세련, 미적 감수성 성향과 조화와 균형, 감성적 안정 기질이 합쳐진다. 전체적으로 열정, 표현, 리더십, 생명력의 기질이 강하다."
GAN_무신,무신,ganji,토,양,"무신: 무(토,양) 천간이 신(금,양) 지지를 만나 이루는 조합으로, 단단, 성실, 조직적 성향과 논리적, 체계적, 실리 중심 기질이 합쳐진다. 전체적으로 안정, 성실, 중재, 현실감의 기질이 강하다."
GAN_기유,기유,ganji,토,음,"기유: 기(토,음) 천간이 유(금,음) 지지를 만나 이루는 조합으로, 섬세, 실용, 중재 역할 성향과 정교, 분석적, 미적 감각 기질이 합쳐진다. 전체적으로 안정, 성실, 중재, 현실감의 기질이 강하다."
GAN_경술,경술,ganji,금,양,"경술: 경(금,양) 천간이 술(토,양) 지지를 만나 이루는 조합으로, 결단, 정의감, 강한 의지 성향과 책임감, 신중함, 현실적 기질이 합쳐진다. 전체적으로 결단, 규율, 판단, 완성의 기질이 강하다."
GAN_신해,신해,ganji,금,음,"신해: 신(금,음) 천간이 해(수,음) 지지를 만나 이루는 조합으로, 정교, 세련, 분석력 성향과 자비, 직관, 공감 능력 기질이 합쳐진다. 전체적으로 결단, 규율, 판단, 완성의 기질이 강하다."
GAN_임자,임자,ganji,수,양,"임자: 임(수,양) 천간이 자(수,양) 지지를 만나 이루는 조합으로, 지혜, 통찰, 확장적 사고 성향과 감정적, 지적, 순발력, 유동성 기질이 합쳐진다. 전체적으로 지혜, 감정, 유연, 직관의 기질이 강하다."
GAN_계축,계축,ganji,수,음,"계축: 계(수,음) 천간이 축(토,음) 지지를 만나 이루는 조합으로, 감수성, 직관, 치유적 성향과 보수적, 인내심, 실속형 기질이 합쳐진다. 전체적으로 지혜, 감정, 유연, 직관의 기질이 강하다."
GAN_갑인,갑인,ganji,목,양,"갑인: 갑(목,양) 천간이 인(목,양) 지지를 만나 이루는 조합으로, 시작, 추진력, 지도자적 성향 성향과 혁신적, 진취적, 추진력 기질이 합쳐진다. 전체적으로 성장, 창조, 계획, 추진의 기질이 강하다."
