id,label,type,house_number,korean_name,life_area,natural_sign,natural_ruler,keywords,saju_correlation,description
H1,1하우스,astro_house,1,1하우스,자아/외모/첫인상/시작,양자리,화성,자기정체성/외모/시작하는방식/첫인상,일간-자아,"1하우스는 자아와 외모의 집. 세상에 자신을 어떻게 보여주는지, 새로운 일을 시작하는 방식을 나타냄."
H2,2하우스,astro_house,2,2하우스,재정/가치관/소유/자존감,황소자리,금성,돈/물질/가치관/자원/자존감,정재-재산,"2하우스는 물질과 가치의 집. 돈을 버는 방식, 물질에 대한 태도, 자존감의 기반을 보여줌."
H3,3하우스,astro_house,3,3하우스,소통/학습/형제/근거리,쌍둥이자리,수성,의사소통/학습/형제자매/이웃/짧은여행,상관-소통,"3하우스는 소통과 학습의 집. 생각을 표현하는 방식, 초기 교육, 형제 관계, 일상적 이동을 나타냄."
H4,4하우스,astro_house,4,4하우스,가정/뿌리/어머니/내면,게자리,달,가정/가족/뿌리/어머니/내면의기반,년지-조상,"4하우스는 가정과 뿌리의 집. 가정환경, 어머니, 조상의 유산, 내면의 안전 기반을 보여줌."
H5,5하우스,astro_house,5,5하우스,창조/연애/자녀/즐거움,사자자리,태양,창의성/로맨스/자녀/놀이/자기표현,식신-창조,"5하우스는 창조와 즐거움의 집. 연애, 창의적 표현, 자녀, 취미, 순수한 기쁨의 영역."
H6,6하우스,astro_house,6,6하우스,건강/일상/봉사/직장,처녀자리,수성,건강/일상루틴/직장/봉사/반려동물,편인-일상,"6하우스는 건강과 일상의 집. 매일의 루틴, 직장 환경, 건강 관리, 봉사 활동을 나타냄."
H7,7하우스,astro_house,7,7하우스,파트너십/결혼/계약/타인,천칭자리,금성,결혼/파트너/계약/공개적관계/타인,일지-배우자,"7하우스는 파트너십의 집. 결혼, 사업 파트너, 공개적 관계, 타인에게 투사하는 자신의 면."
H8,8하우스,astro_house,8,8하우스,변환/공동자원/죽음/섹스,전갈자리,명왕성,변환/공유재산/죽음재생/심리/섹스,편관-변환,"8하우스는 변환과 깊이의 집. 공동 재산, 유산, 심리적 깊이, 성적 결합, 죽음과 재생을 다룸."
H9,9하우스,astro_house,9,9하우스,철학/해외/고등교육/종교,사수자리,목성,철학/종교/해외여행/고등교육/법률,인성-학문,"9하우스는 확장과 의미의 집. 철학, 종교, 해외 여행, 대학 교육, 더 넓은 세계관을 나타냄."
H10,10하우스,astro_house,10,10하우스,커리어/사회적지위/아버지,염소자리,토성,커리어/명성/사회적역할/아버지/목표,정관-직업,"10하우스는 커리어와 명성의 집. 직업, 사회적 지위, 공적 이미지, 인생의 목표를 보여줌."
H11,11하우스,astro_house,11,11하우스,친구/단체/희망/미래,물병자리,천왕성,친구/단체/사회활동/희망/미래비전,비겁-동료,"11하우스는 친구와 희망의 집. 친구 관계, 단체 활동, 사회적 이상, 미래에 대한 꿈을 나타냄."
H12,12하우스,astro_house,12,12하우스,무의식/격리/영성/숨겨진적,물고기자리,해왕성,무의식/숨겨진것/영성/격리/자기파괴,공망-숨겨진,"12하우스는 무의식과 영성의 집. 숨겨진 적, 자기 파괴 패턴, 격리, 영적 성장의 영역."
