source,target,relation_type,weight,polarity,description
DS_용,OH_목,dream_ohaeng,0.8,길,용꿈은 목(木) 에너지와 연결. 용은 진(辰)토이나 상승하는 기운은 목의 성장 에너지. 목이 용신인 사람에게 특히 길몽.
DS_용,OH_수,dream_ohaeng,0.7,길,용은 수(水)와도 깊은 연관. 동양에서 용은 물의 신. 임수(壬水) 일간에게 용꿈은 대길.
DS_용,OH_토,dream_ohaeng,0.6,중립,용은 진(辰)토에 해당. 토 에너지와 연결되어 안정과 중재의 의미.
DS_뱀,OH_화,dream_ohaeng,0.9,길,뱀은 사(巳)화와 직접 연결. 화(火) 에너지의 상징. 뱀꿈은 화가 용신인 사람에게 재물운.
DS_뱀,OH_금,dream_ohaeng,0.6,중립,뱀이 허물을 벗는 것은 금(金)의 변혁 에너지. 변화와 재탄생.
DS_호랑이,OH_목,dream_ohaeng,0.9,길,호랑이는 인(寅)목과 직접 연결. 목(木) 에너지의 왕. 갑목(甲木) 일간에게 매우 길한 꿈.
DS_호랑이,OH_화,dream_ohaeng,0.5,중립,호랑이(인목)는 화를 생하는 기운. 열정과 추진력.
DS_토끼,OH_목,dream_ohaeng,0.9,길,토끼는 묘(卯)목과 직접 연결. 을목(乙木)의 정기. 온화한 목 에너지.
DS_토끼,OH_수,dream_ohaeng,0.6,길,토끼는 수생목의 영향. 지혜와 유연성.
DS_말,OH_화,dream_ohaeng,0.9,길,말은 오(午)화와 직접 연결. 정화(丁火)의 정기. 열정과 에너지.
DS_말,OH_금,dream_ohaeng,0.4,흉,말(화)은 금을 극함. 금이 용신인 사람에게 말꿈은 주의.
DS_양,OH_토,dream_ohaeng,0.8,길,양은 미(未)토와 직접 연결. 토 에너지의 안정과 포용.
DS_양,OH_화,dream_ohaeng,0.6,길,미토는 화의 고지(창고). 열정이 안정되는 의미.
DS_원숭이,OH_금,dream_ohaeng,0.9,길,원숭이는 신(申)금과 직접 연결. 경금(庚金)의 정기. 지혜와 민첩함.
DS_원숭이,OH_수,dream_ohaeng,0.6,길,신금은 수를 생함. 지혜의 흐름이 시작됨.
DS_닭,OH_금,dream_ohaeng,0.9,길,닭은 유(酉)금과 직접 연결. 신금(辛金)의 정기. 날카로움과 정밀함.
