id,label,type,stem,age_range,life_phase,description,career_effect,wealth_effect,relationship_effect,health_effect,key_events,advice
DU_갑_10대,갑목 대운 10대,daeun_interpretation,갑,10-19,10대,"갑목(甲木) 대운이 10대에 오면 큰 나무가 싹을 틔우듯 학업과 성장에 강한 에너지가 집중됩니다. 독립심이 강해지고 리더십이 발현되며, 자신만의 세계관을 형성하기 시작합니다. 목표 의식이 뚜렷해지고 주변 환경에서 주도적인 역할을 맡게 됩니다.","학업 성적 상승과 학생회 등 리더 역할 수행. 진로 방향이 명확해지며, 목표 지향적 학습 태도가 형성됨.","용돈 관리에 관심 생기고 저축 습관 형성. 경제 관념이 싹트는 시기.","친구 관계에서 리더 역할. 선후배 관계 원만. 첫사랑 경험 가능성 높음.","성장기라 체력 왕성하나 과도한 스트레스로 두통이나 시력 저하 주의. 간 기능 관련 주의.","학업 성취, 리더십 경험, 진로 결정, 독립심 형성, 첫 사회적 인정","목표를 세우되 너무 조급해하지 마세요. 이 시기의 배움은 평생의 자산이 됩니다. 다양한 경험을 통해 자신의 재능을 발견하세요."
DU_갑_20대,갑목 대운 20대,daeun_interpretation,갑,20-29,20대,"갑목(甲木) 대운이 20대에 오면 본격적으로 사회에 뿌리를 내리는 시기입니다. 큰 나무처럼 곧고 강한 의지로 자신의 길을 개척합니다. 창업이나 새로운 도전에 유리하며, 독립적인 커리어 구축이 가능합니다.","취업 유리, 창업 적기, 새로운 분야 도전 성공률 높음. 기획직, 교육직, 스타트업 분야에서 두각.","초기 투자와 자기계발에 돈이 들지만 향후 큰 수확의 씨앗을 뿌리는 시기. 첫 월급으로 재무 계획 수립.","새로운 인맥이 폭발적으로 늘어남. 인생의 동반자를 만날 가능성. 연애에서 주도적 역할.","체력이 좋으나 과로와 음주로 간 건강 주의. 불규칙한 생활 패턴 경계.","첫 취업, 창업 도전, 결혼 준비, 유학, 자격증 취득, 사회적 네트워크 구축","과감하게 도전하세요. 20대 갑목 대운은 일생에서 가장 강한 추진력을 줍니다. 실패를 두려워하지 말고 경험을 쌓으세요."
DU_갑_30대,갑목 대운 30대,daeun_interpretation,갑,30-39,30대,"갑목(甲木) 대운이 30대에 오면 커리어가 본격적으로 성장하는 시기입니다. 나무가 하늘로 쭉 뻗어가듯 승진과 사업 확장의 기회가 찾아옵니다. 사회적 지위가 상승하고 전문성이 인정받습니다.","승진 기회 증가, 관리직 발탁, 사업 확장 적기. 전문 분야에서 권위 확립.","안정적 수입 증가와 자산 형성 본격화. 부동산 첫 매입 유리. 투자 시작 적기.","결혼과 가정 구축. 배우자와 함께 성장. 사회적 인맥 고급화.","스트레스성 두통, 목 디스크, 간 수치 상승 주의. 정기 건강 검진 필수.","승진, 결혼, 출산, 내 집 마련, 사업 확장, 전문 자격 획득","리더십을 발휘하되 독단적이지 않도록 주의하세요. 팀과 함께 성장하는 것이 더 큰 나무를 만듭니다."
DU_갑_40대,갑목 대운 40대,daeun_interpretation,갑,40-49,40대,"갑목(甲木) 대운이 40대에 오면 인생의 전환점이 됩니다. 기존의 틀을 깨고 새로운 도전을 시작하거나, 제2의 전성기를 맞이합니다. 리더로서의 면모가 완성되고 후배 양성에도 힘을 쏟게 됩니다.","새로운 커리어 전환 가능. 임원 승진, 독립 창업, 컨설팅 진출. 멘토 역할 부각.","재산 증식의 중요 시기. 공격적 투자보다 안정적 포트폴리오 구축. 부동산 추가 매입 유리.","가정 내 리더십 중요. 자녀 교육에 집중. 배우자와의 새로운 관계 설정.","고혈압, 당뇨 등 성인병 검진 필요. 간 건강 각별히 주의. 규칙적 운동 시작.","커리어 전환, 자녀 진학, 재산 관리, 건강 관리 시작, 사회적 영향력 확대","변화를 두려워하지 마세요. 40대 갑목 대운은 제2의 성장기입니다. 경험을 바탕으로 한 도전은 반드시 성공합니다."
DU_갑_50대,갑목 대운 50대,daeun_interpretation,갑,50-59,50대,"갑목(甲木) 대운이 50대에 오면 축적된 경험과 지혜를 활용하여 새로운 가치를 창출하는 시기입니다. 큰 나무가 그늘을 드리우듯 주변에 영향력을 발휘하며, 사회적 공헌에 관심이 높아집니다.","업계 원로로서 자문, 강연, 저술 활동 증가. 후진 양성과 멘토링에 보람.","안정적 자산 운용. 은퇴 준비와 함께 새로운 수입원 개발. 재능 기부 시작.","깊은 인간관계 형성. 오래된 인연 재회. 가족 결속 강화. 손주 복 가능.","관절, 간 기능 주의. 정기 검진 필수. 가벼운 산책과 스트레칭 권장.","은퇴 준비, 제2인생 설계, 사회적 활동 참여, 자서전 집필, 가족 화합","나무가 깊이 뿌리내리듯 그동안의 경험을 정리하고 후세에 전하세요. 새로운 배움도 좋은 시기입니다."
DU_갑_60대,갑목 대운 60대이후,daeun_interpretation,갑,60+,60대이후,"갑목(甲木) 대운이 60대 이후에 오면 인생의 새로운 시작을 의미합니다. 노년에도 성장 에너지가 있어 새로운 취미, 학습, 봉사활동에 적극적입니다. 건강하고 활력 넘치는 노후를 보낼 수 있습니다.","은퇴 후 강의, 봉사, 취미 활동으로 제2의 커리어. 사회적 경험을 나누는 멘토 역할.","연금과 자산 수입으로 안정적 노후. 불필요한 투자보다 안정적 운용. 자녀에게 재산 이전 계획.","노부부 관계 재정립. 손주와의 유대감 강화. 오래된 친구와의 교류 활발.","간, 관절, 눈 건강 관리가 최우선. 규칙적 생활과 가벼운 운동이 건강 비결.","은퇴 후 제2인생, 봉사활동, 가족 여행, 자서전 집필, 취미 활동 개시","나이는 숫자에 불과합니다. 갑목의 성장 에너지로 새로운 것을 배우고 도전하세요. 건강 관리가 최우선입니다."
DU_을_10대,을목 대운 10대,daeun_interpretation,을,10-19,10대,"을목(乙木) 대운이 10대에 오면 풀이나 덩굴처럼 유연하게 환경에 적응하는 시기입니다. 예술적 감수성이 풍부해지고, 협동심이 강해지며, 눈치가 빨라집니다. 다소 소극적이지만 깊은 내면의 세계를 가꾸게 됩니다.","예체능 분야에서 재능 발견. 국어, 문학, 음악, 미술에서 두각. 그룹 활동에서 조율자 역할.","소비보다 저축에 유리. 작은 돈이라도 꾸준히 모으는 습관 형성.","친구들과의 관계에서 배려심 발휘. 은근한 인기. 깊은 우정 형성.","소화기 약함. 편식 주의. 알레르기 체질 가능. 규칙적 식사 중요.","예술 재능 발견, 깊은 우정 형성, 감수성 발달, 문학적 재능 개화","강하게 나서기보다 유연하게 적응하세요. 남과 다른 감수성이 큰 자산이 됩니다. 예술 활동에 적극 참여하세요."
DU_을_20대,을목 대운 20대,daeun_interpretation,을,20-29,20대,"을목(乙木) 대운이 20대에 오면 사회생활에서 유연한 처세술이 빛을 발합니다. 강하게 밀어붙이기보다 부드럽게 스며들며, 인맥 관리에 탁월합니다. 협업과 팀워크를 통해 성과를 냅니다.","대기업보다 중소기업에서 인정받기 쉬움. 디자인, 마케팅, 비서직, 서비스업 적합. 프리랜서로도 성공 가능.","큰 돈보다 꾸준한 수입 추구. 부업이나 재테크에 소질. 공동 투자 유리.","다정한 연인 만남. 소개팅이나 주변 인맥 통한 인연. 장기 연애 가능성 높음.","소화기, 알레르기, 피부 트러블 주의. 스트레스성 위장 질환 조심.","첫 직장 적응, 인맥 형성, 연애와 결혼 준비, 자기계발, 부업 시작","남과 경쟁하기보다 협력하세요. 을목의 유연함이 최고의 무기입니다. 겸손하면서도 실력을 쌓아가세요."
DU_을_30대,을목 대운 30대,daeun_interpretation,을,30-39,30대,"을목(乙木) 대운이 30대에 오면 인간관계를 통해 성장하는 시기입니다. 덩굴이 나무를 타고 올라가듯 좋은 인맥을 활용하여 사회적 위치를 높입니다. 배우자의 도움이 크며 가정과 일의 균형이 중요합니다.","팀 리더보다 참모 역할에서 빛남. 기획, 조율, 중재 능력 인정. 프로젝트 매니저 적합.","배우자와 공동 재테크 유리. 작은 투자부터 꾸준히. 생활비 관리 철저.","결혼 적기. 배우자 복 있음. 시댁/처가와의 관계도 원만. 자녀 출산 유리.","산후 조리(여성), 위장 질환, 허리 통증 주의. 규칙적 생활 패턴 유지.","결혼, 출산, 인맥을 통한 이직, 가정 구축, 재테크 시작","혼자 하려 하지 말고 좋은 파트너를 찾으세요. 함께할 때 을목의 에너지가 극대화됩니다."
DU_을_40대,을목 대운 40대,daeun_interpretation,을,40-49,40대,"을목(乙木) 대운이 40대에 오면 유연한 리더십이 빛을 발합니다. 강압적이지 않으면서도 조직을 이끄는 능력이 탁월합니다. 인간관계의 폭이 넓어지고, 문화예술 활동에서 보람을 느낍니다.","조직 내 중간 관리자로서 탁월한 조율 능력 발휘. 인사, 교육, 복지 분야 적합. 부업으로 수공예나 예술 활동.","안정적 수입 유지. 무리한 투자보다 적금과 보험으로 안전자산 확보.","자녀 교육에 헌신. 학부모 활동 활발. 배우자와의 관계 재정립 필요 시기.","갱년기 증상 주의(여성). 소화 장애, 관절통, 피로감 관리 필요.","자녀 진학 지도, 중간 관리자 역할, 취미 활동 시작, 건강 관리 본격화","부드러움이 강함을 이깁니다. 주변과 화합하면서 내 자리를 지키세요. 문화 활동으로 스트레스를 해소하세요."
