id,source,target,relation,category,description
DREAM_CROSS_001,DREAM_SYM_011,BR_사,꿈상징_지지,dream_to_saju_branch,뱀 꿈과 사화(巳火)의 연결. 뱀은 십이지지에서 사(巳)에 해당하며 화(火) 기운을 담고 있다. 사주에 사화가 있는 사람이 뱀꿈을 꾸면 자기 에너지의 활성화를 의미하고 사화가 없는 사람에게는 외부에서 화 기운이 유입되는 신호이다. 사해충(巳亥冲)의 시기에 특히 빈번하게 나타난다.
DREAM_CROSS_002,DREAM_SYM_012,BR_진,꿈상징_지지,dream_to_saju_branch,용 꿈과 진토(辰土)의 연결. 용은 십이지지에서 진(辰)에 해당하며 토(土) 기운의 가장 역동적인 형태를 담고 있다. 사주에 진토가 있으면 잠재된 권위가 깨어나는 시기이며 진술충(辰戌冲)의 해에 큰 변화가 예고된다. 용꿈은 진토의 에너지가 극대화되는 봄(진월)에 특히 강력한 길몽이다.
DREAM_CROSS_003,DREAM_SYM_013,BR_인,꿈상징_지지,dream_to_saju_branch,호랑이 꿈과 인목(寅木)의 연결. 호랑이는 십이지지에서 인(寅)에 해당하며 목(木) 기운의 강한 추진력을 상징한다. 사주에 인목이 있는 사람이 호랑이꿈을 꾸면 리더십이 발현되는 시기이고 인신충(寅申冲)이 발생하는 해에는 도전과 경쟁의 메시지를 담고 있다.
DREAM_CROSS_004,DREAM_SYM_051,BR_오,꿈상징_지지,dream_to_saju_branch,말 꿈과 오화(午火)의 연결. 말은 십이지지에서 오(午)에 해당하며 화(火) 기운의 정점을 상징한다. 사주에 오화가 있는 사람에게 말꿈은 열정과 추진력의 최고조를 의미한다. 역마살(驛馬殺)과 관련되어 이동이나 변화의 에너지가 강하게 작용하며 자오충(子午冲)의 시기에는 감정과 행동의 충돌을 경고한다.
DREAM_CROSS_005,DREAM_SYM_057,BR_자,꿈상징_지지,dream_to_saju_branch,쥐 꿈과 자수(子水)의 연결. 쥐는 십이지지에서 자(子)에 해당하며 수(水) 기운의 시작을 상징한다. 사주에 자수가 있는 사람이 쥐꿈을 꾸면 새로운 시작의 에너지가 활성화되는 것이고 자오충(子午冲)의 시기에는 감정적 격동과 함께 새로운 방향의 필요성을 알린다.
DREAM_CROSS_006,DREAM_SYM_054,BR_축,꿈상징_지지,dream_to_saju_branch,소 꿈과 축토(丑土)의 연결. 소는 십이지지에서 축(丑)에 해당하며 토(土) 기운의 응축과 인내를 상징한다. 사주에 축토가 있는 사람이 소꿈을 꾸면 꾸준한 노력이 결실을 맺는 시기이며 축미충(丑未冲)의 시기에는 내면 갈등과 방향 전환의 메시지를 담고 있다.
DREAM_CROSS_007,DREAM_SYM_056,BR_묘,꿈상징_지지,dream_to_saju_branch,토끼 꿈과 묘목(卯木)의 연결. 토끼는 십이지지에서 묘(卯)에 해당하며 목(木) 기운의 부드러운 성장과 감성을 상징한다. 사주에 묘목이 있는 사람에게 토끼꿈은 예술적 감수성과 대인관계의 활성화를 의미한다. 묘유충(卯酉冲)의 시기에는 감성과 이성 사이의 균형을 찾으라는 메시지이다.
DREAM_CROSS_008,DREAM_SYM_053,BR_신,꿈상징_지지,dream_to_saju_branch,원숭이 꿈과 신금(申金)의 연결. 원숭이는 십이지지에서 신(申)에 해당하며 금(金) 기운의 혁신과 분석력을 상징한다. 사주에 신금이 있는 사람이 원숭이꿈을 꾸면 지적 능력의 활성화와 문제 해결 능력의 발현을 의미한다. 인신충(寅申冲)의 시기에는 새로운 접근법이 필요함을 알린다.
DREAM_CROSS_009,DREAM_SYM_052,BR_해,꿈상징_지지,dream_to_saju_branch,돼지 꿈과 해수(亥水)의 연결. 돼지는 십이지지에서 해(亥)에 해당하며 수(水) 기운의 풍요와 자비를 상징한다. 사주에 해수가 있는 사람이 돼지꿈을 꾸면 재물운과 풍요의 극대화를 의미한다. 사해충(巳亥冲)의 시기에는 변화 속에서 재물의 흐름이 바뀔 수 있음을 경고한다.
DREAM_CROSS_010,DREAM_SYM_055,BR_유,꿈상징_지지,dream_to_saju_branch,닭 꿈과 유금(酉金)의 연결. 닭은 십이지지에서 유(酉)에 해당하며 금(金) 기운의 예리함과 결실을 상징한다. 사주에 유금이 있는 사람이 닭꿈을 꾸면 판단력과 분별력이 높아지는 시기이다. 묘유충(卯酉冲)의 시기에는 새로운 각성과 함께 과거 습관의 정리가 필요함을 알린다.
DREAM_CROSS_011,DREAM_SYM_001,Neptune,꿈상징_행성,dream_to_astro_planet,물/바다 꿈과 해왕성(Neptune)의 연결. 물은 점성술에서 해왕성이 지배하는 영역이다. 해왕성이 활성화되는 트랜짓 시기에 물꿈이 자주 나타나며 이는 직관과 영성이 깊어지는 시기임을 의미한다. 출생차트에서 해왕성이 강한 사람은 물 관련 꿈을 자주 꾸며 이는 그들의 높은 감수성과 영적 민감함을 반영한다.
DREAM_CROSS_012,DREAM_SYM_003,Mars,꿈상징_행성,dream_to_astro_planet,불/화재 꿈과 화성(Mars)의 연결. 불은 점성술에서 화성의 핵심 에너지이다. 화성 트랜짓이 활발할 때 불꿈이 빈번해지며 이는 행동력과 공격성이 고조되는 시기를 반영한다. 화성이 양자리나 사자자리를 지날 때 특히 강렬한 불꿈이 나타나며 억눌린 분노의 분출을 경고한다.
DREAM_CROSS_013,DREAM_SYM_007,TM_18,꿈상징_행성,dream_to_astro_planet,달 꿈과 달(Moon)의 연결. 꿈에서의 달은 점성술의 달 에너지와 직접적으로 공명한다. 출생차트에서 달의 위치와 상태가 달 꿈의 빈도와 성격을 결정한다. 보름달 시기에 달꿈이 자주 나타나며 달이 게자리나 물고기자리를 지날 때 감정적으로 깊은 달 꿈을 경험한다.
